Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Salam Mall,"4CX9+MH4, Martial Passage, El-Salam Sharkeya, Al Salam First, Cairo Governorate 4645101",not available,Not available,5.0,2,Cairo,https://maps.app.goo.gl/QsNodZWGCEquUjNdA,not available,30.14875,31.41375,,,,,,,,,,,,,,,,,,,,,restaurant,El Salam First,Majorcan restaurant
McDonald's Chill-Out El-Salam,"محطة Chill-Out السلام،, Chill-Out El-Salam, Martial Passage, ممرات عسكرية،, El-Salam Sharkeya, Cairo Governorate",02 21600377,mcdelivery.eg,4.0,17,Cairo,https://maps.app.goo.gl/2e676ywCXq9Z1P8W9,"4CX9+PF El-Salam Sharkeya, Al Salam First",30.149313,31.418687,https://lh5.googleusercontent.com/p/AF1QipMin847o_P6TNXLiIyrIlGMp8pJtva02J2CMQOc,https://lh5.googleusercontent.com/p/AF1QipPHHBqXw5Vr0COSZBQMyO3OjyQUBE2WeynlMFnT,https://lh5.googleusercontent.com/p/AF1QipOqpPoR6b6EIBjiaVInFHbzR4d9rGQ4VtkdEJtP,https://lh5.googleusercontent.com/p/AF1QipNbSRescxKUvGQ2gm8XxK2URHI8W5jdfGcxgzqf,https://lh5.googleusercontent.com/p/AF1QipMVzvmS2i0Dvpou9bO1WG3IwJGPogfYyUkJrTCE,,,,,,,,,,,,,,,,restaurant,El Salam First,Restaurant
أسماك ابو يوسف,"49PF+FPG, Berket an Nasr, Al Salam First, Cairo Governorate 4641121",not available,Not available,3.6,7,Cairo,https://maps.app.goo.gl/CvTYhSfExxE3pXqs6,not available,30.136187,31.374313,https://lh5.googleusercontent.com/p/AF1QipNziQ6ldewO2NCJ136FHWBwK41RJ73bHJ5ODWk,,,,,,,,,,,,,,,,,,,,restaurant,El Salam First,Restaurant
مطعم درب حلب,"49RV+WCM, شارع الصفا والمروة، قسم السلام،, El-Salam Sharkeya, Cairo Governorate",012 72048934,Not available,3.8,33,Cairo,https://maps.app.goo.gl/9jRQ66x8WFzUUczcA,not available,30.142313,31.393563,https://lh5.googleusercontent.com/p/AF1QipNr4mEUlQEdZjD1WddbzRug8_Z_5sEaTy7ifh_N,https://lh5.googleusercontent.com/p/AF1QipOnPOoAikFs8ARLmUs-0tAj86_T1pGuetybg2VP,https://lh5.googleusercontent.com/p/AF1QipMjyfDR8zCDnyvXNzHktFvmDvA2WRzdLNaG88ja,https://lh5.googleusercontent.com/p/AF1QipPfmVHbPf9eDhuIxtpwxTJOznrxowFZgLShlqH2,https://lh5.googleusercontent.com/p/AF1QipOlCN2a0LdqcbCqHQxmecNJ90a2bPeZVn7CFK6w,https://lh5.googleusercontent.com/p/AF1QipPrYPyxNk-Zhtk5vw9Li3P4TFHHVidu6dbt5sZO,https://lh5.googleusercontent.com/p/AF1QipNeWL4eZmvCwYsQVrS_oo6fl7n2IcQcRgyATiaY,,,,,,,,,,,,,,restaurant,El Salam First,Breakfast restaurant
Koki,"5CF9+FQP, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4645235",not available,Not available,3.6,46,Cairo,https://maps.app.goo.gl/prEjJjCjUEbxruZ86,not available,30.173812,31.418062,https://lh5.googleusercontent.com/p/AF1QipPywVHVWvyiU-wm02_F2huw-wlH5PtJcaID8FcQ,https://lh5.googleusercontent.com/p/AF1QipPmR3YluV9axJ-3OTfig-umhlkJgCouQX9jRRyV,https://lh5.googleusercontent.com/p/AF1QipPQX0dZeWwhfVL7RA1ks3Tk8BZVkfFLUUgx90TH,https://lh5.googleusercontent.com/p/AF1QipOboebTymYpn1Vp6dZlQBIG5EW_KzaayZI6uW1l,https://lh5.googleusercontent.com/p/AF1QipOA3qcIjsBhsnvEhpGB42-f5AwSi1BcIRTjlJBD,https://lh5.googleusercontent.com/p/AF1QipOzGlRcU0owCW91bbk6T8MYTT-VTEjxqtLwy0Nx,,,,,,,,,,,,,,,restaurant,El Salam First,Restaurant
Barjwan,"North 90th Street - Service Lane،, Al Salam Axis, Cairo Governorate 11865",2CFF+4Q New Cairo 1,Not available,4.5,15,Cairo,https://maps.app.goo.gl/i6uzfuDXaj41spbH7,2CFF+4Q New Cairo 1,30.022813,31.424437,https://lh5.googleusercontent.com/p/AF1QipNsxslM-l7_5ch-VQXlGRWred-634IQssaSQLSZ,https://lh5.googleusercontent.com/p/AF1QipMTCYpli54UFt5HbDdbjZbotgcNwALmTTX9WE16,https://lh5.googleusercontent.com/p/AF1QipPR0_BKw7xCX_IsLcM9LMFOqyUKMJP67Yvj8Gd7,//:0,https://lh5.googleusercontent.com/p/AF1QipOyAL0VNHreJLqS2H9UHKb0c5P_9gPihi4TxU5i,https://lh5.googleusercontent.com/p/AF1QipPckQVWSSACbn6kXlGOgPdcpw3BPjAPtjsaRIXi,//:0,https://lh5.googleusercontent.com/p/AF1QipOdvV0ZX7LRyseYNsm3tF4QR8-Q_ccBnIkHnnAi,https://lh5.googleusercontent.com/p/AF1QipMPcSi2Imuqmz5YL3AsKRofzsXKctWwFX_O0O8n,https://lh5.googleusercontent.com/p/AF1QipPAM6685lxRFTmLaqm9NfnonHqqlk0A1ZVH4YrK,,,,,,,,,,,restaurant,El Salam First,Restaurant
Esplanade Cafe Restaurant,"InterContinental Cairo Citystars, Omar Ibn El-Khattab، Street, Heliopolis, Cairo Governorate 11737",02 24800009,Not available,5.0,153,Cairo,https://maps.app.goo.gl/wqa4G6zdBrfhmMiX8,38FX+G3 Heliopolis,30.073813,31.347687,https://lh5.googleusercontent.com/p/AF1QipMaiipcs39NEmHf9CRfxi0XDbkN1CrnyHGSk8Hm,https://lh5.googleusercontent.com/p/AF1QipP2AqAAzBl7ksCW1NmlOAOBUpY7v6Gu9D75OTr9,https://lh5.googleusercontent.com/p/AF1QipN5syWsZrhqEYpPzqMmyrshiYAKwBu6lWlCeKK5,https://lh5.googleusercontent.com/p/AF1QipOs-x8WAhId9Um2oVTVlUdi-Y-dhqAH_LkPHRP8,//:0,https://lh5.googleusercontent.com/p/AF1QipPYFLqJnh2tYx-ga6rdMqOTPvoE6fMU8VmzMzpw,https://lh5.googleusercontent.com/p/AF1QipNj_tFqRSANrD3EVWc6YExUBK3HaU_-vfNxgO3-,//:0,https://lh5.googleusercontent.com/p/AF1QipNHkJGAFjF4St-_uegy7TjdkEunedtr9YqvMSBN,https://lh5.googleusercontent.com/p/AF1QipN9xgHdvV_4jMSvPl3k_VIwPGePgWMHoBYcLiOv,//:0,https://lh5.googleusercontent.com/p/AF1QipM3ycoXKan89qbbde--Px8BBQqpnLlzB4O-cxsu,https://lh5.googleusercontent.com/p/AF1QipO8dgbQ48tcnUH1FGrY9KL6me7ggK3KpxZIDjAg,//:0,https://lh5.googleusercontent.com/p/AF1QipN_wduKKhuwrVFYNPa0uI1vvEG2Ye-C1APwD557,https://lh5.googleusercontent.com/p/AF1QipMey6fXjrGHL-9ys77EBBQy23IagcRC0QMjpcgn,https://lh5.googleusercontent.com/p/AF1QipNkOuhvsLiIk4y3qr2q7ZMAH3WImUyNUUUYd_J7,https://lh5.googleusercontent.com/p/AF1QipOx-v9ROTX7UyvtF31q_lK5mpgADIjayWZjwJi_,https://lh5.googleusercontent.com/p/AF1QipNT2atxLgAduk4seYliBb7fqNJC4gpZGudnnpMa,https://lh5.googleusercontent.com/p/AF1QipMIZNC2hvObvgxJP986pBVYiBIAN-oLVyeR9lg,restaurant,El Salam First,Restaurant
Sabry,"5C68+M4P, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4645046",not available,Not available,3.9,21,Cairo,https://maps.app.goo.gl/XyUbRMsDLB22sM3e7,not available,30.16125,31.41375,https://lh5.googleusercontent.com/p/AF1QipM9WOQcinsbJuYRgkNAMfM-Q7KuXNsqXJGA8EbV,https://lh5.googleusercontent.com/p/AF1QipMPszeaM-HMJPclpncwDpRYb43Tw6E8MbaDl9z9,https://lh5.googleusercontent.com/p/AF1QipNilamisl9gZeiA_JCKgrxT5xhY6KdgVjvEZN8K,//:0,https://lh5.googleusercontent.com/p/AF1QipMCzVq1BP8Z0m2-awimfGnhtTqYllp3DDkMYh1f,https://lh5.googleusercontent.com/p/AF1QipOog8xttUnz0NSsuNMaukhQVqgDVd1GnEhhtaUc,//:0,https://lh5.googleusercontent.com/p/AF1QipPHQgQC3W7qc09WKChsXaVTJVPIEuFZE2zzDm6R,https://lh5.googleusercontent.com/p/AF1QipOc3UdoNW_IF_GmJUiSERcSNm38316TneyLc8-f,//:0,https://lh5.googleusercontent.com/p/AF1QipO59AuulzKccettOqkvfUTf-0nDMPXMbSAI70Ih,https://lh5.googleusercontent.com/p/AF1QipOr4Uhg89JEAeR-ApNZzf0WbdL3Gqnse8ANRG9-,,,,,,,,,restaurant,El Salam First,Restaurant
Batates & zalabya,"Old 10th of Ramadan, السلام الشرقية، أول السلام، محافظة القاهرة‬،",not available,batatesandzalabya.com,4.7,3,Cairo,https://maps.app.goo.gl/2D2qSZVu3SQpWHDx7,4CX9+XV Al Salam First,30.149938,31.419688,https://lh5.googleusercontent.com/p/AF1QipMPLQ9STumzfqLBStOY5trd-lkuG-dRb4AQCbA5,https://lh5.googleusercontent.com/p/AF1QipMlLUlJ6Uws1TPJLEZ8kw-M5zroGuOWuf85Rphz,https://lh5.googleusercontent.com/p/AF1QipPwOS7i_h45OWJ3vIZoAodoWW_pndFj1QE32Jrj,https://lh5.googleusercontent.com/p/AF1QipOby8uqaHcTBt05q2GeK3wX0HZnP0Hr3Irua-2r,,,,,,,,,,,,,,,,,restaurant,El Salam First,Fast food restaurant
El Madeina El Monawara,"5CPF+6J9, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4645442",not available,Not available,4.3,12,Cairo,https://maps.app.goo.gl/wddqZ4SHnskAZr2VA,not available,30.186188,31.425312,https://lh5.googleusercontent.com/p/AF1QipOTYV-ZfDcYE4hlTWC2qmgHUnDkBtECeZdSdiC8,,,,,,,,,,,,,,,,,,,,restaurant,El Salam First,Restaurant
