Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
McDonald's Chill-Out El-Salam,"محطة Chill-Out السلام،, Chill-Out El-Salam, Martial Passage, ممرات عسكرية،, El-Salam Sharkeya, Cairo Governorate",02 21600377,mcdelivery.eg,4.0,17,Cairo,https://maps.app.goo.gl/2e676ywCXq9Z1P8W9,"4CX9+PF El-Salam Sharkeya, Al Salam First",30.149313,31.418687,https://lh5.googleusercontent.com/p/AF1QipMin847o_P6TNXLiIyrIlGMp8pJtva02J2CMQOc,https://lh5.googleusercontent.com/p/AF1QipPHHBqXw5Vr0COSZBQMyO3OjyQUBE2WeynlMFnT,https://lh5.googleusercontent.com/p/AF1QipOqpPoR6b6EIBjiaVInFHbzR4d9rGQ4VtkdEJtP,https://lh5.googleusercontent.com/p/AF1QipNbSRescxKUvGQ2gm8XxK2URHI8W5jdfGcxgzqf,https://lh5.googleusercontent.com/p/AF1QipMVzvmS2i0Dvpou9bO1WG3IwJGPogfYyUkJrTCE,,,,,,,,,,,,,,,,restaurant,El Salam Second,Restaurant
Koki,"5CF9+FQP, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4645235",not available,Not available,3.6,46,Cairo,https://maps.app.goo.gl/prEjJjCjUEbxruZ86,not available,30.173812,31.418062,https://lh5.googleusercontent.com/p/AF1QipPywVHVWvyiU-wm02_F2huw-wlH5PtJcaID8FcQ,https://lh5.googleusercontent.com/p/AF1QipPmR3YluV9axJ-3OTfig-umhlkJgCouQX9jRRyV,https://lh5.googleusercontent.com/p/AF1QipPQX0dZeWwhfVL7RA1ks3Tk8BZVkfFLUUgx90TH,https://lh5.googleusercontent.com/p/AF1QipOboebTymYpn1Vp6dZlQBIG5EW_KzaayZI6uW1l,https://lh5.googleusercontent.com/p/AF1QipOA3qcIjsBhsnvEhpGB42-f5AwSi1BcIRTjlJBD,https://lh5.googleusercontent.com/p/AF1QipOzGlRcU0owCW91bbk6T8MYTT-VTEjxqtLwy0Nx,,,,,,,,,,,,,,,restaurant,El Salam Second,Restaurant
Sabry,"5C68+M4P, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4645046",not available,Not available,3.9,21,Cairo,https://maps.app.goo.gl/XyUbRMsDLB22sM3e7,not available,30.16125,31.41375,https://lh5.googleusercontent.com/p/AF1QipM9WOQcinsbJuYRgkNAMfM-Q7KuXNsqXJGA8EbV,https://lh5.googleusercontent.com/p/AF1QipMPszeaM-HMJPclpncwDpRYb43Tw6E8MbaDl9z9,https://lh5.googleusercontent.com/p/AF1QipNilamisl9gZeiA_JCKgrxT5xhY6KdgVjvEZN8K,//:0,https://lh5.googleusercontent.com/p/AF1QipMCzVq1BP8Z0m2-awimfGnhtTqYllp3DDkMYh1f,https://lh5.googleusercontent.com/p/AF1QipOog8xttUnz0NSsuNMaukhQVqgDVd1GnEhhtaUc,//:0,https://lh5.googleusercontent.com/p/AF1QipPHQgQC3W7qc09WKChsXaVTJVPIEuFZE2zzDm6R,https://lh5.googleusercontent.com/p/AF1QipOc3UdoNW_IF_GmJUiSERcSNm38316TneyLc8-f,//:0,https://lh5.googleusercontent.com/p/AF1QipO59AuulzKccettOqkvfUTf-0nDMPXMbSAI70Ih,https://lh5.googleusercontent.com/p/AF1QipOr4Uhg89JEAeR-ApNZzf0WbdL3Gqnse8ANRG9-,,,,,,,,,restaurant,El Salam Second,Restaurant
مطعم درب حلب,"49RV+WCM, شارع الصفا والمروة، قسم السلام،, El-Salam Sharkeya, Cairo Governorate",012 72048934,Not available,3.8,33,Cairo,https://maps.app.goo.gl/9jRQ66x8WFzUUczcA,not available,30.142313,31.393563,https://lh5.googleusercontent.com/p/AF1QipNr4mEUlQEdZjD1WddbzRug8_Z_5sEaTy7ifh_N,https://lh5.googleusercontent.com/p/AF1QipOnPOoAikFs8ARLmUs-0tAj86_T1pGuetybg2VP,https://lh5.googleusercontent.com/p/AF1QipMjyfDR8zCDnyvXNzHktFvmDvA2WRzdLNaG88ja,https://lh5.googleusercontent.com/p/AF1QipPfmVHbPf9eDhuIxtpwxTJOznrxowFZgLShlqH2,https://lh5.googleusercontent.com/p/AF1QipOlCN2a0LdqcbCqHQxmecNJ90a2bPeZVn7CFK6w,https://lh5.googleusercontent.com/p/AF1QipPrYPyxNk-Zhtk5vw9Li3P4TFHHVidu6dbt5sZO,https://lh5.googleusercontent.com/p/AF1QipNeWL4eZmvCwYsQVrS_oo6fl7n2IcQcRgyATiaY,,,,,,,,,,,,,,restaurant,El Salam Second,Breakfast restaurant
El Madeina El Monawara,"5CPF+6J9, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4645442",not available,Not available,4.3,12,Cairo,https://maps.app.goo.gl/wddqZ4SHnskAZr2VA,not available,30.186188,31.425312,https://lh5.googleusercontent.com/p/AF1QipOTYV-ZfDcYE4hlTWC2qmgHUnDkBtECeZdSdiC8,,,,,,,,,,,,,,,,,,,,restaurant,El Salam Second,Restaurant
Zamzam,"5C86+87W, El-Salam, As Salam Ash Sharqeyah، Qesm as Salam، Cairo Governorate 4644071",010 00399263,Not available,3.6,71,Cairo,https://maps.app.goo.gl/QuVkVxoPcvZDuozA6,not available,30.101062,31.274188,//lh5.googleusercontent.com/rDKXzzFmsH_-i_2vDiBOWgF-6h7o1MoEXyntKp8KYJl16KIZrE7BTeln_YdRNNdc,//lh6.googleusercontent.com/2Rs7LdAcvDu4O582ipHigVPel9iWuaLDg2ic2Vjltq0UxK6zTbO9cy9FlozyMt9Q8w,//lh6.googleusercontent.com/1L2P7cGTQXXhqFUo3DmUeR4VtWRBUR_sluAvZBE_Si0KuO0RwgjMjN_QSynG0lN2,,,,,,,,,,,,,,,,,,restaurant,El Salam Second,Falafel restaurant
El Rayek,"5C86+RJQ, As Salam Ash Sharqeyah, Qesm as Salam, Cairo Governorate 4644071",02 22792424,Not available,3.8,75,Cairo,https://maps.app.goo.gl/qdmLTizkRjPogJTY6,not available,29.975,31.525,https://lh5.googleusercontent.com/p/AF1QipNAQtx-i2wAcdRiV3_3h95HazVyZ9epld5RY9U-,https://lh5.googleusercontent.com/p/AF1QipPVm8qJpnDqQF7XYKFEvok_Xoau5MUb32K42dPs,https://lh5.googleusercontent.com/p/AF1QipMcppNM_0zm8BQ9p4NnrnSV4nN8CS25UIiys-Mi,https://lh5.googleusercontent.com/p/AF1QipOLW2fGHxZJdEV9aLmNaR6lHMUnN_P0OhkxFBy3,//:0,https://lh5.googleusercontent.com/p/AF1QipPGqDNCsVqFjzNXyZYnXkZ5ll1mf4sjBbIOqH9T,https://lh5.googleusercontent.com/p/AF1QipPD_daaHC599KSSJPttAsNeuapy_0sP6DgaULTO,https://lh5.googleusercontent.com/p/AF1QipNjjs7RRWAxEvlkL_QFeF596QAMBcnmm9J8tKXy,//:0,https://lh5.googleusercontent.com/p/AF1QipNT90fDyF-kTA2JflNT7i0v4QcaUdblLnCXLmg3,https://lh5.googleusercontent.com/p/AF1QipNrpaOGBx8iVzCOAb1dqwFIiBVTKUHLq8zk729J,//:0,https://lh5.googleusercontent.com/p/AF1QipOivkqCahQJkpjTNEualJtcTT1dao2IhAUN_5o-,https://lh5.googleusercontent.com/p/AF1QipPs0yk1prXProw1ySqYDT_Ryg9yJyzpmMPgf4im,//:0,https://lh5.googleusercontent.com/p/AF1QipPNl9AfykwDUmYdEcGHPmjfLB30FYsUFsMewAGg,https://lh5.googleusercontent.com/p/AF1QipPzXlGzavfLe1T23VG0zxgAOWUPJ_0m4ZderJkm,https://lh5.googleusercontent.com/p/AF1QipPUynQzJdjoxF-DI_92s-pVCxIdFS5uBdzULFef,https://lh5.googleusercontent.com/p/AF1QipMO6acDyUldFEafugSLXgaycQGWrwkxcCNdr0ZE,https://lh5.googleusercontent.com/p/AF1QipPBgz8o68meCj_FymWXif7F2Zx7khigC7dOUUaG,restaurant,El Salam Second,Restaurant
Negmet El Salam,"596W+88J, Berket an Nasr, Qesm as Salam, Cairo Governorate 4641631",not available,Not available,3.6,19,Cairo,https://maps.app.goo.gl/YRe32haXU9E8VwSH7,not available,30.160812,31.395812,,,,,,,,,,,,,,,,,,,,,restaurant,El Salam Second,Koshari restaurant
MzMz Restaurant,"٨٦ مساكن الجمهوريه،, El-Salam Sharkeya, Al Salam First, Cairo Governorate",012 81966959,Not available,,,Cairo,https://maps.app.goo.gl/B39D8mSj9WWvztHv5,5CH9+6H Al Salam First,30.178063,31.418937,https://lh5.googleusercontent.com/p/AF1QipN5xmRd3kyCA7cer9pjgRwJ0bonvYkTTDp3YOqo,https://lh5.googleusercontent.com/p/AF1QipOMWQZUfd3QQtpvoKLy02s3xzSURRlhwVqjo45W,https://lh5.googleusercontent.com/p/AF1QipPJF20wDhP1hLgnneyOnaiPnNtXZNb6C-zFT9ng,https://lh5.googleusercontent.com/p/AF1QipPUKxuemxqZG7egmFNRqjC3mbn6W4dAIOQfcvgb,https://lh5.googleusercontent.com/p/AF1QipOR0tj8uBQbPa-Jx_-GNaZlwNc6Ils4rd506QfL,https://lh5.googleusercontent.com/p/AF1QipPhimdmjoCdVzpNr2_TyVVOJajfnM1Owee7nhhV,,,,,,,,,,,,,,,restaurant,El Salam Second,Fast food restaurant
Salam Mall,"4CX9+MH4, Martial Passage, El-Salam Sharkeya, Al Salam First, Cairo Governorate 4645101",not available,Not available,5.0,2,Cairo,https://maps.app.goo.gl/QsNodZWGCEquUjNdA,not available,30.14875,31.41375,,,,,,,,,,,,,,,,,,,,,restaurant,El Salam Second,Majorcan restaurant
