Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم ماجيك,"486V+WGP، الكربة، مصر الجديدة، محافظة ،, El Nozha, Cairo Governorate",not available,Not available,3.7,3,Cairo,https://maps.app.goo.gl/fWagrB2osYq6gzc16,not available,30.112313,31.343812,https://lh5.googleusercontent.com/p/AF1QipN6ZnTrC7sEfbCeyN-X_sHmH3esw0F70Ks9IH5M,https://lh5.googleusercontent.com/p/AF1QipN8VXzwuvVUGEKcOhKhjJWcq7X2FkJIxG_9e-sq,https://lh5.googleusercontent.com/p/AF1QipPr2fmKc6g-Z8zfCM1RnY74IyBrtA2CYNNY_8dF,https://lh5.googleusercontent.com/p/AF1QipMIiNH3ITa12LWpQmwBPQsiCssFbZU1mkObgEZC,//:0,https://lh5.googleusercontent.com/p/AF1QipO_6hJHz5MrGXy9v1HG9L3V-UF4f7Id9S8JU4oG,https://lh5.googleusercontent.com/p/AF1QipM0Aazu-1c0OmO_sMxFuUloTddCXbyPIV0WRpKj,https://lh5.googleusercontent.com/p/AF1QipP_pkaYyIU29QCopkOFsrChjNhjqhxvyboK5rwR,//:0,https://lh5.googleusercontent.com/p/AF1QipN0c5WlHotiVGf2DVDlSHdd3HVVMjL63Ma8eM2s,https://lh5.googleusercontent.com/p/AF1QipPiR_p6WZSps56jhtFoIWOJDAmBKGt5-w7v13Mp,https://lh5.googleusercontent.com/p/AF1QipNWr_9eyR9lvA1X1nkF74c7IqyAN1DD8_-17qVG,//:0,https://lh5.googleusercontent.com/p/AF1QipPIB11L69Qt7oHirnXAc8cmw3TECqTvk5tRXNgw,https://lh5.googleusercontent.com/p/AF1QipMGvWKygACruqjmk8MugmZ6tZGRvgqyLoOUpH0P,//:0,https://lh5.googleusercontent.com/p/AF1QipOjPbhSjCJkTNWAvX6HIlrj_WX8Qy-GuLJ0f7zm,https://lh5.googleusercontent.com/p/AF1QipOsPJmemPhzPXrKQC3ivcySeokHlj2DVzdMN2lu,https://lh5.googleusercontent.com/p/AF1QipN66Mz1-RgHXE4DFc5HcSFceN9yyMYzc-ayLwsO,https://lh5.googleusercontent.com/p/AF1QipOw3LJ_Rtsmm6CA0T-Z_cZEtLGnKDUjhusEdEIB,restaurant,Heliopolis,Restaurant
The Petit,"69 Abdel Hamid Badawy St., Al Matar، HELIOPOLIS, Cairo Governorate 4470512",02 26224000,Not available,4.5,46,Cairo,https://maps.app.goo.gl/rCJTBCpX7USawwi86,"48FX+J5 Al Matar, El Nozha",30.124063,31.347938,https://lh5.googleusercontent.com/p/AF1QipP4ELjTHsZKkM_Ic843Xn5gVYPbwSNZr_k6EVGr,https://lh5.googleusercontent.com/p/AF1QipPFLUY_elB6q2NSkmZkgKuwe84YoPF65k92Ddn0,,,,,,,,,,,,,,,,,,,restaurant,Heliopolis,Lebanese restaurant
Sushi Zone.eg,"100 El Hegaz St, Al Matar, El Nozha, Cairo Governorate 4470342",012 21992911,https://www.facebook.com/SushiZoneeg-104381554708179/?view_public_for=104381554708179,4.0,6,Cairo,https://maps.app.goo.gl/bGWFPxzWgQun1Yd37,485R+VC El Nozha,30.109687,31.341062,https://lh5.googleusercontent.com/p/AF1QipObHhXYaowJ8H4Sq3w_bUL7jj2YTdObYD9SF1Md,https://lh5.googleusercontent.com/p/AF1QipPhQ160CsKRb4dk74iKE5_bd9MzIJZBnZDzEuVj,https://lh5.googleusercontent.com/p/AF1QipMXjI2z-Z2Vv_XXUsNrFlJc8e3dovB3_4hNefBB,//:0,https://lh5.googleusercontent.com/p/AF1QipNRowSI-TVI7nxfgw2n0c7kxTw39fMg7McpOhnj,https://lh5.googleusercontent.com/p/AF1QipOHkapmVnmJr4AJ7eqijIqDM8W8mP_tiA2q8NYl,//:0,https://lh5.googleusercontent.com/p/AF1QipNuakc4nEWH03KgazFYusO8jq8d5lIJvNcDB3c-,https://lh5.googleusercontent.com/p/AF1QipMTr9o19O-XpOt3BRQAPe7_P5DjWR-EshYtQln9,//:0,https://lh5.googleusercontent.com/p/AF1QipN4_i2j3m-2axVVUa32lVjSvm0Gwi1udKDPC8QD,https://lh5.googleusercontent.com/p/AF1QipPJ6GhzGR-ysxrWGuHS5zZl2v7BAZ7t3Sd9zqhl,//:0,https://lh5.googleusercontent.com/p/AF1QipOG3hOhplUJJew2wSvwY_NqyAwsyhmwufgcLVPs,https://lh5.googleusercontent.com/p/AF1QipMaexD55IKO7OyFKjvKp99r2ig9Sxypcelf5tgL,https://lh5.googleusercontent.com/p/AF1QipMnm7WkqoCS_vTMkRF4H2g-rm5PTBj4lXmVBpWO,//:0,https://lh5.googleusercontent.com/p/AF1QipOToWftczJ8M0a1IBD8vRdKGq8ozvtVyPFRua-Z,https://lh5.googleusercontent.com/p/AF1QipPZjcuFMY8PpL-rz0wOWoEOYDcN9bCPB5CvyJru,https://lh5.googleusercontent.com/p/AF1QipNMLOEmbB4dhkVsoZOh04-QIOXuF4RQbPNwezC8,restaurant,Heliopolis,Sushi restaurant
"Ta7t elkobry تحت الكوبري restaurant &cafe @ heliopolise, ميدان الحجاز","74 Fareed Semeika, Al Matar, El Nozha, Cairo Governorate 4470703",012 79900754,Not available,4.4,118,Cairo,https://maps.app.goo.gl/rpoEw3jsaK3ecwmG7,486W+5M El Nozha,30.110437,31.346688,https://lh5.googleusercontent.com/p/AF1QipOhvZz5ohwWn_UTcVtaWH6YnbQxoCmfTkespNXS,https://lh5.googleusercontent.com/p/AF1QipPU6a5X68rQZ2qQRMe76iu8825HovY0iwq5hxSz,https://lh5.googleusercontent.com/p/AF1QipOv_vDUPGmkD30M6rqI5HE83LsDKX0VgyPbMfkm,https://lh5.googleusercontent.com/p/AF1QipPpNvzTo37xYY4VTAcV5UrJ9PGwLhtyABA5WLBq,//:0,https://lh5.googleusercontent.com/p/AF1QipMUYP2BRFrq7u_qFcckMeo8vVYzaGQv1S872uKZ,https://lh5.googleusercontent.com/p/AF1QipNOIXbOIo6cdK3JC7fULjE0ztKaj24nDiX1LNIO,https://lh5.googleusercontent.com/p/AF1QipOy2nQt__o2rnGgvltOA0tcTKPEZ-O7EP2MFQxU,//:0,https://lh5.googleusercontent.com/p/AF1QipNDzpfhaAd5FFAt7Zcjm-g_Hi8fH517HOaWU-T7,https://lh5.googleusercontent.com/p/AF1QipN3wpnZqLgFQt-ySryMOXoKIVIHigI4EniRu1lZ,//:0,https://lh5.googleusercontent.com/p/AF1QipPjAHWNKdIaGZnfkCQB1x4ZRCB803PPYs1NpovC,https://lh5.googleusercontent.com/p/AF1QipPRqSO9f9a9MDlFvWNMi_n1O8bxwcVX-2H_ViIS,//:0,https://lh5.googleusercontent.com/p/AF1QipPBlYM9WnBApQDUwP4DzFzzP1tIrn2CFkXmetAE,https://lh5.googleusercontent.com/p/AF1QipNGJKksp816INrbsm0EleSCDlkfYvUMWCKKUViB,https://lh5.googleusercontent.com/p/AF1QipPkzuasOwH5ww8u-Qf3vs1US57KoYS3Gz-m7be7,https://lh5.googleusercontent.com/p/AF1QipOWvnmGzQqmnFO30qq-_P06y8pUbCRcZkI7isjf,https://lh5.googleusercontent.com/p/AF1QipOLq6TR0GdqK4PUZSqDQ72OXocaGsxPaUlin2r4,restaurant,Heliopolis,Family restaurant
Pinchos Tapas Bar & Restaurant,"58 Beirut Street, Heliopolis, Cairo Governorate 11341",012 22193134,https://www.facebook.com/pinchos.cairo,4.2,179,Cairo,https://maps.app.goo.gl/hU8ob2yxoXwKWmVYA,38VH+47 Heliopolis,30.092813,31.328187,https://lh5.googleusercontent.com/p/AF1QipMkdfewfKgnGksdDF2ikg4vHnbCDz2HCIXVqTv3,https://lh5.googleusercontent.com/p/AF1QipPXQRbqfa2Q7sH1gT7Vs24UOU9bPPqmcAelYwHa,https://lh5.googleusercontent.com/p/AF1QipM3ud0wIPFvCt80LdYq-cWnvcV0OIpb8-ZlAD6e,https://lh5.googleusercontent.com/p/AF1QipPzz2sfXSMbrZ_vRIpymfwhZFgazATmEyPrbGd3,//:0,https://lh5.googleusercontent.com/p/AF1QipPOG8Bq3TTqhqKUAOV3TEUUfl21GJzH8SK0DxFx,https://lh5.googleusercontent.com/p/AF1QipNqiMVMr40BYh80J3uO9gR7XLkbznvpYf7ywuzg,https://lh5.googleusercontent.com/p/AF1QipP-m1vsnS8rdVspzHJfxlrmISZ3NB_0qX91M7CQ,//:0,https://lh5.googleusercontent.com/p/AF1QipPIl-eMakY-VvntHwhPmUbsNJ_atHX_2uesva1V,https://lh5.googleusercontent.com/p/AF1QipPMlPKHB4vFYVJWyUItFm03PL6wF_Ew9zm7bs__,https://lh5.googleusercontent.com/p/AF1QipMv8yzxBT05dnHOAxPz8XGiavvbMljzNdJY68Ee,//:0,https://lh5.googleusercontent.com/p/AF1QipN3t0ynpA9wZTfjRIVC7VMc6_ufx-1nV3hnHjOV,https://lh5.googleusercontent.com/p/AF1QipPFILtelluLuciZtfNgX2rGuO_htRourhaq4E_e,//:0,https://lh5.googleusercontent.com/p/AF1QipN6DmztyaAnGSlB5QRh2X7giuO15D3a4ivw99vm,https://lh5.googleusercontent.com/p/AF1QipPJEd87P9bINue-6NNzX76fXXqx3uEjmKEQSs0Y,https://lh5.googleusercontent.com/p/AF1QipMHlpNNoa3juaK7ZMpZ4h577Lh6hF1JGJW_sIdN,https://lh5.googleusercontent.com/p/AF1QipPOOheK3MlArHLHFeehnByEz7DGgsEHcDBJuenX,restaurant,Heliopolis,Spanish restaurant
La Casetta Heliopolis,"٣٢ شارع عبدالعزيز فهمى، ميدان، Qesm an Nuzhah, Cairo Governorate",02 22401555,https://www.facebook.com/pages/Restaurant-La-Casetta/635896469755987,4.2,"1,655",Cairo,https://maps.app.goo.gl/zxj3PWcvCML8sL6QA,485P+X3 El Nozha,30.109938,31.335187,https://lh5.googleusercontent.com/p/AF1QipMKHg9eAPfnzGYM703wij-q2YVdJPDNpJzKMfqL,https://lh5.googleusercontent.com/p/AF1QipP60YdLX_8wolpeGacy2piqD7DeCNrebcPCjaRd,https://lh5.googleusercontent.com/p/AF1QipNloVcwlkFnbzM2YqZMhVtvr_eVJVtN_EIQnUef,https://lh5.googleusercontent.com/p/AF1QipN8fmB5WGfoaMSLoyrJRlaAnNl37EFd0mKnwUpA,https://lh5.googleusercontent.com/p/AF1QipOEhCNfF8ISmxuVziQu0eCWl1zk3d1zgThMQChy,//:0,https://lh5.googleusercontent.com/p/AF1QipOtWDyx6geFlARMXeiy724qT-K6z31tBW_Bc11N,https://lh5.googleusercontent.com/p/AF1QipPeTRBAEPcWQNNhULNs37lq3Y22l5tqRRlDb66O,https://lh5.googleusercontent.com/p/AF1QipM1oIcLq0Z5ini1MTpFgdp6a1DdpvElm0sox-tB,//:0,https://lh5.googleusercontent.com/p/AF1QipPiScBgxRFzg4rCpCuJ4TWqnaGXBmX3p51Kceum,https://lh5.googleusercontent.com/p/AF1QipP9h0DX-Mv2hTER52FvZRRLT6ws7B8kLl0o1Rtf,//:0,https://lh5.googleusercontent.com/p/AF1QipP0iEnzlP6B8qFgfSWscfh8L3hf1XvFFWtsMy4,https://lh5.googleusercontent.com/p/AF1QipNgBZN6gwNzVyTd6BDJAkfX09yf-Sl3XGWOvNpi,https://lh5.googleusercontent.com/p/AF1QipMh0fPc67EfhZHmFKns8__yLrrxdJxy3RskM-lr,//:0,https://lh5.googleusercontent.com/p/AF1QipPlMEQgW6mapcGn5AArOjruqlAd7OLjTA9bftac,https://lh5.googleusercontent.com/p/AF1QipP_hP6rH90pJs7g180I6-NOwJQio7N_hR39v-Lk,https://lh5.googleusercontent.com/p/AF1QipOo6XJlOpMZuvI5v3n-tsVDDtinwhjeE_bKSKiQ,restaurant,Heliopolis,Italian restaurant
Leonardo Ristorante,"Sheraton Al Matar, El Nozha, Cairo Governorate 4471101",02 22677730,hilton.com,4.2,14,Cairo,https://maps.app.goo.gl/7QqoFfUVQwLyGPZ38,4947+PX El Nozha,30.106813,31.364937,https://lh5.googleusercontent.com/p/AF1QipNIGHvcgWRDzUEpES6CW38FvwA8cQiXtFiH2yNy,https://lh5.googleusercontent.com/p/AF1QipN3FgK9G2KME-S87MjvjErL4ZuGttwbQtcU9A5z,https://lh5.googleusercontent.com/p/AF1QipNWfAiRbG-tF_1-7OFFIrRdjY4U02QwPldCHEvd,https://lh5.googleusercontent.com/p/AF1QipNPi4Cv-p7g-56PTbjYnrQEyYzWq8m2LwFf7vul,https://lh5.googleusercontent.com/p/AF1QipPtOmRa94MrKCIz_U5rqTfzzkbc1FjJ0SJSXzxG,//:0,https://lh5.googleusercontent.com/p/AF1QipOn0JcxL1eqaYcJlvIr9PLOpOMb9-T8J8ave0Kj,https://lh5.googleusercontent.com/p/AF1QipPtALdjD7qejmEQNvsjK9G-IwydG7LMAW78ND60,//:0,https://lh5.googleusercontent.com/p/AF1QipM5JZt8fiOzmJ9WrzHo06PIfGLAchE9VoVu1oSW,https://lh5.googleusercontent.com/p/AF1QipORMNKZCcNbxFuAvg-DiQ8lrRi8tf10hhP1s1Fb,//:0,https://lh5.googleusercontent.com/p/AF1QipON3FaKIqf7L1lJGICaHD_8Ew7Fy1FFeXrEeR3b,https://lh5.googleusercontent.com/p/AF1QipM33IK9bWWMNKYmZ5N47FnPZd2kkKo6tG4obJCd,//:0,https://lh5.googleusercontent.com/p/AF1QipPucO_3Ier5M8v1VFPzBI-p5AUAMQdagwujZhLi,https://lh5.googleusercontent.com/p/AF1QipM5brvPzm7XodO1ytvXdxz85S69sMPVgh-Oz_6_,https://lh5.googleusercontent.com/p/AF1QipNJwgmBi0e3TlFZAifwVbQGnvQmBwNfTB9Jzsu7,https://lh5.googleusercontent.com/p/AF1QipOOjefJWXYJeSqqHmg9QXlv1_O0r2AyygL3S6tB,https://lh5.googleusercontent.com/p/AF1QipMnlMKm5pGyQgN00lEgNmnSRsa_hbVeNAqWRx5X,restaurant,Heliopolis,Restaurant
Bistro Heliopolis,"33 عمر بن الخطاب ميدان الاسماعيلية 33 Omar Ibn El-Khattab، Ismailia Square, Heliopolis, Cairo Governorate",012 00007090,http://facebook.com/bistro.egypt,4.3,"7,063",Cairo,https://maps.app.goo.gl/FYHtycSwykdsSUBt8,38WP+36 Heliopolis,30.095188,31.335563,https://lh5.googleusercontent.com/p/AF1QipNqI8noXuMaIttfc6qS653bgYvZ5syqgTD2izSG,https://lh5.googleusercontent.com/p/AF1QipN-7iyYB1lerrCjI3gobPMcx0DlJmhOgBjMVNDk,https://lh5.googleusercontent.com/p/AF1QipNXsa00vPzgMHRYpOHae-LRI7R4k-bWJtwg3Dix,https://lh5.googleusercontent.com/p/AF1QipN6yiKTjjXYRoQWnQPVgextmFkoqjsSjd73cRyc,https://lh5.googleusercontent.com/p/AF1QipN-sTRjIJK3wIf-lAWNkXrbRQlINAwls-3ys-Mb,//:0,https://lh5.googleusercontent.com/p/AF1QipPbiWKwNTsEDbXnoRqKpaDSUceXUg648WPUoBkF,https://lh5.googleusercontent.com/p/AF1QipMLa-j2WhGZulr9fd2x4kcdCw6EzXkKz7hjEZQV,https://lh5.googleusercontent.com/p/AF1QipPGsmuLFVDWyK10r-0YaGtgBRV5S4d0Qnfba4Ah,//:0,https://lh5.googleusercontent.com/p/AF1QipPt7j4-jTamiy7KgOsBJEBaJRHXJq1V-jjgd2Q3,https://lh5.googleusercontent.com/p/AF1QipOJO24q6qafBB5yCF8kpehgR5v-9Kvnv7D1P7jE,//:0,https://lh5.googleusercontent.com/p/AF1QipPalY0ryt4hREeWyz6KiR-JWG_8oBbSmJT-k5OY,https://lh5.googleusercontent.com/p/AF1QipOpg5xzQOVVxnDWnFTBuEoi4sIkNLeOnmY3jRn7,https://lh5.googleusercontent.com/p/AF1QipPUERTgU2-21femjnAc2qQqbrxt1DaSdn84mlBQ,https://lh5.googleusercontent.com/p/AF1QipNgfxZvYayynLXTFeTPcVTHl6cRkKkZrxSawPO1,https://lh5.googleusercontent.com/p/AF1QipM6FEZ9MDcU1ZJuUosByju9DV3BD2TN1Rr1MFd7,https://lh5.googleusercontent.com/p/AF1QipOm7qjFDyEOcsjej_Oe32tZdEBNe6OWbH8l13ET,https://lh5.googleusercontent.com/p/AF1QipMKluxnUl97Tk6my3P3jgl4JhcPOJy7SYv0iD8,restaurant,Heliopolis,Italian restaurant
Wienerwald 19497,"486W+825, El Hegaz St, Al Matar, El Nozha, Cairo Governorate 4470405",011 19559070,wienerwald.com.eg,4.0,717,Cairo,https://maps.app.goo.gl/x5a1NoH5UvY48Tj59,not available,30.11125,31.34375,https://lh5.googleusercontent.com/p/AF1QipNcosRxpAek0PyzZHV83qk3KhSYAKPFnmx90gEX,https://lh5.googleusercontent.com/p/AF1QipMaZeTN-lzum_N8Q8dvshDkCvAN_JUQKxSYOoIS,https://lh5.googleusercontent.com/p/AF1QipMvYpDEBwg7rTWBcPQvHhPlBYvYxnbtyrw22ddq,https://lh5.googleusercontent.com/p/AF1QipNU6w-_2BDTfAcrU4jCaz2o0D1Pz1zkfKa09Gdb,//:0,https://lh5.googleusercontent.com/p/AF1QipNmNfzareKZHMaGJaZ5uHVsl6W4i04f7oi0Pkkx,https://lh5.googleusercontent.com/p/AF1QipNu74xbZ6PN-YiuDVPKKM7NLYmxEjWBpoMzpb3P,https://lh5.googleusercontent.com/p/AF1QipMwg58QXoZfxZuQqR3Cx6bCrKyvHde3QqGjBTVm,https://lh5.googleusercontent.com/p/AF1QipMxYSxH4UcGaKd_wCdZWtU2dqBa8vCVBy5moANv,//:0,https://lh5.googleusercontent.com/p/AF1QipOl4WRWeeZvBPjCiRyEb0hMUFAmIzEm5ITjtY08,https://lh5.googleusercontent.com/p/AF1QipPryXt5Wy6hUUx1kMBodZbW_k_G-qD8RiKDsbhy,//:0,https://lh5.googleusercontent.com/p/AF1QipNb1fH2QF-ajiE4hm-Fp4SuGJMYP2f_2yaK4u0e,https://lh5.googleusercontent.com/p/AF1QipNH_rWfeHsMX1f0wyXXl3TWdlENzmHc8BJNaJyS,https://lh5.googleusercontent.com/p/AF1QipP6rRlium5FfEHWiALuJ4zbe1FnKW8XtobKGF5F,//:0,https://lh5.googleusercontent.com/p/AF1QipO13TRyallg7f89gPkiaC1D0kqcdeiXNVvYUZYf,https://lh5.googleusercontent.com/p/AF1QipNzlgyIyW7xAIGHqYD3BabDkYGnZ0Ns-3AaJnV2,https://lh5.googleusercontent.com/p/AF1QipOKMaG039yxoSHzN1Nl4LGaZXNuJlkvFlqMn3Ra,restaurant,Heliopolis,Chicken restaurant
Factory food company,"3 medan abaza Heliopolis, Cairo Governorate 11841",not available,Not available,,,Cairo,https://maps.app.goo.gl/qdXY84D2NsEPtdmu5,486V+MH El Nozha,30.111688,31.343938,,,,,,,,,,,,,,,,,,,,,restaurant,Heliopolis,Fast food restaurant
