Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
فول وفلافل بكار,"50M, Madinat Al-Amal, Nasr City, Cairo Governorate",010 10112330,Not available,4.0,4,Cairo,https://maps.app.goo.gl/QDmT6GeZiVd4EKfx8,39HJ+M8 Nasr City,30.079187,31.380812,https://lh5.googleusercontent.com/p/AF1QipNqoy7wJJWdVKkMiN20_iTaAAu-gPOn07H5jNrr,https://lh5.googleusercontent.com/p/AF1QipM-kMuYt1RxbmasL-6S3rkHVGKh5bghwWjbhg85,https://lh5.googleusercontent.com/p/AF1QipNqh2xFEtoKBN2H7vpGE_WtMhVN2MaowwOnS8DY,//:0,https://lh5.googleusercontent.com/p/AF1QipO05TUaMFdhBNztwYIoVlCecgoHWVQbmDiaIk-b,https://lh5.googleusercontent.com/p/AF1QipMpR8ix59ow8RTY7ZXDq3tkxRwYnFzrzoVjksxC,https://lh5.googleusercontent.com/p/AF1QipNZyb-os_5WCHim-7bzP-LCDOQw3_E_ATEuYBj_,,,,,,,,,,,,,,restaurant,West of Nasr city,Western restaurant
Bistro Restaurant - Nasr City,"16 Abou Dawoud Al Zaheri, Al Manteqah as Sadesah, Nasr City, Cairo Governorate 4450455",012 00007090,http://facebook.com/bistro.egypt,4.2,"3,305",Cairo,https://maps.app.goo.gl/zJadKecWwR2Ft5jz6,"3962+GM Al Manteqah as Sadesah, Nasr City",30.061312,31.351687,https://lh5.googleusercontent.com/p/AF1QipPwnWbb7C1wDIktjnMy4iWgVB3ZVRB6NrwSILK5,https://lh5.googleusercontent.com/p/AF1QipPLjB9tk9Dk9mvrH0-LL-pwKkUM4kr03e4giwPl,https://lh5.googleusercontent.com/p/AF1QipOOhC8YOxbQKOPcmDTHz-nzlwUYRPvfu5PPYEm4,https://lh5.googleusercontent.com/p/AF1QipP8cBdUC5kcBlgI9mpfJkUlS_oPie9-nMpJsdIa,//:0,https://lh5.googleusercontent.com/p/AF1QipMQORNAj_PDLmqKE4N21OXl3Qvcvc8PKrVHqmd0,https://lh5.googleusercontent.com/p/AF1QipPduYteSy_nuZYl7WlnhTyljQ4tAplOGCfn0ppE,//:0,https://lh5.googleusercontent.com/p/AF1QipOqMfclzUZujoWU18YeQK1VVcUGoGHQIl1MnaQQ,https://lh5.googleusercontent.com/p/AF1QipPD3NjOhXq0GEcQUft96miQTx4uZZq2rtT9jZYb,//:0,https://lh5.googleusercontent.com/p/AF1QipNp9pKQfcxFJ-gFvoc6WU6HdsivtlJ2WTpRhnQW,https://lh5.googleusercontent.com/p/AF1QipOTO_wIrXdIkuIfVOJYBrhz4Bgo_R53D8J-JFLD,https://lh5.googleusercontent.com/p/AF1QipPVosm5U0EcMVWK-H5B9ZcOyu_U26UtdRSUYi-Z,//:0,https://lh5.googleusercontent.com/p/AF1QipOySQpdSwO63ItEDfWiJ-7K-erP_qoDf3T8NiwA,https://lh5.googleusercontent.com/p/AF1QipOy_DGxdWOvgdNmsYU1b6OqGYyIBE61ISRJ1laf,https://lh5.googleusercontent.com/p/AF1QipNrrQTKCTGhUvQGD1SFHkp7jEK9oqsdpf32oE9K,https://lh5.googleusercontent.com/p/AF1QipMAQz3OmXrOuFeNkUvhz1-IwqQwttWti3JkXtVU,https://lh5.googleusercontent.com/p/AF1QipM1NjPXjO917IZGpMj1Xl8KDIWukfu6YBHsH-78,restaurant,West of Nasr city,Italian restaurant
Hunger Station,"386X+GQR, Al Manteqah as Sadesah, Nasr City, Cairo Governorate 4450420",not available,Not available,3.5,153,Cairo,https://maps.app.goo.gl/Caf9Yc4Noujdufef7,not available,30.061312,31.349438,https://lh5.googleusercontent.com/p/AF1QipMnwKxzVOJzrgJoRxmrm2jk6XJLucBy9HEtpt1q,https://lh5.googleusercontent.com/p/AF1QipO9BGVLGyFVmN91mC-pNoI6UsJntf9LInNN2aeb,https://lh5.googleusercontent.com/p/AF1QipMVRXB2mgtkaPwy2S7UeG7kNdcI3gywnwOJ2OfK,https://lh5.googleusercontent.com/p/AF1QipMg9YgN9BHdSqlRgv2wsMiAUmHv4aPawl2l6IGl,//:0,https://lh5.googleusercontent.com/p/AF1QipPe5S9VtSNpHwWGZZYg3XfdWZ4Hd2t-zk_aCWva,https://lh5.googleusercontent.com/p/AF1QipO8tkqMgdiU-jyl_fDvd4DLgXZ_t-o3Z-ATMkSm,https://lh5.googleusercontent.com/p/AF1QipP040PYfyqVBNz5HtkEFfUeOarnWdTBiEZ9kebw,//:0,https://lh5.googleusercontent.com/p/AF1QipPlLXZs8s1ZYt12FmPMSh8yjGWkMnHWyd_eQt-b,https://lh5.googleusercontent.com/p/AF1QipMqaTrsRNIiG6VrsMJ6wbwq217X7VVyCbmrSlOq,https://lh5.googleusercontent.com/p/AF1QipOt72MtSJOKqjQ7N1TttCoJADz1OaXnbA4TPofi,//:0,https://lh5.googleusercontent.com/p/AF1QipMsPz5OMcl8w1trR7U641Sd-iNwhXV3_0CgM9Jv,https://lh5.googleusercontent.com/p/AF1QipOHWtrc5VCqTW_ZJJqp7mm92PyqWShDUkT4P5IY,https://lh5.googleusercontent.com/p/AF1QipPBKnCuy3grNCN-HrN5ks1DRQ87VJNRrpvjAWU-,//:0,https://lh5.googleusercontent.com/p/AF1QipOHJzVOhzOgZdwZ8v5J3P5ch5UzHvFxyRnYm2bO,https://lh5.googleusercontent.com/p/AF1QipNtYm5fJ9A240ETYdeTQ6p4s65JZJ3lFU-KnqUe,https://lh5.googleusercontent.com/p/AF1QipOIOz3nexHK2urtw6ZrLuDPhvBzdEKifuGkgIl9,restaurant,West of Nasr city,American restaurant
فطائر وبيتزا المتوكل,"393X+M26, Al Wadi Al Gadid, Madinat Al-Amal, Nasr City, Cairo Governorate 4456021",010 16903658,Not available,4.0,11,Cairo,https://maps.app.goo.gl/Du51J8KtfLikySKM7,not available,30.055312,31.397687,https://lh5.googleusercontent.com/p/AF1QipMVJsivVHHeZU1qO5I2EOUDnHOUrOaQDHIp_oCj,https://lh5.googleusercontent.com/p/AF1QipNddqClbKWe1D-eOR_isfWW9f6jtSpIdUzmLOA0,https://lh5.googleusercontent.com/p/AF1QipOO0qqC2H9tPL_1FMmjbhn_Z42e3poe-GVX2ph9,https://lh5.googleusercontent.com/p/AF1QipNEXyDTMqHflcihCTfZiviXzo5cDQF0qd-L_PV2,https://lh5.googleusercontent.com/p/AF1QipM1iRJbzHCMrUI39FVmbqwVK3PA0UvW-YF9ljcI,,,,,,,,,,,,,,,,restaurant,West of Nasr city,Pizza restaurant
Ebn hamido fish,"21 Hassan Aflaton, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451730",not available,Not available,4.6,48,Cairo,https://maps.app.goo.gl/rLbif94nYpjHEYTQA,38HW+7G Nasr City,30.078187,31.346312,https://lh5.googleusercontent.com/p/AF1QipP95Fu1ugYLLXmgQT6JfD_j37xrbvfj8U7wJeb2,https://lh5.googleusercontent.com/p/AF1QipNky9cuQisujJ6ukExVfX34E32t3XDzQp62EObE,https://lh5.googleusercontent.com/p/AF1QipMj07f-7oaJ6DHEweRd4czFw4yEX3omgE22GdCc,//:0,https://lh5.googleusercontent.com/p/AF1QipOfQPjhA5CRwrsCFz71Sg32YyqCVnurOO7X0L8I,https://lh5.googleusercontent.com/p/AF1QipMYOXx0niLHz_JxuCk2Kz9f3IavNRHszrVrONEF,https://lh5.googleusercontent.com/p/AF1QipNm3gCl68yDRdOUjYN6fALFi7iCQHwzBvW_DnmG,https://lh5.googleusercontent.com/p/AF1QipNrJeoL-4IaLFgQ7RQWAtr7r73ot6_TUweb0SIW,https://lh5.googleusercontent.com/p/AF1QipNIT1eCfFqEwm1q4efGYZDMOGwmkE2rPrPhphID,,,,,,,,,,,,restaurant,West of Nasr city,Family restaurant
مطعم صحن الشام,"عباس العقاد، تحت كوبري البطراوي - عباس العقاد - مقابل شعبان للملابس، 387Q+23 Nasr City, Nasr City، القاهرة",010 09901212,Not available,3.1,13,Cairo,https://maps.app.goo.gl/ci3gRqTyM1JVK8Qb7,386Q+Q4 Nasr City,30.061937,31.337812,https://lh5.googleusercontent.com/p/AF1QipPpzltB1ALXtKLMtbvGULeCJtg6ZZFybpGEA6Vf,https://lh5.googleusercontent.com/p/AF1QipOq2Z2bdynjy0E7zQ_zgYeoauLW9n11tKc0h3xH,https://lh5.googleusercontent.com/p/AF1QipOueDce8f31uD_jm1dJZHSZuoONwluDfYa897tn,//:0,https://lh5.googleusercontent.com/p/AF1QipO4hTrgULm2YcHFqJhqnAogYEY41S0_F10DeQpC,https://lh5.googleusercontent.com/p/AF1QipNsR-RiO3NvCzyie4J2STlvroe9FAkKYN98c3aC,//:0,https://lh5.googleusercontent.com/p/AF1QipNdEGampgkjJAnXV56IYB6ZL4i2wImhzplPrfaS,https://lh5.googleusercontent.com/p/AF1QipNTNiH_UqXU9dpUUajXGwziUn-dYpTYMZVlLwXW,//:0,https://lh5.googleusercontent.com/p/AF1QipNb8NVtdHuYB5MieoY4X0qBHUOVfD70xOSNe1Ko,https://lh5.googleusercontent.com/p/AF1QipNMx2vh-Fcy6cbN-ucsWV5aAyzPranmzG1Hg8wY,//:0,https://lh5.googleusercontent.com/p/AF1QipPm2cxgEx33-XfQKT-aI8xur5fhwyqcZOpcTLW8,https://lh5.googleusercontent.com/p/AF1QipPUzS2CRlRjOf5spdjvQRbI_R2ONekXiIQIw0uZ,//:0,https://lh5.googleusercontent.com/p/AF1QipOPie993BKrC1bqoFWvjCcoAugrIR9syQA8uIAd,https://lh5.googleusercontent.com/p/AF1QipOYJOowI2va1_uSuk42qFWn-TrU2pigyUOw0l2U,https://lh5.googleusercontent.com/p/AF1QipM6m6mduGdAWtwM6VQeVBnKGJcHgSe95HIl6cHJ,https://lh5.googleusercontent.com/p/AF1QipO8oq9AUnaQVLdTN6qmpFIZf10vN9I_Q29XiiC2,restaurant,West of Nasr city,Family restaurant
Flame Western Restaurant,"116 النبوي المهندس ١١٧ شارع الشيخ طة الديناري ١١٦, شارع الدكتور النبوي المهندس, Cairo Governorate 11036",+971 54 712 1762,business.site,4.9,37,Cairo,https://maps.app.goo.gl/RPKxJVdG3zLPnHU47,28QQ+38 Nasr City,30.037687,31.338313,https://lh5.googleusercontent.com/p/AF1QipPIWoJkmvEMYdkOe3SYSCQMI5EO_7CGX1pOc0SU,https://lh5.googleusercontent.com/p/AF1QipOx0-6Bdv4ru0NCJ7JFXUmpjGjJGGToR-s-Axkk,https://lh5.googleusercontent.com/p/AF1QipOCeOpLlBonFDYrEgiLbFmQjnywpH8NGB8fwHJI,https://lh5.googleusercontent.com/p/AF1QipPdcWLUlsyjdpoZiAWFVRf60sz0eYuJjY5R--aD,//:0,https://lh5.googleusercontent.com/p/AF1QipMX7B7hn-JcvoOhDcjLgkXb7Ut1D-SsA9J7SbSW,https://lh5.googleusercontent.com/p/AF1QipOUgga_hmUC_vtmbqHhZfB6KXFdE5q7nV0VK6ik,https://lh5.googleusercontent.com/p/AF1QipMLi4dwN95S5TWsP9DTM8SNnU9rSV7cvHwLUbU,//:0,https://lh5.googleusercontent.com/p/AF1QipNZJ3iWWdWVceDNFq1XT6kMxQCr46L_IM8mQ4Vl,https://lh5.googleusercontent.com/p/AF1QipNbz-3bMkeJ-S63lRiYWTC2XV86NOJx9k4rQX4q,//:0,https://lh5.googleusercontent.com/p/AF1QipNUtaFzhG2-HqCp0FoMIC4Yw7wrBaNsMMUigde8,https://lh5.googleusercontent.com/p/AF1QipOr09gQY5iDcdXuGl5s15oX8EUG8Ad1vyzsmyuA,//:0,https://lh5.googleusercontent.com/p/AF1QipNY6H8waswQCY3bBpJctYUPA2K8QHltgxqvuPs,https://lh5.googleusercontent.com/p/AF1QipMbXY5CSk1KoXYmrB0m-Xc5iHX7uhsz5PBoWp-n,https://lh5.googleusercontent.com/p/AF1QipO4PHuo5-0GTgwkZSit-RrFWPDM09FU-AiJL5XZ,https://lh5.googleusercontent.com/p/AF1QipMG4jSUABUxHRJAT1QR__NbMSvBpQS_7wsTiJkF,https://lh5.googleusercontent.com/p/AF1QipOHOwoLN9d3wc83AdjgWRUSrJ6jyYwMyPEE8Mml,restaurant,West of Nasr city,Restaurant
Baet-Safa بيت صفا اكل بيتي,"٧ شارع عباس العقاد،, Nasr City, Cairo Governorate",010 63698835,Not available,5.0,3,Cairo,https://maps.app.goo.gl/gtGKN6nmdBH1rTcC6,28XQ+FV Nasr City,30.048687,31.339688,https://lh5.googleusercontent.com/p/AF1QipMc-0K2p8a9qi8107WKQPexmTLhSpCSafWPLk1N,https://lh5.googleusercontent.com/p/AF1QipOswCf0MR72Iu2v4bhS6BhGbVdsrOxxf5KNihR2,https://lh5.googleusercontent.com/p/AF1QipN9bIoDSMEW9laBa7L7UqNtrp5wg2-GZaFIVfHm,https://lh5.googleusercontent.com/p/AF1QipPQiar9h1aVN4583DfIV6La-m4Gc6Ayu10Ltwal,//:0,https://lh5.googleusercontent.com/p/AF1QipOIt6kuujynatNB1pHfL_6DJ4TTm3bmXXPo8GsN,https://lh5.googleusercontent.com/p/AF1QipN8wJn_x3ZOEfG24vQg8vsRHvdi-ANSs1Tn5TjA,https://lh5.googleusercontent.com/p/AF1QipMpSnLzz71bvnQ0CIRb42Dv4Fb4nKOwqZYEO7vc,//:0,https://lh5.googleusercontent.com/p/AF1QipMYW6R4GUYbm0kqtKRtpA04wxcRL4x5aNUAi0Ws,https://lh5.googleusercontent.com/p/AF1QipOCaSjqaWPpn1Zef1JyM2qYB1EK14WAqD25Lzos,//:0,https://lh5.googleusercontent.com/p/AF1QipNtZrUcITkROxHAGuk4Ddsb0XK5rmwNJ9nPAp2O,https://lh5.googleusercontent.com/p/AF1QipPpY95YzoSoEeHLz86tMWKpRd5Q9Vs_HNnXCFLe,//:0,https://lh5.googleusercontent.com/p/AF1QipOUfCmz1HH58iBV32M720U6glJYDK4qmCR2yKX8,https://lh5.googleusercontent.com/p/AF1QipNbdIsop4Lux9ma04G8N5HQddiuGwJRqwZkdh-5,https://lh5.googleusercontent.com/p/AF1QipPzh53FlFctja3inSAZKLEoQOruzvx1Z7j4xiP5,https://lh5.googleusercontent.com/p/AF1QipMTkOcZm_gcwiUExFwsKWXJLn2gtMUouDtg7v_e,https://lh5.googleusercontent.com/p/AF1QipOI2QdhDYwrbkobez-MJ8uwPU2aFvV7O2nf-0Iq,restaurant,West of Nasr city,Family restaurant
Mam's kitchen,"3928+82P, Al Asherah, Nasr City, Cairo Governorate 4442416",010 02449124,Not available,,,Cairo,https://maps.app.goo.gl/jNm8YLuLTEy3va8HA,not available,30.050812,31.365063,,,,,,,,,,,,,,,,,,,,,restaurant,West of Nasr city,Family restaurant
Limozin Restaurant,"٢٣شارع الخليفة الظافر،, Al Hay as Sabea, Nasr City, Cairo Governorate",011 44444974,addarea.com,4.3,"1,973",Cairo,https://maps.app.goo.gl/bAZCsT7ijHHdP2AK7,28VG+P2 Nasr City,30.044313,31.325063,https://lh5.googleusercontent.com/p/AF1QipNuqMTnlEQ7ilPFBXDX_qEaGnzJVHECP4ZS6mRP,https://lh5.googleusercontent.com/p/AF1QipNZZgpLK8yHmGCwXdqoCvjqzIVac1E3VtWPOXwI,https://lh5.googleusercontent.com/p/AF1QipPfilU_bj4NpB3rX6szWI3W17SvEVi1ofi_P3JX,https://lh5.googleusercontent.com/p/AF1QipOWRHGr2cqS3ep40t7HaQNu4kwFYGBHQqsQ3OtR,https://lh5.googleusercontent.com/p/AF1QipODLOuzUbDxadN_UnlloPr75I-1L8aEn_wiJ4TG,//:0,https://lh5.googleusercontent.com/p/AF1QipORk4GvxOnB0n0xnWQj2XrLlShUAVsAeGTdqbgy,https://lh5.googleusercontent.com/p/AF1QipPIqwQQOeb1SHl8UeH9-Ohjgsd6SUhUctdUHJnf,https://lh5.googleusercontent.com/p/AF1QipPK5OlrLGEDVYzS0IZV1c-hkNslmBq-UnMPDi7m,//:0,https://lh5.googleusercontent.com/p/AF1QipNXcwJPIW_C4uQTcAbAVyZckoP3048cNfDmHXZw,https://lh5.googleusercontent.com/p/AF1QipOWbxeOywS04rtUCixyUMTw7LCOBYfq7RtFqsUO,//:0,//lh6.googleusercontent.com/x5FmhR4xxI61kTgMoWjGMCk30A259LCdQJWmLJ1Mr9EZxL-s5csZubF0kBikRR4y,//lh6.googleusercontent.com/XWDtKFdyTJ2PYUtCdLGjH2JknTEoN4a5sxR7iYYLmTBi_2jkKCbfLBe64A0QDrfIDQ,https://lh5.googleusercontent.com/p/AF1QipP4smPV2zk_NAP5VC41_6s88t8tZFNWBNA9K3bn,https://lh5.googleusercontent.com/p/AF1QipNH7zrONRvR3CImP7FoKjwmtwO1-cOHbmguHyT5,https://lh5.googleusercontent.com/p/AF1QipPINw0MgN8vo-r5zj5a5vrfdZaC3BUvZrnU7NPy,https://lh5.googleusercontent.com/p/AF1QipOImWVwg6TeJZ-Zcpuv9sCQh2b3-nt51uNNB3Cj,https://lh5.googleusercontent.com/p/AF1QipOTxjzV7_ZHXfvsEWU_ZePKis6-WrqbxGbe_uAs,restaurant,West of Nasr city,Egyptian restaurant
