Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Castello Restaurant,"Mogawra 18 - Beside ALBO Pharmacy, المجاورة 18 - بجوار صيدلية ألبو - أمام مدخل المجاورة ٢٦ الرئيسي, 10th of Ramadan City, Ash Sharqia Governorate 44629",055 4494677,https://www.facebook.com/CastelloEGIT/,4.2,699,Cairo,https://maps.app.goo.gl/r5shgmxJJrUFWAVp7,7QP6+MG 10th of Rammadan Second,30.286687,31.761313,https://lh5.googleusercontent.com/p/AF1QipMLuU7lv5LXtDrzhLNpzicHcQo-n63daNgFBoT8,https://lh5.googleusercontent.com/p/AF1QipNoQlBJge4JbDi-_FHiQ2LzzDc52cleg_r6pO-T,https://lh5.googleusercontent.com/p/AF1QipN_lkrbvkeoFprHobjd49Spvm68A0eZe2BYzisI,https://lh5.googleusercontent.com/p/AF1QipMMoDUMHVCnM5RJctouOtXu5AfYrtTsxz5VXJap,//:0,https://lh5.googleusercontent.com/p/AF1QipNirwCuKYpq8xU_H79_gHfU-AcaL5SfJaRxo865,https://lh5.googleusercontent.com/p/AF1QipPt6_CLO9dego6Zxmf2vXEf3mcIA-SImRG-AIF3,//:0,https://lh5.googleusercontent.com/p/AF1QipMwAHKj2LxwettnWubAeFGtOfwR6_59BIsV6gHo,https://lh5.googleusercontent.com/p/AF1QipMRCan-K_fjE7z_r2XCXSzOvkZobW0lp3Z9SMHn,//:0,https://lh5.googleusercontent.com/p/AF1QipOzvBG8StTtaWExFlilfvbLemmqTa_7YJn6z7zh,https://lh5.googleusercontent.com/p/AF1QipMllkVJwyuDU0k4WEhZx2VMlJgSLkG_S_6vtz0-,//:0,https://lh5.googleusercontent.com/p/AF1QipMHmdyehjep4xxBpFjAtKQDo3qoKnvSGDuXjCLE,https://lh5.googleusercontent.com/p/AF1QipO2ZtvZv6xzlwutoyLOglCHKnFOB-zFmIy4CZ73,https://lh5.googleusercontent.com/p/AF1QipMi1FcuXpxEXuq2aeJZpq2PpMK7W1AqW0swzg-l,https://lh5.googleusercontent.com/p/AF1QipNqSZ668uTiVOR3hfCsHus4gx5jUtAF7_YqsBFX,https://lh5.googleusercontent.com/p/AF1QipOvzAL4t-zG85m6jyjgeVqrm4vQYp0IKxUHVjdp,https://lh5.googleusercontent.com/p/AF1QipM9N2jf5833Y8VhAQz49vvixiiwSI8R2YMwWKqF,restaurant,10th of Ramadan,Italian restaurant
Crepe house,"Near 10th of Ramadan City 1, 10 th of ramadan, Al-Sharqia Governorate 44634",not available,Not available,3.8,8,Cairo,https://maps.app.goo.gl/VTPx4BTU5r8oWWmn9,6PRG+V7 10th of Ramadan City 1,30.275,31.725,,,,,,,,,,,,,,,,,,,,,restaurant,10th of Ramadan,Restaurant
Wild burger 10th of Ramadan,"7QW4+G23, 10th of Rammadan Second, Al-Sharqia Governorate 7065240",055 4358455,business.site,4.4,641,Cairo,https://maps.app.goo.gl/iJGmVhJHuTD4njwp7,not available,30.296312,31.755063,https://lh5.googleusercontent.com/p/AF1QipPF8u55d6IhBz4cVLbOX1k7rgxMQlHuIbIbbsvS,https://lh5.googleusercontent.com/p/AF1QipP1DxrGMjBY1Ujw15Q8T5aGisJbgGROIcGsoZcK,https://lh5.googleusercontent.com/p/AF1QipO-Bo6C9cs1FLlpsXOeIR7JI7wC877XdJn4M1iB,https://lh5.googleusercontent.com/p/AF1QipOA-i3iywGNWnnav4jsbxr64XzQFftjlaeZFRnY,//:0,https://lh5.googleusercontent.com/p/AF1QipOHu06cUhwFVMBnptuMX7iR5BuCQpHv5COox2pT,https://lh5.googleusercontent.com/p/AF1QipMIMWuxERQj2Kn4XT-5FhJKn7mIbs0fXzpVWNH7,//:0,https://lh5.googleusercontent.com/p/AF1QipPGc7kDHIeHBOeQQbPJJYQOodrrxImZ_KG4hYwI,https://lh5.googleusercontent.com/p/AF1QipOd2UDrhVVHg8q-B2junhR8jGRtO2Z2WJ9k-Nl9,https://lh5.googleusercontent.com/p/AF1QipPS8z0ZAIcSKEid7P3AlQcQLjYawVerO_SLKp_I,//:0,https://lh5.googleusercontent.com/p/AF1QipNfpFW9v6DJ04XuNpDYxFMa3GGPMJo0_DLq-dZb,https://lh5.googleusercontent.com/p/AF1QipO5bFA6pbPX9s-oKeFRwyW-yUtigerWONFdJLCa,//:0,https://lh5.googleusercontent.com/p/AF1QipO-vpuKKMaUwxQSduADGlol6gu3I0Kbd6FpUHgT,https://lh5.googleusercontent.com/p/AF1QipM0tbncYLrrBBxwlNlXJ7p46a6qBLOAfA0kXHvC,https://lh5.googleusercontent.com/p/AF1QipP3TvJNPZSgos5RNSvqQi27kWyrQk5IxQKn_FzX,https://lh5.googleusercontent.com/p/AF1QipMs575YRTNWN8av6RR7g0_jzr9kh7laAXyu-hnr,https://lh5.googleusercontent.com/p/AF1QipON_b2HCWuNolJTHsJnKFd1x9-oWgf7Bf5nxH_c,restaurant,10th of Ramadan,Restaurant
Amazon Cafe,"7PWV+WGF, 10th of Ramadan City 1, Al-Sharqia Governorate 7063111",010 29070300,Not available,4.2,"3,066",Cairo,https://maps.app.goo.gl/duKNdQULJ5iK8dX36,not available,30.297312,31.743812,https://lh5.googleusercontent.com/p/AF1QipNufDkItIb0tk8nv9LWY6frxMSyKYiCdX3ebYFs,https://lh5.googleusercontent.com/p/AF1QipM8srs7hFZ6QOtcqpQ4D7GqQf3uqE7nrtq_xF0o,https://lh5.googleusercontent.com/p/AF1QipPciAzoiP2rDdDtDeVfQ9pnemgmxEYSIlG7fHo7,https://lh5.googleusercontent.com/p/AF1QipMjCLh0G_RuqXiGaCfNzu_vhn_BL2_-rKN8PTlN,//:0,https://lh5.googleusercontent.com/p/AF1QipNzSe_KYPns0Nesc4MLQmM3vAKlOgMEAiyoTo60,https://lh5.googleusercontent.com/p/AF1QipO48WEa05rZVkBwJszlD2eOGa7t1UdSWZHT5YFR,https://lh5.googleusercontent.com/p/AF1QipO4ASLDiNIGYjMHOcEEaJfBN2kxf0FTjfpmgiP4,//:0,https://lh5.googleusercontent.com/p/AF1QipMaOEBQiWgQPB-qwVwEYmzSJEQXHgAK5X4gA_jc,https://lh5.googleusercontent.com/p/AF1QipNDKxl5526thmqKa4JxLS4qDSZev7sEx2cRMv0s,//:0,https://lh5.googleusercontent.com/p/AF1QipNtrb3ax6ahcOumVQ0E_ywEjKzdDusJx3zUPonQ,https://lh5.googleusercontent.com/p/AF1QipNLOg85okIampPQ_Nj3KTk4AQH-1jy5lxvM9IdX,https://lh5.googleusercontent.com/p/AF1QipNtHhooiUHBJZs4z-M4hO--itbuHDqsw4i1OT-E,//:0,https://lh5.googleusercontent.com/p/AF1QipM8-yspSeG2WAerDYNmPzu8YBk7sXFMpVSHpzJZ,https://lh5.googleusercontent.com/p/AF1QipOZp5Ya0PFEfjHGseAgqHmQ2IY-NXcDx7TrSbNs,https://lh5.googleusercontent.com/p/AF1QipPOhEVjuwkvzpYeHRbgqQqQO4yj5YIODID2jwg,https://lh5.googleusercontent.com/p/AF1QipOung3rWgK7ZZ1Sk2nLaVg3UlBgqjcOp-PeJ0-l,restaurant,10th of Ramadan,Restaurant
GRAND CORDOBA,"7PQX+4FM, 10th of Ramadan City 1, Al-Sharqia Governorate 7063124",011 10147111,Not available,4.4,354,Cairo,https://maps.app.goo.gl/ELneF1q8Ld1W7VCRA,not available,30.287813,31.748688,https://lh5.googleusercontent.com/p/AF1QipNInVNVDWdP1p8afq8h_NqqzvlUObY5kD6MwYSV,https://lh5.googleusercontent.com/p/AF1QipOISS1v_AASR0WMB_t9HZ8lKOQlpsGBYWfwoC-Q,https://lh5.googleusercontent.com/p/AF1QipOt_1m2ZR8QkZXanIDNN4nmyHEYj5PCH3Sz-eT9,https://lh5.googleusercontent.com/p/AF1QipPRav0ERxz-ScREZ86Wa8Q4wmrxfBjDIKE5U1xz,https://lh5.googleusercontent.com/p/AF1QipNfoeT61qO4mcx-YMEpFIcZMQl8ScDw4khlnRKU,//:0,https://lh5.googleusercontent.com/p/AF1QipPvUhWp6u6wz1mz3uW3iWxVcz-ybEDOG4CVmXCb,https://lh5.googleusercontent.com/p/AF1QipMepxIoyIkxtya9ANgvoY0Wa7qLegtekzzFqoEA,//:0,https://lh5.googleusercontent.com/p/AF1QipPz9VMMW0iGiMddFH95KLqiCm_VsbVPzNjnrPme,https://lh5.googleusercontent.com/p/AF1QipPQq2BP6xw7F6-8yLD2MLrC-ZttyVBC0BM2Ngxa,//:0,https://lh5.googleusercontent.com/p/AF1QipNSL5xzhPtMYTZBOx8fsXFtzmqsFpXwfcLkqmqf,https://lh5.googleusercontent.com/p/AF1QipOlVlpyaXv-kfebYu1dugJv8u0hwtJ9CQYzBSeR,https://lh5.googleusercontent.com/p/AF1QipOEMCsyy9eLkBPiAemG2sbOjF-r6yTIbpDk1zp7,//:0,https://lh5.googleusercontent.com/p/AF1QipPoqOYJ0WZq_puaw_PmVSJ8F-uVxOjmmW0cNO4,https://lh5.googleusercontent.com/p/AF1QipMV4cqRvJRq3Hm2olq0-p5VtdHVtwpYHoGDVdl2,https://lh5.googleusercontent.com/p/AF1QipOw5Xqo1YVQKpTbtiOuOuGYkxOOyAFQDb4ascrC,https://lh5.googleusercontent.com/p/AF1QipMyC2iWvceQIcvS9AbVNk54G7Kr3MOA_dqeF3rM,restaurant,10th of Ramadan,Restaurant
Carlito,"مجاورة 24 - خلف معهد تكنولوجي - شارع الصناعات الصغيرة،, Al-Sharqia Governorate",010 92388669,Not available,4.2,29,Cairo,https://maps.app.goo.gl/9f7ByVQpJ1bYZFnq8,8Q24+RP 10th of Rammadan Second,30.302062,31.756813,https://lh5.googleusercontent.com/p/AF1QipM_VN1AcX4C4u2iUQQ6fhHI3lfeKz0K5IX55OhY,https://lh5.googleusercontent.com/p/AF1QipNf4wFyV_JoMda8suNLwZDnK_ijF_qmqcVuWrEz,https://lh5.googleusercontent.com/p/AF1QipNJAUAQ-rzsakKq2p1cGuwxIdLf1EQdLqJl7c8w,https://lh5.googleusercontent.com/p/AF1QipOASwctTyKhhyNjbHkzZReT_wv7ZheCV6Jqq8AT,//:0,https://lh5.googleusercontent.com/p/AF1QipMbkNS8wNhW5_OSwSOZr_l3hiwIKoDtt_zVJWDP,https://lh5.googleusercontent.com/p/AF1QipNBpmFW2dONALjSGdaBmeLDT60OqNzAWzPNCbCA,//:0,//:0,https://lh5.googleusercontent.com/p/AF1QipOOhnereSLqvIr3BDdqPpoUYCIKulWn05tP_Rz8,https://lh5.googleusercontent.com/p/AF1QipPNyslJ6SpIP4MVvKA4JrAzMjATvPj1LO9WhklV,https://lh5.googleusercontent.com/p/AF1QipMQnL9ov7QqytCULeCMqGq7xGn0r260uu-XZNR8,https://lh5.googleusercontent.com/p/AF1QipM-1oonZw1uL4aaECo9AyeghpvpR-4U8bU01REW,,,,,,,,restaurant,10th of Ramadan,Restaurant
شواية,"طريق مصر النور 10 of Ramdan, Al-Sharqia Governorate",8P7C+Q9 10th of Ramadan City 1,Not available,4.0,7,Cairo,https://maps.app.goo.gl/AqZuCE7ZyN4Pa9ADA,8P7C+Q9 10th of Ramadan City 1,30.275,31.725,https://lh5.googleusercontent.com/p/AF1QipMgab-Mi2rLAyB2LI96g0o0M0p2iYhzX_2gWORL,https://lh5.googleusercontent.com/p/AF1QipOFvJVUCVPSGqHOP8e8da92S4lGpWHyJLbEp0Hk,https://lh5.googleusercontent.com/p/AF1QipNsxLh_5qmFvt5smvA_uXoNfB8P4uaIIi1bERI5,https://lh5.googleusercontent.com/p/AF1QipN9T5G6neB4WJns5I-wrKvzAB9qsEYYFUTfDDrp,//:0,https://lh5.googleusercontent.com/p/AF1QipP8oT9vR2NuC00BHrovbpyLdPNWV7G0NV4LfgQe,https://lh5.googleusercontent.com/p/AF1QipM4N-FmPuAu8BU_65WpzPlhqnvaMB6TZ7PSYFBy,https://lh5.googleusercontent.com/p/AF1QipMgT0Glq2X2xKGsRhN09FV-28GjwRqv5beF1bBd,//:0,https://lh5.googleusercontent.com/p/AF1QipPhxBrhT4r97Fu1-aKlYT64eZuF-yeS0SLnP0h1,https://lh5.googleusercontent.com/p/AF1QipPY9yeh4rUMBSRKyr-2ycaOK54NO__q9fGQIO7L,//:0,https://lh5.googleusercontent.com/p/AF1QipOOZsKNOq6xDYjFG40fw3HC_EiQOYT-L93NvRdy,https://lh5.googleusercontent.com/p/AF1QipNil_UY1Z1cATt0xCSnqOsXPoyEl1jb3KeGC3kH,//:0,https://lh5.googleusercontent.com/p/AF1QipOzsoBfCe4hE1HDf_hZGQdIGq2xgjQ8NRQWYo8U,https://lh5.googleusercontent.com/p/AF1QipO7S96SSTTPwCQSXDuAf1fgk8BnUxfC1F6g65N0,https://lh5.googleusercontent.com/p/AF1QipPZvvI2wYo74fOsuQMb6b-RH14WQom7WrRq9yKQ,https://lh5.googleusercontent.com/p/AF1QipN9DpnJwxCZqT2JqYyYjsgqnrnO7bcOLbrXggpN,https://lh5.googleusercontent.com/p/AF1QipPiWc4pjtAg5J-4CTdcgxBCpNPOJdDoSqVibNnH,restaurant,10th of Ramadan,Restaurant
Mix Chicken,"خلف عصير العباسي ومكتبة الاسكندرية، الاردنية امام الفا للعيون، طريق الأردنية, Al-Sharqia Governorate",7PRW+4J 10th of Ramadan City 1,maps.google.com,4.2,132,Cairo,https://maps.app.goo.gl/ARAWWoZ9fbkkYWiFA,7PRW+4J 10th of Ramadan City 1,30.275,31.725,https://lh5.googleusercontent.com/p/AF1QipN5TrthiZr2PNJGMHsgFOT-gl6aLQmKQorSEEQl,https://lh5.googleusercontent.com/p/AF1QipNv-HxIh38FyneolpA5Ws7jlk2ha6wk_Cfuye1s,https://lh5.googleusercontent.com/p/AF1QipNCxFgQ7ayg5aaPGgGZtY1oHsQFhDKSEf2zMcWE,https://lh5.googleusercontent.com/p/AF1QipNWMe2fWorv44VUGsMTm1SecOCZWhcIrs-IZ8Ze,https://lh5.googleusercontent.com/p/AF1QipM3snsJK8OGZ7UfXDShAIvqCbQSMxElZXoe-SUX,//:0,https://lh5.googleusercontent.com/p/AF1QipNGtoX3sy0u0-XQ_mEL_cqRwcleFR53esBe6VJ3,https://lh5.googleusercontent.com/p/AF1QipP8W-LdqxVlEBWbicN8-Bco2ZagBRxEMpPn3ON_,//:0,https://lh5.googleusercontent.com/p/AF1QipM9CTMOawNrrmGCPxyFn2DJtl7Jya3-NSgjhy-a,https://lh5.googleusercontent.com/p/AF1QipP8FWIHDIvgxtikKNY1_1KWrWvS04MGQeLDHaQN,//:0,https://lh5.googleusercontent.com/p/AF1QipMcswpezJADWe3k52TwxQLwaVl8YEqzXqpMTsan,https://lh5.googleusercontent.com/p/AF1QipOKnRltP5TL-WH_1Qb3xo5RQvFTRXlXN5Bz04sZ,//:0,https://lh5.googleusercontent.com/p/AF1QipMdyMHdA4qTFYoIToHFhD4A_XnK34WWawRjx7ot,https://lh5.googleusercontent.com/p/AF1QipPUPvk0w92JK8Nq5ZjWXyeIEElKfJ44UGQDWjSq,https://lh5.googleusercontent.com/p/AF1QipPfCO0PERzSCmph00G0Uvs0KFRcrI8UCZvz6bak,https://lh5.googleusercontent.com/p/AF1QipMqaBN5yRuHkA2IUNFUeR_gO3AU2QG8DTMWz9GV,https://lh5.googleusercontent.com/p/AF1QipNxKemCWcnHPY_Mz0AJNbaNJyxZLamIgfWuL3qt,restaurant,10th of Ramadan,Chicken restaurant
hola Restaurant & Café,"شارع Abu Bakr El Sedeek St, 10th of Rammadan Second, Al-Sharqia Governorate 44629",010 08877144,Not available,5.0,3,Cairo,https://maps.app.goo.gl/3yb9S5SZVEU9w8fYA,8P3R+3W 10th of Rammadan Second,30.302687,31.742312,https://lh5.googleusercontent.com/p/AF1QipPrZguKi9kvZRaHXUUDeqEZTbYoqsnNiFOo5FNK,,,,,,,,,,,,,,,,,,,,restaurant,10th of Ramadan,Restaurant
Prego,"10th of Ramadan City 1, Al-Sharqia Governorate 7063124",7PQX+3P 10th of Ramadan City 1,Not available,3.9,586,Cairo,https://maps.app.goo.gl/gQBhUmeyJY733yzd7,7PQX+3P 10th of Ramadan City 1,30.275,31.725,https://lh5.googleusercontent.com/p/AF1QipPpaHG-idfVThBDAuLPQH3Lb5Rf3dsZbIGvw20T,https://lh5.googleusercontent.com/p/AF1QipOu6pGzN7CkbLtWXTHTiN7PLzcARWrRc3kdsKU,https://lh5.googleusercontent.com/p/AF1QipPCdWih-cGw-0sDk8Y909b0i1NkYdjScx_kJi-q,https://lh5.googleusercontent.com/p/AF1QipMSUnm_TrnUGUeS8kfbKYLgvjdGjI4Otja4_dyM,//:0,https://lh5.googleusercontent.com/p/AF1QipMYuUfj5IkKfUWiHJ_V8YMCWp2zHziPUfEKO4vX,https://lh5.googleusercontent.com/p/AF1QipOu6bd1cuSX9ff3RBOqarPZRgkoXB05VxR8EV8K,https://lh5.googleusercontent.com/p/AF1QipPXyM0X2ydqvmXi7OWVxsqItfk_XpTIeYEkHS_p,//:0,https://lh5.googleusercontent.com/p/AF1QipNVG2OWuKpSUzJWpDr0titdOZ-qoXLNSPzTGe9T,https://lh5.googleusercontent.com/p/AF1QipPzWP6afAEhDo5j5lT0EHnkBv5H5h7JHuMXIY8N,//:0,https://lh5.googleusercontent.com/p/AF1QipMsRmU4NweCapA7sRru4fEUV2YaeRMxObYHVFWS,https://lh5.googleusercontent.com/p/AF1QipMQxm0KUSSkluq4oUfcLxo1wacd5RvimCHYNEZd,//:0,https://lh5.googleusercontent.com/p/AF1QipMdRcC4f63tBCBDGKy6LTJwgkwX-5-b1H4aES8l,https://lh5.googleusercontent.com/p/AF1QipPsQ9EoiOoJxaF1F-76F0JI1ye2Wbget9yiO2xG,https://lh5.googleusercontent.com/p/AF1QipMQeCOEXKUXhfGaqIwCBUUvGyEqfegIQ0F6Lrso,https://lh5.googleusercontent.com/p/AF1QipP8G1s-GYq0JEm0wUhGPDZLSRZhqTTXxoc7GOQp,https://lh5.googleusercontent.com/p/AF1QipNCcZJJJbcrZTanf-t2p9zpzYmX7lFSu1um3V0z,restaurant,10th of Ramadan,Fast food restaurant
