Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Fish Port Restaurant,"15 May City, Ash Sheyakhah Al Oula, 15 May City, Cairo Governorate 4051113",012 02316181,Not available,5.0,3.0,Cairo,https://maps.app.goo.gl/ruUJtPBAfRf1CWcy5,R9H8+F6 15 May City,29.828688,31.365563,https://lh5.googleusercontent.com/p/AF1QipOkBqJuHUDkSC8_CNd46WJNJI2qoT0TaBjfnTlC,https://lh5.googleusercontent.com/p/AF1QipMaHOnWugZ_Rr-Z-cqE9adJopVckjujj2-nWVOp,,,,,,,,,,,,,,,,,,,restaurant,15 May city,Seafood restaurant
باستا بار,"Abou Bakr El-Sedeek, 15 May City, Cairo Governorate 4051113",011 15671133,Not available,4.8,6.0,Cairo,https://maps.app.goo.gl/J8zyimenqrdMRzt77,R9H8+26 15 May City,29.827562,31.365563,https://lh5.googleusercontent.com/p/AF1QipNc75DXNcg_LDPCL0sNjR14MJsVSxgLYlWIWIua,,,,,,,,,,,,,,,,,,,,restaurant,15 May city,Restaurant
Godzilla Burger,"مجاوره 10 مول سيتى بلازا, 15 May City, Cairo Governorate",010 20344773,https://www.facebook.com/GodzillaBurger,4.3,18.0,Cairo,https://maps.app.goo.gl/d9sXCNakrFjqyRpbA,R9F8+Q8 15 May City,29.824438,31.365812,https://lh5.googleusercontent.com/p/AF1QipNogphou5PtZp1Gm_K9LkdKcZseKMJM-zBdvIeI,https://lh5.googleusercontent.com/p/AF1QipNJuGuP7eaK8r9GSNBHuuwVsDFqQaXcW5lO-SvL,https://lh5.googleusercontent.com/p/AF1QipP5L6D3FKbaDJxnUn-fMF8VrTJa67GnO1opK4UL,//:0,https://lh5.googleusercontent.com/p/AF1QipOamHDDzsnp8uBgYN8F0ZnjTEKpT3Ky4wKa__lS,https://lh5.googleusercontent.com/p/AF1QipNtPVUFUoNMYcW0CmG8GbfyQvyt23Gpwhq15aHm,https://lh5.googleusercontent.com/p/AF1QipOk8yCg7BQmFjre4ONU-k4ijB8A1gwBY50cFP6n,//:0,https://lh5.googleusercontent.com/p/AF1QipMzmvk5jrearLdIcJerk5XLjNuOFkrYgDaWMbiX,https://lh5.googleusercontent.com/p/AF1QipMpv4dCyI3WSynokm2ElqXQqFohJmx-URDeQ1B8,,//:0,https://lh5.googleusercontent.com/p/AF1QipOoouS6HouXQ105PuMryUtOhSaIgpawoaueVaK-,https://lh5.googleusercontent.com/p/AF1QipMo8Kt5CUUKiDiNDKT2IPv09OD6SggX3iLlsCw8,https://lh5.googleusercontent.com/p/AF1QipMiHQ3LI8cgE5aNgzl1fzatTfo-Ons1RnMSFws,,,,,,restaurant,15 May city,Restaurant
Sea Morgan,"قسم 15 مايو،, Cairo Governorate",010 50078601,https://www.facebook.com/SeaMorgan2020,5.0,2.0,Cairo,https://maps.app.goo.gl/h2wFSd47hArSJHvx9,R9H8+53 15 May City,29.827937,31.365187,https://lh5.googleusercontent.com/p/AF1QipOkBdfLu77ThuOuNujlNEStb3u94AOyuCezP7k5,https://lh5.googleusercontent.com/p/AF1QipMWc_hbYuC1r4QnQGUUUKsO2anvDgf2TenzC0gV,,,,,,,,,,,,,,,,,,,restaurant,15 May city,Seafood restaurant
اسماك القنال,"R9H7+XW6, 15 May City, Ash Sheyakhah Al Oula, 15 May City, Cairo Governorate 4051113",011 26112339,Not available,4.2,143.0,Cairo,https://maps.app.goo.gl/5ewA8CP7pH1Q4ad57,not available,29.83375,31.36875,https://lh5.googleusercontent.com/p/AF1QipMGSDahZi_VEm_7cAFy1zCW5UomtOefB-wqWgnR,https://lh5.googleusercontent.com/p/AF1QipNtmvm9DCsOTuTZ49drnenFDNpyezxIGkT_iyTq,https://lh5.googleusercontent.com/p/AF1QipOD7LoPlw36xWXnhBClwlcPRn_2E22MX9rH2RDK,https://lh5.googleusercontent.com/p/AF1QipNEusbo6tbfD26OzYsDfyKki6eBM9_PxCHF7DXi,//:0,https://lh5.googleusercontent.com/p/AF1QipOiXrumylCJO9GSlpQ1U_7iBG4_UWhW-3QgUJWn,https://lh5.googleusercontent.com/p/AF1QipOuKcmYn0hTuKGACsycnxAOcF3zKZECCDAPgdq6,https://lh5.googleusercontent.com/p/AF1QipMZC3BBTBNAV0le_9R-5JKXFDL1q5fOpmtA117M,https://lh5.googleusercontent.com/p/AF1QipNkM_BkriNvU9E870Mz8MSSxLOyYg1zx1N2DcJG,https://lh5.googleusercontent.com/p/AF1QipMUHy8KDz8AUvQ1xGrSNBgoWZpjvWu2SugJp35A,https://lh5.googleusercontent.com/p/AF1QipMPz-LsAKrrp3tw361pZWhYydCXd0eisvSdRAB3,https://lh5.googleusercontent.com/p/AF1QipM8wZwwdpfQTo8rncVXViAJXPDpgawlvnxD_jIF,https://lh5.googleusercontent.com/p/AF1QipOz5wyyOwajW8Td8fgegWNauH_OT8-AJr3fTRZA,,,,,,,,restaurant,15 May city,Restaurant
Fitness food,"R9H8+45G, 15 May City, Cairo Governorate 4051113",not available,Not available,5.0,8.0,Cairo,https://maps.app.goo.gl/dLt8RFh6Y2TK3Tiy6,not available,29.827813,31.365437,,,,,,,,,,,,,,,,,,,,,restaurant,15 May city,Restaurant
كبابجي سيدي جابر,"R9FF+4F8, 15 May City, Cairo Governorate 4052034",011 16126360,https://www.facebook.com/profile.php?id=100016737905517,4.3,21.0,Cairo,https://maps.app.goo.gl/6ZH4EXwdtDuuuPuW9,not available,29.822812,31.373688,,,,,,,,,,,,,,,,,,,,,restaurant,15 May city,Kofta restaurant
Volt,"R9JM+X4V, 15 May City, Cairo Governorate 4052253",010 16887517,Not available,,,Cairo,https://maps.app.goo.gl/KoMYM8uTqdfdvcQL6,not available,29.832437,31.382813,https://lh5.googleusercontent.com/p/AF1QipND0YGhtG6q2qXqiWDKabwo1CU20A778fGPNOzP,https://lh5.googleusercontent.com/p/AF1QipNywvag18Tgj5tbaDAn1QTkMFZgeDcjMgT_EwAp,https://lh5.googleusercontent.com/p/AF1QipN0AGpDKReCt3Rb047rPbeI9nfg_z8V5BPI7n9D,https://lh5.googleusercontent.com/p/AF1QipPZbk9KE-mHg2orIW3RWfDEVLpVYdVEudE2LouI,,,,,,,,,,,,,,,,,restaurant,15 May city,Restaurant
Food Code,"مجاورة 3 - حي رجال الإعمال أمام مستشفى 15مايو مدينة, 15 May City, Cairo Governorate",not available,Not available,5.0,1.0,Cairo,https://maps.app.goo.gl/CcysJBjsbQmvoNpz9,R9H7+MM 15 May City,29.829187,31.364187,,,,,,,,,,,,,,,,,,,,,restaurant,15 May city,Restaurant
Crazy witch,"مجاورة 3 كمبوند وسط البلد, Ash Sheyakhah Al Oula, 15 May City, Cairo Governorate",010 25694111,Not available,3.7,221.0,Cairo,https://maps.app.goo.gl/HFVkQnyg9DTGCheo6,R9H8+39 15 May City,29.827688,31.365938,https://lh5.googleusercontent.com/p/AF1QipOUF0A8a3cQTi3Va-bPvLQkvTJKuwPRkkYggRPj,https://lh5.googleusercontent.com/p/AF1QipNo-9k3E_Vr5dAA4QS84K-JS7eljHWPmLTQQ1y6,https://lh5.googleusercontent.com/p/AF1QipOEAQByS1CPPmiV1n-pJ8dh3A8gOShaXSgD04cM,//:0,https://lh5.googleusercontent.com/p/AF1QipNN2HWMi8IrqB2bpOqIhEWILCUUryBnFCyEnnxF,https://lh5.googleusercontent.com/p/AF1QipN0JfGhkDBLZySLGiPldT759Ha6Lr40STudPZVM,//:0,https://lh5.googleusercontent.com/p/AF1QipPGj7j4tEjP9PMrfmZ8_WfJ76Px95gt-SPQKbzo,https://lh5.googleusercontent.com/p/AF1QipNHi0fJmWYDJ9aNH1QkK2Pp0OEw7SCcnOmgWqnd,//:0,https://lh5.googleusercontent.com/p/AF1QipPC9CssCaxAbXzy1OI06H0VfBquHOrXSol0gwXg,https://lh5.googleusercontent.com/p/AF1QipPh5dmSxe2tEMY5pLo8iB1pZ66uY48RyvcVP2ev,//:0,https://lh5.googleusercontent.com/p/AF1QipNM_M3v-Pvww4OifrDQ2uR1ewxVSsJZyGR_Ee9P,https://lh5.googleusercontent.com/p/AF1QipMyzK7OnIyT3S63rdB8dZXVXF1HFaneru9Mt9IT,//:0,https://lh5.googleusercontent.com/p/AF1QipNqi-eVsGS1_eNlg-dYW3XQq06Npg58tAFYS2BN,https://lh5.googleusercontent.com/p/AF1QipPTOuXh0AleLksc3BIwrnF-ca6q3m-rusjjRqBF,https://lh5.googleusercontent.com/p/AF1QipNFrek3OS4ji44Rq8BCux6BLZhn4PUxxmJ2BJeq,https://lh5.googleusercontent.com/p/AF1QipMOHIvqChT7zjP3_w_TA0CbKicFnO0ZlWZAT6Cy,restaurant,15 May city,Fast food restaurant
