Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Xiang Yi Fang,NO.50 Gamgoum Center Elhay Elmoatamaize Entrance 6 October City,012 80932762,restaurantguru.com,4.2,156,Cairo,https://maps.app.goo.gl/Yn6CAJ26DarZNhmw5,XXV7+5W First 6th of October,29.992938,30.964813,https://lh5.googleusercontent.com/p/AF1QipNXFQXJZ0gkpytGchyzFQ37KoeWzbqBdoKGhGOG,https://lh5.googleusercontent.com/p/AF1QipMlaEUqKvjtypGGo90nbhacq3OrQ2dWziXN44Gm,https://lh5.googleusercontent.com/p/AF1QipM-97FVautR2Sg_jSRxdHIEH_aKGahVIR_Xx3FV,https://lh5.googleusercontent.com/p/AF1QipO3sApwwfVqvWU2E3WdCz11E0Y3ZY-mCz7Bb5gE,https://lh5.googleusercontent.com/p/AF1QipMhHEvilckqaQnP4QBiVczLWzrNHGzDxi3XoAab,//:0,https://lh5.googleusercontent.com/p/AF1QipNa2GK-HFkUgL5SDeOgXri68Twlbp1TVzQSaAOX,https://lh5.googleusercontent.com/p/AF1QipNrdIFp0t3F4uoZyijBLMDEsj8sETSXxRr7Hspv,https://lh5.googleusercontent.com/p/AF1QipMXFyvcMrKa20Xxrly_creO84TZhQcfZYTnRgag,https://lh5.googleusercontent.com/p/AF1QipO1-tjP7brh2mdestqKJFHCjozQV92exBuhNuPh,//:0,https://lh5.googleusercontent.com/p/AF1QipPYCTtR3MJF5jv0j_udza-ZG6FBF7CKhO3AKL0i,https://lh5.googleusercontent.com/p/AF1QipNQkgM9eCwlGf4yGW4ihEIeMlKnXYefBPTHIinp,https://lh5.googleusercontent.com/p/AF1QipNzRrXLQnkzFYcn5WyX4DqY5FiRLGiMgTWHjxU,//:0,https://lh5.googleusercontent.com/p/AF1QipNpJo2impukrmjvVJS9mAk52NZDXttMjYymsKwh,https://lh5.googleusercontent.com/p/AF1QipPtpAZnx1SWdsgIKVGuI4K-x2wWxSStSu9DJZ1E,https://lh5.googleusercontent.com/p/AF1QipPcNuOQDCfgZZpCJW9rE3rrmCEObD64J4rS8TrP,https://lh5.googleusercontent.com/p/AF1QipMeu40peoxbJNwXXLSC6P1hsKpMEJfadU3BxIxb,https://lh5.googleusercontent.com/p/AF1QipNUJUQNMDccuTWEJhIfRYLymEyPktLvDUplT8_D,restaurant,6th of October city ,Chinese restaurant
Chicken Fil-A,"First 6th of October, 6th of October City، Giza Governorate 3234801",010 02847747,elmenus.com,4.4,"1,379",Cairo,https://maps.app.goo.gl/dfMpKLdJdySAuQGo7,XXG3+GJ First 6th of October,29.976312,30.954062,https://lh5.googleusercontent.com/p/AF1QipOFRKb7RG5uQKoXCbapVv2cm90jKhdQZsbyaiLQ,https://lh5.googleusercontent.com/p/AF1QipPK_TznyTqF5xtssEjBM_1Kq1KSN-Al-VUb1KQi,https://lh5.googleusercontent.com/p/AF1QipMgf2ng7mXRuHxaYx77EUaQb8QL-UPJgHgB6dwh,//:0,https://lh5.googleusercontent.com/p/AF1QipNu5xAj2Cpzsh610riC_7eDJzoiewzGMyHYjbJN,https://lh5.googleusercontent.com/p/AF1QipOQLepjynh3c289O0ZRfUBJOLxAJl59hhmzWKkk,https://lh5.googleusercontent.com/p/AF1QipOtyfOpJD6riyxk7EWDQQXi-Nni6Ked6A_4LWuh,//:0,https://lh5.googleusercontent.com/p/AF1QipM1FMFFlKcKthNzmPmIrAaM7bGcl19uT_B3UI1c,https://lh5.googleusercontent.com/p/AF1QipM1ylNgtVScqDb_EgDgUSw2F3o2MDb0g_VAkok3,https://lh5.googleusercontent.com/p/AF1QipP4E-c3X6i1qz3meaURqAASbwn_ngpxP60fX5Nq,//:0,https://lh5.googleusercontent.com/p/AF1QipPMvDJMarJqwAB3ItR9BCygqoW8x_7jFhqfbdn6,https://lh5.googleusercontent.com/p/AF1QipOfe5beqKCYfvNGFohe6uCZBsAQ7xqAMVdKRFC6,//:0,https://lh5.googleusercontent.com/p/AF1QipOoKctUK-RURQxQ9t0lLghlk5sXK99G3z_SQOxt,https://lh5.googleusercontent.com/p/AF1QipOR66EJ2ZZj-LobQgatdm8N2_Uzoqkz8Tn3Mc2u,https://lh5.googleusercontent.com/p/AF1QipPQcgccLqqKCEQjssGkwqYwLg250Oa8MPn4N2Ge,https://lh5.googleusercontent.com/p/AF1QipOBzHAETrrr0ACiFOHTjrRkRu_33lkW5TBhX0Nb,https://lh5.googleusercontent.com/p/AF1QipPNApu5g46lbTpJ3A8hU64934ClyKtfI-NwnZpr,restaurant,6th of October city ,Chicken restaurant
Ahl Alraya Syrian Restaurant,"6أكتوبر الحي الأول سنتر العربي مقابل مسجد الهدى, 6 October, Giza Governorate 12563",010 05555067,https://www.facebook.com/ahl.alraya.sy?mibextid=9R9pXO,4.1,"5,173",Cairo,https://maps.app.goo.gl/Dn5f4AUmuZhoQ7gEA,XXC2+G9 First 6th of October,29.971312,30.950938,https://lh5.googleusercontent.com/p/AF1QipPpK5UJM9VhfjhLpMBdTzIUnBmNJm0K9W3d2lM_,https://lh5.googleusercontent.com/p/AF1QipN3o7Wdni5hKxFCKe2xMQHrkMLkz3_8_47Sv6Kg,https://lh5.googleusercontent.com/p/AF1QipOtUrMploKD-WZFqGJVvkaBC6-dfz1Li23DxcG5,//:0,https://lh5.googleusercontent.com/p/AF1QipMd_UM9O7BhbUYDKCYkZJbe-vDEM2sD-Lidz__C,https://lh5.googleusercontent.com/p/AF1QipP_qHRZP8ej5s1V90CCPxogXaY3mjPCzvrfxyXO,//:0,https://lh5.googleusercontent.com/p/AF1QipO_OS6dW3XxYMOerXMIXlQrqNtVO0oq4eqzICDf,https://lh5.googleusercontent.com/p/AF1QipNI1SSGeW1KdDJ6ivkOiulZtD_EuoCUB6itUnMQ,//:0,https://lh5.googleusercontent.com/p/AF1QipPheCo9IOLDj_5uDCwRHr1sGBfvk3xnKlr2dJvA,https://lh5.googleusercontent.com/p/AF1QipPnDNzDbGkyBItqcRMU45JnSBoRtFFd8b7TVuTj,https://lh5.googleusercontent.com/p/AF1QipPNybakng484lDl1f34r7sN8MeD6z7oYQPN-d9e,//:0,https://lh5.googleusercontent.com/p/AF1QipP_Awv06I08cmsEv61QbqpGbLTZ4Dnk3YOvNpLs,https://lh5.googleusercontent.com/p/AF1QipM-jT2iNssbKU7YwCGP2PUE1psFkQHghMJCMyyW,https://lh5.googleusercontent.com/p/AF1QipOhL3_Pg-DHljwyeG1YpwJ1i_dTSNtqhnHxHejE,https://lh5.googleusercontent.com/p/AF1QipPlNbZlFT9bd16rzTaztODEggR3xpqPyIQX7m5x,https://lh5.googleusercontent.com/p/AF1QipO7202hS4aaB6ln-lzm81ctsnynf3QgZER9EE4V,https://lh5.googleusercontent.com/p/AF1QipPRiFdmEOHzumms1f0xUi8eyquVYYoWdg1fN1qT,restaurant,6th of October city ,Syrian restaurant
دار زمان,"104 Al Maahad from Al Venteral, First 6th of October, Giza Governorate 3233425",not available,https://www.facebook.com/Dexyfriedchickenn?mibextid=9R9pXO,4.2,146,Cairo,https://maps.app.goo.gl/FPDGpMNqDAyLAydG6,XWCX+JF First 6th of October,29.971562,30.948687,https://lh5.googleusercontent.com/p/AF1QipP8w-qSgd55n9ztC87Uvf-3bMF7w4oXBWgq04bL,https://lh5.googleusercontent.com/p/AF1QipM42hy0yBPMoEsZQRS4Lr2Lup_NNLxUPumBDvlZ,https://lh5.googleusercontent.com/p/AF1QipOhewlBY2rK6UpuEjmNOS42geQloMBbFZo2lnix,//:0,https://lh5.googleusercontent.com/p/AF1QipNAk6i81m0NqqUQgjbwQmiUbq-7UND2WFaCcSI,https://lh5.googleusercontent.com/p/AF1QipOpnVNP_2TlZKjl7ee2gWMsxQA6ORhPFzLzbLKb,//:0,https://lh5.googleusercontent.com/p/AF1QipMfH0fv3GPJwX8RY66Y13-1TQXsOM20pq8RqATK,https://lh5.googleusercontent.com/p/AF1QipNYoMf02QJo8sfwMRNmcRooZar5pjJGzuwD-Apv,//:0,https://lh5.googleusercontent.com/p/AF1QipM0SGpUw9W0b2raqGN_vLUBpVK2NRJKvL_X_3k,https://lh5.googleusercontent.com/p/AF1QipPmlB1cobZMCV_im2CzU4taUIrbWEYomkxgBrVs,//:0,https://lh5.googleusercontent.com/p/AF1QipOXgF6RvNvQLFGRwhy6QMrPBtY9Ha3DVOQKNexI,https://lh5.googleusercontent.com/p/AF1QipNYBgcDQOam4uBX3sNdeO2FAC-fkYexF887mPrw,,//:0,https://lh5.googleusercontent.com/p/AF1QipMustc3iEhywaBizL8Af5x5SmZ5zuWwzqORiXNO,https://lh5.googleusercontent.com/p/AF1QipONhBqY8rM0iDbMnAAO0WX7HEF68S8OhoUn4Z7t,https://lh5.googleusercontent.com/p/AF1QipP99HIXp3ofnb4XT5M4G-GVvkzcTkTR25_J76l4,restaurant,6th of October city ,Restaurant
Ni Cafe,"Bostan Street-Park Street Unit No. 17,6TH of October, Giza Governorate",012 22212784,https://www.facebook.com/NiCaffe/,4.2,127,Cairo,https://maps.app.goo.gl/o4prv2JbzmrLAxef9,22F6+XH Sheikh Zayed City,30.024938,31.011437,https://lh5.googleusercontent.com/p/AF1QipMfy_EcqUN9Lh_dK5EOVRyK9kkhS3Fo7hmrYz_t,https://lh5.googleusercontent.com/p/AF1QipOC1o6vIhLYoFPI9A1SUGxhY5eLw9hfzP_oGJx6,https://lh5.googleusercontent.com/p/AF1QipNGd-9YDJPlN3z8_NO1LSnCQKqLQn4kIvhY1Nl-,https://lh5.googleusercontent.com/p/AF1QipP_uEIoSz7HO-hvfCcoIbUeeRKtMhvLaM43ZO78,https://lh5.googleusercontent.com/p/AF1QipMm_7tye_B9YzxuUViXb5eTnxXGdetqPUywdpin,//:0,https://lh5.googleusercontent.com/p/AF1QipMC2NdkgZufR0XNCS49Wy4GrfTu-rQcNOd7xMiE,https://lh5.googleusercontent.com/p/AF1QipPGeBG1gXw45o-_tSAQg2rRh57LBov7SxPUDdQs,//:0,https://lh5.googleusercontent.com/p/AF1QipNKx_cxeeSHp_uSSopdNQ7qbXjilSmkOVpoTBHT,https://lh5.googleusercontent.com/p/AF1QipN-2rO-Q2Q6Ddv9HNvw-F7065sDKGEfxql6gAen,https://lh5.googleusercontent.com/p/AF1QipOi4DFTQY_ZzFO_V9354L5x84QM7zp9JjuS2ZRI,//:0,https://lh5.googleusercontent.com/p/AF1QipMa2S7ZY_mOPWv0Ti1kV8iXU82by6u7ZsdJYZnT,https://lh5.googleusercontent.com/p/AF1QipMNY_CUanI0DXgyirAJw9PbyIkbN5r0_MYWW7WU,//:0,https://lh5.googleusercontent.com/p/AF1QipP-AhXPbqlxejUbCA-ao1TiNS148Zysx-ycpCXf,https://lh5.googleusercontent.com/p/AF1QipOGjml3t6wZ2vRhpK-EdYegee9Sj_drh2VbPhFn,https://lh5.googleusercontent.com/p/AF1QipPa3uM1fXN_AzjlaAD7YisNu7y6EPcE9eHvr1rD,https://lh5.googleusercontent.com/p/AF1QipPpkaZlb5pwr5TkdbR1FZOsgeqkJerihMxUIi--,restaurant,6th of October city ,Restaurant
maharaja october,"444 Practical Art Institute St, First 6th of October, Giza Governorate 3233455",012 06444444,maharaja-eg.com,4.2,681,Cairo,https://maps.app.goo.gl/TYxuKehGmLdgHnpj9,XXC3+XM First 6th of October,29.972437,30.954187,https://lh5.googleusercontent.com/p/AF1QipMyfGEwpzdvOMv_iMGARERg5Rbm2CZz0G1NRXNS,https://lh5.googleusercontent.com/p/AF1QipP6bbuDuB7tOKbjilf1eFE0fLoWyPZJbjd2ExlX,https://lh5.googleusercontent.com/p/AF1QipOXrwABpWrbxfjo66vxMh5Z9h3HDk5oCwjgMDSJ,https://lh5.googleusercontent.com/p/AF1QipPgpIipESDziPWGvbDOP7VkLF0XfmfeIhR8orit,//:0,https://lh5.googleusercontent.com/p/AF1QipOJZqmhjPRaORL2wFTIiYS9n7bjEdSJXOKj1Yqr,https://lh5.googleusercontent.com/p/AF1QipPCvJglWFC91S_oz0vvAXZd7JzDodfg1smk7snQ,//:0,https://lh5.googleusercontent.com/p/AF1QipNtvcirzV2DMRtUHPYGmncKOfSfN4rIAGyslEOT,https://lh5.googleusercontent.com/p/AF1QipMs49fsPc_szr3vOTXzhfyXhrYrZu7t3B8DGJ9s,//:0,https://lh5.googleusercontent.com/p/AF1QipMNR8G4GDvWyYSnuoYhxBXikCx3M-_ueEvmolOu,https://lh5.googleusercontent.com/p/AF1QipOpL240C85qb6lU1W3eDOZPWL3ZtGqLoYxrmhom,//:0,https://lh5.googleusercontent.com/p/AF1QipMpnOxbbcdu0RQR2hnEyY3hBfEoMD6M6pjhVGz6,https://lh5.googleusercontent.com/p/AF1QipOI8p2pkmEd9kcJC-LqmHCAKrnokq9jPU_SEPJ9,https://lh5.googleusercontent.com/p/AF1QipM5T6P1gnGbuB2OPeLWBGjfJdTHq1hY5-Nf8XT-,https://lh5.googleusercontent.com/p/AF1QipMHcLdvH_vwiW7UDAdVYwcCp3lYkuLeZjnsO0Gd,https://lh5.googleusercontent.com/p/AF1QipPpsjiBkSMMudklQ9nNRoupMVwaDYJ5uaTlhPPn,https://lh5.googleusercontent.com/p/AF1QipNhHp1qqm4s5EQFPzb8UpUn36twOzKYnf2_clwU,restaurant,6th of October city ,Indian restaurant
Nine63 Restaurant & Lounge,"Dandy Mall Cairo Alexandria highway October 6, Sheikh Zayed City, Giza Governorate",012 03963963,Not available,4.4,94,Cairo,https://maps.app.goo.gl/pEgumZLuvhso4xja6,327H+85 Sheikh Zayed City,30.063313,31.027938,https://lh5.googleusercontent.com/p/AF1QipMSmNtZe4WvjcI5ZNV4UNmO2RY-XOyNF3soy4af,https://lh5.googleusercontent.com/p/AF1QipMB-egQTXmjcHdtTs7iLCoKG6yZid9c5g8rl79H,https://lh5.googleusercontent.com/p/AF1QipPFNUzfTrL4jJOW9TJ_R1L2rme0SNCRJO7WznIV,https://lh5.googleusercontent.com/p/AF1QipNP5ueTJev0eeV-zLMDt45dz3My0Q7yevAmdGl8,https://lh5.googleusercontent.com/p/AF1QipMXeAGV7aHmHB6eMyLs4-UJtWu8hhwQlojFxzBV,//:0,https://lh5.googleusercontent.com/p/AF1QipMsW0Fa_gn9Pz9G5PRRDjeUWOFs6rFgNVbeP750,https://lh5.googleusercontent.com/p/AF1QipPk9PMP06_VbxpLcVWE7xrrs7uRa92d1qbXQIKF,https://lh5.googleusercontent.com/p/AF1QipN1BSkvYoMt98sbczDeD2C-I3A1cdw6VlW0GGd-,https://lh5.googleusercontent.com/p/AF1QipP8kpkuZKW2N7htSPaoN-z5Fs17mL2wpgYg_yJW,//:0,https://lh5.googleusercontent.com/p/AF1QipM0fBuTUXgUOgOMtPxJgxe2v87uxdM_0iIRQqwY,https://lh5.googleusercontent.com/p/AF1QipMqv3zbkEzPN02un4tUY5JgyNDqk91L5IYeAYAV,https://lh5.googleusercontent.com/p/AF1QipM7ebN9djjnxEYOSBpz8U2yoyHBjXBwCpjvmV5s,//:0,https://lh5.googleusercontent.com/p/AF1QipMMSByL7-vTg81wkvNXPRi1DwXcCtEK5DdDhwsg,https://lh5.googleusercontent.com/p/AF1QipM3A3_4RRCWiYD7GotkT_atzmGY_vPgQ6iZaGVz,https://lh5.googleusercontent.com/p/AF1QipPuAQxuNUDQtRGl1EnJsqQ10dJYmNm4GI25Mg9h,https://lh5.googleusercontent.com/p/AF1QipPMIE8rhQGHX-d8JcDsxtaHVZxki0uHMSUe_Zgu,https://lh5.googleusercontent.com/p/AF1QipM8sv5w_qUgWRSaW1R4lwZzFChR2eIshABTFJhE,restaurant,6th of October city ,Fast food restaurant
Zack's,"Emirates NBD، City Star October Mall, next to, Giza Governorate",012 00002164,https://www.facebook.com/zacksfriedchicken/,3.9,"6,384",Cairo,https://maps.app.goo.gl/1VJcfzqyEeGKzo9Q7,XW59+84 First 6th of October,29.958312,30.917813,https://lh5.googleusercontent.com/p/AF1QipMgCgbiXpTW_lJmV1NAJghVG6VjLhmPYLA38wpz,https://lh5.googleusercontent.com/p/AF1QipMF0O2fPiI5idHYk_PemTyIqHtDLv4ePOOhtEx4,https://lh5.googleusercontent.com/p/AF1QipMGtW83Aa4wTnufim6VhIIoaZNWHBkvm_iAmqlS,https://lh5.googleusercontent.com/p/AF1QipMRsaw-9k3r8CJku6DZzkiBQ3WaoLvauolZTexW,https://lh5.googleusercontent.com/p/AF1QipMfS4mKtjq9ghXJivYWozcz6moOyxcS-WtwVYN1,//:0,https://lh5.googleusercontent.com/p/AF1QipMb8k119Sa8eZFQLRv-GlegvfbNVovH5QxjuR2T,https://lh5.googleusercontent.com/p/AF1QipN01HLnTxVwvroDbez2NGd73yxK5Dr0W07QgEgG,https://lh5.googleusercontent.com/p/AF1QipPRsTI02xqwH9fobnRQoLHnl54MY21hAzCtg5aa,https://lh5.googleusercontent.com/p/AF1QipMbNTt6EbZ3H_WBgpU6nlGC8yZKsuGY-0rr3a1f,//:0,https://lh5.googleusercontent.com/p/AF1QipNV6Z3cpqOcOr0rg3uDUM4VqHRDrzaWXJN5bW_f,https://lh5.googleusercontent.com/p/AF1QipMRjUqY-WOBsTuRC2g66VY0TbMuSRDi2jgVOYQ,//:0,https://lh5.googleusercontent.com/p/AF1QipP2qUqUEGdZHXOy1qAYvV0o0Ks6XZWqVcIQbD4,https://lh5.googleusercontent.com/p/AF1QipMlhWcK18M67o2pii5XtDDD2a9FvsOSUpaa5_-A,https://lh5.googleusercontent.com/p/AF1QipNmiU1MxCbPuFmL6dL9xcaKjfvzrwBcANj9grJj,https://lh5.googleusercontent.com/p/AF1QipMv2D3PFqW9HzimU_ok4XgIBUYgKq5sQKS8B5z8,https://lh5.googleusercontent.com/p/AF1QipNCsdS89TckDi8sgFWSRvekj9mX53mcMh9RYQHf,https://lh5.googleusercontent.com/p/AF1QipP0vi1AfPdKswXIoZt73Cu_9GOWzPssvv6ACIfr,restaurant,6th of October city ,Chicken restaurant
Drago's - October,"El Shohada St, First 6th of October, Giza Governorate 3233410",010 92240810,https://www.facebook.com/DragosRestaurant/,4.1,"1,609",Cairo,https://maps.app.goo.gl/biTrVqmoF6Aaq1Qd8,XWFX+PH First 6th of October,29.974312,30.948937,https://lh5.googleusercontent.com/p/AF1QipOy9njD7cUoVsCA_VbCQCXcx5GO2Kbm39wl37an,https://lh5.googleusercontent.com/p/AF1QipMW6JfTxBHoexaW-dgJgyU1eMfrgJhfV1MvYNcN,https://lh5.googleusercontent.com/p/AF1QipOZvMsSseJ5dVurrk-aOTsgzWsuKKHQEgHOhvg0,//:0,https://lh5.googleusercontent.com/p/AF1QipNzJLHgzw7zDSYNXX-kP4wReAMvsLCDHrzSzK-N,https://lh5.googleusercontent.com/p/AF1QipMigvUgxXdEM2sKr8mgiWLWCasmtfZSUUBZu74,//:0,https://lh5.googleusercontent.com/p/AF1QipO3YodiJv7wzjHNXUvhBAjdsw1Sht2Jd7-UY41s,https://lh5.googleusercontent.com/p/AF1QipOBN2Akx30wAqYahwLzCQ0UNai0qS2SzAJUXu2d,https://lh5.googleusercontent.com/p/AF1QipM2IPsHdVDsUDycauGgcnmnR7LyeJZ2rgs0nySc,//:0,https://lh5.googleusercontent.com/p/AF1QipNNlQWeqboA5h7LdwLMLTzFvSs92aGRx9XO3SKn,https://lh5.googleusercontent.com/p/AF1QipOFZm_93szbJgGANwqJcwQWx5ALlZA6my2n0EVG,//:0,https://lh5.googleusercontent.com/p/AF1QipMpixTiMKGfMLCj0chhqp0quD2MMbC1R-LaXInB,https://lh5.googleusercontent.com/p/AF1QipM_PXWfSNFSJRI5V_wNyPYbJmXOdkD7sEHtR-oz,//:0,https://lh5.googleusercontent.com/p/AF1QipMTWtiDl135wcM9zhRIS7KnmVnfCtFMEm4LHdxR,https://lh5.googleusercontent.com/p/AF1QipPqggwF1JKzaaXLeR-1968ckyG308bqw_cDC3-I,https://lh5.googleusercontent.com/p/AF1QipNPUOjpu3_Jrmum64OTnNhWE0uipPRSUSZA2ut8,restaurant,6th of October city ,Fast food restaurant
Biba's International,"El Wahat Rd, First 6th of October, Giza Governorate 12451",02 38555001,movenpick.accor.com,4.1,24,Cairo,https://maps.app.goo.gl/NapSGmk8DFycLg1S8,X28C+57 First 6th of October,29.965438,31.020688,https://lh5.googleusercontent.com/p/AF1QipPO_4vxZAguHqVlPs-zBLDDU51jCobSoPyjmucK,https://lh5.googleusercontent.com/p/AF1QipOud8BADFVpHxZGNPwdkbNFT7iMVC03tYIGNo0-,https://lh5.googleusercontent.com/p/AF1QipNYNLPwKqrKrP4HdFXQw2XhCt9QCiKTqb5ZZ3A3,//:0,https://lh5.googleusercontent.com/p/AF1QipPUwggPts1KtUm3TlEAiy-MyFV7atKCnRF5LsDq,https://lh5.googleusercontent.com/p/AF1QipMdHOiQ5FBEJaKrmdfnrLoR6WkZuZ3ML0WtmIGZ,https://lh5.googleusercontent.com/p/AF1QipOpAGBoRJ0iR7a3BKBrexp3UYw5mpc1ysun88uq,,,,,,,,,,,,,,restaurant,6th of October city ,Continental restaurant
