Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم و كافية الكابتن,"4PH6+XXQ, Badr, Cairo Governorate 4951211",011 52526492,Not available,,,Cairo,https://maps.app.goo.gl/tXkGyhRukJnioVq7A,not available,30.129937,31.712438,https://lh5.googleusercontent.com/p/AF1QipMyG6x61UL82kqqjHX7pRYjtAd5Uh9Zb8WEgMLv,https://lh5.googleusercontent.com/p/AF1QipPD_OFGsx54g5L_yMn9FQ3ybuNsMHQ4KCpiyODL,https://lh5.googleusercontent.com/p/AF1QipPcRV6Gy5E9FGuKQNE3_SNfixg7zte2Oz-v7Qoi,,,,,,,,,,,,,,,,,,restaurant,Badr city,Restaurant
مطعم الأندلس,"5Q46+W89, Badr, Cairo Governorate 4954410",not available,Not available,2.5,4,Cairo,https://maps.app.goo.gl/4Cxvfn6GkFNjTf728,not available,30.157312,31.760813,https://lh5.googleusercontent.com/p/AF1QipMDsZGFoGHTNzQRaTEFX4jLq1lhaBatQFelQdPr,https://lh5.googleusercontent.com/p/AF1QipP730MM45pXqeWWyIY_Mm3QY6J892rdkgGAMaqS,https://lh5.googleusercontent.com/p/AF1QipOYzY1GQhySjYh4rHwls2IRRXxB-skR7DznKOMt,https://lh5.googleusercontent.com/p/AF1QipOSWf70UrS7I1AMxvLOI1hTOJSq7gpGK_hkgW5F,//:0,https://lh5.googleusercontent.com/p/AF1QipMseqq34GBDPc6hjwFBC0iZQW_dgy-xyZgzUhcx,https://lh5.googleusercontent.com/p/AF1QipOAlgw6I_gZZpei_WZ4Y7WN3VidxrMrl03-Z34u,//:0,https://lh5.googleusercontent.com/p/AF1QipPxSk3J6oDUbAYU5QaQHVUrdW3Jb6h89elO0ea_,https://lh5.googleusercontent.com/p/AF1QipNphrE5mixyt5Hq0DF9-sBm0BxB0mEcOuTqfTxX,,,,,,,,,,,restaurant,Badr city,Restaurant
El Amana,"4PG5+QRX, Badr, Cairo Governorate 4951040",not available,Not available,4.0,2,Cairo,https://maps.app.goo.gl/Grd1BQ3CQF36pTbu7,not available,30.126937,31.709562,,,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Restaurant
BURGER STORM Restaurant,"Misr Mall, Badr, Cairo Governorate 4950501",010 12091318,https://www.facebook.com/burgerstormrestaurant,4.4,58,Cairo,https://maps.app.goo.gl/utZ6mRaezeccvQC78,4PCF+VM Badr,30.122188,31.724187,https://lh5.googleusercontent.com/p/AF1QipOr034sZ66xIOan4XEjEEXrAZqp4JV9eObp4qiB,https://lh5.googleusercontent.com/p/AF1QipO5BHeVXOEGm9P2GMcki2DCiIbbvaWauyna9MP7,https://lh5.googleusercontent.com/p/AF1QipNT7Zx2dMaTcwtGu-DECtjb-Cix6j4xma6ANvxn,https://lh5.googleusercontent.com/p/AF1QipP1eCl43WA2KrfNCchYkBQrI-PRv5TmQ8eGa8mB,https://lh5.googleusercontent.com/p/AF1QipP9vuOPOsfQhowdpCwEkSs7eOe9ABVek-irN-j6,//:0,https://lh5.googleusercontent.com/p/AF1QipMR-dlGMPINOiM6PEd0o3A90a0BB_6fxW3wAhXe,https://lh5.googleusercontent.com/p/AF1QipPUWMJ3EvqM_3_ZZdVq1Mi4st457FieukiF_-Og,https://lh5.googleusercontent.com/p/AF1QipNhqgrxKePr0hk0tK9K-4LfseyyvKdgXpyan06-,//:0,https://lh5.googleusercontent.com/p/AF1QipPWw630GEZC9G29Iw7HdQpXNOQJz0MICR0k0bTw,https://lh5.googleusercontent.com/p/AF1QipMbT5yOuLCkECvqv0ZcWUSSjLDV8skYv9uw7XyB,https://lh5.googleusercontent.com/p/AF1QipOHq0dKsDH4FlgIAurx9VHNt9hs6QU9YScRQRdJ,//:0,https://lh5.googleusercontent.com/p/AF1QipPFFTpI_H76i9IpjyA29uxXLvVz2h-XsPbjUf6a,https://lh5.googleusercontent.com/p/AF1QipMRcHs8Gcpl6K_P1bwGG6DXxF2djlgeg_UPvEZY,https://lh5.googleusercontent.com/p/AF1QipOOkhJX19_2M4BkYIqmjAjc6iucf1Rtq4IEor0P,https://lh5.googleusercontent.com/p/AF1QipOuZkOUEpJEV0ZGydLk0FC-IuNiUGEtsqFA96cK,https://lh5.googleusercontent.com/p/AF1QipO_Cb22snBWPVEk38ULyOVguGpjNL0lMAjOJp69,https://lh5.googleusercontent.com/p/AF1QipPL8mMES3pHqLHCuI8TIwDMSotjjs9X9uZey_Rm,restaurant,Badr city,American restaurant
كايرو باستا,"4PM3+5GF، مدينة بدر محافظة القاهرة‬،, Badr",012 89573117,Not available,5.0,3,Cairo,https://maps.app.goo.gl/bdgBnqUhwEJqejD18,not available,30.132937,31.703812,https://lh5.googleusercontent.com/p/AF1QipP4UapXmPWCixW7FGlUlNM8cb_IEK27jnP__RyB,https://lh5.googleusercontent.com/p/AF1QipNXjLYvxil2X4m8b5jP5BXgZEXk1v3gnCgsIn4s,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Restaurant
Assem Ali,"4PM8+M6V, Badr, Cairo Governorate 4951415",not available,Not available,3.9,21,Cairo,https://maps.app.goo.gl/t9m5RaUEQofYJKe39,not available,30.134188,31.715562,,,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Restaurant
مطعم كونو,"4PH4+CPV، الحي الثالث المجاورة الرابعة، بدر، محافظة القاهرة‬،, Badr",010 08541607,Not available,4.0,2,Cairo,https://maps.app.goo.gl/EwD2boAf5PNNDCXD6,not available,30.221063,31.482687,,,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Italian restaurant
جدو حسنى,"4PH4+G3F, Unnamed Road, Badr, Cairo Governorate 4951011",015 07115956,Not available,5.0,1,Cairo,https://maps.app.goo.gl/KZx8Nva8B4NggBTv9,not available,30.128813,31.705188,,,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Fast food restaurant
فاست بريك,"مدينة بدر الحي الثالث, Cairo Governorate",010 08117285,Not available,5.0,2,Cairo,https://maps.app.goo.gl/jZXiJxrjQCob2Qvc8,4PH4+5C Badr,30.127938,31.706063,https://lh5.googleusercontent.com/p/AF1QipPf0mXWvRJsA39wWPc1Y_vVsrDzSFHGw-4Z3bqf,https://lh5.googleusercontent.com/p/AF1QipO7Lw7cWS3LOQSG7_RVZjfcT-Wx1CxxvNZ4bxTK,https://lh5.googleusercontent.com/p/AF1QipPSiFrUYzJZttB3Al5bDtvwIMt23A0HrwbCBuIJ,https://lh5.googleusercontent.com/p/AF1QipM0M8RfTebLH7_Afn4owHVp1j59a6BwkbyndAdu,,,,,,,,,,,,,,,,,restaurant,Badr city,Fast food restaurant
مطعم وكافيتيريا دودو,"4PV8+CVH, Badr, Cairo Governorate 4952041",not available,Not available,,,Cairo,https://maps.app.goo.gl/gzVV8VQ6XvePz2mG7,not available,30.143563,31.717188,,,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Buffet restaurant
أسماك المنياوي في مول النرجس,"5M9X+3P8, منطقة النرجس، الحى الخامس، مدينة بدر، محافظة القاهرة‬ بجوار مسجدالرضوان،مصر،، بدر، محافظة القاهرة‬،،, بدر، محافظة القاهرة‬،, Badr",011 42919914,Not available,4.5,6,Cairo,https://maps.app.goo.gl/UhwTRbKDxx1kKGkh8,not available,30.167687,31.699312,https://lh5.googleusercontent.com/p/AF1QipPniL1FNwG9mYZHWiBPwNouapm5iSNh3hY2FYR_,,,,,,,,,,,,,,,,,,,,restaurant,Badr city,Seafood restaurant
