Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Olives Restaurant,"Downtown Katameya Mall, Road 90, New Cairo, Cairo Governorate 11363",2C96+3Q New Cairo 1,olivesworld.com,4.1,400,Cairo,https://maps.app.goo.gl/wyEjn8X5V8ce5jQo6,2C96+3Q New Cairo 1,30.017688,31.411938,https://lh5.googleusercontent.com/p/AF1QipPuPe2HzbKbcRFIK9GkkVBq48W6g0YiScT7GtEO,https://lh5.googleusercontent.com/p/AF1QipPrPmJxygDR7s8wrltXRjBGvRkL-5eyDaGAsrZN,https://lh5.googleusercontent.com/p/AF1QipPLyvdBhms69LesI2eZdGM_XpX6SHVvV9zalfl5,https://lh5.googleusercontent.com/p/AF1QipM3aIQEc8jX6QHucXZ7XDU5XhilBXPSL6QL_iJs,https://lh5.googleusercontent.com/p/AF1QipNAWzR3y7ULYS6dhiMhwzFJzLbQ7sFNq5bmPPEC,//:0,https://lh5.googleusercontent.com/p/AF1QipOUyEyDV0gTsIWy3VkPaUT3f3yxddV5t4_1gT1A,https://lh5.googleusercontent.com/p/AF1QipM0K98NfVCL8n2gXoddPlDRUnomlW0iLmABRFdg,//:0,https://lh5.googleusercontent.com/p/AF1QipPwHYcARQjU2lNwKLWb2z4PzZhHXJPwv4__voXs,https://lh5.googleusercontent.com/p/AF1QipMt0Ist2oPJlBgFY526ZWVRGWle5XZo5bZzKknJ,//:0,https://lh5.googleusercontent.com/p/AF1QipNhYjWxjBDVsTgPMKI8sljKG0RTeICgkWDJnPJf,https://lh5.googleusercontent.com/p/AF1QipMo_XMugAR7riry06tu7D9u8KAglV_axSBxba6U,//:0,https://lh5.googleusercontent.com/p/AF1QipMDYP6HOFqho8CLiux8DpZpq0It2Q740BKmolW4,https://lh5.googleusercontent.com/p/AF1QipO52ajgcCBN42Vzf-uMh89wN8bF0SpdV4BegzIH,https://lh5.googleusercontent.com/p/AF1QipN76t9SX6mMO37AUco-2k1Yyx_YNGuH6Y1yloYg,https://lh5.googleusercontent.com/p/AF1QipNQJdt_EZTMcHA1Hcn35JMjtweoDTgdHMYDWZai,https://lh5.googleusercontent.com/p/AF1QipPP2oQK4P8cAJxcTT4Qq1AavRvAhuj1VLEAoQRB,restaurant,New cairo,Lebanese restaurant
Mokai New Cairo,"90th street, New Cairo 1, Cairo Governorate 4725450",2FGJ+2F New Cairo 1,Not available,4.2,806,Cairo,https://maps.app.goo.gl/6W7pZtiTbanwe4UXA,2FGJ+2F New Cairo 1,30.025062,31.481187,https://lh5.googleusercontent.com/p/AF1QipMulYFG7gJYqMRg2tnMPrqQ2w3Aa5kSCK3OZGW4,https://lh5.googleusercontent.com/p/AF1QipPiYbe0BaYh2oCrsNLgcnoAQsS0cxAe2sfiFhZS,https://lh5.googleusercontent.com/p/AF1QipMtLI9mqLQrK-O894M4nld83DSoCN5RYis0Eu_s,https://lh5.googleusercontent.com/p/AF1QipPGS4iDNKrmRSVOn_xD6Yo36togH-vt6wTzghat,//:0,https://lh5.googleusercontent.com/p/AF1QipOyBHWeGbfLnqwNCWRAZNZgTrrTO5iKW4VOT4w1,https://lh5.googleusercontent.com/p/AF1QipM5QiODq5VhfGqAnfChT3Z1hpXshnV8SH6NmsDs,//:0,https://lh5.googleusercontent.com/p/AF1QipMplyk8RH3ucbHnOqJ9bIh3Zu1yY2-Qqrylv19W,https://lh5.googleusercontent.com/p/AF1QipOkVJe0C6Mqw7V0G4lnP4c22ZLdS1jOtzbmCuBi,https://lh5.googleusercontent.com/p/AF1QipMex2XG4rIMRkeY_5VJ7ybuAOF9TE-xm7IFcB2f,//:0,https://lh5.googleusercontent.com/p/AF1QipOdgdSpr8TW_C39scdK2zld-RqoDc6JJKRltkqy,https://lh5.googleusercontent.com/p/AF1QipM1rjAZyeFHRTwEBTeaTE_5nVYcxPeUAgUchdjP,https://lh5.googleusercontent.com/p/AF1QipM7LF9EUoUh4OwrXARGgSHSB4Tbpz1tpqCrrpxo,//:0,https://lh5.googleusercontent.com/p/AF1QipOveDkjcZepmIhPiFEe7NHqMhyZCdDV17zuB36K,https://lh5.googleusercontent.com/p/AF1QipPinKoIzl5HCj0csmZap6nuPGXRhTcItdGgUzkF,https://lh5.googleusercontent.com/p/AF1QipNLC6d1lVsCTUARN-9rlK4pT4AL99AX3UD1C5JC,https://lh5.googleusercontent.com/p/AF1QipP41czJ8HEC0ySw7ztrZqyp7JBkeWIF28Ej2Ulv,restaurant,New cairo,Restaurant
Lucca Italian Restaurant,"Ring Rd, Second New Cairo, Cairo, Cairo Governorate 11477",02 23899000,kempinski.com,4.1,111,Cairo,https://maps.app.goo.gl/oMf4sL6ZrickqX4z7,3C69+5Q Second New Cairo,30.060437,31.419438,https://lh5.googleusercontent.com/p/AF1QipOSnQCG9AbEWgYKT1og3et9ZeaB_-5TY0y-aBIx,https://lh5.googleusercontent.com/p/AF1QipNi47IL-hyBX-4yTOhyXUEfC_q8dewvP6L83grV,https://lh5.googleusercontent.com/p/AF1QipPSAPuNEEYt906SpRWWrXGvMMbkw9yD-5Psef-8,https://lh5.googleusercontent.com/p/AF1QipMkTqNDDMvyU3K6hlyEWBJBZS3lz7gvfrcg2xfh,//:0,https://lh5.googleusercontent.com/p/AF1QipN0Iixp55tFeYsvSzajg7mN8W5JYt3w1n_YDiq2,https://lh5.googleusercontent.com/p/AF1QipPs2NmNDhQeX8zieTd4VntiheLbmgVIOiplsmeZ,//:0,https://lh5.googleusercontent.com/p/AF1QipNl5cvTHcNKhe19cBH8jODZBc8s8Y_JSEWcQz6Y,https://lh5.googleusercontent.com/p/AF1QipPU41-W9PfoBZfuCQ3-V2JOHU92ZobZlY4vqLI,//:0,https://lh5.googleusercontent.com/p/AF1QipPi5j9HC6HUAv1BliQK1Pkx5-Fhj8DM30tf1lek,https://lh5.googleusercontent.com/p/AF1QipM7S0vKRHhMO_JQbeYufN_gupZRYRZNndhM07Ed,//:0,https://lh5.googleusercontent.com/p/AF1QipNL4_C1YN_ciGgAl2YuIqgDBbsb7GUQrNcHybz6,https://lh5.googleusercontent.com/p/AF1QipP2nHvFJ8DuPOvzX2tWD9tGXUJDefLNVpAIN8yW,//:0,https://lh5.googleusercontent.com/p/AF1QipPUSyNuKls5wnxzPlXzeaeVEmGmE3p2bv9Cc0PI,https://lh5.googleusercontent.com/p/AF1QipPMu8AN1D65xwS6SQxPiHeAdjovyZWO8zhtUPdq,https://lh5.googleusercontent.com/p/AF1QipMdzJaS5XFxrvgpjYtQfWVdhyqUCIFtDYbOMI8,restaurant,New cairo,Italian restaurant
Lido Italy Restaurant,"The Spot Mall, New Cairo City Ner Auc Gate 4, Cairo Governorate 11658",2F7X+RR New Cairo 1,https://m.facebook.com/lidoitalyrestaurant/,4.0,62,Cairo,https://maps.app.goo.gl/y3dtUz455EacmMYT7,2F7X+RR New Cairo 1,30.014563,31.499563,https://lh5.googleusercontent.com/p/AF1QipO28eDcsx6U4gpjCjVbz8NwsB0KGtKMQsJSo4Mq,https://lh5.googleusercontent.com/p/AF1QipNLh23DA7uoZFSXM36EOZw4KoQUWz4G3HMYMoYe,https://lh5.googleusercontent.com/p/AF1QipNMECwRuDcIplm8gSjR-Bjdjr2o4uunmc-Gw1it,https://lh5.googleusercontent.com/p/AF1QipOO-lcLI6dtstI9Lbw8_uRwTfwXIbcLYce84vw,//:0,https://lh5.googleusercontent.com/p/AF1QipNDiLUemc01HmlNVJEe-b9A7IqLAmJrp-nK8tA,https://lh5.googleusercontent.com/p/AF1QipMLuQVy4OxFwOIGGQK3BvVaZiT2fbbnQWAKP89W,https://lh5.googleusercontent.com/p/AF1QipPhG6YZqaKfKkLYmcJoDHKXD4Qsz1elQFZhb92G,//:0,https://lh5.googleusercontent.com/p/AF1QipOyw7a9u438oyX7DeCaFTjybx-cIg3gs7gvM5o,https://lh5.googleusercontent.com/p/AF1QipOl7MxdZ9CWfdHzl9OxxKdn3KrMz-fF22C2q1Gp,//:0,https://lh5.googleusercontent.com/p/AF1QipMrgNi8rfEJQ1Y6b_TXYOVMsJaQGTkP6WdKGxQ1,https://lh5.googleusercontent.com/p/AF1QipO1D3odJj9AD6DTxjENC_a3qsbL2bZeSA4P5dBC,//:0,https://lh5.googleusercontent.com/p/AF1QipMWsBbtv6cXYXQxbzMQBS-8M_cV2vcPjc2DPTxp,https://lh5.googleusercontent.com/p/AF1QipNH_07XU1Irf_MNeO5qe9qpP0_da4lKPxDSadR4,https://lh5.googleusercontent.com/p/AF1QipNTBqi1VsLLd6DRo7ZVPu3yOlhOGPq6Ob-tbPSX,https://lh5.googleusercontent.com/p/AF1QipMXtG_Z0utGlfxjIwPg6Qj7PzeOfJud1AoJBmPA,https://lh5.googleusercontent.com/p/AF1QipMNFRqgFHBjhhFsH3m6dF0HdFg1jhYGJuAzKfJq,restaurant,New cairo,Italian restaurant
Lexie's,"El-Tessen street Lakeview, Cairo Governorate 11835",2FF3+QJ New Cairo 1,lexiesrestaurant.com,4.6,594,Cairo,https://maps.app.goo.gl/x55mpxiHADivTDBb7,2FF3+QJ New Cairo 1,30.024437,31.454062,https://lh5.googleusercontent.com/p/AF1QipPx7b-hvDnXtyPlm-hD9i3_yJRClpdpeNfOEqSc,https://lh5.googleusercontent.com/p/AF1QipPbJ3K7DdHimMrW_dNRA09t6oArMKAhLjX8r_Ir,https://lh5.googleusercontent.com/p/AF1QipNsEIv0BI4GqXi5u6B9MywaJrjviKt0REXnOEsX,https://lh5.googleusercontent.com/p/AF1QipMeo9FMiUKrD8VicIo9zrMjMtHdTQ4-tDvzUvCA,//:0,https://lh5.googleusercontent.com/p/AF1QipPPY1gdt3w7Gsj1aMN537rQxlt3oCp3qiz2e9oy,https://lh5.googleusercontent.com/p/AF1QipOQjCKP0sdGim1VRJ1biulRBdYUC_dpzD1Aerhm,https://lh5.googleusercontent.com/p/AF1QipOZjVdEyJhZTeGBUHXf-HVMdV_JEFXkVa9JPDrO,//:0,https://lh5.googleusercontent.com/p/AF1QipNN4MGv9R8nN_EnK39UFhrbNXRj_29Nwalgunyt,https://lh5.googleusercontent.com/p/AF1QipMrNKP0ixxgsLpAqffRu69j1WCQzMFFkCok6Drr,//:0,https://lh5.googleusercontent.com/p/AF1QipPEKQX78XD0_I349vorliU-w5rI8nWCsx6Zc7uF,https://lh5.googleusercontent.com/p/AF1QipMgkBOe4p9gy6slmptas6A3EOVdMCO2MxdFognj,//:0,https://lh5.googleusercontent.com/p/AF1QipN0qxvTtElqNrm46z8rU8AX6dQNfgBbIOPCdITB,https://lh5.googleusercontent.com/p/AF1QipMJrzie0E4xj5896D-G4mGclPovYwkcisWDvz4A,https://lh5.googleusercontent.com/p/AF1QipNXf4hRPMgNENLwwDu9zp-cTkqlropZbl9RtFew,https://lh5.googleusercontent.com/p/AF1QipMm5bjKhfAAN01SKhnS6VJELWT7KVyfrfYy04E3,https://lh5.googleusercontent.com/p/AF1QipMMp1gZ0MoK0t7gtYPOZHhbKARbBCZAAVMCa3Dq,restaurant,New cairo,Italian restaurant
The Tap East,"Stella Compound, Mohamed Naguib Axis, New Cairo, Cairo Governorate",2FWG+6F New Cairo 1,thetap.co,4.2,"2,924",Cairo,https://maps.app.goo.gl/PUcNzLyppAcDFimZ7,2FWG+6F New Cairo 1,30.045563,31.476188,https://lh5.googleusercontent.com/p/AF1QipMdeDpyg2bLnycCSPraphmcqv5gJcvj8J0b3kO9,https://lh5.googleusercontent.com/p/AF1QipMsv3TIv6mwNLoofDxqOiCIBOwWZZOaNCBqDSA1,https://lh5.googleusercontent.com/p/AF1QipPCIv823__rib8a5prCk0j0eTXdTIipmMIkWT3E,//:0,https://lh5.googleusercontent.com/p/AF1QipMmlfkq7ZrAy1fKpYo0CHyA8xVtHpPv5wtJNt5p,https://lh5.googleusercontent.com/p/AF1QipNWVmOaJjUQYt2VT_YtXKnLkkgwcWHdlrwb6IYv,//:0,https://lh5.googleusercontent.com/p/AF1QipPRqlkl1vYu30wNZ9q6ojCg0JtZ6TjLGNjA0w40,https://lh5.googleusercontent.com/p/AF1QipMd5NZoiaKCRRYoHz0WlSQexBfs3lCy37Z0g5RO,//:0,https://lh5.googleusercontent.com/p/AF1QipNlWy9F0wIJA7HJqS1FNWmeBDFIotoAzF1QWkUo,https://lh5.googleusercontent.com/p/AF1QipO0s7m1DpM2WoWJrrUvFlZgpLzEkaeYbI0FyB52,//:0,https://lh5.googleusercontent.com/p/AF1QipORKd79QBSrrxuMAVXWd_GdGTSplLfaXkR0hBSf,https://lh5.googleusercontent.com/p/AF1QipOiP_UIwBN0djyugYSWMUOFoeNwu_aKMNpUrMN8,//:0,https://lh5.googleusercontent.com/p/AF1QipOPVhYHRJ5wbkKeRfedgMsWBcjtZwfEoW-cbALx,https://lh5.googleusercontent.com/p/AF1QipNBaDn-womxOvoZXdVq4Db--fyCmcYXZjWjuOs-,https://lh5.googleusercontent.com/p/AF1QipMKWTCmiuqZkwkmOAs1HoLwSfDYqwr34tvqHPF1,https://lh5.googleusercontent.com/p/AF1QipO_jxjNrylFDkRzaB-3ZV--nOCdUc4iaH_6tnP4,restaurant,New cairo,Bar & grill
Beit Aziz restaurant,"90 N Teseen, New Cairo 1, Cairo Governorate 4740020",2FGX+M2 New Cairo 1,Not available,4.7,634,Cairo,https://maps.app.goo.gl/YTyRyVyPz9HF9igY6,2FGX+M2 New Cairo 1,30.026688,31.497563,https://lh5.googleusercontent.com/p/AF1QipP4Teh7tXlS1aI2581ihO_kiYFMv5rbktgcNYXc,https://lh5.googleusercontent.com/p/AF1QipPwurOqQZEapgHo6aTSePqB8qR4xD8dQL1qAXM1,https://lh5.googleusercontent.com/p/AF1QipMJVzdpsINznZzmKSC6lCSvSdgK1WnqRqTUZzmR,https://lh5.googleusercontent.com/p/AF1QipMsX0NNiaW0QyestKHgykYtWG4maNzuSPLKD8Xs,//:0,https://lh5.googleusercontent.com/p/AF1QipPP5MOhn0LILHm-fxNIi_CzXcnQztwMXjsmgZ3A,https://lh5.googleusercontent.com/p/AF1QipOOFoA-i13XzUCUFOXZqy74C_xmNXiwEjoBEqwd,https://lh5.googleusercontent.com/p/AF1QipNZkLNIL6EvL4vym-pXY4vzcA8J3MCiW3nvbRQk,//:0,https://lh5.googleusercontent.com/p/AF1QipO7XDISke31o4Vl2VQfoNFjJ1hRevkCTWv4WPk,https://lh5.googleusercontent.com/p/AF1QipMYomGIdgcg2pEPLNvK4WBlQh_QmosXkb0xLC6c,//:0,https://lh5.googleusercontent.com/p/AF1QipNrvgkHcpuw_OZ_dVJydWRzgjZCw70TV7ZyNkTI,https://lh5.googleusercontent.com/p/AF1QipPlK5WmchpAhMW0QJN8_7ohdsf8_-n0LKT2QSI,https://lh5.googleusercontent.com/p/AF1QipN9hfGY-FAoULfSofsOrx8FkyqsY6YfItdSTusS,//:0,https://lh5.googleusercontent.com/p/AF1QipMNkRi9OHaJncPakTpKMqD65jDB-CDviFKAxPOI,https://lh5.googleusercontent.com/p/AF1QipNL8F6Shk-6JCiYFKNw9d0F2jURy0RqvpNAZom6,https://lh5.googleusercontent.com/p/AF1QipP9PwOtYNzm7nQ0FZSzAk9mAP4qeQa3-P1nwofX,https://lh5.googleusercontent.com/p/AF1QipPO2-wNd87ibGtXGo4-U8lNn4ruKxqEmoupGtw,restaurant,New cairo,Family restaurant
Kazoku,"Swan Lake Compound, Second New Cairo, Cairo Governorate 4732401",012 70004877,kazokuegypt.com,4.6,"2,236",Cairo,https://maps.app.goo.gl/D5KCp65UodzCqtWt8,3C6P+FR Second New Cairo,30.061188,31.437063,https://lh5.googleusercontent.com/p/AF1QipNSeBcjZGoHUJzqNmewxpqkkSq1iK4JspkyW7gV,https://lh5.googleusercontent.com/p/AF1QipNFltiAZPpNs9TUYwsHaqVxk90rdocCSNR6D36_,https://lh5.googleusercontent.com/p/AF1QipOfvQ72e2wxZQNyI3AH-AoPwgz__KlnnfQpsEBS,https://lh5.googleusercontent.com/p/AF1QipOnWMBPfUC-pl0ZMEPaGexJCBHMNRPRujgH9PG_,//:0,https://lh5.googleusercontent.com/p/AF1QipN8b8lReCSQ17SiGfer_SEEElHgrIS_sh9GgMwg,https://lh5.googleusercontent.com/p/AF1QipNVCHqNO5b5ChHnXSqJ-C2t5o2o8qXELq1pS2RI,https://lh5.googleusercontent.com/p/AF1QipPEDJ4Mb9YUK9Yzgy3rEHtPSLf65B9AFcogbSwu,//:0,https://lh5.googleusercontent.com/p/AF1QipO2wQutFCQelwq4CaESHGKFwTqMA8sdAlIxEi03,https://lh5.googleusercontent.com/p/AF1QipPtXlIkgFqoVnvRU71N9sNMHXq6a0Wqhtkzq_B8,https://lh5.googleusercontent.com/p/AF1QipOWgR-F_FHBrXNeHBoIqjHtmdo-jOruo49xosOA,//:0,https://lh5.googleusercontent.com/p/AF1QipOUzaqBSm3uZPzhfi9kvYhGt-eNwXnPaTs9HF4D,https://lh5.googleusercontent.com/p/AF1QipNHggr7WYdHXnRfQ9Bgm_tf7UG4S_hljYO_ZH4K,//:0,https://lh5.googleusercontent.com/p/AF1QipMimfAI4Iq5ccu_emY_YotmYe2GlEkOIru3LypF,https://lh5.googleusercontent.com/p/AF1QipMp4PA4br_E4UFLfbJniXv1I-GBKw53oJm7wZHX,https://lh5.googleusercontent.com/p/AF1QipOWFCgd8VcL1rrpEolEK6eHmhcAI2iXFegEb7Ce,https://lh5.googleusercontent.com/p/AF1QipOYrl1UjjbehaQDAvNnMU-c0hcaM7_EwdMP34gf,restaurant,New cairo,Japanese restaurant
Santoku Sushi & Steak House,"54 banks street, at northern90 street, Cairo Governorate",2C9J+2F New Cairo 1,Not available,4.3,128,Cairo,https://maps.app.goo.gl/8nPMwXsoMYUNK9Fh8,2C9J+2F New Cairo 1,30.017562,31.431188,https://lh5.googleusercontent.com/p/AF1QipPpN3Gt0XSR-A9xu0JTH4yYXNg8ZzEbY7vTK-xq,https://lh5.googleusercontent.com/p/AF1QipPHAmQ-oc_N_p8jery7kBZww16r8s05U4i5QavQ,https://lh5.googleusercontent.com/p/AF1QipNGG3tzOgryj4NXY7LESw-4zkaK3O7v5OHGThi5,https://lh5.googleusercontent.com/p/AF1QipM1wgI6QDMj9kNpkDNNA2EPRti4KV9d63L_iJuG,https://lh5.googleusercontent.com/p/AF1QipNoncJ1Lqy6ADRK4TZEuWgPVQ73_tKl1Z28I7TU,//:0,https://lh5.googleusercontent.com/p/AF1QipMikXG8xJxJGKxlz80pXgLMkq-_cMLbVo8lhvR3,https://lh5.googleusercontent.com/p/AF1QipMKf87jHopX9zQGIgRtPsQ2AXvV53nYgftZxC-2,https://lh5.googleusercontent.com/p/AF1QipMbdojkfwBmI0YSo_u5f2BgLktJQ4Y1LgmE3ASY,//:0,https://lh5.googleusercontent.com/p/AF1QipPwlqIF4AsOcWRX-q7frdJOZWNZBoN-zGW8Bw5J,https://lh5.googleusercontent.com/p/AF1QipN56NMzXvtNK_EER0qDcV0O31c1U47fB03PQ650,//:0,https://lh5.googleusercontent.com/p/AF1QipNuLV3boi8nFkCcxQjjjfrRWmMlntBsgwOFEAfq,https://lh5.googleusercontent.com/p/AF1QipPTe6A7KqiYJJb-_ubabWJ9-YXVuteNrrmI0V_Z,//:0,https://lh5.googleusercontent.com/p/AF1QipNFxnnJXA-i-tQxRR-wG32PjpQssnx5X0N4wXUU,https://lh5.googleusercontent.com/p/AF1QipO3lIQPZ2DXizv4KGdLyCp8CkF9j983PaGdBVbn,https://lh5.googleusercontent.com/p/AF1QipOuB9Oc2zJVpoHJXXsJIbymSpis8611BYqsPEe4,https://lh5.googleusercontent.com/p/AF1QipPTgly_bVY7H8xjAXjjCU8FIHUX5RwcWMghiP0I,restaurant,New cairo,Restaurant
The Smokery,"Katameya Heights Rd، Cairo, Cairo Governorate 11771",XCV7+5P New Cairo 3,thesmokeryrestaurants.com,4.3,"1,397",Cairo,https://maps.app.goo.gl/qaXH3ZXbjC9frT3T6,XCV7+5P New Cairo 3,29.992938,31.414313,https://lh5.googleusercontent.com/p/AF1QipNB-Wcnp72-HtNPgaAxO_p7a7AxE_psEk617An6,https://lh5.googleusercontent.com/p/AF1QipPD5A6iXmgUi_IgPvRXKn-IfhGGkGI53Dd4peck,https://lh5.googleusercontent.com/p/AF1QipMdhCvVlbKmnOMAliCJR7kFsP1nwBr1bHPCildT,https://lh5.googleusercontent.com/p/AF1QipNAl4EoAYZpDN8PHqItw2rwqoo5ia_t7olamMNO,//:0,https://lh5.googleusercontent.com/p/AF1QipM0MJHX0f5kBE0keVGp-AZfugaIprPCFqlnqmvf,https://lh5.googleusercontent.com/p/AF1QipPgibrlZYNYoc1RIhWEB0wtgs7nUn6d66Wi4cix,https://lh5.googleusercontent.com/p/AF1QipOZuS7bPFBdhwRcouB9YE4-8U9fGdAJzGMHwNo-,//:0,https://lh5.googleusercontent.com/p/AF1QipMtHoZrjrNQJGaykQYlGjFl0D6hEKx7Cf6EqTDg,https://lh5.googleusercontent.com/p/AF1QipOn9CtA5U6UQEqtVpH4-mrWayAlWcJdGlcVI_WH,//:0,https://lh5.googleusercontent.com/p/AF1QipNwV6fTHEoz62ThCBWYmXDITXwLG0tYAzg4dde8,https://lh5.googleusercontent.com/p/AF1QipN6fpOCujnlFW0rFaZAKK830TD_KRpwP-SyQqbT,https://lh5.googleusercontent.com/p/AF1QipPSIny5hzFGYpR0WW2J_49i17v9FtC4ZtAnC_GJ,//:0,https://lh5.googleusercontent.com/p/AF1QipP_tehb-XN6y31rPUEabymmpAc-8RuzFczr8UXL,https://lh5.googleusercontent.com/p/AF1QipM9b0jLKSVfS1zX0B_OzRAqnMlxmhQgOpNA7rdD,https://lh5.googleusercontent.com/p/AF1QipM8S50bTiSB_DkBnhT_RqU0Io-wKrgk1obYT1Mi,https://lh5.googleusercontent.com/p/AF1QipP8DEsFpvLbFBZjgvok97UD6v3vZMLlV6HNnwxv,restaurant,New cairo,Restaurant
