Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Fish & Chips,"Al Obour City, Abbas El-Akkad, St, Cairo Governorate",010 17500397,https://www.facebook.com/fishandchipsegy?mibextid=ZbWKwL,,,Cairo,https://maps.app.goo.gl/ESwZCm7t6LfzP7no7,6F82+GP Al Obour,30.216313,31.451813,https://lh5.googleusercontent.com/p/AF1QipMtOFlZOO6knn-tllb4UKCyuNryKsja5faobNJU,https://lh5.googleusercontent.com/p/AF1QipP_bkajlZudY88wdJT_SIS9wTleBp9NvxjOXydu,https://lh5.googleusercontent.com/p/AF1QipOavJ2JNQL6ZGzd82daJf9YSBoNu2CmC5Imtm2T,,,,,,,,,,,,,,,,,,restaurant,Obour city,Restaurant
Qatma Restaurant,"سنتر ال الرضا موال بجوار بريد الشباب - بجوار نظارات رؤية- أسفل كشري ابومازن, الشباب, Al Obour, Al-Qalyubia Governorate 11828",011 57573306,Not available,,,Cairo,https://maps.app.goo.gl/R2BsR4KaABoVfhjn8,6FHH+8X Al Obour,30.228313,31.479937,,,,,,,,,,,,,,,,,,,,,restaurant,Obour city,Restaurant
Pronto pizza,"Al Obour, Al-Qalyubia Governorate 6361264",010 68784004,Not available,4.2,16,Cairo,https://maps.app.goo.gl/RvHmTXiyfhNTD5jH6,6FCJ+W8 Al Obour,30.222313,31.480812,https://lh5.googleusercontent.com/p/AF1QipN7-JzSxiA0z1eJSQKoOvbXG-JzalLLOfAy7qgf,https://lh5.googleusercontent.com/p/AF1QipPTfCdypcZG9Y1a6MfwavScuRyHv7CFc0sgw2OP,https://lh5.googleusercontent.com/p/AF1QipMmOGP0M1bU6AdWDTPTjc99PLP9-cJNo3LKXxVj,https://lh5.googleusercontent.com/p/AF1QipOcr9fAB9umN6FIjRDChqs7ZLkT-pW-cyBEz4yl,https://lh5.googleusercontent.com/p/AF1QipP3IvMi6IOvG2OQFdbC8B5TDsKy674eohA-dAxx,//:0,https://lh5.googleusercontent.com/p/AF1QipOPdSWwnnoKBFKCtBrL1sQ9L2wbXWb4fh8xKGkU,https://lh5.googleusercontent.com/p/AF1QipMNMaHcdEqtRDDY18ufacFS9GM0cS46s4mjJsK7,//:0,https://lh5.googleusercontent.com/p/AF1QipO9O93omu2goZmvUiaYf7LOUkJjDxsbQCrwKDOk,https://lh5.googleusercontent.com/p/AF1QipMHH__k0P_Ufyvh0OYVUcm2JUuZt2CNBabnWY_1,https://lh5.googleusercontent.com/p/AF1QipMCSN2CZFr59CmMAqEfQ8vccAmwfo4Y_EY-Igct,//:0,https://lh5.googleusercontent.com/p/AF1QipNQvf8rPbiV_UBTpVHJH5zfeEkdKRwgcT59tiGt,https://lh5.googleusercontent.com/p/AF1QipNVl0eSoHTqJF06WMb19aepjhpUr16tS7wYYztn,https://lh5.googleusercontent.com/p/AF1QipNzOtZUQsSVaaBFeI6Urlp-Bo_hNdeX_KUXp6bV,//:0,https://lh5.googleusercontent.com/p/AF1QipO-qaxfr4v5qjhr3lmx-Jfvb70t35xA0qZSwcmb,https://lh5.googleusercontent.com/p/AF1QipOU3aU1BzvZzuDCTUOyKxcCTm8A0XGVeTP5Z8SX,https://lh5.googleusercontent.com/p/AF1QipMfQIFmDE_mM3SnQ6bp9YFKM4jD_ynnRjv238zl,restaurant,Obour city,Pizza restaurant
McDonald's Obour 2,"Uni Mall, Al Obour يوني مول، العبور",02 21600377,mcdelivery.eg,4.1,"1,169",Cairo,https://maps.app.goo.gl/89NuiEW4qfZrvuTz8,6FH4+5V Al Obour,30.227938,31.457187,https://lh5.googleusercontent.com/p/AF1QipOHXTh5R6ZLVe1ANWWfPi2BYateYX0MjTpuhfVB,https://lh5.googleusercontent.com/p/AF1QipM-u-wve-O0Xai2MFG9cpGLUX6NbYERHC2ZPgC4,https://lh5.googleusercontent.com/p/AF1QipM1jtQgXy80z1FDHqr_P7v6WaBCbRPFDBsKy1ju,https://lh5.googleusercontent.com/p/AF1QipNHpYg-x2Qdij0rqzyzyCWguiEkb8Du0hodO7Cg,//:0,https://lh5.googleusercontent.com/p/AF1QipP6o8ngeAgap2KsEwSRrSMv25XGso62A51PYzn7,https://lh5.googleusercontent.com/p/AF1QipMIWzQLzhGXAtfT1txV8tcOR1vj2ncXjzzJ-SMr,//:0,https://lh5.googleusercontent.com/p/AF1QipPNpZrFJKwtj06JykzMXuIL_s3216K4ZIPHArS9,https://lh5.googleusercontent.com/p/AF1QipMILknAqBmxDw8PXH2rnIqmtyb7s6TxMrpEowpt,//:0,https://lh5.googleusercontent.com/p/AF1QipMCLOq9uB7fXV9qjCDCkczHKmy65-OvJwH5nPNK,https://lh5.googleusercontent.com/p/AF1QipOrKMEIj50J5dtvfuHJuyvIrNB2wgzQMMubCNuQ,//:0,https://lh5.googleusercontent.com/p/AF1QipPnPUjoF1k4Aedq58TtkSQU1ZFEnRW1cpFaG9RV,https://lh5.googleusercontent.com/p/AF1QipNzDtryA-PtoZC3kJJXD9-fDxYasBwdxZkgNAjR,https://lh5.googleusercontent.com/p/AF1QipMgIK8WK7T7bogUHrfpwb2GA8dgIgId7XowAvJm,https://lh5.googleusercontent.com/p/AF1QipPB3qjPxUdnoYfPYS7XqRbUpxARI1M16fDpUXB7,https://lh5.googleusercontent.com/p/AF1QipM8U6Nrf_KOtoLXnUq5KbdHsAhPk4v-2RVNsOUR,https://lh5.googleusercontent.com/p/AF1QipPs6Vw31BsCPs_s37thOlv9hBEZ7_x1opnjXE3l,restaurant,Obour city,Restaurant
Shamma Restaurant - مطعم شما,"Avenue City Walk, Al Obour, Cairo Governorate 11828",02 44890489,Not available,4.3,331,Cairo,https://maps.app.goo.gl/iLPvQ72rh6daPw9t9,6F23+WW Al Obour,30.202312,31.454813,https://lh5.googleusercontent.com/p/AF1QipM4oeTsGxc5-1mIaQEAoViGbhkQARao3fgR--V3,https://lh5.googleusercontent.com/p/AF1QipPAqqnNI3ws4Hnaox3VquZH1abOUIetUGFlV9Yl,https://lh5.googleusercontent.com/p/AF1QipO3RNVvJmZIu9o8Ii1yJZy5bK5o2KZRliKJctkH,https://lh5.googleusercontent.com/p/AF1QipNeG1Whmtn5BKHQ9jtXKKV05W9N_4RJNS2dzCcr,//:0,https://lh5.googleusercontent.com/p/AF1QipOzAhMRwOj2Z_jdqiuaFlzuL8fY4bI8EbfmWdtE,https://lh5.googleusercontent.com/p/AF1QipPtB16odkFbcM8xHqpB54oIrTkPpxNTisoveqof,https://lh5.googleusercontent.com/p/AF1QipOMe3Z8ayvUikOn5HJlgb6GL4opteivQcUu6n72,https://lh5.googleusercontent.com/p/AF1QipM9M4aMKkHzLdM0oK0VtJuywWi6nLRLGobEx6DT,//:0,https://lh5.googleusercontent.com/p/AF1QipPJwwFeNWl9RhI1NJ9ZX6fBDTx_GthaVf_WiJ9J,https://lh5.googleusercontent.com/p/AF1QipMOpu5TRAkhav2_Gq0gvha3supwaX0GozIM4w59,https://lh5.googleusercontent.com/p/AF1QipP1vpvgBBuxzYmWET16ljPPuwwCoPbeg1E8LTn9,//:0,https://lh5.googleusercontent.com/p/AF1QipN01e1I6hw3HgZc8NJ6NTCxp0tfdVjpZPVKN7GW,https://lh5.googleusercontent.com/p/AF1QipMvMVRPpyiDt6tU7keuFA7X9gij3IN2LccgLv77,https://lh5.googleusercontent.com/p/AF1QipNhGI1CvKW0V6lPlGCPVJWAQBkX3YUAEH9xOIIp,https://lh5.googleusercontent.com/p/AF1QipPN4z9eKIHR1KYVFcO0HxgfP_ihoSkR9t6AVNCT,https://lh5.googleusercontent.com/p/AF1QipOiTkk8eW0W4iur-8BMQFnt0loFYv9Ttenv9UIb,https://lh5.googleusercontent.com/p/AF1QipNLcIxNyRf3DHC_O2Ts1JGDPlIsAH52UWQFIOqb,restaurant,Obour city,Restaurant
Chicken Dalain Damascene,"El-Sadat Rd, Al Obour, Al-Qalyubia Governorate 6361530",not available,https://www.facebook.com/Damascus.Daleen.Chicken/,4.1,"3,610",Cairo,https://maps.app.goo.gl/nGuRmA1z6oaqFfKe9,6FPC+92 Al Obour,30.235937,31.470062,https://lh5.googleusercontent.com/p/AF1QipOU2vAzuAqicW98x-Ewq1tcfhYozrhWrJ3W5olO,https://lh5.googleusercontent.com/p/AF1QipPVuwJrubd-NybGMchGbMor6X7S1RmxdepzWP7M,https://lh5.googleusercontent.com/p/AF1QipMtvIzjT_UvfwOLJV_ce0OTwY72A4dfBE_vfiku,https://lh5.googleusercontent.com/p/AF1QipOk2-GbrwKJj28Y4Fq-nCgcnRR8Cx2OsxNbH6XM,https://lh5.googleusercontent.com/p/AF1QipPfVJgnABbEYsmXjY79pwjm0SIj6eKgk3NIrVYt,//:0,https://lh5.googleusercontent.com/p/AF1QipOSGx53nUVraR9zAp6pKbWTg6Un5UnYhwC3smsV,https://lh5.googleusercontent.com/p/AF1QipMUCXsNUMeEzX90GCtHP5qL-R_Ms0h7Cq4HFQG2,https://lh5.googleusercontent.com/p/AF1QipPmt8QYAZY1mWi6V-CRE73YeZJHVOxDN_833mYJ,//:0,https://lh5.googleusercontent.com/p/AF1QipPcnINdxz2M18NLT5mhhPvPAXMpnw5ME2_4BDsj,https://lh5.googleusercontent.com/p/AF1QipOD-2XgjKX5Pf_4a2x3I-o5x2SiuuMPMMjsnrvd,//:0,https://lh5.googleusercontent.com/p/AF1QipMt0tbM1gGCWcbAOrDidNgVawCFmNyToGqulA4E,https://lh5.googleusercontent.com/p/AF1QipOqPKuXqPOqKJrc4Np6ucL3AqKixjO88TnRqToM,https://lh5.googleusercontent.com/p/AF1QipOwD4H6jrdjyjraRfWWcxTGsi9nXFdgAEhRHig,//:0,https://lh5.googleusercontent.com/p/AF1QipPMABcEdyTykfxSZ6H25SUqVnJeDrQh17ucWm-B,https://lh5.googleusercontent.com/p/AF1QipMbRWfVU7beYeXb1TxBx22890nYOfXWTXxCTOLf,https://lh5.googleusercontent.com/p/AF1QipPfiS4_7_eWwcrjJtqDgjYXQ8gqyHplfeehH9vh,restaurant,Obour city,Shawarma restaurant
Soleil Pizza,"6FM9+R97, El-Sadat Rd, Al Obour, Al-Qalyubia Governorate 6361444",010 91911168,https://www.facebook.com/%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7-%D9%88%D9%81%D8%B7%D8%A7%D8%A6%D8%B1-%D8%B3%D9%88%D9%84%D9%8A-%D8%A7%D9%84%D8%B9%D8%A8%D9%88%D8%B1-1461458330826394/,4.0,520,Cairo,https://maps.app.goo.gl/b98aJGqmjC28Q9d19,not available,30.235188,31.467562,https://lh5.googleusercontent.com/p/AF1QipOIWPrHY4h6NjPzM32PY8MMHRBABEOinKir2x5H,https://lh5.googleusercontent.com/p/AF1QipOGkfdR3qKdKPrh0MQ9K5ESN5eCG6cyfq24NDH_,https://lh5.googleusercontent.com/p/AF1QipNJhaCdiG4Uj7kJ1NhRyDsy7RqFpVDRY49GLIft,https://lh5.googleusercontent.com/p/AF1QipPX8_6Thk1ZkuX0tTtPgsGuu6GfyyMuYk__FbmL,//:0,//lh6.googleusercontent.com/Hoxpz6ss58nYdCL0i3P_W7Qv-1uiXfXJTEBqQcAyVYslXIQAj8vw5gGq0CnbcAQm,https://lh5.googleusercontent.com/p/AF1QipMbN2z2uA2mNB5uK5apSqBuIgmxrGBtgVHXK0MB,//:0,https://lh5.googleusercontent.com/p/AF1QipNVG4iTPrCMhyjYE_kJGz3dVNOMiHbBIg8SzolY,https://lh5.googleusercontent.com/p/AF1QipPRGEcivI1clkvk7tCEZHStyfvzJPWoBRf5J14n,https://lh5.googleusercontent.com/p/AF1QipMnMxkPKYoAaIF6U332TCbqiAATwVwloWXFyWvv,//:0,https://lh5.googleusercontent.com/p/AF1QipMAj9tZdah-jxGg9O2Ucx1o6aOX6vXzllZwaJDJ,https://lh5.googleusercontent.com/p/AF1QipMIxRTWOq9xPlb6fNH0hYAmusBoOVt5yACUtLp_,//:0,https://lh5.googleusercontent.com/p/AF1QipPeCU84fXk-jDKeaVObvQG1CybZrt2JPDMqBJDj,https://lh5.googleusercontent.com/p/AF1QipP01TpvnWG5RUmC_uy0ioJi8ow8NXnQaVwVYLif,//:0,https://lh5.googleusercontent.com/p/AF1QipM7LMvSNw5fd9sDNaBaSG73WHWK0jXKgj9NaSb-,https://lh5.googleusercontent.com/p/AF1QipPohNTkrmjtHFlNl-DC3sx-1g4JuPYkGFBw0F61,restaurant,Obour city,Pizza restaurant
Abo halab restaurant,"El-Sadat Rd, Al Obour, Al-Qalyubia Governorate 6361530",012 26231210,https://www.facebook.com/ABo.HALAB.CaFe/,4.0,"1,015",Cairo,https://maps.app.goo.gl/NF9EzN4gUEdBvFTe8,6FP9+56 Al Obour,30.235437,31.468063,https://lh5.googleusercontent.com/p/AF1QipNf0uSbSKTLc1mBp-UxwhuXY4ZExTQsEZl6_PLf,https://lh5.googleusercontent.com/p/AF1QipOGe4Mt_UCTe8BINTo3cB7YvhkO2-LVMBBHtOix,https://lh5.googleusercontent.com/p/AF1QipO7ubTNojSOCLdq55pBCtl3H_tweDYALTyA8FRh,https://lh5.googleusercontent.com/p/AF1QipPrTTelzfLOQkGuyio-esOp2OUu5CFdZMVyA98,//:0,https://lh5.googleusercontent.com/p/AF1QipPn-VKAZEbPBnxN_fofU44B9IFMnBKAh-Tx0uw,https://lh5.googleusercontent.com/p/AF1QipODimxCQ5pIWRlEW-cwRJJ_riqQPGDoTaONpp8,https://lh5.googleusercontent.com/p/AF1QipPYx0oEctjyzRbB-GISod4hztnEL88PlNjO3kVB,https://lh5.googleusercontent.com/p/AF1QipPVSxMFAMTKsapibFATDG1tFNamSCTjA8NXGBM,//:0,https://lh5.googleusercontent.com/p/AF1QipNIMCAtt78wVo8o6ZMEjEsNUC6sGwx36X3plfgi,https://lh5.googleusercontent.com/p/AF1QipMd4ccZ8c691LOWu4ms-dPMTeergSuftgcofn46,//:0,https://lh5.googleusercontent.com/p/AF1QipNpE2P8jHnD5YfX7CZ_5KWchylSmS23zndplCo5,https://lh5.googleusercontent.com/p/AF1QipNv8qVv7E4glW4mMhCr-07uh2-EmNyFWq5R5q8Z,https://lh5.googleusercontent.com/p/AF1QipOvBpmLlzWDkY9P9dJdAxFUGEnhvr5Bk2J46KML,//:0,https://lh5.googleusercontent.com/p/AF1QipNNUYU31Dk2nTiglvrd-1RuIukr62wBwq9DxaM,https://lh5.googleusercontent.com/p/AF1QipPYgPp7eQtGdGhOdz_ywML--wr_V9hecnRigsE,https://lh5.googleusercontent.com/p/AF1QipP0ailsK1hGNMFxUy1HR1oLy7cjcTnPIAFYz859,restaurant,Obour city,Syrian restaurant
Mario Pizza,الصحافة، عباس العقاد,010 12739020,Not available,4.1,205,Cairo,https://maps.app.goo.gl/4zAuMFeBF4WNVuuT7,6C8X+H3 Al Obour,30.216437,31.447688,https://lh5.googleusercontent.com/p/AF1QipMnZxFLErc3GanHmWKoifUsPs0Voo1B7tIkKh20,https://lh5.googleusercontent.com/p/AF1QipNRR8QQJfvE-cSdIN8Pa0schaMrcsHkONRmKHxX,https://lh5.googleusercontent.com/p/AF1QipOTUJs4_eflh1L3hgDrlUyL9Sk9PfPD2M04T4EQ,//:0,https://lh5.googleusercontent.com/p/AF1QipP7K6bup_WwRlN14KyZrXwXt27zbpWuloNRdfey,https://lh5.googleusercontent.com/p/AF1QipORT975J7vmectNaohbzNI0TurSGNTPZk5F7Zst,https://lh5.googleusercontent.com/p/AF1QipMwbllPgWCyn4kQgsPftmy6Ci1WcKUarNWC_rW1,,//:0,https://lh5.googleusercontent.com/p/AF1QipOM4JfHzIoLxPF2Fo-g1S-GsR8apKBo5tT5ol8d,https://lh5.googleusercontent.com/p/AF1QipM8luMH4cEbUzpYER51hOnTBCrg_jBdVtf2DdZj,https://lh5.googleusercontent.com/p/AF1QipN8xNJVzDkh-cPqiMg70JiOabchtn8X0L68lVYt,//:0,https://lh5.googleusercontent.com/p/AF1QipMevzDevLscssC7yoVgn9iIE3b8yBPd8YesAm7t,https://lh5.googleusercontent.com/p/AF1QipNg8RDO93dK3itzskkvEx2PDX48Paq6sth-CV6m,//:0,https://lh5.googleusercontent.com/p/AF1QipNgGfWlLeTEnhMMhmYc-Xh6ErWfbySylPOFKWv1,https://lh5.googleusercontent.com/p/AF1QipPV1q2MAogLhUCpVDt5BPISjIR04Tw1KdrIO5M_,https://lh5.googleusercontent.com/p/AF1QipOETk0ynXhQSUAoXrBNCJK5jgUbhbKeYRFy9CMy,https://lh5.googleusercontent.com/p/AF1QipO4TdXjYyyqWe5QzCT5gcqHbCdUYo4d0aHBjheD,restaurant,Obour city,Pizza restaurant
TBS obour city (total station),"5FV6+CH4, El-Mosheer Ahmed Ismail, Al Obour, Cairo Governorate 6360084",012 00234492,Not available,4.1,21,Cairo,https://maps.app.goo.gl/M1xnpqqyn3bqq4dt9,not available,30.19125,31.46125,https://lh5.googleusercontent.com/p/AF1QipP526pT7eB_D06qOgz2QKwtaESQEQw68V1Pq2Iw,https://lh5.googleusercontent.com/p/AF1QipNUwLzagYmBmPzFdI7YXsYHBC3TVyzZuZDChjk1,https://lh5.googleusercontent.com/p/AF1QipOokBf5Z_lyzWesdUjy0QymciQN9bUKlvJ-lewM,https://lh5.googleusercontent.com/p/AF1QipO2lfu7vGZx2L--VTAZQaT6T7YBCADu8seukJ_q,https://lh5.googleusercontent.com/p/AF1QipNm_hmnrD3aupA0WE5cX2BqJsr8Jc8c6r_eWjm4,https://lh5.googleusercontent.com/p/AF1QipP88K0tgRN-RUcg-wQ6HSOgto9QYJKGI7jr5qQx,,,,,,,,,,,,,,,restaurant,Obour city,Restaurant
