Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
alzaky- مطعم الزاكِ,"طريق عز, El Sadat City, El Beheira Governorate, Menofia Governorate 32958",010 06971577,https://www.facebook.com/profile.php?id=100092477565869&mibextid=2JQ9oc,4.9,7,Cairo,https://maps.app.goo.gl/Ed48LvQZWURtbYqn9,9G8G+VV El Sadat City,30.367188,30.527188,https://lh5.googleusercontent.com/p/AF1QipNVSRfbz9B7eqzBn9-aLkvdCQ16cv84NQi-J5s0,https://lh5.googleusercontent.com/p/AF1QipNKELlH0T7s44pKXm185GnihOIFi5VvrtxpFoes,https://lh5.googleusercontent.com/p/AF1QipNzYXE_1TMkflDmFPQqL_qwvdVwX6R86lWKm4Yg,https://lh5.googleusercontent.com/p/AF1QipP2_ON-8sZkH1l5abPR78F9adcbaJymKc9JBV1H,//:0,https://lh5.googleusercontent.com/p/AF1QipP5UIuM7K1G1sTYSISDI0U8gEhK17DVEeUAhj4G,https://lh5.googleusercontent.com/p/AF1QipON0U7YKlB1Sc91nZwOca5AQoxW1iFJdVCbT_Jf,https://lh5.googleusercontent.com/p/AF1QipNVnkB0KHkd-u4h5KeSTwgIBTp-VJ6Y9y8gQFvo,https://lh5.googleusercontent.com/p/AF1QipM3fEisBXLltwXKPjViegsbHOKfPE2YqYCK0V7C,//:0,https://lh5.googleusercontent.com/p/AF1QipMLeqoYoZ2a6DSK54f4rRfIcX-QPCUfxr_CmkhF,https://lh5.googleusercontent.com/p/AF1QipOXAD6EKn0-T3FrkMwX0wtd-XN314IdyCaqjQnP,https://lh5.googleusercontent.com/p/AF1QipOdW2_VuERRqKu1CzezBohCjFkHuBL0nijdmRbm,//:0,https://lh5.googleusercontent.com/p/AF1QipNBzQLOAwABn1xtSptprvigiZwXy2cd5gnld7e8,https://lh5.googleusercontent.com/p/AF1QipNIUjT-KyB0-cOm0UZA6vgwl2J8GgsiktZxlUdz,https://lh5.googleusercontent.com/p/AF1QipNOobWe6RvUFB047Er6CHDNc2u5xerKk-2T3w84,https://lh5.googleusercontent.com/p/AF1QipPg3lrDOObRcz94UTfMD87x8gHM5FtpXf6fRoAj,https://lh5.googleusercontent.com/p/AF1QipNPuR9Ow5K9fb4Gj55OTdd9yeB1XCQP2uBsdIf4,https://lh5.googleusercontent.com/p/AF1QipOFo6CBnIWPN5oe8amwiFHTTaXE9JX-Ytsm7C71,restaurant,Sadat city,Restaurant
Orkedia Restaurant مطعم و كافيه اوركيديا,"101 شارع البراميتر امام بنك ناصر الاجتماعى, Menofia Governorate",010 92250800,Not available,4.1,497,Cairo,https://maps.app.goo.gl/PgGeD9tCyawNp47n6,9G46+Q8 El Sadat City,30.356938,30.510813,https://lh5.googleusercontent.com/p/AF1QipN0O9_q6TQr4vWCBSd7duPnmLeposhEm5YPUwt0,https://lh5.googleusercontent.com/p/AF1QipMWNRM9TdkjAmrq0gRcSw50eSIirsSzdIb_WbBr,https://lh5.googleusercontent.com/p/AF1QipNWvroAsmW8kfhhHIp7rwtfQuavf23WmvDgzRf4,https://lh5.googleusercontent.com/p/AF1QipO-pFqMjThoUBryZw75oNFa26k93GtLuXrNzNF7,//:0,https://lh5.googleusercontent.com/p/AF1QipOBJCxn91i3REW4T-fLeDSsiBpdpZ3s7B6yelxc,https://lh5.googleusercontent.com/p/AF1QipNgky63K6pIcEJOKUKApgaBopuydB5mft-REZLS,https://lh5.googleusercontent.com/p/AF1QipO85zoirqarb6_CTF-UHp9lG_Ds9pn6MMVKzh_O,https://lh5.googleusercontent.com/p/AF1QipNmGftRi6KZz9hzw2dbagpdSm41GDxqGZlvP7S4,//:0,https://lh5.googleusercontent.com/p/AF1QipPYAIncCNXGhCXZ0huR61dzArqg_nZ21DXIt_Aq,https://lh5.googleusercontent.com/p/AF1QipNZOCH9lPaTyuvjdLd6oz8wDLnX0mOlqUIu3CYn,https://lh5.googleusercontent.com/p/AF1QipOv6z8KhokjrrVL6ZtuKbiW0SLJU7iI1k0Zc2rK,//:0,https://lh5.googleusercontent.com/p/AF1QipObAXx5R1b9_0VF3ZdvwmH-3JPsA5BmBIEEf3o,https://lh5.googleusercontent.com/p/AF1QipNH5YFlU0CAMozAac6M7CQGlajqT1NZ-ip6FjcN,https://lh5.googleusercontent.com/p/AF1QipNu0VYFbBN1PLSIO9DMULs9q3WE5csPTaBDTuWD,https://lh5.googleusercontent.com/p/AF1QipM_gflpzMDabjJ1_mtPbm8382NZE3ygijIRciWH,https://lh5.googleusercontent.com/p/AF1QipOtcCZpiCuC-rcv16JsbzeW2qCi6t0S5ODURXCg,https://lh5.googleusercontent.com/p/AF1QipMkJBmiR_owwWlaumsUCddRokowPdWAsW3g9BPz,restaurant,Sadat city,Restaurant
Ketchup Restaurant,"9G67+3G7، محور خدمات الحى الثانى - أمام مدرسة الفاروق، شارع عمرو بن العاص, Menofia Governorate",010 06032026,Not available,4.0,223,Cairo,https://maps.app.goo.gl/wafJcwYdXxmt5fxt8,not available,30.438812,30.488188,https://lh5.googleusercontent.com/p/AF1QipMLO9DtuUijFIQUbzD7B5ieQozVjdLutstGgxSt,https://lh5.googleusercontent.com/p/AF1QipMQQ8w82urIV3q8uE4-OdsvghjWiMqaxXAGGKBn,https://lh5.googleusercontent.com/p/AF1QipOCZNlnvS008VhH52CsJTW076fZGBgPIw01aPY4,//:0,https://lh5.googleusercontent.com/p/AF1QipPQw5aXWAFN7jCPFgzFllulp5dKUyyLl5hhb93w,https://lh5.googleusercontent.com/p/AF1QipOcasCZS1bx6s_Jh2Z0Vq8y_us3RlzMnSFp4AnG,//:0,https://lh5.googleusercontent.com/p/AF1QipPyt9TcSPMyYvAYd2uxRzFTh5CosJ36zdf_9ESF,https://lh5.googleusercontent.com/p/AF1QipMlY9DuyAXFtZiUDf1C6rvOGWboB33Z_oFDxVW3,//:0,https://lh5.googleusercontent.com/p/AF1QipNmMnBZMsc9RnnTNOdUfe7dxdNuc4BA4yFsnbda,https://lh5.googleusercontent.com/p/AF1QipMlqkILENCkRKwLlAkLbONHb2vvyM1QsYiMHSXc,//:0,https://lh5.googleusercontent.com/p/AF1QipN5-ihuMGkTasnbIgOkGw3aMHcMxh2RPpch4KVo,https://lh5.googleusercontent.com/p/AF1QipMKgqBuxpFhd0hcx4_rvk60KO4skRxRFqsqP28w,//:0,https://lh5.googleusercontent.com/p/AF1QipNrBJwiAt-izlNAvTOxLflHh9amqg1XJY_PtAnz,https://lh5.googleusercontent.com/p/AF1QipMdnotJeD0yPvcZBMD193JTRbYCTEloNdfYR7PX,https://lh5.googleusercontent.com/p/AF1QipPWRH6gZYz10T7F0yNIlUIx3n9L6I1YKZcW6A7P,https://lh5.googleusercontent.com/p/AF1QipM_-ADhQwo2O3VbMGeA69X5x19HBMuZYJVjL_Wt,restaurant,Sadat city,Pizza restaurant
Euphoria Lounge,"مول سفن ستارز، مدينة السادات،, Menofia Governorate",010 50006426,euphoria-lounge.com,4.3,266,Cairo,https://maps.app.goo.gl/s6KB7QGjyJWPPDb7A,9FFX+5X El Sadat City Desert,30.372937,30.499938,https://lh5.googleusercontent.com/p/AF1QipO0IWU_GTwMupWyP9tlCNNWUj78rFC4m_Us-bqI,https://lh5.googleusercontent.com/p/AF1QipMibVNbjTJ76CcV-dtyxDwWZigTmKzNSsA-jT3A,https://lh5.googleusercontent.com/p/AF1QipOqmJWVmSzdwLVDXmq2DPrz6zOcZLiL02oW7aXm,https://lh5.googleusercontent.com/p/AF1QipNUzs_RGko-hJe1N1iHQH-oN2nO69KAD_A14XeK,//:0,https://lh5.googleusercontent.com/p/AF1QipMgWb0YhbipL3eKz2Wl6H05fRxjsjAAmPKkH3Qu,https://lh5.googleusercontent.com/p/AF1QipMTgj6WXDQko4tg6p_ogKEwhU3xfCw86F83s0zV,https://lh5.googleusercontent.com/p/AF1QipPnv-Tl1j4cDi-YgHTCjXaBIqmoidXj7fCxqqvh,//:0,https://lh5.googleusercontent.com/p/AF1QipOJfqlT6hzQHNdBWrny9sJ7kTG-bSc1bHHMtr-C,https://lh5.googleusercontent.com/p/AF1QipOz-Okj63KasArx2WlKQcRILs1eDv1JaqtMq24C,https://lh5.googleusercontent.com/p/AF1QipMUn-_4DWsq0wOGwpdkzfzZVd7oLpYwtWYNpfVE,//:0,https://lh5.googleusercontent.com/p/AF1QipOOwDE3VsfDtxW-_X1kv7HHCd54eQAvEHfTKi8B,https://lh5.googleusercontent.com/p/AF1QipOGWivDgsmNTqCFXKEr7evSpX2ubR2KY49TZ8Xx,//:0,https://lh5.googleusercontent.com/p/AF1QipMzdmTlt5tTNN6yaA4GuYNkQ8XyXhqkw-xyglOw,https://lh5.googleusercontent.com/p/AF1QipODHgkVvkI-zvLIwyfFkVX6Y-wNG8T992anzCSt,https://lh5.googleusercontent.com/p/AF1QipN6oF9utlYmQYWh29p8FpKGMQAgzuX5G3I7rmgx,https://lh5.googleusercontent.com/p/AF1QipP2ulI_AVXyHwkN_qO4Pk9SDg6p6BiDCEB82hzO,restaurant,Sadat city,Fine dining restaurant
مطعم شرفاد - Sherfad Restaurant,"بجوار المسطح، المنطقة السكنية الخامسة، مدينة السادات،, Menofia Governorate",011 17712255,Not available,3.9,240,Cairo,https://maps.app.goo.gl/zwHsYrSASC3dWMig6,9F9V+Q7 El Sadat City Desert,30.369438,30.493187,https://lh5.googleusercontent.com/p/AF1QipOblm3Hev7xLeNHCtlSZDFhRzPgsFBqXQRvqK6X,https://lh5.googleusercontent.com/p/AF1QipM-rloV5Vrl0-65VHKfHekgIxurTOvz4F75l-jt,https://lh5.googleusercontent.com/p/AF1QipOzIfqngTfs2ljzoen39jb_MUIX4zglfKGOAH75,https://lh5.googleusercontent.com/p/AF1QipP2ITwfBkeKm0Zp5mm-s7vtVVlv6RbEU9amz7i5,//:0,https://lh5.googleusercontent.com/p/AF1QipN3qtldQUbG4ymocKfLvW180DlEOoBTBtie7rpB,https://lh5.googleusercontent.com/p/AF1QipNS_qd2BMIUuy7bED4UEvctkorAKInhID6ADgDq,https://lh5.googleusercontent.com/p/AF1QipNUIEzoT83LD4EVU-LkvEI4jXgpJ6t901OJDwuw,//:0,https://lh5.googleusercontent.com/p/AF1QipPAywEGoRHAi2eaEXW9QXhOxQxX9s_2FLzyV8ZC,https://lh5.googleusercontent.com/p/AF1QipMjtUkQcnkGit58SSI_pqceeDXz1xNnqDSW6e1n,//:0,https://lh5.googleusercontent.com/p/AF1QipOcWpFxr3sSmTMgIja7t6KbQ8acF0Gtm1AX_4Ws,https://lh5.googleusercontent.com/p/AF1QipNtxM2kYG2Mle0sjxyhhaNM-jmY7lDLBjQTGdFh,https://lh5.googleusercontent.com/p/AF1QipOYbm7idcnulrii-Yi9jGJulb83CuuwjnxSFTUY,//:0,https://lh5.googleusercontent.com/p/AF1QipPWkIA9sljKB7aVSOvsdzUH-LAJm3YA3GShy-Cc,https://lh5.googleusercontent.com/p/AF1QipOYGvLt2PwA7kyMpwNjE2AiOW0cy6a3HMlIErLV,https://lh5.googleusercontent.com/p/AF1QipNgSK5Z4dhqNbT2iHhHgwlARiQ1VSSziUHhSd8u,https://lh5.googleusercontent.com/p/AF1QipOrBmlnVrb9EfibYN4KjXvZ5nK0DMwNzQbKzAb9,restaurant,Sadat city,Seafood restaurant
Oasis Restaurant & Cafe,"9G67+6H2, El Sadat City, Menofia Governorate 32897",011 20300311,restaurantguru.com,3.9,154,Cairo,https://maps.app.goo.gl/26LYHRt3LgE36P1k9,not available,30.360563,30.513937,https://lh5.googleusercontent.com/p/AF1QipPj7B4nJowV0WTE7cRkLNT-cYjIs6dEU0ds3CaY,https://lh5.googleusercontent.com/p/AF1QipP9zo8fmWg27CXe9zzNjxABJ1cPTTta56zweUWh,https://lh5.googleusercontent.com/p/AF1QipPFWUQY__1FRmbgKVcmh5RTPlEpQFZ1QZam26K_,//:0,https://lh5.googleusercontent.com/p/AF1QipM8SpBnDa9ZbmuFyMNfQCoNFthCvcz-sYGsPD3Q,https://lh5.googleusercontent.com/p/AF1QipNBRLY4hs5Js6p-KWSz0V9IKI04cWrzXiZcTE-1,https://lh5.googleusercontent.com/p/AF1QipPs_sErmZ1UZbWGVjx-VGM-aOiL2cnZcqoCRd7C,//:0,https://lh5.googleusercontent.com/p/AF1QipPn_nLTn4D412F9u1EngyJ01WpOg3Ul5X2b7mj8,https://lh5.googleusercontent.com/p/AF1QipMvBk5_MRPpwKVhHko-qTXGIm6_hKwgNDToycPQ,//:0,https://lh5.googleusercontent.com/p/AF1QipMiztwK-vvO-lDRLmqI8G1KYEA_1zapOYSv-d50,https://lh5.googleusercontent.com/p/AF1QipNJas1o0bHfUXs9VvshEjjxXvBmSawv9b2vI8Dj,//:0,https://lh5.googleusercontent.com/p/AF1QipM60KgVvYVp2ClEQx1pFdHgEds-t-Ei-JQS2GNS,https://lh5.googleusercontent.com/p/AF1QipNhGBS8aKNBJ3meO7rUlzDOksXnthya9yOE-0ev,//:0,https://lh5.googleusercontent.com/p/AF1QipMtKDGErsNbPGSm1ikSWhLiBX4YE2iHDcPGyNz1,https://lh5.googleusercontent.com/p/AF1QipPjF9l4e8JXyuvsHqcx-WFEjfo6kNQk7YLfLTAc,https://lh5.googleusercontent.com/p/AF1QipN8eFe3CVPV5tqj0NTq9-ko0v_7WfxmKF1l8Lxv,restaurant,Sadat city,Izakaya restaurant
كافيه و مطعم قصر الإماراتية,"And Elmonim Ryad, 2, Menofia Governorate 32897",010 94622767,https://www.facebook.com/Qasralemaratiya/,4.0,225,Cairo,https://maps.app.goo.gl/nbmW1FPpnYKX1ARKA,9G94+P6 El Sadat City,30.369312,30.505562,https://lh5.googleusercontent.com/p/AF1QipM_6h9OCqDHkxjA4604C3F31S0Gw3O4ThrZqKKt,https://lh5.googleusercontent.com/p/AF1QipOFkGqna3xuyoe8yTJKWY3px065W2UKlKeUSrVY,https://lh5.googleusercontent.com/p/AF1QipNuAx_-WAwhAL_A7mmAjIMG2Bxar6g_FcM0glVn,https://lh5.googleusercontent.com/p/AF1QipO6kYfX8vOmDShKvJFvViely5H1DwRagVvOFv9o,,//:0,https://lh5.googleusercontent.com/p/AF1QipN-5-GiwSjsr_bQGVvfF5ucctSQmYjW_C3rVhdG,https://lh5.googleusercontent.com/p/AF1QipOLo9JHgyBifWqTzrAGRkP08GMO_d52juLiVPRx,//:0,https://lh5.googleusercontent.com/p/AF1QipNk1KkX0FU1Ax_QKVx7IE5qi26_iJihSAAiSry5,https://lh5.googleusercontent.com/p/AF1QipOtk7STpF2MtoAHr7GmHiyDVA6HqPmV4fgKGEuB,https://lh5.googleusercontent.com/p/AF1QipPOX85osQcdmdUWc2MKBeNvrQmNvQZH2vioiSJA,//:0,https://lh5.googleusercontent.com/p/AF1QipNDlGPxOphrv_4oBdyUSXXSovQPKi4cQcF1loW1,https://lh5.googleusercontent.com/p/AF1QipNWEsIbtiaL5uU0g7hByleXe5pWokkyBbqYDe8F,https://lh5.googleusercontent.com/p/AF1QipMJx-86GbrnZP3L2gf_RJJVSALvZ5BzmWEIIquQ,//:0,https://lh5.googleusercontent.com/p/AF1QipM1P9fPUyyrv3cEkuP8sIbohY_UvngpTbvbAU9E,https://lh5.googleusercontent.com/p/AF1QipPW0eTpztKPCnfR6B6tqP87kqU2dTXZv6gpR2is,https://lh5.googleusercontent.com/p/AF1QipMIFWiapcnxx7HroKEna3-J0SSSqlgfzGXF_nOm,restaurant,Sadat city,Izakaya restaurant
كفر جعفر,"شارع أبوبكر الصديق, El Sadat City, Menofia Governorate 6010420",not available,Not available,,,Cairo,https://maps.app.goo.gl/ZAvgeTfttBGsctgF7,not available,30.221063,31.482687,,,,,,,,,,,,,,,,,,,,,restaurant,Sadat city,Restaurant
Shami Restaurant Food Syrian,"9G85+582، مول الشهامة، امام مول السلام، شارع أبوبكر الصديق، مدينة السادات،،, El Sadat City, Menofia Governorate",010 97692950,Not available,4.2,"2,152",Cairo,https://maps.app.goo.gl/v7znobRWxyd6FNxP9,not available,30.365187,30.508063,https://lh5.googleusercontent.com/p/AF1QipMqak0JiRF9haIc5qPlkEQeIoQsgFF93k1QkYoK,https://lh5.googleusercontent.com/p/AF1QipPK088UCFTis9NHVhA2VcaHIEyyHlD0uHk7FSsz,https://lh5.googleusercontent.com/p/AF1QipOck5crzx1G9EIt7GXVsvMxhOuwL8HJ8jjy4hKN,https://lh5.googleusercontent.com/p/AF1QipNTTG8UguQM0BBPkn11x-N4uIlqs87-Rp4CShQw,//:0,https://lh5.googleusercontent.com/p/AF1QipMIy809fSRpg1r2XcWDvqKQUkhrh-XOOvy14RXy,https://lh5.googleusercontent.com/p/AF1QipNcK3RD2pSSg2aSEaZO_K50p6hyqpbFiZs_l3mS,https://lh5.googleusercontent.com/p/AF1QipOHxUWfqSKbkpMb2jSSl3GVQk2G9taHbNj07dE,//:0,https://lh5.googleusercontent.com/p/AF1QipNgTY6tMY9qq9pEYEkJsG_wBtjyebPNWD5_txd7,https://lh5.googleusercontent.com/p/AF1QipPr8CgC4VeMUZzCvVxSkf0detPD4SXsfFod6bhL,https://lh5.googleusercontent.com/p/AF1QipMDwnAJv9AUdcJJcesBAnCIDl__N-LUuR0nwrvS,//:0,https://lh5.googleusercontent.com/p/AF1QipMdK2oSalmsgldqbhUwDmWR4akp00paQZTceH88,https://lh5.googleusercontent.com/p/AF1QipPO11247PsKmSGqwHZyKrseak1yGogOKz7bQU8L,//:0,https://lh5.googleusercontent.com/p/AF1QipOTl7805cV71tlM9xKM8oD__AmH5Z1af_j6fj6H,https://lh5.googleusercontent.com/p/AF1QipM-8j_lRaofRYiwE7wUuYjwyY5CoU_tFaGQmi5S,https://lh5.googleusercontent.com/p/AF1QipOUxB6IT4irh2zfY8QGrdqeJusG4FF5w6IdCWRg,https://lh5.googleusercontent.com/p/AF1QipOEYNtYfWFHOqC2mjQmT2WwMnd7ZdCuv-bMZnVz,restaurant,Sadat city,Syrian restaurant
مطعم الشامي 2,"شارع عمرو بن العاص, El Sadat City Desert, Menofia Governorate 6010280",010 12716500,https://www.facebook.com/%D9%85%D8%B7%D8%B9%D9%85-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%8A-%D9%A2-922728084599763/,4.2,618,Cairo,https://maps.app.goo.gl/o7Q3CRKZwuvCLvZr6,9GC2+R6 El Sadat City Desert,30.372062,30.500563,https://lh5.googleusercontent.com/p/AF1QipNKyoRIub61qGS5JJ5b9NEiwU_H1ds6fFxLN4aM,https://lh5.googleusercontent.com/p/AF1QipMegEkKweVmnokPcmoI3S8B8ZAYF_6vckVgdSxC,https://lh5.googleusercontent.com/p/AF1QipMVE_nMJyoc3BgSd7MwIo3Q1i6UqfAqh7vvXsH0,https://lh5.googleusercontent.com/p/AF1QipO9WrDvl2u7nSXXNAEwqCmsCtgy9Z5Rn-Tkdmvb,https://lh5.googleusercontent.com/p/AF1QipMsx6CSyRJNl2OrRBmPiqTBXArGC8zk1LWZa6tO,//:0,https://lh5.googleusercontent.com/p/AF1QipPHvoL7vFa8gDVyJ5xtThfijPeeO3g8GcNI_yOz,https://lh5.googleusercontent.com/p/AF1QipPqmTJSziGccJGKe3cKuUq2P16xSiLzSx-18IDk,https://lh5.googleusercontent.com/p/AF1QipOKVAaG4cn6hh4RnvKUN_2aoS6-8iVh6cTfUrc,https://lh5.googleusercontent.com/p/AF1QipO1AcP3ijb8SM2MZ7k2PIhSuV1IWDA_EuufAniO,//:0,https://lh5.googleusercontent.com/p/AF1QipP1CM0f9Eoq6YzkHehKvdIDovOBtYyTzDN3xR8N,https://lh5.googleusercontent.com/p/AF1QipOAyg5BQCsFAyDk0dzn0Al_HVbR_3gGfyIVgKO9,//:0,https://lh5.googleusercontent.com/p/AF1QipMF0591d4h4V1hqp7X4ZWRsWImDhc3z2X8nOE00,https://lh5.googleusercontent.com/p/AF1QipP6hD3tG_sdjRbpI4WMBQPWToaEXHcu1Vp3j30,https://lh5.googleusercontent.com/p/AF1QipOckz0vk76AEf1A6ouPAB_Y_yzoaGIqp9aQO21q,https://lh5.googleusercontent.com/p/AF1QipNYlKEplgVnjMy3Nn47kxESGxnbSM8JA48iujYR,https://lh5.googleusercontent.com/p/AF1QipMlQQm_NW2RAMp0ml_N9f5gCaItVSJFFt92EdI,https://lh5.googleusercontent.com/p/AF1QipM5oO-aGQvROM_Z73dsecozeJIhvYhVXSIZ7CE,restaurant,Sadat city,Barbecue restaurant
