Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Fiesta Cafe & Restaurant,"Panorama Mall, El Shorouk, Cairo Governorate 11837",011 16169392,business.site,4.5,40,Cairo,https://maps.app.goo.gl/SdULn8o1edjiTqUL7,4JP6+3W El Shorouk,30.135188,31.612313,https://lh5.googleusercontent.com/p/AF1QipNijOSo05nQZJOLtfulXSsWnjbBLIEM_e0De__l,https://lh5.googleusercontent.com/p/AF1QipMQ9xTT4XA8BHzeLdyOhECOGl7ORcBsfE2FGi-L,https://lh5.googleusercontent.com/p/AF1QipMLXg8L36F_oYUEvr2zc7KPTcy9E77RYj6glrjb,https://lh5.googleusercontent.com/p/AF1QipOinlZyFUvR6jA7bW-FwjRzJkQzttAasd07Vl6k,https://lh5.googleusercontent.com/p/AF1QipOsie5nwqxpQ_HXr7xrhsk8SrsFdJOsctdt3nVn,//:0,https://lh5.googleusercontent.com/p/AF1QipO16Q4PncDyOTGrbXNgzpzNVdfZADbeLxJvQvqo,https://lh5.googleusercontent.com/p/AF1QipPS8Z6TvEbhIOIEuYUMApxI1dWkh8lYHZSwbgoq,https://lh5.googleusercontent.com/p/AF1QipN8Tw0c3oGp5zOXXl-O7_uo8nobgV6qb4f_DyYp,//:0,https://lh5.googleusercontent.com/p/AF1QipNJcy_DZcucylDvjObqeqeAMYQ0t_s6PWg7cB4F,https://lh5.googleusercontent.com/p/AF1QipMoCe3ud2CyBkvTsjz_yQUqKKYL323-CseR610A,https://lh5.googleusercontent.com/p/AF1QipPTe4_KchSoIKiwwG1TW6zXwSTVJbjNor4VhsJF,//:0,https://lh5.googleusercontent.com/p/AF1QipMBQGbcyOS8JZNOnCW-ZgsS9oPJqayZr_8Q1PVd,https://lh5.googleusercontent.com/p/AF1QipN6rLV9bR-KY-JJWqIlwxbfOhszD0ifWS-PKW8r,https://lh5.googleusercontent.com/p/AF1QipPokR-EqZXEO_xOeWOOtY5XgjeW9erGJkcI2zO2,https://lh5.googleusercontent.com/p/AF1QipOXHSwrB_dvJ9Z8II95BQ8KZ3tKg5ZhrC3NN2Y_,https://lh5.googleusercontent.com/p/AF1QipM1EFpxiV2ON5r0-S6Q5k_MRx6EsRGwXcSaayGG,https://lh5.googleusercontent.com/p/AF1QipPrQO1O8B_KzaHiAYZAH2wREiAB2WtsJiQDNCuW,restaurant,Shrouk city,Restaurant
أسماك مارينا الشروق - Marina Fish,"Ganna mall , Marina Seafood restaurants مدينة الشروق _ الحي الثاني _ جنة مول-جهاز المدينة Shorouk City, Cairo Governorate 11837",011 53122110,linktr.ee,4.4,572,Cairo,https://maps.app.goo.gl/KyyiV4D1TNpYBFxu9,5J45+9Q El Shorouk,30.155938,31.609437,https://lh5.googleusercontent.com/p/AF1QipNVDWkgPaZ_XrUj1NG_EKXoHyT9UQ4c5YHwwyPC,https://lh5.googleusercontent.com/p/AF1QipMQl5eZ-wAx1uv6IBJd5ErRuIoJKoFXx8Y02AxT,https://lh5.googleusercontent.com/p/AF1QipPubXgXs63R7bw1rsAVE59h61-mz__URs5zR9wT,https://lh5.googleusercontent.com/p/AF1QipO7rnB2olXkJSqw5DWedMhbDVWq4qYQqJevLAHj,//:0,https://lh5.googleusercontent.com/p/AF1QipOlXXSoAgnyAORnN7cehlePE4Jz7q76e_k8j7oh,https://lh5.googleusercontent.com/p/AF1QipNWtpJox-i_jmi-hvQ44SXaxItonxWFauf1rYAc,//:0,https://lh5.googleusercontent.com/p/AF1QipNupYz3SHBea5zI5gfDF5NglGlzXbdIG-FEfRgV,https://lh5.googleusercontent.com/p/AF1QipPFOlRPF8BdegEZ_3ExZwDwAFWL1R4zn5Mdo4ou,//:0,https://lh5.googleusercontent.com/p/AF1QipPOJuZFBVGc07LQVbfNm6Gvq9RZ8cvt_lR4GqgY,https://lh5.googleusercontent.com/p/AF1QipNIe02KADRebZ4zgwipQep9db_MLyp4sOS6jnOO,//:0,https://lh5.googleusercontent.com/p/AF1QipM4e2DG6W7GQucV_xa2osMUsf_nqGqrfu53ddPZ,https://lh5.googleusercontent.com/p/AF1QipOAZ0-PuKY_bVxo6qqqqWp9DGb9aGY5CVTkDZyl,https://lh5.googleusercontent.com/p/AF1QipPsxXiuOVVgeH9Fu5NY9zTX7TV6rCWoRZqLKmW4,https://lh5.googleusercontent.com/p/AF1QipNGF8mmK7kKcWGE1KaBdvQatZyIgYzIBkeiNoW3,https://lh5.googleusercontent.com/p/AF1QipPbGXPH8Xd6f9mZBI0teki_jas2pNBvCjzJQfz8,https://lh5.googleusercontent.com/p/AF1QipPgFPXb2IF7SQQ26nS8nW4brBT_OT6gAjMK_Jdn,restaurant,Shrouk city,Seafood restaurant
McDonald's Shorouk City,"محطة شيل, Shorouk, First district. Shell gas station الشروق, Al Manteqah Al Oula",02 21600377,mcdelivery.eg,4.0,"3,377",Cairo,https://maps.app.goo.gl/aRCUaahxgubpNF4M8,"5J92+PR Al Manteqah Al Oula, Nasr City",30.06125,31.33375,https://lh5.googleusercontent.com/p/AF1QipOxoIhuXuwiewoOTzcgMW99WFiAiDqFB5bkfkDY,https://lh5.googleusercontent.com/p/AF1QipOpQy07nLDzdWQFRT79tBv2_YJ--K4Vvu2GWA3R,https://lh5.googleusercontent.com/p/AF1QipP0hACIDEJcwI2dwyIbGw6-EOblBnJZs5-IhMOL,https://lh5.googleusercontent.com/p/AF1QipOwV8zIbwwLRcR6_XLovJqkDwUPWMbCfYO0f_1-,//:0,https://lh5.googleusercontent.com/p/AF1QipMCwduhcPtXKAjUKi_KwQOH1s0X1aA8vtQ6KOym,https://lh5.googleusercontent.com/p/AF1QipNAuUyqSE0oa5xTz9qYeXx6muSXcVfWRyQwfw0y,//:0,https://lh5.googleusercontent.com/p/AF1QipOaC8b5bL9XGiKXLhvyHEmtEuHvbzuxicdnHpl5,https://lh5.googleusercontent.com/p/AF1QipPBJbr-fwEo5_UD1422t2SrYi9v9it3vnnMb5Kl,https://lh5.googleusercontent.com/p/AF1QipPnHxEYMj0poTY8OAcbTVIuN4zbhZHKqJHJRNp1,//:0,https://lh5.googleusercontent.com/p/AF1QipPLW0VvqsbRg9gwRa9RNqwV3DsbkjyVHcpr7rSq,https://lh5.googleusercontent.com/p/AF1QipN9j2XiUeGjQJrN0h_Fm4a8WvDvB65b5iOx81fl,https://lh5.googleusercontent.com/p/AF1QipMZQSFDL_iJzG0RLSstITkv8q5ceO8AaxjaKZZg,//:0,https://lh5.googleusercontent.com/p/AF1QipOkSpXELuNcdkrjosgD6-qteefiA3BsZ0pfZGtK,https://lh5.googleusercontent.com/p/AF1QipPZ8xaVdLGhBetfvGJW7MEWfIoUtljv8Mj2eoMO,https://lh5.googleusercontent.com/p/AF1QipMnkY8i-1cj-kDouQq7CXcwH2DPzsTMGR4yqODJ,https://lh5.googleusercontent.com/p/AF1QipMcdCn1VmUj9ionjgDtsi18ZG37mY4hmc5MKSvi,restaurant,Shrouk city,Restaurant
طرح البحر بانوراما مول,"El Shorouk, Cairo Governorate 4922102",010 97844990,Not available,4.8,5,Cairo,https://maps.app.goo.gl/41t7mhUpQTrECD8J9,4JP7+45 El Shorouk,30.135312,31.612938,https://lh5.googleusercontent.com/p/AF1QipP5qORYhAtAmtFBc0DyBal9k3X6KnPZlTFuoKA,https://lh5.googleusercontent.com/p/AF1QipPhGlv3WQJK3porx3xN-KLQuJPlDIsj7Cd_ilU,https://lh5.googleusercontent.com/p/AF1QipOaPJalpu4b4Y83s97-8wBT6d8spSqpdQNAb7Q,//:0,https://lh5.googleusercontent.com/p/AF1QipO7BKmaNCYNGs0pHcGT2BrkAdbSFIDbDWGJM7s,https://lh5.googleusercontent.com/p/AF1QipM38UI7VvVg9ppklbz2Usd6m75bjxfIzR1BYDQ,//:0,https://lh5.googleusercontent.com/p/AF1QipNi1rs-c4_kU8xBD2Bv2nwllpuBShyrA1fhFk4,https://lh5.googleusercontent.com/p/AF1QipP8fhecq1KodV9yeZBUGdoWApvZbVNWLdWuIdoU,//:0,https://lh5.googleusercontent.com/p/AF1QipP151Oz0h9kuDIEbkYLVAlLrHGkbE9I5kPua9gd,https://lh5.googleusercontent.com/p/AF1QipMkFhGf4lfuIJ7mZAdqxTynfXXvLaGeVnXSMps,//:0,https://lh5.googleusercontent.com/p/AF1QipPUuKKKnksoql0NhPkaMbs62wxuzsteZ3q-JL_2,https://lh5.googleusercontent.com/p/AF1QipPXlSqRxiqDQcAXotnX1xNQp3pjuod-2ZGcivZJ,//:0,https://lh5.googleusercontent.com/p/AF1QipPT-e_Ou5lXg6YT0aHf65qmR1b9F26t5wVujqJF,https://lh5.googleusercontent.com/p/AF1QipPPfpmzQ76z-cmoiLyXsBDDPoFJtK_KZ1r1K3cD,https://lh5.googleusercontent.com/p/AF1QipN5nr1Ysz_ybxykCSsSJwtC56np26LGRox3wupf,https://lh5.googleusercontent.com/p/AF1QipP_0v-5Sc_XSN2dSm9QUWJKRfwzVINLqMDJDWg,restaurant,Shrouk city,Seafood restaurant
Pochinki Restaurant - مطعم بوشنكى ( فرع مدينة الشروق),"5HFV+7VV, SkyMall, El Shorouk, Cairo Governorate 4924601",011 02874466,Not available,4.8,4,Cairo,https://maps.app.goo.gl/bxRk4fiaFTnJ6j9dA,not available,30.173187,31.593812,https://lh5.googleusercontent.com/p/AF1QipNupI1GDNmhWUHQzLExq6CEvlE3wnHOKNA6Myo5,https://lh5.googleusercontent.com/p/AF1QipNTmV_nq_WsbLGPyiwW-IX2oK8it3CCtC12b8l2,https://lh5.googleusercontent.com/p/AF1QipMPSDtkbAAruN4eYrqC43XzjrGFt7RNGKwWATbH,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,//:0,https://lh5.googleusercontent.com/p/AF1QipNkhVLlPbItWNghRC-SzkCIu-x0QTSSz4vYniR0,https://lh5.googleusercontent.com/p/AF1QipMpObR99l98TyVJzrI8cRmjbxwI0b-xPrnalVVb,restaurant,Shrouk city,Restaurant
Nanida,"5H5W+QFH، طريق الشهداء, El Shorouk, Cairo Governorate 4924030",02 24799107,Not available,3.9,926,Cairo,https://maps.app.goo.gl/XUd3UK5iytK5db44A,not available,30.221063,31.482687,https://lh5.googleusercontent.com/p/AF1QipPriL85zDs8KUSkv7lWzvi2PKpA066Qk1bym7-3,https://lh5.googleusercontent.com/p/AF1QipOazSHspQJWgpi_i--fbDCFf6VXd5-BL-SpvZbP,https://lh5.googleusercontent.com/p/AF1QipOBkVdpZJj3AAJ6vuRCgX0qcX9sN_vAajJ8tBbf,https://lh5.googleusercontent.com/p/AF1QipMI1Bx0WXgurIAclVdSBoZpjhQFHTL1JSM2RLPC,//:0,https://lh5.googleusercontent.com/p/AF1QipMyKOdDNp7NnKxG-1gsWTqrH4yP-Od7B4g4Le08,https://lh5.googleusercontent.com/p/AF1QipN0C7kGd3O1WBK-0UlVQKf4UFst72BJCPA7X8N6,https://lh5.googleusercontent.com/p/AF1QipOqL5ycBaoeK6lJ029IHEoKx1xqfVSbv2VjnWN5,https://lh5.googleusercontent.com/p/AF1QipOgtc32vZKz-KtPH8guppAbgNuLCTvdK9uOd-3k,//:0,https://lh5.googleusercontent.com/p/AF1QipNejkxLMUN_BnYvARxTp5p8v3X54jzLXg2PO8I1,https://lh5.googleusercontent.com/p/AF1QipM9nFCWHHMOG10euAdRXJNJEIVXDtVlv09xD1U8,https://lh5.googleusercontent.com/p/AF1QipN3QDRtCGe4kdNCtnSeQEUGYjEnbeLI1N_jhoGe,//:0,https://lh5.googleusercontent.com/p/AF1QipMQyr2f5Cr7bpjY2RgaPTQQ4Sfb7SRL0nmWbfeX,https://lh5.googleusercontent.com/p/AF1QipOzxpZuMSgSxeyDylB3XH4UAjajDgXO4T_VPUt3,https://lh5.googleusercontent.com/p/AF1QipNdzwlkRefxu8_VW3Mnhh4-lNsal8IUefB8dm5L,https://lh5.googleusercontent.com/p/AF1QipPrKk2evQjWytWmVez7C2RUhh_P87L9oX7RrCDd,https://lh5.googleusercontent.com/p/AF1QipMHxAwLEaou9ymEfdNzanSXv_lnEgUdsM1dA076,https://lh5.googleusercontent.com/p/AF1QipM_OFRD4pxKvaOCsXZtrGIiXskghjoltc-X_J44,restaurant,Shrouk city,Restaurant
فطيرة ومنقوشة,"35 Panorama El Shorouk Mall, El Shorouk, Cairo Governorate 4922102",012 00400748,ahlelshorouk.com,3.9,285,Cairo,https://maps.app.goo.gl/eZocPQ7XhPSPrcZV6,4JP7+C8 El Shorouk,30.136063,31.613312,https://lh5.googleusercontent.com/p/AF1QipMUBqEEXja8Pfkg5vcqy8unLDGV5GCZkxz7Efzp,https://lh5.googleusercontent.com/p/AF1QipPsHZXPrIrooGotl91-3lq0rY15dH-UVtTdHbpo,https://lh5.googleusercontent.com/p/AF1QipMXeMCanDvmxDWu_z2pdScayIqBvpT-mPK9YHvV,//:0,https://lh5.googleusercontent.com/p/AF1QipN_q0kj8l-v2Se3Rz43vm_6xmJA4T8ExD9tdxvC,https://lh5.googleusercontent.com/p/AF1QipMwYyK45Jb51C6OnBpLLZ4bx7dGSZK3_jneTJtc,//:0,https://lh5.googleusercontent.com/p/AF1QipOOP3uCfTDP74eoTp341A6Zoj1jRy4J3hgLpJqn,https://lh5.googleusercontent.com/p/AF1QipMB2yy7UN3zMSajmv2LK53y4rt2x4oCPkuEDnNC,//:0,https://lh5.googleusercontent.com/p/AF1QipMInVo0F8VFt2Nm9cRIe3MsLELV9aaPW2SCA94N,https://lh5.googleusercontent.com/p/AF1QipNcBioKZPTXYychYLOjpIn4hsyRXLunz1v0fOpK,//:0,https://lh5.googleusercontent.com/p/AF1QipPHfY1nh-BS-MfJuAiuSHcKCB4ylehcvmSkJCLX,https://lh5.googleusercontent.com/p/AF1QipOW_MlQCvVp4xGK7npahSlTQ_SYVYwbmH6Wiqfe,//:0,https://lh5.googleusercontent.com/p/AF1QipOZA1CpUVEV-88S1JwdCZtsGn-9VzzXw8mluU67,https://lh5.googleusercontent.com/p/AF1QipMUOyJr9BN3qU68VzZXZdffv1RMnSPDrzXTlAYn,https://lh5.googleusercontent.com/p/AF1QipMCFDr4MWfCiA53n53XQts8oe3IJzb3IH9MuHKW,https://lh5.googleusercontent.com/p/AF1QipO3V4w4UmtEb4_i-cO9DDpU60QR8XqZP3iYs2C8,restaurant,Shrouk city,Restaurant
فيش هاوس للماكولات البحرية,"مول بانوراماالشروق فوق الأسرة السعيدة دور لأول, El Shorouk, Cairo Governorate 4922102",011 27706060,Not available,4.1,23,Cairo,https://maps.app.goo.gl/LaRzQA7dZveMQTgY9,4JP6+4X El Shorouk,30.135312,31.612437,https://lh5.googleusercontent.com/p/AF1QipOVcPT9pXYrRjXX5ZgkeWTzczaxzauUVNut9706,https://lh5.googleusercontent.com/p/AF1QipMqXIVGpAV7TTowHYu4As21vo1mjdJVJ9FcAirz,https://lh5.googleusercontent.com/p/AF1QipP9md0JarX4KYudG8drU2YXn6FhoO6gpDATwrMj,https://lh5.googleusercontent.com/p/AF1QipMqHTmbBuSCeZsyhLBDdk0mtTQpWBYGIApRcSd9,//:0,https://lh5.googleusercontent.com/p/AF1QipNHW1Knf-zACuh27ydySso1VnN30wReQ5Lxrmo3,https://lh5.googleusercontent.com/p/AF1QipNJU2c3Mv1LaazNIFXvqtEYsrmPRldV_8oNVcwJ,//:0,https://lh5.googleusercontent.com/p/AF1QipM7mjsmALUtEYdvr3-PuU8paqULlnhGKroB83gx,https://lh5.googleusercontent.com/p/AF1QipNcE75jUpoEF4iolzDFGFuROsEFJrEgdqkkHLms,//:0,https://lh5.googleusercontent.com/p/AF1QipNJIILpHSYy-OM6cr7DXvcC-QzZGOKm_MBg2jWo,https://lh5.googleusercontent.com/p/AF1QipMAcfxK-0HyoTP9f7IvF9UFFQHZohgeHWCTkwjH,//:0,https://lh5.googleusercontent.com/p/AF1QipM3QU_VT9mLVFt3hfYWN1rw_k0_CKokijj0M4Sc,https://lh5.googleusercontent.com/p/AF1QipP_9Oz6Kaeg_oAVcIwXMoAiggwhjbPHI11E4snD,//:0,https://lh5.googleusercontent.com/p/AF1QipNQPbHHGV5d1cQwa--7zaiPt_6Wv-dEwSux54Wn,https://lh5.googleusercontent.com/p/AF1QipPm6bQA5K4mAFahinOPPV8WtzmaenNl1Bl_WME6,https://lh5.googleusercontent.com/p/AF1QipMaHtU0BKHPMYxEhLcbxQ_TQPBopFtXwR6FgmVv,restaurant,Shrouk city,Seafood restaurant
عم صابر فول و فلافل,"El Shorouk, Cairo Governorate 4922102",010 91854039,Not available,4.2,5,Cairo,https://maps.app.goo.gl/zkVe8mYgf4Bt4QGp6,4JP6+5X El Shorouk,30.135438,31.612437,,,,,,,,,,,,,,,,,,,,,restaurant,Shrouk city,Restaurant
مطعم كبدة الفلاح فرع الشروق,"Panorama El Shorouk Mall, El Shorouk, Cairo Governorate 4922102",012 23720500,Not available,3.3,9,Cairo,https://maps.app.goo.gl/abi47ocavioD4qzj9,4JP7+G8 El Shorouk,30.136313,31.613312,https://lh5.googleusercontent.com/p/AF1QipM97g--ptKIZtXomnd-f1qEcW79xfqHsmZD8Q-r,https://lh5.googleusercontent.com/p/AF1QipOUNE7nqdO1_B4KTQGoFgWxMczkip6h8B0gJpqb,https://lh5.googleusercontent.com/p/AF1QipPnTb93Wpmnik13MsizBzacORl2NzfPK937qLgN,//:0,https://lh5.googleusercontent.com/p/AF1QipNegHRJ0Dc1B7KJb_9vx-t546agtXl8qKSUdXXS,https://lh5.googleusercontent.com/p/AF1QipMkouy7X2tWikeXdbj6RihNAN__cyEs6aJsHz37,https://lh5.googleusercontent.com/p/AF1QipOSc2pZhhqJWOBTXUbCzM_0Lm7rN4AsiMv5q69d,https://lh5.googleusercontent.com/p/AF1QipPEVtNuO1haZeRISmSx7usb4H3rO-zzFjEf1S6x,https://lh5.googleusercontent.com/p/AF1QipOmH0O-ur32Y0bRVtRlNZDbN83r__G_3y8KnJTg,,,,,,,,,,,,restaurant,Shrouk city,Fast food restaurant
