Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم رحومة,"2R95+CW6، Unnamed Road, العامرية شرق، قسم العامرية،, Amreya 1, Alexandria Governorate",not available,Not available,4.2,10,Cairo,https://maps.app.goo.gl/UJYHzEB7qCCszEU39,not available,31.018563,29.809812,https://lh5.googleusercontent.com/p/AF1QipPLmSLbiJC7h0U7UFHVzjVeCWL3fJb3G62e2aBL,https://lh5.googleusercontent.com/p/AF1QipNDpiH-s5htAmjeggtTqygvxAHL51W454ubb705,https://lh5.googleusercontent.com/p/AF1QipPpbSa98bPT6YSBzSdgyEpBYIdGjI2YUqa9Ux9E,https://lh5.googleusercontent.com/p/AF1QipNEx8-CWsE6V_fYdTHiHAH621STJrCEVBBViqpF,https://lh5.googleusercontent.com/p/AF1QipMpQq60Y6C5KsinRNP3A7Fnvaccs8QNpB_VxIvb,https://lh5.googleusercontent.com/p/AF1QipP9AyRr7MfTxyq2cK2rYQblsY6OURzucO1De6uR,https://lh5.googleusercontent.com/p/AF1QipNMp1_QsWEMSbRECb7C9kJJb_OGqJ0iwWJ7efq3,,,,,,,,,,,,,,restaurant,Al-Amiriya,Restaurant
مطعم ابو طرفاية,"المدرسة الثانوية بنات، ١٠ شارع الجمعية. العامرية شرق. بجوار, Al Amereyah Sharq, Amreya 1, Alexandria Governorate",2Q8X+PW Amreya 1,Not available,4.2,38,Cairo,https://maps.app.goo.gl/rcsC7UPcgRXdNHUk6,2Q8X+PW Amreya 1,31.016813,29.799813,https://lh5.googleusercontent.com/p/AF1QipNVbiNSU3r-jwDfW25ewny9I9esdLQ_0P76GvmR,https://lh5.googleusercontent.com/p/AF1QipPTCXEsRstXKdmiJl5zftpCsPgFZvdi40jWCEFm,https://lh5.googleusercontent.com/p/AF1QipORUiWTYXwWlgaLJF1w1yQ0jYAgDDyDJGPE8qF_,https://lh5.googleusercontent.com/p/AF1QipOcLEcZLHwFH2A68nCxvvITR3Q_V7TwaW1tIQds,//:0,https://lh5.googleusercontent.com/p/AF1QipN6YYAeZGSyaGErhYrCy1xU6K_te13fr9k76_7Z,https://lh5.googleusercontent.com/p/AF1QipOqF14x2xsZpPRpAq_kbU_h61dUpx9Q6oFyssh_,https://lh5.googleusercontent.com/p/AF1QipPWoOJhq2BlgXeGO2IJPTry4MERpGbXIoXQK_Z4,https://lh5.googleusercontent.com/p/AF1QipPqMSz5LQa1ZcDXmDUDVJ07yfksg8W8CjYBVOVy,,,,,,,,,,,,restaurant,Al-Amiriya,Restaurant
مطعم ابوخليل,"2R82+Q98, Al Amrereyah Gharb, Amreya 1, Alexandria Governorate 5253355",not available,Not available,5.0,4,Cairo,https://maps.app.goo.gl/QdF3keevxbArp4KR8,not available,31.016937,29.800937,https://lh5.googleusercontent.com/p/AF1QipNUQxNXgEkQ5rgzbB123IiyXlMgok1_nFI2z56V,https://lh5.googleusercontent.com/p/AF1QipPKI1x3h_-KCovp9oajxZ_HSujTkC_z5pc2-DUH,https://lh5.googleusercontent.com/p/AF1QipNWdpD6wp-k-8hZVX3zwIzig6MyBBuF2X_nhl-j,https://lh5.googleusercontent.com/p/AF1QipNWb2cc2b7qkiMxjtX7VBxzA_hEQNHX-A3H_rMF,//:0,https://lh5.googleusercontent.com/p/AF1QipPFYtqk7Nm3xUu138NFOuhHwyW1x-Ofs4YVL6g_,https://lh5.googleusercontent.com/p/AF1QipNYJknZGuvexebzR7VeRjHUORuMuJJ7QKZaPfZz,https://lh5.googleusercontent.com/p/AF1QipN-Ib51HK2i9SJ2R17iZRVjBI33cyPzfzOH2pqs,,,,,,,,,,,,,restaurant,Al-Amiriya,Restaurant
فسخاني الصياد ( الحاج محمد بكر أبو حسن ),العامرية غرب،، قسم أول العامرية،، Alexandria Governorate 5253314,2R62+XM Amreya 1,Not available,4.3,3,Cairo,https://maps.app.goo.gl/MRXpb649spN68UnY9,2R62+XM Amreya 1,31.012437,29.801687,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Amiriya,Seafood restaurant
بيتزا الحسيني,"الناصرية القديمة, الإسكندرية العامرية ثاني",012 11884395,Not available,4.7,3,Cairo,https://maps.app.goo.gl/BQQRfacwBwUXot1W7,not available,31.179437,29.893062,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Amiriya,Pizza restaurant
مطعم الرضا,"2R54+R2F، العامرية غرب، قسم العامرية، الإسكندرية،, Amreya 1",012 22265645,Not available,5.0,4,Cairo,https://maps.app.goo.gl/n5oqEZu9FbKdBB637,not available,31.009563,29.805062,https://lh5.googleusercontent.com/p/AF1QipOhCWEh0UCWPj76e8s_6KdlSRX40N3SLYLBd_DP,https://lh5.googleusercontent.com/p/AF1QipOY-kXT4WF8Nsd9hL6B1J_RkX3S0sMhNqUXy8Nv,https://lh5.googleusercontent.com/p/AF1QipNUGZvoRbNiB1zWbEPik6h6wNbsl6eXGl0rIWIM,,,,,,,,,,,,,,,,,,restaurant,Al-Amiriya,Restaurant
السمالوسي,"2R52+X6V، العامرية غرب، قسم العامرية،, Amreya 1, Alexandria Governorate",not available,Not available,4.6,9,Cairo,https://maps.app.goo.gl/s2du5hz91SeDPXZA9,not available,31.009937,29.800562,https://lh5.googleusercontent.com/p/AF1QipMqlXL76Yc4mfKSUVGOwvMGhdtb7g4Zk3QXhWrf,https://lh5.googleusercontent.com/p/AF1QipMWsrSqwnED-bRCwZhgrSZJOSfjALZjbX0FquiG,https://lh5.googleusercontent.com/p/AF1QipMxf5apy_zX4HT_l3VB-9ELQxQ38VTZBCsOWG3-,https://lh5.googleusercontent.com/p/AF1QipNirtFd1fCo2W8UIdocIyJlIs6Z2XufiFW83h4g,//:0,https://lh5.googleusercontent.com/p/AF1QipPFoVfA0ZXlHfIxd6tr_UqcWToisMpUDrM2CqI8,https://lh5.googleusercontent.com/p/AF1QipOPstjkNbXS6NtP3qpVBhNe4ZMGs6dhFVmUDzVV,//:0,https://lh5.googleusercontent.com/p/AF1QipPjV8yqdxo5PvNgZ9VZh4nQR05AUwV8R8PRzH3E,https://lh5.googleusercontent.com/p/AF1QipNkEJlvvesR__ZeNuHeTeroojJACMT50pOntRmT,https://lh5.googleusercontent.com/p/AF1QipO-COy_AULtIBUxcG6QzHqzCWFiDoWQHT98ZNsY,//:0,https://lh5.googleusercontent.com/p/AF1QipN-oICKa3QU7ndK7t6TK6ceGRVxCZMElp9_YfeO,https://lh5.googleusercontent.com/p/AF1QipPFr_xjCh_vfJVMnbMbnOLQwL8_784FlGGYjD4b,//:0,https://lh5.googleusercontent.com/p/AF1QipMiqPtN1OqQmahgfWJcIKFKTFxG89S9x9nDHe7_,https://lh5.googleusercontent.com/p/AF1QipOQVVoTp9_AU0KPYsJIPS7hJ3PN5qaWTXFDiKez,https://lh5.googleusercontent.com/p/AF1QipPxyNbXSinr1-Hwvu7S0lBE4khm2SfS3Yhch89P,https://lh5.googleusercontent.com/p/AF1QipMQPjyz8-PgIgv0O-leiCK_yb2PiRIWzu719Vu7,https://lh5.googleusercontent.com/p/AF1QipPyqL2m7SX1BXz9KoPFBOOyJTdD8_FdqOe2kjhV,restaurant,Al-Amiriya,Restaurant
مطعم ورد الشام,"2R64+84M، العامرية غرب، قسم العامرية،, Amreya 1, Alexandria Governorate",011 25586860,Not available,5.0,1,Cairo,https://maps.app.goo.gl/5NYVFqS8gE2Uj2uU7,not available,31.010813,29.805312,https://lh5.googleusercontent.com/p/AF1QipNeotnNgBn-qCkQvRGFQnulQELvFCvbytU-gqkP,,,,,,,,,,,,,,,,,,,,restaurant,Al-Amiriya,Restaurant
Why notواي نوت,"2R53+JVF, El qesm, Alexandria Governorate 23511",012 12353652,business.site,3.7,3,Cairo,https://maps.app.goo.gl/YvFo6HNmowth1pog6,not available,30.875,29.725,https://lh5.googleusercontent.com/p/AF1QipM2M1WcjZwKaZdo7gj7gaHLI1HL1ScpxUI6aVAA,,,,,,,,,,,,,,,,,,,,restaurant,Al-Amiriya,Restaurant
مطعم الوالي,"2R64+PP2، اول شارع مخزن الزيت العامرية, Amreya 1, Alexandria Governorate",not available,Not available,,,Cairo,https://maps.app.goo.gl/xxKnXrPYH3Xz5MvEA,not available,31.008187,29.808687,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Amiriya,Pizza restaurant
