Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Warda,"44 El-Hakeem, Ash Sharabayah, El Sharabiya, Cairo Governorate 4360205",not available,Not available,4.1,33,Cairo,https://maps.app.goo.gl/KWh2VmG6kcr5zRew9,37C5+8C El Sharabiya,30.070813,31.258563,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
بيتزا الشيخ عم شعبان,"Salim Saab, Al Izab, El Sharabiya, Cairo Governorate 4360128",010 05083764,Not available,4.5,47,Cairo,https://maps.app.goo.gl/J2f3gCajt28aRBRBA,37C5+MF El Sharabiya,30.071688,31.258688,https://lh5.googleusercontent.com/p/AF1QipMNwKfF8yhRy0DfBsRrPaTXWn-xAnV43wiHSSk,https://lh5.googleusercontent.com/p/AF1QipMQ9tHR0VELa6CL_PcsuOXehycAoilA7KeT1sYG,https://lh5.googleusercontent.com/p/AF1QipMw3nsEVGkLTVoJcbIDusCjlPq-dYHrvsG9d_o0,https://lh5.googleusercontent.com/p/AF1QipPl87ENZEN1Cpy6gWw5Zp3IFLAOjgjG9kE3b6Gv,,//:0,https://lh5.googleusercontent.com/p/AF1QipP8PmwRWpxxQRbJxWW4XrDuKngngaRlKQYJZ4CW,https://lh5.googleusercontent.com/p/AF1QipMm4pGMqDZXfN5ZMt4IcDhoBKP3wV_mNoXpQIc,https://lh5.googleusercontent.com/p/AF1QipOmPGvGmWYBBkaO8NeL48WcG8cciXUVkEYkbPRB,,,,,,,,,,,,restaurant,Al-Sharabeya,Pizza restaurant
Elshaab,"37H7+PH8, AZ Zaweyah Al Hamraa Al Balad, El Sharabiya, Cairo Governorate 4360531",011 12005210,Not available,4.1,7,Cairo,https://maps.app.goo.gl/dQ1sTfYHmvutDH6c6,not available,30.08125,31.25875,https://lh5.googleusercontent.com/p/AF1QipOhsQ_Ugr3zyAKIAnU6AikLCML1qycQsHz3dRIx,https://lh5.googleusercontent.com/p/AF1QipNBEBepsz9ZrSiRe9DlPZkp7X9yel7lp2JakhKP,https://lh5.googleusercontent.com/p/AF1QipNidSAyu-fgyZyoXtyuelZLGk4NheFEjepNJV3W,//:0,https://lh5.googleusercontent.com/p/AF1QipOnC7qdbJJGMqK9uE87ZEMBwEPme-2sFagmvdef,https://lh5.googleusercontent.com/p/AF1QipOalJvNVybOGEwOSxUAV3kysPJks5YOnoaQhfU5,https://lh5.googleusercontent.com/p/AF1QipOJxBfEazE4eTaYWvX2EfcGcMiDrW4MU5yJlOTY,https://lh5.googleusercontent.com/p/AF1QipMaCu6x23Yp8EgmsMxmwWoy9HsUdnqS3K1QHJFV,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
Rowish WA Lazize,"37J6+CW9, AZ Zaweyah Al Hamraa Al Balad, El Sharabiya, Cairo Governorate 4360525",012 21464652,Not available,4.2,29,Cairo,https://maps.app.goo.gl/h73kvsPwg4wCGv3B6,not available,30.08125,31.25875,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
Mesho,"37J6+3V6, AZ Zaweyah Al Hamraa Al Balad, El Sharabiya, Cairo Governorate 4360522",not available,Not available,4.2,31,Cairo,https://maps.app.goo.gl/EXefE9c4T4GEvi3T7,not available,30.08125,31.25875,https://lh5.googleusercontent.com/p/AF1QipOmdgrEghdes1Oi3N3dQiBvSjKdlyYF7KOV-wOv,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
Samar Al-Nil,"20 Al Hosni, Al Izab, قسم العمرانية، Cairo Governorate 4360211",not available,Not available,4.5,2,Cairo,https://maps.app.goo.gl/jVPAwyJNyZYmHrMq5,37C6+R7 El Sharabiya,30.072063,31.260688,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
Elaroseen,"37J6+2QR, AZ Zaweyah Al Hamraa Al Balad, El Sharabiya, Cairo Governorate 4360521",010 99677767,Not available,3.7,19,Cairo,https://maps.app.goo.gl/Vb2Kg86aPqnXvxyr9,not available,30.08125,31.25875,https://lh5.googleusercontent.com/p/AF1QipOTSBKuUXmcQ_B8J_WqLcO09kDuLkBqblwjC1aY,https://lh5.googleusercontent.com/p/AF1QipMwMlLYkr5GrD8_FhT9BLXX7iuCLDEEJMdym928,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
El Saasay,"37H9+P2C, AZ Zaweyah Al Hamraa Al Balad, El Sharabiya, Cairo Governorate 4360607",010 60610528,Not available,4.0,55,Cairo,https://maps.app.goo.gl/SSccRBgS2c6DSxuo7,37H8+QV El Sharabiya,30.079437,31.267187,https://lh5.googleusercontent.com/p/AF1QipOK-dbQhv3eLfDA7i8FWpYu0UyKpi74pqE19KTx,https://lh5.googleusercontent.com/p/AF1QipNC4dipOwA1ojAm-h7qCn6_BqYxDbhs75brUTE,https://lh5.googleusercontent.com/p/AF1QipMXl-VQIsiYOfMVlPrKz3CZOt_3aIW9HCI_mEU,https://lh5.googleusercontent.com/p/AF1QipPXUpO70zzjprAucq7-xsOZ2BMMmj0vabt4swL1,https://lh5.googleusercontent.com/p/AF1QipPfY4Clav5Kr9zMPIcnjYOqMCFTAUezf-sAzCB2,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
Koshary El Zaeem,"4 ميدان عبود, Ash Sharabayah, El Sharabiya, Cairo Governorate 4360201",02 24839994,Not available,3.9,207,Cairo,https://maps.app.goo.gl/UXTdsAuH1U6J1T3U6,"37C5+6G Ash Sharabayah, El Sharabiya",30.070563,31.258812,https://lh5.googleusercontent.com/p/AF1QipNWmenRpNVqJQ5kBRG8OGXB4pcBXkzvU1IUYxhI,https://lh5.googleusercontent.com/p/AF1QipOGCex0h4MpOnPl52k8EOwB2LYEJel38RAs9w1U,https://lh5.googleusercontent.com/p/AF1QipPHJykQHEhDk-oZHiqiFJt0cVK_I5TjxlnziwcN,https://lh5.googleusercontent.com/p/AF1QipMtiO1H8evGhv3t6xDIbiYrPAmykGNNPFbruys_,//:0,https://lh5.googleusercontent.com/p/AF1QipOR8waPMlbR4GJmE_UMRIOLUhy9MmyhtSj8CZWU,https://lh5.googleusercontent.com/p/AF1QipPUmzK0wY8QDCFdhD13Y_1YGCulZtOQvhLqKu5c,https://lh5.googleusercontent.com/p/AF1QipNDdJRMIuTAzLi3qg1bp2EU3Ir74Lnk2h0VRcKu,https://lh5.googleusercontent.com/p/AF1QipMFBFgiMfbKK-P0lwJ_9kCrKmU8kjKtEuWguE1i,https://lh5.googleusercontent.com/p/AF1QipPAeKKw0Y5GCxrRk6_206vUlvTacZDyRnwjVhc2,,,,,,,,,,,restaurant,Al-Sharabeya,Koshari restaurant
Abnaa El Gharbya,"37V9+V65, AZ Zaweyah Al Hamraa, Cairo Governorate 4370347",010 16966277,Not available,3.7,42,Cairo,https://maps.app.goo.gl/bAS5mAbYkyZA8qYT8,not available,30.094687,31.268062,https://lh5.googleusercontent.com/p/AF1QipOR8k76KY44Fhkws0WzeHC4nzmR4Wl6yQIgclF4,https://lh5.googleusercontent.com/p/AF1QipPdL9UE-cJLoZuz49d5WCjBAHd5YMcFMmYcrrxI,,,,,,,,,,,,,,,,,,,restaurant,Al-Sharabeya,Restaurant
