Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Al-Malk Resturant,"122ش, Masr We Al Sodan, Mansheyat as Sadr",010 22222421,Not available,4.1,41,Cairo,https://maps.app.goo.gl/XV6U2F9MufysHTj46,"37PP+73 Mansheyat as Sadr, Hada'iq El Qobbah",30.085687,31.285187,https://lh5.googleusercontent.com/p/AF1QipNADOp89kG95dVGl-lHMUJ2rR5yVvXns9KtzSxb,https://lh5.googleusercontent.com/p/AF1QipPqVP5E1j_iunLqVKJqKrrG06Q-LMWvnAe0rgTB,https://lh5.googleusercontent.com/p/AF1QipNBW-GPq9vuypoIH08HbDEDMR_WA2Uk71-lVx8z,https://lh5.googleusercontent.com/p/AF1QipMQaO8yRseoRdmN9YTWciA-fncgFn9OlEWIhwK-,https://lh5.googleusercontent.com/p/AF1QipPpqc0Q9tFJGz_ORMMhODOgcbBHMe6vVnnHW-tK,,,,,,,,,,,,,,,,restaurant,Hadaeq Al Qubbah,Pizza restaurant
Hot & Spicy,"Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381413",010 07710961,egypt.pizzahut.me,,,Cairo,https://maps.app.goo.gl/YYAfkxDJxzjbdz9f6,not available,30.085813,31.278937,,,,,,,,,,,,,,,,,,,,,restaurant,Hadaeq Al Qubbah,Pizza restaurant
El Malek Pizza and Crepe,"١٢٢شارع مصر والسودان،, Hadaeq Al Qubbah, Cairo Governorate",010 22222421,ar-ar.facebook.com,4.0,256,Cairo,https://maps.app.goo.gl/NF3ECnc5syZnkTYy7,"37MJ+VV Hadaeq Al Qubbah, Hada'iq El Qobbah",30.084688,31.282187,//lh6.googleusercontent.com/a9qRlLGfuMWz4kDcvQwhNdlG9y55n4rRKxI7e0HefyLlTu74ZW-CzjiJosy0Qc5cig,https://lh5.googleusercontent.com/p/AF1QipORIhot4e3lODS8-1NYm7kotrNXGbenb-uVndoM,https://lh5.googleusercontent.com/p/AF1QipNRhcnNG9dgyGjl5lhC4nvjbgYCZWDDjFfmtrjn,https://lh5.googleusercontent.com/p/AF1QipM5qKkz8UI7jy0XimRWd0ODOw0wEgKj-pYvM0Gq,https://lh5.googleusercontent.com/p/AF1QipOgeUs5ZMRctgpyLF5uwSEgBqxNMrNOdMXkSTAe,//:0,//lh3.googleusercontent.com/LFPz5y91ZV9vrdme7zlJWMfN2JYHKmOCdxODV0imFlL-Dkq3iSXJnR89ROfIaG-tfA,//lh6.googleusercontent.com/61kv3wGdB_TL6ddqPMaXf23jTlFzOi9r0xgai4-tcL7R2K2HphCnvy4ZPZKvLDNbcg,https://lh5.googleusercontent.com/p/AF1QipOZHnmYVsUlCNNe47LJjBtxFoEf3V9Z2k2infkT,//:0,https://lh5.googleusercontent.com/p/AF1QipO8HH2hAOYg4Sa0y8UQO4D-Ik1iyA3VZnKxQEHp,https://lh5.googleusercontent.com/p/AF1QipOiPHYi_pvA2ZNUrpH_Sszc43qDBarhXxaUjBxY,https://lh5.googleusercontent.com/p/AF1QipPg9pJXXVJOxRZ-oIOFnzh7NDrIdaNd5rDoSYQ7,//:0,//lh5.googleusercontent.com/zlBj4PBDb2zEM5BaOx-4-IMoTdNJAx31YhRXfcDasWgHFtM9y-oYmcAVqlsVuUbC,https://lh5.googleusercontent.com/p/AF1QipO4t8KQ2w75igIsOLUeiwaGyLP6THdyjfH-7cBN,//:0,https://lh5.googleusercontent.com/p/AF1QipMnzaRBAwHE3nLrzFtIRRj3gAAUL6PwPrV70qeX,https://lh5.googleusercontent.com/p/AF1QipNAT0jAWf6dLmDF2Mz6DE_CBlVsinacGYoUMxiN,//lh4.googleusercontent.com/Yki8HqJ8ZMMNic6JZ87mrZ5p0M8BwJZzEJ71gsNc-kEUFLRLm9ThY2Apg7t9814,restaurant,Hadaeq Al Qubbah,Restaurant
Pizza El Qods,"Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381157",02 22323644,Not available,3.0,4,Cairo,https://maps.app.goo.gl/mVDtm5a91c6qeXtR6,not available,30.081812,31.275688,https://lh5.googleusercontent.com/p/AF1QipO7zG_HglRq8QdAV8nCZIQWE1v7C8SnVuYbo_gp,https://lh5.googleusercontent.com/p/AF1QipPQTq7F7CMr6pvfL9rTWEYaHUpeWJlj1zRQOcBc,https://lh5.googleusercontent.com/p/AF1QipN3EsHdY84GCJVQ3QeE82RnAyuH5hpqqPKmlulX,https://lh5.googleusercontent.com/p/AF1QipNmh8Y5BFu5INSR3lCOA68qThBHmu6EwUvoByp5,https://lh5.googleusercontent.com/p/AF1QipMypDaeHA-QQk3FfWcYgQEd88zP29qqv1OL8wsr,https://lh5.googleusercontent.com/p/AF1QipNLKQa62k_2NZTo9tUciRw-otaAIsF_0La-rf0S,,,,,,,,,,,,,,,restaurant,Hadaeq Al Qubbah,Pizza restaurant
Al Sultan Sea Food,"15 Al Dwidar, Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381622",011 50000532,https://www.facebook.com/Elsultanrestaurant/,4.0,"1,251",Cairo,https://maps.app.goo.gl/xTR3PNoYDhGRtTmv9,"37JM+84 Hadaeq Al Qubbah, Hada'iq El Qobbah",30.080813,31.282812,https://lh5.googleusercontent.com/p/AF1QipMH1TNb5PbW5KmiWawEj2NCoUQeC9ngZwJNApit,https://lh5.googleusercontent.com/p/AF1QipOpBouLMcUnTqK5ICFume7XVVszkESTPAVGNRsk,https://lh5.googleusercontent.com/p/AF1QipOM6N9uzGZlhP_cnVi84mtA8EDfvfXVkQ71h0o_,https://lh5.googleusercontent.com/p/AF1QipPQUym0lhRcgZsN879gKOZH9FcG3MR_kVFBKp65,//:0,https://lh5.googleusercontent.com/p/AF1QipOqgxQq9JiO1yxW5A9B4dgTPrYiwn8QFRHSahP2,https://lh5.googleusercontent.com/p/AF1QipNqAJ-HdzuEwF_q3gz-ZPoPNkjGYIvsIavIv0Nw,https://lh5.googleusercontent.com/p/AF1QipMq_o8jxwKOkeIMGJ7m1rg4rLmv48WakV6GXmGV,https://lh5.googleusercontent.com/p/AF1QipNX0Am2652Hx-FoFwdhQqUPuR46Os0J3DH_nyje,//:0,//lh6.googleusercontent.com/tJSy5Q_JrIcgFc9ofJgb0Pvawcj6g5wJcyTgPj9wJKTU-s_2_eYY4DEuU02lG40N,https://lh5.googleusercontent.com/p/AF1QipPbEi17SwaGaWZ6jCz5lPAS__ZCk9EAGev9or5N,https://lh5.googleusercontent.com/p/AF1QipNwCHEXT3FlskyGpzpPt_WeMxKgUOyOjLuBR_jT,//:0,https://lh5.googleusercontent.com/p/AF1QipPZmsvorpXL0Aej2ScpSpwncWNO56HeoUt3pYpp,https://lh5.googleusercontent.com/p/AF1QipPhbmBuu-a8820ahrb-INX85ItSkYIrd26j9_tR,//:0,https://lh5.googleusercontent.com/p/AF1QipNSVfdVVbJmjYMmbUzVnHVjm8rUYlPi3jDNSKUC,//lh3.googleusercontent.com/woKjgCW-qC08JVzopoGpWiOfcGZCKR-wS7Qgh2jCfY0AartJ6ATlaVC17gNyAXQhew,https://lh5.googleusercontent.com/p/AF1QipM_TDYgJSsnS1fLofa4r-DxdUOuLyQkSb2gg5s,restaurant,Hadaeq Al Qubbah,Seafood restaurant
Shawarma Abou mazen restaurant,"120 Masr We Al Sodan, Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381423",011 01219675,aboumazen.com,3.9,"1,000",Cairo,https://maps.app.goo.gl/fEgS7Tfgjxc3Wp617,37MJ+RR Hada'iq El Qobbah,30.084562,31.282063,https://lh5.googleusercontent.com/p/AF1QipNxIIA8Jk-a0sib4FvUGEv5RoyafC6_VFDfuznS,https://lh5.googleusercontent.com/p/AF1QipNzLp67ZemQe1DgTaDbYg1THdmfn60Wow4VjJaH,//lh4.googleusercontent.com/18PvC5Nxai_xj61Ywqp_1svm_HixJruZ0kb5P1ok92UkEqSvPrKBCgImBAchRigH,https://lh5.googleusercontent.com/p/AF1QipM0NZd7sgo809qPF3s-_oGLC6GCeCUd5oYxwHOS,//lh3.googleusercontent.com/OfGhK6lFoJqniyhPINnuACAuRoCcpXNgibJwvyXJ6BTiVRXDbQl9OqpxAV4ctZw,//:0,//lh6.googleusercontent.com/6_fhhAD7N-XfvMfIYDLhEEMlRmOOjnGRLXNqYWEWN4yBq1E5jm5peXASHBKw8HCO,https://lh5.googleusercontent.com/p/AF1QipMd4BJFXzuTisrLHbmbdJDoH4-Td6Gx21c1OORG,https://lh5.googleusercontent.com/p/AF1QipOe2oS7DiGiAy1fpYRiMmLQV2rpA25WdgO5FDQf,https://lh5.googleusercontent.com/p/AF1QipPhUW2UrmYh3PMIYSXhagfXTiVF-CVEnI4a92ma,//:0,https://lh5.googleusercontent.com/p/AF1QipMWMvGJ7fHMhmzvbZqlp8vsAdthk_T_mYoSw8Bu,https://lh5.googleusercontent.com/p/AF1QipOAUt8pD8pf58ZcWfeW49OolfuMD9vpdMLp9NjN,//:0,https://lh5.googleusercontent.com/p/AF1QipOpU3yiv0235I7FHDyIZ4Xe_EiwWMp76lw9KtDm,https://lh5.googleusercontent.com/p/AF1QipPi23t4-uaJps5Y675-vNzGQwxyDs0nazcmKA7g,//:0,https://lh5.googleusercontent.com/p/AF1QipNH9wETL13eqTPf6_XbOZ_um1Ygvy0UO4RtYaAv,https://lh5.googleusercontent.com/p/AF1QipPbe5q9YUHwZjrhV0Zk-n3goHnfmfGEQ1aPiVCR,https://lh5.googleusercontent.com/p/AF1QipNXGdZ2Lsd3eFQ0yeodgW00dIw-ii_ZgmTTRig5,restaurant,Hadaeq Al Qubbah,Syrian restaurant
ElHaty Restaurant,"127 Masr We Al Sodan, ،, Hada'iq El Qobbah, Cairo Governorate 4381611",02 24342046,Not available,4.1,754,Cairo,https://maps.app.goo.gl/XMtyemKHTtrL5oTV8,37MJ+3Q Hada'iq El Qobbah,30.082687,31.281937,https://lh5.googleusercontent.com/p/AF1QipP8WjTtYP18tbDEGf9pbd_lYy441k7MydvGf8tj,https://lh5.googleusercontent.com/p/AF1QipP3uu3KFx8AXAcKzPmSAh77HR7tFl1lqW3YXvON,https://lh5.googleusercontent.com/p/AF1QipN6dnPyWPDtjr42MXApHiGdZ68QDIIzlTzXCAxb,https://lh5.googleusercontent.com/p/AF1QipM9KuGa17O-2xlMeytx3m2qtYRIc3xcU_25tJcN,//:0,https://lh5.googleusercontent.com/p/AF1QipPuV-ljin_Rx8u5jGGN3Rxv2aIIgAnXTIJMgQwR,https://lh5.googleusercontent.com/p/AF1QipOSE_Sab1R1dkzgiU6OMadNIRgZ6Xb6yiRFxXRs,//:0,https://lh5.googleusercontent.com/p/AF1QipOn7vASi-up1A-vqhfrQTVtf75p3onXd-aCG3JR,https://lh5.googleusercontent.com/p/AF1QipNoczjuCfK9zB0I6Q9LFIPk5i95bNOdrGNr79_M,https://lh5.googleusercontent.com/p/AF1QipNI5OGPYamUwQA0OU4-a6jAdxY-YeEVr9ESyrwF,//:0,https://lh5.googleusercontent.com/p/AF1QipP3nlM8eSxxRkZz4_ZDdixTr7z93PIXwx84d6lI,https://lh5.googleusercontent.com/p/AF1QipOv9iS209ytCKvEYzpue10WW7cA9MzcpS3cL2wF,https://lh5.googleusercontent.com/p/AF1QipPvzOdivlPQpOG-p3aOd8EMXw-zSmaLS-D9l-JE,//:0,https://lh5.googleusercontent.com/p/AF1QipMackiGn4Pvg2jSwl9XB8SRYFtF4aGytQE_B0et,https://lh5.googleusercontent.com/p/AF1QipNWvh1G_QjqTXy8Zq0c-BpnPdw_3PZoyQ8rErNF,https://lh5.googleusercontent.com/p/AF1QipPnNZlNRXvyGC0NNGXatVi81BZJMw20j5ABf_2e,https://lh5.googleusercontent.com/p/AF1QipOY5Nk3MKD6w39UPH1Z_cjkm6X9ZuoACkIGlQJC,restaurant,Hadaeq Al Qubbah,Barbecue restaurant
Faheta,"37JG+RXQ, Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381161",not available,Not available,4.3,34,Cairo,https://maps.app.goo.gl/GKfFsiuDyrTnwhcVA,not available,30.082062,31.277437,https://lh5.googleusercontent.com/p/AF1QipMS1UgSKWfkI3X4L6KeqgqucbHkPwSjKLOLFal9,,,,,,,,,,,,,,,,,,,,restaurant,Hadaeq Al Qubbah,Restaurant
Habayeb El Hadaeq Restaurant,"37PH+69P, Hadaeq Al Qubbah, Hada'iq El Qobbah, Cairo Governorate 4381412",02 26015378,yellowpages.com.eg,,,Cairo,https://maps.app.goo.gl/Pioq45567eRKaHfr7,not available,30.085563,31.278438,,,,,,,,,,,,,,,,,,,,,restaurant,Hadaeq Al Qubbah,Syrian restaurant
توم آند بصل,الحصري القاهره,02 36990222,es.restaurantguru.com,4.0,205,Cairo,https://maps.app.goo.gl/ZUkkaxAqB3zE7Xux6,37MF+GQ Hada'iq El Qobbah,30.083813,31.274437,https://lh5.googleusercontent.com/p/AF1QipPcI6a3f8e4vVLABbB_vqIzXu_uGjOjvC7_Lx6V,https://lh5.googleusercontent.com/p/AF1QipPDP5N9yEsEfR-_vS-NwhEUwnlypSKEva5i3EgX,https://lh5.googleusercontent.com/p/AF1QipM_f_gG3AKdBR-nEgg-plRqOT8OFxM020tYF1yy,https://lh5.googleusercontent.com/p/AF1QipPn697R_3BrJ_ZROg3MBif3CdyrS3WTL5s6gu3I,//:0,https://lh5.googleusercontent.com/p/AF1QipNi4GViThDNGArxjTIAhztKEgYHSgQp_GskUyZm,https://lh5.googleusercontent.com/p/AF1QipOstyeo2wMKTLnxkfpESH_ijiJlgmDS-wShF7uH,https://lh5.googleusercontent.com/p/AF1QipNbds6dqoXfP0tp6_yQS2EqNvRfSgDRId6h0stu,//:0,https://lh5.googleusercontent.com/p/AF1QipMSgp_5F18MjONC9TWrfX_p0ceS1ThD1CvZcS_x,https://lh5.googleusercontent.com/p/AF1QipN2FqosOX7ElrhbuYTCCphT8MTFdjT6Db3jJu3d,//:0,https://lh5.googleusercontent.com/p/AF1QipPMB7kPEzrsDUvSG9oOMv1N8RInEUWVDzKccDUD,https://lh5.googleusercontent.com/p/AF1QipMxQe30tNpSgv7NfhOreFdfPd9KU3VhdbIzNC7c,//:0,https://lh5.googleusercontent.com/p/AF1QipN7jjSzWZKWrlB1QtZRfskzZnZRivcFSxRvaCn-,https://lh5.googleusercontent.com/p/AF1QipNv48vUMSmubWicx4GW0IASro9fti4v9mCFsy2m,https://lh5.googleusercontent.com/p/AF1QipMoFkKQl3P5TXi_Eo29q4seSf9XwobZNdwVln_n,https://lh5.googleusercontent.com/p/AF1QipNdZIACXKu2OmY6LdDtk7SasRY7YtNVYQmdjbl1,https://lh5.googleusercontent.com/p/AF1QipMKxXB4uGGyN0Iu7gSC6grCy6OsF0yZ3Guxd4bb,restaurant,Hadaeq Al Qubbah,Restaurant
