Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Linguine,"36FV+HX3 Al Tawfikia School, Toson, Shubra, Cairo Governorate 4341530",not available,Not available,4.6,8,Cairo,https://maps.app.goo.gl/j3ZtXXHRkpuAGKwf8,not available,30.074438,31.244937,https://lh5.googleusercontent.com/p/AF1QipO0Et43JfaZw0hisQutqgjqjddNi43OzYrY4dEs,https://lh5.googleusercontent.com/p/AF1QipP7g-jJ0a5BL1Wjgo3fZNPHkTgJMk9WZzM71MvF,https://lh5.googleusercontent.com/p/AF1QipPD_m4p8IVOXZD4jiQ3vpbPXOuIBsJ0ru9v0jYB,https://lh5.googleusercontent.com/p/AF1QipOu1IyhrEdqAcsBohSiMsYY8bV65Io4Gcbll_0I,https://lh5.googleusercontent.com/p/AF1QipO_tUNJn31yc7FqWfon7IK0SEfw3WcAw-sZjdSd,,,,,,,,,,,,,,,,restaurant,Rod Al-Farag,Hamburger restaurant
Arafa Koshary,"90 أ Shobra, Al Mabyadah, Rod El Farag, Cairo Governorate 4341582",011 53600351,Not available,3.8,853,Cairo,https://maps.app.goo.gl/BfZVRMhNsbTRj4oy7,36HW+F2 Rod El Farag,30.078688,31.245063,https://lh5.googleusercontent.com/p/AF1QipNCM8XLtEBMVQ2QpjH8F1mJq_ioY5Zc6YlOWI0E,https://lh5.googleusercontent.com/p/AF1QipPNBUTpUBMvzK1uKtxMi9UIBdhYp9C5J1x8H90,https://lh5.googleusercontent.com/p/AF1QipPaualmevjl6WrugsbdIgrURTZ6eKhxb63iQkns,https://lh5.googleusercontent.com/p/AF1QipM5tfYF4UKkj4MtMZr_oYD1laMc5TellHXzvJWp,//:0,//lh6.googleusercontent.com/nwKVC8dd6RXgU34YgeTW0tygdH3OdmYwJZG3DmckKZgKQABGC75_f1tyUvxbxCY,https://lh5.googleusercontent.com/p/AF1QipOLNl5TGHDCn4spqSuFxcOkhfI_YLdof_gSOOY,https://lh5.googleusercontent.com/p/AF1QipOR4Cj6zZlvpiETA_AeDZMESae2Ok9IOUSibPI,//:0,https://lh5.googleusercontent.com/p/AF1QipPZjBOHrpIoVX1fCTREh7nkI2Sq2qGhR_AjN_iE,https://lh5.googleusercontent.com/p/AF1QipNXvQmJJGWmjGoF9vPN2VeONhd6u9KEAw5OQtoL,//:0,https://lh5.googleusercontent.com/p/AF1QipOUnHgFMUMhTyOkySAhmBuZu60-bsaTcDny-TBV,https://lh5.googleusercontent.com/p/AF1QipOPv3hXnAprcJLuuC9hZg7ZGULC6U2oIJnXGjg,//:0,https://lh5.googleusercontent.com/p/AF1QipOSjtxJLSwSpJPcElDBBHGRFRKXBywaBA23t5hy,https://lh5.googleusercontent.com/p/AF1QipOfDRe8q7WxoM1EQzOpBeRqORuZXiYrhbsa616y,//lh3.googleusercontent.com/SFmYyieU9H_GByV_ISJ12HXBZmii_XAd0w6-KNK9zhBgW5CXG3dtftk1ofzz5STTHQ,https://lh5.googleusercontent.com/p/AF1QipPXE402HhDZceVVYH-WnFGUNTmXwOTsM62R_qke,https://lh5.googleusercontent.com/p/AF1QipNGKSNsIZlnNo1EIZVXkRXbvxFJmO_7nFlxBFeC,restaurant,Rod Al-Farag,Koshari restaurant
Saraya ElSham,"36FW+V47، شارع شكولانى، شبرا مصر, El Sahel, Cairo Governorate",010 94666662,https://www.facebook.com/Saraya-ElSham-113774363878172/,4.1,185,Cairo,https://maps.app.goo.gl/88swoxLXe7WkbPvE7,not available,30.074688,31.245063,//lh6.googleusercontent.com/eva3pX6CkN14-Mo0epeuzOLBO4mbskkSkK0YbI3MSNfbO0swJ48ZgeX1HurAxH_r9A,https://lh5.googleusercontent.com/p/AF1QipM7ameON1YeuZO4kzfq9ZoZybaVsMn0pwLSqU6D,https://lh5.googleusercontent.com/p/AF1QipN2GjfEVuY4nc5mo-tFySKkLB25MGqEaZESEHTY,https://lh5.googleusercontent.com/p/AF1QipPzY0fq6SrFqknX5P5_EtS6qRC9PKxM-Z7Ynf3o,//:0,https://lh5.googleusercontent.com/p/AF1QipMsxITVSB_dJffKM8I4_rrXHS9-_8Ck2xhs9MiP,https://lh5.googleusercontent.com/p/AF1QipNN01xbJ2PakSARIa_VpNpyvZHOhuL0KISZ-U-P,//:0,https://lh5.googleusercontent.com/p/AF1QipMCkMOSPF073htqQxoeQjmBngieQfCDWa5PKgV-,https://lh5.googleusercontent.com/p/AF1QipO3F07vHIM8iIfj5Esa1ye76OJi6lWBFHKskVeh,//:0,https://lh5.googleusercontent.com/p/AF1QipP_kPyRxL6OifuwPBDAJjuNpZkPFB4olRQxRqNv,https://lh5.googleusercontent.com/p/AF1QipOptiwwXPEMFtoJ8StyeUD77VK_23LYfACOJ30A,//lh6.googleusercontent.com/9gxOj-S_X10lQH3EeDaSslTGFq5WrC94-LMAkOtWv9wALbk2rtp3MZu2IQ-4jqA9Mg,//:0,https://lh5.googleusercontent.com/p/AF1QipNTDhVB5wgMVxOw4qce1ESTH9j1QDskcpTAhfDz,https://lh5.googleusercontent.com/p/AF1QipPwAdZe8yvNoSczKuGcBJQPV4q_FUWsuYJIy4tv,//lh3.googleusercontent.com/PxOJdxnosgdND0Bp2tZOUK1_DHnmt6Vb0X-F2UR_HL3szLB0bldGz3GVsgvKiwwv,//lh3.googleusercontent.com/o4dHLhLS8XmdyzazS8Onj0dVI8Xtx6l3hpLL6hHWVSsTW354keu9K8eieBHSvDn6GQ,//lh3.googleusercontent.com/p7CKLe_21ybgIACj7InhI7qxqABVBLoE2R2L8RX-gTCJ-kA2riNDm4P0Pf9RraFK,restaurant,Rod Al-Farag,Syrian restaurant
Piano Restaurant,"81 dawaran shoubra، SHOUBRA, El Sahel, Cairo Governorate 4351107",02 24577788,Not available,3.2,9,Cairo,https://maps.app.goo.gl/MaExTs5RzoxVi9FQ6,not available,30.080562,31.245688,,,,,,,,,,,,,,,,,,,,,restaurant,Rod Al-Farag,Restaurant
El Arkil,"369W+Q46, El-Attar, Shubra, Cairo Governorate 4342101",not available,Not available,2.7,6,Cairo,https://maps.app.goo.gl/ugtmvgfTik3uBuck7,not available,30.069437,31.245312,,,,,,,,,,,,,,,,,,,,,restaurant,Rod Al-Farag,Restaurant
Canary,"شبرا، Shubra, Cairo Governorate 4341251",02 25758575,Not available,3.7,471,Cairo,https://maps.app.goo.gl/Sh2XmdMqP7KeKgWH9,368V+CX Shubra,30.066063,31.244937,https://lh5.googleusercontent.com/p/AF1QipNonSKHcP7pbEc6jiVFbnH5vWLCLYj-952y6JHn,https://lh5.googleusercontent.com/p/AF1QipNN86tayl1AjVWdyzFdQ4cQNQgd0dss7JRpBOHn,//lh4.googleusercontent.com/7IlUPYQ1j2ZhV6jdbYtJnpvqdGywvSdsviJGLFmN75eJ78hwiWZUDylDL_i29d13Lw,https://lh5.googleusercontent.com/p/AF1QipPPxUZV_NBidiNaLWzDRo-w9MVJIODZiBuV2DDd,//:0,https://lh5.googleusercontent.com/p/AF1QipPVl3eB6gZW1IXdGSiV00rqDWC8MUYzIdzddyos,https://lh5.googleusercontent.com/p/AF1QipOd5BU_A8ROYxueic4v51c2_dhVfMklTC5OGObW,//:0,https://lh5.googleusercontent.com/p/AF1QipOuJ6RkJol1OO5bdv92vs5kuAT_1uXbRYu_7u20,//lh4.googleusercontent.com/hlvgb9PC-pcU3x5Xs6Xr0cW1PpG3r9BExqZYvpH_UxhSUxBpPKQJ8imQBnItbKsW,//:0,//lh3.googleusercontent.com/LgDQIzlqc-A66RlvRkp_FXnFxUH4YLLtENR3r7rOJMautai4hw-DOqFOn5T2G0e2,https://lh5.googleusercontent.com/p/AF1QipPAz2qSB3K7g8k1OdFOUur713Gpikr_FxGxVFip,//:0,https://lh5.googleusercontent.com/p/AF1QipN8PEwKQdNcFPJyFvzjr3K-UosRNGCb_wH0QIIC,https://lh5.googleusercontent.com/p/AF1QipNU_q04axS1qS5n2klcsjUudXlNOoPLn_guJSrD,https://lh5.googleusercontent.com/p/AF1QipOPnOroN4X1Ln8xMhQxLGQYwn4YKDjDSUlSO7tj,https://lh5.googleusercontent.com/p/AF1QipPCIG-EfaDdZB09_WeWTkvHVi50UgE65A-IwyNW,https://lh5.googleusercontent.com/p/AF1QipNLzQCil1ECMIig_9ShwNxN4LDEnPV9wIcP8XfU,https://lh5.googleusercontent.com/p/AF1QipOVIl3Ye7or9EVbZf3iiRGFc5lesTkjTHrOVvT5,restaurant,Rod Al-Farag,Falafel restaurant
لينجويني برجر شبرا,"امام, شارع شبرا, Haret Madrset Al Tawfikeya",012 71652738,Not available,5.0,2,Cairo,https://maps.app.goo.gl/szL2vQoxodXa5NSa7,36FV+JX Shubra,30.074063,31.244937,,,,,,,,,,,,,,,,,,,,,restaurant,Rod Al-Farag,Fast food restaurant
الدكان شبرا,"36GV+8V9, Toson, Rod El Farag, Cairo Governorate 4341546",not available,Not available,3.9,15,Cairo,https://maps.app.goo.gl/oAcgEWkZdkzGYZBu6,not available,30.075812,31.244687,https://lh5.googleusercontent.com/p/AF1QipPZtSmMCDpi1nQpKmF8LxjA09wXbuIclwzXwH_g,https://lh5.googleusercontent.com/p/AF1QipNS8u7k25pvv5W-0fvVLnDusKxkEi_QRFD1MkQT,https://lh5.googleusercontent.com/p/AF1QipNg83CJhw7cQ7ACj-38WfTrOCk8wQIcp2y3UwhJ,//:0,https://lh5.googleusercontent.com/p/AF1QipMD-m9y4qxsQfndZ-vNYRatoQ8q9J7yl89cE-ax,https://lh5.googleusercontent.com/p/AF1QipNEjWkwSgodsEL7hXMkG-sKt1VKjkgTrqI6uR2_,https://lh5.googleusercontent.com/p/AF1QipNBxFf8zq-7sy26m-ib0av2aL9V1WAwC-ggSVDO,//:0,https://lh5.googleusercontent.com/p/AF1QipOaQzRHE8QUY4G9Htpv2KbYd09lNMnGKdvkBdmX,https://lh5.googleusercontent.com/p/AF1QipP3hggB0jQKooRbxAeuafORGZ9AUI9-_C1aDEvD,//:0,https://lh5.googleusercontent.com/p/AF1QipMcD5R4q02cj5y9T4zWoYO2mG7rIx762Ik7VC1Q,https://lh5.googleusercontent.com/p/AF1QipNFZ1pDSuKYI1z60FjTMO4Rmz36keiOTdNNU1ui,//:0,https://lh5.googleusercontent.com/p/AF1QipNIYDSUBQ9TV38UkuBEmeHsQdeyOTbYifv3ESx9,https://lh5.googleusercontent.com/p/AF1QipNmQNEaNbOTzgN80JnUkHSCNRNTb3xHtYOf_gAW,https://lh5.googleusercontent.com/p/AF1QipO8svxM2EIoWdVH0oaeF3ZTnq6oiy1Xie-mONX4,https://lh5.googleusercontent.com/p/AF1QipNYLYWJLj5ApQ0x62_qcFU9R0lHKntpUAFAUuwr,https://lh5.googleusercontent.com/p/AF1QipOaswGAANqPCRDKELAJ9JlCkA3eN6ZASuF_M-S7,https://lh5.googleusercontent.com/p/AF1QipMm6B_bYQNCdS6GNmqRiUWGVWjU4rQVJC4sHfoH,restaurant,Rod Al-Farag,Fast food restaurant
Zlatan restaurant,"36GV+PM2, Ibn Fadel Allah Al Aameri, Al Mabyadah, Rod El Farag, Cairo Governorate 4341565",010 96613422,Not available,5.0,3,Cairo,https://maps.app.goo.gl/DUvtEr5ztKLGgyGo9,not available,30.076937,31.241312,https://lh5.googleusercontent.com/p/AF1QipPHhobVv1zYDWVvpRqWo5lBBuVmMa1ICfUJkUsx,https://lh5.googleusercontent.com/p/AF1QipNIbi4W-zmUJo51708mdNAzZbxlF_-miNOvYDHH,https://lh5.googleusercontent.com/p/AF1QipMk5tO84EJyP4BP7oFyfa-Luvs4MCPdjxbXqn8I,https://lh5.googleusercontent.com/p/AF1QipPuPxoiqXdFOUG1fYyy_JIyo3s_LD8CT8NSl1As,,,,,,,,,,,,,,,,,restaurant,Rod Al-Farag,Fast food restaurant
الوردة الشامية,"45 fakhr elden, Rod Al Farag, Cairo Governorate",02 24600351,Not available,4.1,72,Cairo,https://maps.app.goo.gl/4k7EcUu5P3txr7hu8,36JQ+8W Rod El Farag,30.080813,31.239812,//lh4.googleusercontent.com/4pau1r_ObaEHE1k6ypgvi2J4DGCsAJsQunCTmH8pm99JIq4Svsp_YJSooj9gpB0,//lh5.googleusercontent.com/rnSfGlnifL6cYnvt_1YM0mfhe7KdEEoH7EWlBrJ0F_XxFoWIy__bRxNuDgIDVBk,//lh6.googleusercontent.com/ofA-n3fUWVoMrcyEhYGLeJe1EMGPaukxAA9FBmWVTcJaiEegYvNqxi6Hz-9yarF9-w,https://lh5.googleusercontent.com/p/AF1QipMvwpb8nAqGbw15Bk2c9H0IPxeSuXOHFl-9dM9t,//:0,https://lh5.googleusercontent.com/p/AF1QipM8ixLUeLv1Gco6rcOuqK9c9bo_RU91E4TvubeP,https://lh5.googleusercontent.com/p/AF1QipPAPm_Zug1lyBLUvxG_Ya1_V1uSCm-SKKwimQg,//:0,https://lh5.googleusercontent.com/p/AF1QipPfs__8pUasn8v__FYVEzNJacK3H8Z98J_w0RpV,//lh4.googleusercontent.com/vJ_-cyBbmNXqMzS1NDx848vNttrIZOIIrX0xutSCGCz_FnGQNharLXYISHn4Tcxq,//lh6.googleusercontent.com/46TYo_3D2rlKOpbLCdYfaJwIz1SnLwxRlMeDT9MQvo7aP28KgJ9Ibg_mExypq2MU,//lh3.googleusercontent.com/L_-bSpPwA8h73stURuKd0sBnFkBZnL1f4zT9GFP-NvsRcMHG9kvo0th0cAuQ2qvY,//lh5.googleusercontent.com/w2d19Ox4xyZ7_gP35IbVV8G_E8MEYx-q_Ci45jG-i6qAz8OTRlmD18gqQ1A0-Kk,//lh6.googleusercontent.com/Z5cuvYd6QB4MFzEgrkZMqzEntS4CjqIYRapzur4CfVBd23g6v8SY5-vm8ewMv9I,,,,,,,restaurant,Rod Al-Farag,Restaurant
