Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Prego,"28C3+M88، القاهرة, Al Abageyah, El Mokattam, Cairo Governorate 4414030",not available,Not available,1.0,3,Cairo,https://maps.app.goo.gl/qw9MJk4jsjGRVyw57,not available,30.021687,31.303312,https://lh5.googleusercontent.com/p/AF1QipPK8BeOn35vEigg4UZgaeE1oBGMjvMXujq6-8aU,https://lh5.googleusercontent.com/p/AF1QipNz1ht0tEDMZlZm2McW0eA1AbHSDmiQfF_1roco,https://lh5.googleusercontent.com/p/AF1QipNdZrg97LfQg9LZyrKswCVmYDbU2ON8JFWIWG-T,https://lh5.googleusercontent.com/p/AF1QipPzZketMskp8Fle_34djYucTD9gvCjEig6oBBGH,,,,,,,,,,,,,,,,,restaurant,Mokattam,Fast food restaurant
Bazooka Fried Chicken,"1024 Street 9, Al Abageyah, El Mokattam, Cairo Governorate 4412171",012 03333752,bazookaegy.com,4.1,"1,127",Cairo,https://maps.app.goo.gl/Xha77YBfLC4P8rnDA,"277X+FJ Al Abageyah, El Khalifa",30.013688,31.299062,https://lh5.googleusercontent.com/p/AF1QipPUjel9rxkOOwfE9_MEAx2ooyL5VXEm2ms6Yxm_,https://lh5.googleusercontent.com/p/AF1QipM8bLoNEo7JcMREegEvj3KVubJK2eW29D7TV1kl,https://lh5.googleusercontent.com/p/AF1QipO1V4FiQdbKEbfrvrwBxLY1qpxNpGbAJ5PJRUyH,//:0,https://lh5.googleusercontent.com/p/AF1QipORZBk-lbaLZ-p6UBZEMIUqS2b5DrNg3ot8yt6y,https://lh5.googleusercontent.com/p/AF1QipOcvByhZ1BIo0SexzcTl03Pork3sTaxGRSvVTwA,https://lh5.googleusercontent.com/p/AF1QipP9GumHDvwlxD8W5J-ECY9rJxlWW7VX4m1TXIpm,//:0,https://lh5.googleusercontent.com/p/AF1QipPCww4DeL-FmlK5De23grcTh0KqAs_PWAtKYDra,https://lh5.googleusercontent.com/p/AF1QipPMZAcVGfsdc2t48-1-KaygiRAb10gs6GgxkSTZ,//:0,https://lh5.googleusercontent.com/p/AF1QipP2-GJ4p4D5bmoTLXSzGOElJK1sDH3-rkfPm9yp,https://lh5.googleusercontent.com/p/AF1QipPfzr0YaXnuf4sPIRZFXHVCcgENnavhPuSXoq3M,//:0,https://lh5.googleusercontent.com/p/AF1QipOfBY7avIldY94f82b8dpqlPO5CZH2DAcQFIl_S,https://lh5.googleusercontent.com/p/AF1QipObEtvJ802pty_m7jfI05qzKQ9X8fI_NppuzVYB,//:0,https://lh5.googleusercontent.com/p/AF1QipOTeeWYxJv03dmeOz062etaYxQoaFaRLO-TPofw,https://lh5.googleusercontent.com/p/AF1QipMAhU5ZhOWVVd0xU1lNB6AMvc5BLaTv32NTFKNa,https://lh5.googleusercontent.com/p/AF1QipOy6PXzSQeJHX2DCJoqxr5DXEGDXH-XSvNjhrNd,restaurant,Mokattam,Restaurant
مطعم بازوكه فرع المقطم,"277X+3JC, Al Abageyah, El Mokattam, Cairo Governorate 4412128",not available,Not available,4.1,46,Cairo,https://maps.app.goo.gl/f7wDJsyBeV8KrUSJA,not available,30.012687,31.299062,https://lh5.googleusercontent.com/p/AF1QipNcHsv78G07fUzK56w5DyyUhih2XRE0hCbNGTph,https://lh5.googleusercontent.com/p/AF1QipM6-rOUVrPZMw9z8huTcBSVP9ITKQ7LQ8KM6K4z,https://lh5.googleusercontent.com/p/AF1QipPvMMJQ0aGR4VAgB5lipK0KAZAt4MARB_MH2uE8,https://lh5.googleusercontent.com/p/AF1QipM9UkOf9NDVc9QckzgIGwkltIFHACu_Mioydso_,https://lh5.googleusercontent.com/p/AF1QipNTPLyHIsslgOfk1L81CymZCWaR9dJl0ZWiZ9I-,//:0,https://lh5.googleusercontent.com/p/AF1QipOJLWkmx7CEk07mm39bHfQeVFXkyRKLSpAicH-_,https://lh5.googleusercontent.com/p/AF1QipN-V0MgZh8gg9ddN1Tra0WLkPY0GL7J-j5XqZka,//:0,https://lh5.googleusercontent.com/p/AF1QipND9vqvWlaMhnKLZ2USnE1UQ_gea5fb_1k2kJYe,https://lh5.googleusercontent.com/p/AF1QipMnjzXCCM3s8Bgjshie2zW1b1nonaqVGneVzbcO,//:0,https://lh5.googleusercontent.com/p/AF1QipMPh_UAj02n46YaVhyudt1fKpcsEhUjbPiWKxwk,https://lh5.googleusercontent.com/p/AF1QipNTKnrUzFmz8dIn8N5kaqhCm0fPnKaMIjhHCvqw,//:0,https://lh5.googleusercontent.com/p/AF1QipM_26wqgqrfSrvYNWIujHeR-TIx_truobc4dwTb,https://lh5.googleusercontent.com/p/AF1QipNy-TdJivw9OYNhAvXSog6m1zKGo8YXBAe03w9B,https://lh5.googleusercontent.com/p/AF1QipO3_kKLKaqiEXZDtJeXSEfsWhvEgMpT2dfJV7KZ,https://lh5.googleusercontent.com/p/AF1QipMD4MkfRQK1S_q0xLIiX29QMvwLIm_DUzAXJ2zl,https://lh5.googleusercontent.com/p/AF1QipODi9_FvvkmjRcLPWQxswlY1X5J6tjB9GZorqlr,restaurant,Mokattam,Chicken restaurant
زونزاي اسيان هاوس Zonzai Asian House,"المقطم شارع 9، الأباجية، قسم الخليفة، المقطم شارع السنترال مقابل نادي مصر للتامين, Cairo Governorate",010 22223417,Not available,4.3,211,Cairo,https://maps.app.goo.gl/LUSmbc6y4E53t99X7,277W+24 El Mokattam,30.012563,31.295313,https://lh5.googleusercontent.com/p/AF1QipOg8vwgfA4VkcGt0MOOihAToN3dl80DYg3P6fj8,https://lh5.googleusercontent.com/p/AF1QipMhl1A0vAOIK4fpmg08DV3C6eM-r0VDXsgHuOdt,https://lh5.googleusercontent.com/p/AF1QipN9EJFQgzoclmLRQnBqbgHQV6zDMZ7faQC9N4Zy,https://lh5.googleusercontent.com/p/AF1QipPkIFugPBp8w-9TgTBmA3nJwQkZNsNWuP46tzn5,//:0,https://lh5.googleusercontent.com/p/AF1QipMvEGSvMJa91t39bgjxpo5_xzJl4YZJc84pPiCH,https://lh5.googleusercontent.com/p/AF1QipNwneARn1QDdYBOiDDabgwI_vipxs0rgVr20iZC,https://lh5.googleusercontent.com/p/AF1QipOQ6yKjiuurf0BSTPLe5QLC2yVrcDLTP-J6BZ1W,//:0,https://lh5.googleusercontent.com/p/AF1QipNS20bth3-g3vycnhLe0RgWu34kuDwab6aLgJCi,https://lh5.googleusercontent.com/p/AF1QipOZWfDr3ksimCf-Vph-ouUlQDSS2nuZZuubxEID,https://lh5.googleusercontent.com/p/AF1QipMhhLIaYIIMY1xRZd8-oudto8FbmrvxuC7XES2S,//:0,https://lh5.googleusercontent.com/p/AF1QipOZnAZH8BB7lyKg5R26nR88OU5SrXeIy8mkcs09,https://lh5.googleusercontent.com/p/AF1QipMcoW8iohmvWqr-sjTpQEIsKOu7qWQPBd0CTAH-,https://lh5.googleusercontent.com/p/AF1QipNNBOp6L45Kx_-9s2GuA7YLJdB6gY6UjwoHvx7o,https://lh5.googleusercontent.com/p/AF1QipPFDUIfZ7GjC5kY87E1SAKRxy_mKran2IFssDHw,//lh3.googleusercontent.com/mGEvITUGv_Daa2ufhXSrSVw5bug_jROwkhFRvmBw8Wjs6Ox78pLUGrnu_dnozjD_,https://lh5.googleusercontent.com/p/AF1QipO2_EtvHrz8E35BMq7_LfaezjfPJ--jSkRz4OMM,https://lh5.googleusercontent.com/p/AF1QipNz54RfKqLLKiVfwN_BpGF9DwqINeGUHzjilsVo,restaurant,Mokattam,Asian fusion restaurant
Heart Attack El Mokattam,"277P+G5F, 11571 Street 9, Al Abageyah, قسم الخليفة، Cairo Governorate 4412035",010 17743005,Not available,3.9,"1,144",Cairo,https://maps.app.goo.gl/CtPeUW8i9Ebor9eF6,not available,30.012937,31.291812,https://lh5.googleusercontent.com/p/AF1QipMuuHL-_leoWUv9WRq62g0dn9QYrlP8cdaBYpCU,https://lh5.googleusercontent.com/p/AF1QipP8FxY2kEtPC5rcJa8VGRtsgs1emkbT1-Q00XxW,https://lh5.googleusercontent.com/p/AF1QipMYxZ-XF_wP-WdGTl9O5UMca-A8-irz44EUXZvC,https://lh5.googleusercontent.com/p/AF1QipP2qiW4o4nRSwYtmmeJTgMbdKEISRAaeQEbHoh1,//:0,https://lh5.googleusercontent.com/p/AF1QipONXv87yXgS7FpQiQFWEswQlIKy9KSiyQ0TmHAf,https://lh5.googleusercontent.com/p/AF1QipPeEyC74ssZM-OQ6vwHvCXVDMJu7qGfZkY0beJL,https://lh5.googleusercontent.com/p/AF1QipOllC8ViKpKEhnIDI8uOFa_ek6nWZlHB-w1IOdq,//:0,https://lh5.googleusercontent.com/p/AF1QipNjxQgn6MhBxGRP57cmRXPQr0rMB69gbOlhjlpH,https://lh5.googleusercontent.com/p/AF1QipNBQQ0aES-YvZ_EM7keCfYwsDpqXamsjq9l4uDH,https://lh5.googleusercontent.com/p/AF1QipMrdUlHNc_oS5F2Ncc9u-N3W9_yVeo6g0geLa7j,//:0,https://lh5.googleusercontent.com/p/AF1QipOqgv4gO92pQvZ2EsQgNWo8wbtGkzIxtH7yUuc,https://lh5.googleusercontent.com/p/AF1QipMnd8T6muV-KncdBjyIxYBoW7n5oQbXvi-jbKHY,//:0,https://lh5.googleusercontent.com/p/AF1QipNVh8wbC7Oxnab6YkEAbu8uTb0wZaWvLO-MD4k5,https://lh5.googleusercontent.com/p/AF1QipPPlwAFZ1rInSTGOPzR-K9FbxoxSnAkHG45jCnt,https://lh5.googleusercontent.com/p/AF1QipOQjOvCgUpQ46Mo0fGfOki2hMRjrdndd7SCMrtz,https://lh5.googleusercontent.com/p/AF1QipMZJSVJjd--ybZDZNm5lteHXqXsIOAP93Tw5C17,restaurant,Mokattam,Chicken restaurant
Pizza Yanni,"2883+58C, Street 17, Al Abageyah, El Mokattam, Cairo Governorate 4412180",010 66928844,Not available,4.0,13,Cairo,https://maps.app.goo.gl/NdTM9Jgi8ftQdw5D9,not available,30.01625,31.30375,https://lh5.googleusercontent.com/p/AF1QipNh51iIskkiG0x8lyD6QKHkACdqkYXcdurrFg3g,https://lh5.googleusercontent.com/p/AF1QipPjCXO3fpI1B9HcHyOLSFYshXdELTxlIxlM_GI,https://lh5.googleusercontent.com/p/AF1QipN1WqFgsPBelgMSlpBHtCSRiDdnyb8D8zAACXeF,https://lh5.googleusercontent.com/p/AF1QipOnGBu6mmnXeo9_uUAYern6a75o3Xr44q9_GrkW,//:0,https://lh5.googleusercontent.com/p/AF1QipMunVIeGhrpB5ukAzstqwSNP5PTmrb-496UQok,https://lh5.googleusercontent.com/p/AF1QipPTAlPx860qqVgfgXwMYKi-wjk3bZuSn4kKumw,//:0,//lh3.googleusercontent.com/eEa7rJ8yvFKxiL-GfKW7ucJHS518gJN2wjGLOww5Yq_cjvsv9iARshezvw4s1T3E,https://lh5.googleusercontent.com/p/AF1QipPH4O4XxaJnubaT67udj9WC88FrWUntPXdymi0,https://lh5.googleusercontent.com/p/AF1QipPSkX5ABjJOf9vtsSeCSzzQaTmev9uLoSIoykls,https://lh5.googleusercontent.com/p/AF1QipMkiE6-3QWuZQJAzGJdIfIyF0qbIlRe9ldH3b4J,//lh3.googleusercontent.com/hp3nBMqtL42NnPkCNsRZNV44X6nTVnx7BI1uDfPXGkPWWCa5ddubbp_Nyp1tFSEh,https://lh5.googleusercontent.com/p/AF1QipPe2xc9S99seAZrl_p8UMnS-dr9I-mbOHFWd0sw,,,,,,,restaurant,Mokattam,Pizza restaurant
Dieze Lebanese Cuisine,"Up Town Cairo Rd, Al Abageyah, El Mokattam, Cairo Governorate 4414013",012 25155550,Not available,4.5,76,Cairo,https://maps.app.goo.gl/mbor7rXZ6LH1niYP6,"27CX+WW Al Abageyah, El Khalifa",30.022312,31.299813,https://lh5.googleusercontent.com/p/AF1QipPfsrFLqYnfWTJUfZPBF9gLcy5dFp3RKs9RrmM3,https://lh5.googleusercontent.com/p/AF1QipMO39JOoikqyPj0mQfthHepYzGkwtB6R2GbKLkN,https://lh5.googleusercontent.com/p/AF1QipPCxQGq95mm04Yu60F_rdTabJMiTGARPnJY6rS5,https://lh5.googleusercontent.com/p/AF1QipN5TltY3k1vWETlRqv-kpgXSVx6kC_ggGAynRac,//:0,https://lh5.googleusercontent.com/p/AF1QipNpyd-p2DS6xZKWi8NIdXSiqqfuXTvRUZTr8lE1,https://lh5.googleusercontent.com/p/AF1QipNs1l6x0Ti35huv_42TlmnSwk4baB5ixhf6TKDy,https://lh5.googleusercontent.com/p/AF1QipNA6kCMN36TR9wwIKdENqWTMzf962-s7VKbTTv-,//:0,https://lh5.googleusercontent.com/p/AF1QipNrGdCn5H4XCiFyrr0iQ_1BRvzBBVCdlKwWrJjN,https://lh5.googleusercontent.com/p/AF1QipP2U9-7B-asMv3VpwF6-iZbLi7Im1sjn-sZ0DhV,https://lh5.googleusercontent.com/p/AF1QipNOEex-EmPxauTej8VD7MzSJTaFCs-dJzxp2x6Z,//:0,https://lh5.googleusercontent.com/p/AF1QipPJ41AUkPvT4juDO8JEsKk7clvtD4aWyDV2tuNy,https://lh5.googleusercontent.com/p/AF1QipMcEmVfE7fNobVlvkiEouvvNHG5GQwsbcCypt7r,https://lh5.googleusercontent.com/p/AF1QipOYekxETJDyLGv1345mFg1mhbSmWx_zbjEGuNGu,//:0,https://lh5.googleusercontent.com/p/AF1QipMA4uLO1KsGk_2uAX8PdBl6Ft6lvmW_c4zGFKzo,https://lh5.googleusercontent.com/p/AF1QipNGB1BImApxjvhTltav0580ht8Pr_MhB5ozPvh0,https://lh5.googleusercontent.com/p/AF1QipOJF8rXopjAmtA_E6k7dNFmD1wHZEJkFhOXp4N4,restaurant,Mokattam,Restaurant
Spectra Restaurant & Cafe,"شارع المقطم 333 El-nafora Square, In front of، El-Hamd Mosque, Cairo Governorate",010 66602606,spectrarestaurant.com,4.0,"1,102",Cairo,https://maps.app.goo.gl/yaFyzemrzgLNvyteA,278J+MQ El Mokattam,30.016687,31.281937,https://lh5.googleusercontent.com/p/AF1QipPQ5otIMGsxILmQHxHm0MzUZ-1nY_KVPF8AsdFL,https://lh5.googleusercontent.com/p/AF1QipPJgUpA-kliie6OfL3UdR-4WvbQZ2cB-gYX3lR1,https://lh5.googleusercontent.com/p/AF1QipOez9R-bMf08fGz1f0IPcNQ6bmsoPOCrY8EaJwR,https://lh5.googleusercontent.com/p/AF1QipPY9e2NzLYKKs0c2ROnnB7Ri_LGaDzaHbGS8dJg,https://lh5.googleusercontent.com/p/AF1QipMteQMhtvg2ENgzvHVloAbMpyKwF0eQ5LMDAuvD,//:0,https://lh5.googleusercontent.com/p/AF1QipPpSNU-tiQYHVUUeh1GwHRfF6arti6lE87Px3SH,https://lh5.googleusercontent.com/p/AF1QipMnv8dxd7gpzZud4JlMdn0E2A-iN8vQAYCC_4Ub,https://lh5.googleusercontent.com/p/AF1QipObtGHUOn8ogw7NuS3-irILJjsue-c5dvvUoU77,//lh5.googleusercontent.com/V2salh8XJW5tRm0h6GyjPjU1z93ZwoKhERQM9XVZlhvCK3DIohPZtdcBBKLU_1KI,//:0,https://lh5.googleusercontent.com/p/AF1QipOIe_upgFeyxUBGKF5OcmMDkAqzyqkJ_AqqxqYW,https://lh5.googleusercontent.com/p/AF1QipOHp-O_XexS2e4W7LoSYUqgCeLKA3BxT1Yk7ORJ,//:0,https://lh5.googleusercontent.com/p/AF1QipOgDorFJxuw9ASj4m1xx0jcygZPHOQ8gGkeCd8J,https://lh5.googleusercontent.com/p/AF1QipMPuQPMhP4Eize4RXTetMtrQ3R2vb1Swu2497AT,//lh3.googleusercontent.com/BwiFy9kzaCiMgmglKYa0bJzTFlFy5wU06qDHyJcuncecgv_bUbYmsnuiNO61aQ1N,//lh3.googleusercontent.com/_Z2hDuzM-CnSB47u9ZRwecOflsCYvIL1CxFLtDSC7O90JOlD-qtmYe9kqjJ-3FrW2g,https://lh5.googleusercontent.com/p/AF1QipPUdh_LZdHC7t9Ukxy1qeO3sZub7OEp5nilPPgD,https://lh5.googleusercontent.com/p/AF1QipPGF_LThWqoINQBFD-rjoYhjXTfZu3Akb3SkQu-,restaurant,Mokattam,Izakaya restaurant
Said Restaurant,"28C3+M88، القاهرة, Al Abageyah, El Mokattam, Cairo Governorate 4414030",011 24892604,Not available,,,Cairo,https://maps.app.goo.gl/hD3R4BA8SHyyqsk68,not available,30.021687,31.303312,,,,,,,,,,,,,,,,,,,,,restaurant,Mokattam,Fast food restaurant
Elshabrawy,"٩٠٧٨ شارع ٩ المقطم قسم, Al Abageyah, Cairo Governorate",010 01238087,Not available,3.8,573,Cairo,https://maps.app.goo.gl/yo36HDdCEUAa2vqq9,"2856+54 Al Abageyah, El Khalifa",30.016438,31.256937,https://lh5.googleusercontent.com/p/AF1QipMC1cfOUBJjz7Q7X3oGXStmHLyurFKQPS5H0fnr,https://lh5.googleusercontent.com/p/AF1QipOgvK4MGAnaC4fI-RqSD7Xuz5r4K_RQyAxhbBOi,//lh4.googleusercontent.com/rOaTVAkgI46qEH3qKUonETqNiy39f9QiFvzgRN4oF1TDFUquQ2OtXJMRqzaG3AWS,//lh4.googleusercontent.com/K-h0kCOgZkUyPRHO3raOXTYjRu7dpyT_0NPVVNNCJEv7lczziOD4N2xCeVsVKoQ,//:0,https://lh5.googleusercontent.com/p/AF1QipO3-Lm0-tbkP51rB7ozsImCiLmhLN70gATwxGDF,//lh4.googleusercontent.com/txnfzte7TEiDlx8DTeePmPlnaeml-pJIcAGiri27xdYWDb7Krfvk08_Exr_vDU1y,https://lh5.googleusercontent.com/p/AF1QipO5ec9cmfTrb4S3S2klcnt-YrL-mo8A5un-9h5r,//:0,https://lh5.googleusercontent.com/p/AF1QipP-rst5eIZwmSxEZTJ-cjNt7OHR1WL70qqxenqj,https://lh5.googleusercontent.com/p/AF1QipMqIndatUPI6hbHECdQKTJVmifNvRNpBa4wkux5,//:0,https://lh5.googleusercontent.com/p/AF1QipOYO7erTXRLTrl8HNz3btugFWopV9oEnO20MBY4,https://lh5.googleusercontent.com/p/AF1QipPdikdI87Vw5OTngw8HC0BZEoh20l2aePeqH_z8,//:0,https://lh5.googleusercontent.com/p/AF1QipPtDFDCQdRLIcbTgQUlAAX8IlJTYrH0Tv6eg58I,https://lh5.googleusercontent.com/p/AF1QipMj5Yd1J0NhwJpm5N8bIQEgiscVA4_WcBmUvpgx,https://lh5.googleusercontent.com/p/AF1QipMBvGbmJ0jzMKuC5Sln4RFcex03hBdy-PXCQ4FH,https://lh5.googleusercontent.com/p/AF1QipPsU3Cd_2BfXXjagyPDT1ZmsUqif7jhbFA3Cwbe,https://lh5.googleusercontent.com/p/AF1QipMBtz2Y6Q4u1f5vRGkOSnay24JQv7PCDlWhSv5u,restaurant,Mokattam,Falafel restaurant
