Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
El Manahry,"X75Q+6PR, Mansheyat Al Mesri, Tura, Cairo Governorate 4063141",not available,Not available,3.0,2.0,Cairo,https://maps.app.goo.gl/oUg9GiNdU8gmn6Cn8,not available,29.958062,31.289313,,,,,,,,,,,,,,,,,,,,,restaurant,Tura,Restaurant
El Motakhases Take Away,"122 misr Helwan Agricultural rd.، TURA, Tura, Cairo Governorate 4061234",02 27634003,Not available,,,Cairo,https://maps.app.goo.gl/qvnEXR4T982c2Tpp7,not available,29.936188,31.280687,,,,,,,,,,,,,,,,,,,,,restaurant,Tura,Takeout restaurant
Alf Laila We Laila,"W7QJ+3MF, Al Hagarah, Tura, Cairo Governorate 4062211",not available,Not available,4.1,39.0,Cairo,https://maps.app.goo.gl/voJgDvo9YYSZu9Mg7,not available,29.937688,31.281687,https://lh5.googleusercontent.com/p/AF1QipMYlqVGhoct5eKJMjYQqPrON6yjG_JaZfL5mXKu,,,,,,,,,,,,,,,,,,,,restaurant,Tura,Restaurant
بيتزا الزعيم فرع طرة البلد,"W7RM+F6X, Al Hagarah, Tura, Cairo Governorate 4062240",011 21569149,lm.facebook.com,3.9,36.0,Cairo,https://maps.app.goo.gl/VfTYTxU3wykDAhR96,not available,29.941187,31.283062,https://lh5.googleusercontent.com/p/AF1QipNghc3IKvxivxZ_P-sfgJzT7Xxqdg14rJbINDUm,https://lh5.googleusercontent.com/p/AF1QipNwFv-0Mmg2qhBZIoECkCCRnE9B2M4431nQ2mcZ,https://lh5.googleusercontent.com/p/AF1QipOW5X4N620cUgfk_4aQ1_BUqq9uUITLJIVlE1Qw,https://lh5.googleusercontent.com/p/AF1QipOK8jkIrN9OhAnhuZSQsZpp7mpIRoe4TojNhwrm,//:0,https://lh5.googleusercontent.com/p/AF1QipMKmVM9JYbTPgqLirgZBU9bEq0J7drtly1zHrYH,https://lh5.googleusercontent.com/p/AF1QipNlRakOsoVUSAmc-9ju6E69aJcgAYCayghMirxU,https://lh5.googleusercontent.com/p/AF1QipPk1VaZZdxWVviaKNwbd8pEYxrgl9e4zDaB1RmG,https://lh5.googleusercontent.com/p/AF1QipNZm6fRRAZohAHRpEL8qt8lxAA9--Sjly0UbQZA,,,,,,,,,,,,restaurant,Tura,Pizza restaurant
Younis restaurant and parsley (beans and falafel),"Abdou El-Gharib, Al Hagarah, Tura, Cairo Governorate 4062343",011 59551878,Not available,3.7,86.0,Cairo,https://maps.app.goo.gl/3H8mw9MKHvAoSb4X9,W7VH+XV Tura,25.944938,90.279687,https://lh5.googleusercontent.com/p/AF1QipNblVDP_D_T8lRkHet0koOPjq_uRpyk8i-xqdbT,https://lh5.googleusercontent.com/p/AF1QipOCTo1NeYwTOAsUKnF9SGG-TLRK6KmCKA905TV8,https://lh5.googleusercontent.com/p/AF1QipN3Q6ZI58bz9wjYc6MOh8BUw-M4CPUcCXrA5At5,https://lh5.googleusercontent.com/p/AF1QipNDgiSSc4Up9viwAANWyA2krMENEYyuawrW5314,//:0,https://lh5.googleusercontent.com/p/AF1QipPAf3Ux6oT4nD80XREHIoq0fUqe0Ako7tNDCUq_,https://lh5.googleusercontent.com/p/AF1QipPVt2uzSLILK-FT52-Q47wUY4GOfnk2Yd9EnNXI,https://lh5.googleusercontent.com/p/AF1QipPgt7An8cU47XqBB-bg1MPmYQ6iUDbx5xSdgyKJ,https://lh5.googleusercontent.com/p/AF1QipNUjio9wA1c1DRimKvjYFqh6yuEge_eQ89ZoDzl,,,,,,,,,,,,restaurant,Tura,Falafel restaurant
El Arzag Ballah,"W7RH+W9X, Torah Al Hait (Al Balad Previous) Kotseika, Tura, Cairo Governorate 4062301",not available,Not available,3.5,30.0,Cairo,https://maps.app.goo.gl/14ENLyY6tbdNrYVX9,not available,29.942312,31.278438,,,,,,,,,,,,,,,,,,,,,restaurant,Tura,Fast food restaurant
El Souly for B.B.Q,"١١٤, Masr_helwan Agricultural St, Tura",011 17330666,business.site,4.1,17.0,Cairo,https://maps.app.goo.gl/chRUgs6hjEBt6CFh6,W7QH+F7 Tura,25.938688,90.278188,https://lh5.googleusercontent.com/p/AF1QipNaLuPg2aZEj4mHFwqBbNg_ZDliurQNSxiZRWh1,https://lh5.googleusercontent.com/p/AF1QipNE9BcSCF6MIgatxRK-pjB0VpOnNghWSM099L6N,https://lh5.googleusercontent.com/p/AF1QipOIERUy5eYc8PNWolshTkcav0Wjv1wajlc9SzlB,https://lh5.googleusercontent.com/p/AF1QipP4PZ-mF1ZAzZ7HojlC8aMsnOo002JZPb6IFg0f,//:0,https://lh5.googleusercontent.com/p/AF1QipM8jsw3d3kLS0ny4eDmmfDSCAzQsf2oqtMx0qL9,https://lh5.googleusercontent.com/p/AF1QipMQOVQTgoxyQGZizZk0V_mi6FOibikpMsnnpypU,//:0,https://lh5.googleusercontent.com/p/AF1QipOZaI6ftmug4CqwiIfhj_KOwEq3lbtUlcq9Di61,https://lh5.googleusercontent.com/p/AF1QipOkCtN6qkH4QiS3Ez1IVK90GqIox18v7_LF6zQX,https://lh5.googleusercontent.com/p/AF1QipNmH8dIySL4jgVAUeUWDHvH87y5mjN9LOfgomir,,//:0,https://lh5.googleusercontent.com/p/AF1QipMGhvjYexKNzj6x-xDBbyj5wyhEcc8Fp1jzQdFz,https://lh5.googleusercontent.com/p/AF1QipMYmE518L1MlUt-gxJmVMbECAuZxyjS_bHRVWTc,//:0,https://lh5.googleusercontent.com/p/AF1QipMRe4gxDJQFcGXSZuI_Y97_hmaglgKjEWA-vORq,//lh4.googleusercontent.com/kohRhZXcXJSYbc1_1ENgPTOKugbjNZzhYjY_PvH_Eb7OEWuG4Yfl1wyhi4VurXSl,https://lh5.googleusercontent.com/p/AF1QipMudj5tk69wQId0emnujLzg3v1cOFPyaFan0pHt,https://lh5.googleusercontent.com/p/AF1QipOZZD5OY5PxZvDEJNMuP1_BBp2WNu-kSAeOXG0A,restaurant,Tura,Barbecue restaurant
Zahret Torah,"W7HM+465, Tora Al Asmant, Tura, Cairo Governorate 4061015",012 24040802,Not available,3.3,114.0,Cairo,https://maps.app.goo.gl/qQh5xCFi4KAB3jrQ9,not available,29.927813,31.283062,https://lh5.googleusercontent.com/p/AF1QipMEK1GaC6LohOmd1s2byw21FfL5KUmgsD1TBQs1,https://lh5.googleusercontent.com/p/AF1QipN_s3H6kaQDYs3_PJ-xRcY7G2nI3YOtiuE2fKaN,https://lh5.googleusercontent.com/p/AF1QipOVc5UFAUzM8wL_Ai7LbZzzsMPql6tDinhd5DFV,https://lh5.googleusercontent.com/p/AF1QipNONEEgILU6b4o3Mee8owZMHtpIQPtQL10xP3Uw,//lh4.googleusercontent.com/JZ2r95TKEvquBon4KmhLxuoRxCsCwAfhbeuoscTqa776RJp08LV0uyWC9LyBGwg,//:0,https://lh5.googleusercontent.com/p/AF1QipNlGpReLKaLEPeW-_lYWnLOEt6-5ezHVrbhE4SM,https://lh5.googleusercontent.com/p/AF1QipP52OTOGYcvjwhNUxsQgPbyG05O5e9OqQV2Ryqr,https://lh5.googleusercontent.com/p/AF1QipP0o5gKeG1NSvAYMupbi45ZYQ_I8tm7EaMEuDPL,//:0,https://lh5.googleusercontent.com/p/AF1QipPY6F1IJEyZJvJYr_DrW0GgNNuZUE1tq-hN9hZl,https://lh5.googleusercontent.com/p/AF1QipNkAI-hdt4ubaFn_9AYy7SZQM8o0d-tCq-NVpTQ,//:0,//lh4.googleusercontent.com/-IuVSGPrvv6kQHueAQmDPZ_9-9q9F8a4hv-vqxfC6eI-tLYx2B61oD2bPLdiiKE68A,https://lh5.googleusercontent.com/p/AF1QipMyKhgmjtQwINo8rS2LRBaQ9C23s9H-pWAE_8AD,https://lh5.googleusercontent.com/p/AF1QipPXsu6LvXzlkD67-49VLvsij6L49AkSqD33tWY8,https://lh5.googleusercontent.com/p/AF1QipPcBCCQ4FMMuIdiLxwiQuuZIezlWkMkED-YDzH-,https://lh5.googleusercontent.com/p/AF1QipPJWFOhEOre2ug4H9hp300LX3QuX_ItQdv9kj9x,https://lh5.googleusercontent.com/p/AF1QipPam2YFlK-l1Xcni6NnppZxUfN9xGI-dzLnzamf,https://lh5.googleusercontent.com/p/AF1QipMZ4YE66-PydM38tBD9ocQUmzKdpDm3DU2Afakn,restaurant,Tura,Koshari restaurant
El Horreya Fish,"W7QH+54H، عبد المنعم رياض، طرة الحيط (البلد سابقاً) كÙ، قسم طرة،, Tura, Cairo Governorate",02 25180166,menuegypt.com,3.9,205.0,Cairo,https://maps.app.goo.gl/hNBqfTpoY6L2vQgW6,not available,29.938187,31.278312,https://lh5.googleusercontent.com/p/AF1QipNG187VQXjXeAw0x8XKO0TfiFsfXnf84WC-W86x,https://lh5.googleusercontent.com/p/AF1QipPH4CWCX4oSjEewQE5ciscg11FB01yaELmRUvtM,https://lh5.googleusercontent.com/p/AF1QipNS8kr7j2gSD1bop3wCqiunIm7BSub3euJBhikk,https://lh5.googleusercontent.com/p/AF1QipNztZKFL_R2b5eOe6k7p4vhFOf4w22MHzEgAMKv,,,,,,,,,,,,,,,,,restaurant,Tura,Seafood restaurant
حاتي أرزاق,"W7W9+Q87, Nile Corniche, Tura, Cairo Governorate 4061330",02 27007867,addarea.com,3.9,127.0,Cairo,https://maps.app.goo.gl/JiiM3fjp42yfeVBE6,not available,29.947063,31.267562,//lh6.googleusercontent.com/2FJMnxqJPG7S_T5MvEO7UOoSVqBTyOB1lS4oazzrOb6KFds1oSA9n_LOoBhWM4lE,https://lh5.googleusercontent.com/p/AF1QipO7LnDyF6iStywdU0OTLDhXK7_Dz8yu7snvR6hm,https://lh5.googleusercontent.com/p/AF1QipPgt3GzzQFJXwxuSCXqJ2KKaVukx0F-RBHSJ_d7,//lh5.googleusercontent.com/aa777eSB8V-bU3x6N0MB0cAvdKvPZkM99_87NqqA8m-TZoTZQhJR35-yQQ4qoV6qIw,https://lh5.googleusercontent.com/p/AF1QipPV-KwYt8zW8GlzoByXCiKNROLQ1DlSzlqxkV51,//:0,https://lh5.googleusercontent.com/p/AF1QipOyAMG8urO64B84SmcJjiTBpG46Von9q625cejk,https://lh5.googleusercontent.com/p/AF1QipNtcfftUTbsesv0CIBy7RVim3jR0hgtb6daL9_w,https://lh5.googleusercontent.com/p/AF1QipN1Ba09KF8Gf3fT4NKnHd8L64q2IVNsCQ5mCXiw,https://lh5.googleusercontent.com/p/AF1QipPJ_xvJJ_5mADcoaZC3T0xHUNvwR2-VDkv59v8N,https://lh5.googleusercontent.com/p/AF1QipPPRLp4aglNzOyUqJohwbRKc6m6U_TDgtMapSTi,,,,,,,,,,restaurant,Tura,Barbecue restaurant
