Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
El Gomhoureya Restaurant,"42 Al Falki, Bab Al Louq, Abdeen, Cairo Governorate 4280123",02 23923008,yellowpages.com.eg,4.0,"2,409",Cairo,https://maps.app.goo.gl/oTQC7xKKqtKyzx7n7,26WQ+7X Abdeen,47.045687,-123.760063,https://lh5.googleusercontent.com/p/AF1QipOPgo_uq9tUvhyRdpNjzh8XkoIk_7VCXvI-GLrI,https://lh5.googleusercontent.com/p/AF1QipNflljXbu58y5_x3eur1uSUPbPGT5fgD80QFaS0,https://lh5.googleusercontent.com/p/AF1QipOxXdVBG--DDXMYGlJH0gZtmINCtJsl6sKO6jZL,https://lh5.googleusercontent.com/p/AF1QipMMmFTvgVC7UXJRaKYURf3OejdA0UXGB4rTj9_0,//:0,https://lh5.googleusercontent.com/p/AF1QipPS11xFMXHOQAOEmeQOkuYZ60wSMWUPnvCUJAlS,https://lh5.googleusercontent.com/p/AF1QipN0xKNY5pAslwLDiCnFUzzGYD-Wk5szTSGzbNU7,https://lh5.googleusercontent.com/p/AF1QipNXglaMJPaMTUgZCE_L1h3W905x9ljyPsiWWvKI,//:0,https://lh5.googleusercontent.com/p/AF1QipN_0Sx6fPeWNlh31g3KxsBUOtijDWN4qIRmHb3H,https://lh5.googleusercontent.com/p/AF1QipPUOVnS4m4ujR48xzjCUXrBdJLEUSrr6UznE2Ng,//:0,https://lh5.googleusercontent.com/p/AF1QipOsd1_25Y2MbHFZCyCUjr4tji0wSrosUFMwXA8D,https://lh5.googleusercontent.com/p/AF1QipO_DPDTWql8FtaORjRh85DVOt7FZNXESmBhV827,//:0,https://lh5.googleusercontent.com/p/AF1QipOCuMZnRrCkmDL8nX1uE5J7gl1nACPK5RyWD05-,https://lh5.googleusercontent.com/p/AF1QipMifWJXvrYaZJIxkYzdyDrDo1tEaXSM-7SI24Uq,https://lh5.googleusercontent.com/p/AF1QipOcZmtt_4Xe-T1ZyMP02ssLVjGNWXe6_AcAyXZX,https://lh5.googleusercontent.com/p/AF1QipM1AzF39tx1cE8sWVkxlsrD9Wl0Lu2Qn5-uh8Ps,https://lh5.googleusercontent.com/p/AF1QipNjZUNVGpCj6JGiVRo-XoyPKASlhdHWooaNP4FP,restaurant,Abdeen,Barbecue restaurant
🤙 مشويات ابو على الطرش,"26VQ+FX8, Mansour, Ad Dawawin, Abdeen, Cairo Governorate 4280103",011 51080393,Not available,4.9,27,Cairo,https://maps.app.goo.gl/ZzbybxX7aqpkUSFJ6,not available,30.043687,31.239937,https://lh5.googleusercontent.com/p/AF1QipO1QZIhzY2nQ2beJaYJLdF97pVrhWzZfVV1zGxZ,https://lh5.googleusercontent.com/p/AF1QipMnaiH4FgUYn7CTXfNgCICcM4e-p0Yu3ZoD7rBi,https://lh5.googleusercontent.com/p/AF1QipMi9GWZB2nffXWub9o0OMFIVHwgv3MrfYgunVMA,//:0,https://lh5.googleusercontent.com/p/AF1QipOyZNcyMaFHjywMZ5uCh7U5vTJXLWhgxDyM9KCO,https://lh5.googleusercontent.com/p/AF1QipOSlmNpeJN1ic17jj5nXgBzQ8mMyCgjV6BiDBnX,//:0,//lh6.googleusercontent.com/2EGO8idxKveTGZithfvo_QwIYr2yimJJ2pCO8pqnyknHNXQxX0ZTnkzD6Og_ov4,https://lh5.googleusercontent.com/p/AF1QipMkM6sKGfqtxWFjCs-13FqNSrs0qMhYoeA3MDnO,https://lh5.googleusercontent.com/p/AF1QipMT-sLpZCJ7aRdJOqPtKWLTGA6wD094NFN5rYCm,//:0,https://lh5.googleusercontent.com/p/AF1QipPhM56LBpz6ODilF6qVgweqozroeTvDhSlBU5bK,https://lh5.googleusercontent.com/p/AF1QipOaXyuw6dFcoV1gCgXvekDQ52KtXyABo2tTxPRA,//lh6.googleusercontent.com/jjqkPreXoEkbszB_AnjXmJMb3PeKsRFlQmpAj6LLR2FKzSKbxSTbqBefDvH8NHn-,,,,,,,restaurant,Abdeen,Barbecue restaurant
Nitocrisse Restaurant & Cafe,"10 26 July St, الفوالة، عابدين، محافظة القاهرة‬، downtown, Cairo Governorate 11511",010 96769726,Not available,4.7,362,Cairo,https://maps.app.goo.gl/5QiayFL8muWnMLhCA,362V+XR Abdeen,30.052437,31.244563,https://lh5.googleusercontent.com/p/AF1QipN80-jBolY-7jSaiNnG48moU1EajgPudPIsSB1Y,https://lh5.googleusercontent.com/p/AF1QipNn4qagDINunUDvAi7ysOvfqK_j-lvzHsRgoh9s,https://lh5.googleusercontent.com/p/AF1QipPUZ9PajuMbddmOta31c2MHVE08XdGrtMI_9Thz,https://lh5.googleusercontent.com/p/AF1QipMRcvkKefevryH_vE-G73UDHvnk41WAcC4s7xV1,https://lh5.googleusercontent.com/p/AF1QipMhd8EpvTlCAVNfBIndQ_IV9-A5nLRsE8pHLclX,//:0,https://lh5.googleusercontent.com/p/AF1QipO6mL1xbn53BCe6vub0nodUYt_XoG01b1VU8fLy,https://lh5.googleusercontent.com/p/AF1QipPFfpgpd620g1_D48rM6Vj1nVD5kkLs9w-L4ghl,https://lh5.googleusercontent.com/p/AF1QipN3OGMY9mvZ4wAakHqO3Y_mwIhLpN7eNiK8prKn,//:0,https://lh5.googleusercontent.com/p/AF1QipPKfsIXauntwYfhKo8LpElchVhjcSFh-5wDZ1U,https://lh5.googleusercontent.com/p/AF1QipOpeJVWqnQWumo-AF96PgvHLb2N9PrANnnH6Mn-,//:0,https://lh5.googleusercontent.com/p/AF1QipOUCjGa8_cUaLGMIe0skj98H-KF-IED1lCdbCgg,https://lh5.googleusercontent.com/p/AF1QipOsP4UuOT70HvJhWgCFxCq6Gq_1FxSc0TTK91IE,//:0,https://lh5.googleusercontent.com/p/AF1QipMOkLtqi3E1CCUVQskEq7B0mhxKJQ9heoKegb4z,https://lh5.googleusercontent.com/p/AF1QipOYm-7-8JXKs7skW8fNq8HTMKMGRX47KHW9nUDw,https://lh5.googleusercontent.com/p/AF1QipO8oSS6qYbZdqupc3WHUAQ6stoR9Py5ES5JF2sO,https://lh5.googleusercontent.com/p/AF1QipNOx5hkpGCt6uYkrdIJAuE2VGBb5LPGOpA9UBjY,restaurant,Abdeen,Izakaya restaurant
LA Chesa Restaurant,"21 Adly, St، Downtown، Cairo Governorate 4280180",02 23939360,elmenus.com,4.3,288,Cairo,https://maps.app.goo.gl/naYjxYPfuyJBHeZ66,362V+G4 Abdeen,30.051313,31.242812,https://lh5.googleusercontent.com/p/AF1QipNybLMFxgJVeN_E_zAUBnUp-zPPOGE2zN1JG-18,https://lh5.googleusercontent.com/p/AF1QipOlUdJk3FZsNxJjd68Tpuk5UMDaEV4XiPqVXeZn,https://lh5.googleusercontent.com/p/AF1QipMr0LT4Qqbwjj6nOmZPqtUzTOdo6UuqrxWrLa9D,https://lh5.googleusercontent.com/p/AF1QipMwL1Dnr0UWVrElL047soAtUzujUpwtSpJY9Nrx,//:0,https://lh5.googleusercontent.com/p/AF1QipOYS_ywYjhj1vk38a7MYlW6tRat45qvkNJtARis,https://lh5.googleusercontent.com/p/AF1QipNilsB7RBQDcoJiqiJ28GBLEHSvRYoGlZzwchgB,https://lh5.googleusercontent.com/p/AF1QipN-iJ1RaL4DP9w5v2C-NPcUWyzCU-lcaJAy1h5i,//:0,https://lh5.googleusercontent.com/p/AF1QipMZhmCcLxx7NTUQFpkiRQNowp1GvAqCYu_pmTHz,https://lh5.googleusercontent.com/p/AF1QipN80WhBV86pmWSEayTBuN0wpZ6Bkb7a9dfsEyWs,,,//:0,https://lh5.googleusercontent.com/p/AF1QipN2FcGj71wkxkZuUY1JycMk51X9JY8dnVahPAi4,https://lh5.googleusercontent.com/p/AF1QipMTRMbkvFoh3lwzdc5mo7aIxLW8GVYd-KoDSman,//:0,https://lh5.googleusercontent.com/p/AF1QipMGENs2E_EZrw-WXlJ2hviRg97q2ZaLF-gEm6HR,https://lh5.googleusercontent.com/p/AF1QipPV2i2bfe6oXyeLN_FZNB4HkaT7xgqfuWYYfJix,https://lh5.googleusercontent.com/p/AF1QipOdaJ77ZEUHnYxBTDBaRZtdBfhg3eE8Ds4hiO7W,restaurant,Abdeen,Restaurant
CaiRoma,"19 Youssef El-Gendy, Bab Al Louq, Abdeen, Cairo Governorate 4280123",02 23923228,cairomarestaurant.com,4.2,"2,761",Cairo,https://maps.app.goo.gl/W7ge5W8rQeaQ1tNM8,26WQ+8P Abdeen,47.045812,-123.760688,https://lh5.googleusercontent.com/p/AF1QipOSbpeV96OFqXW1so7-SisLzETmvjtOaZfc_2l5,https://lh5.googleusercontent.com/p/AF1QipPkLTe1UyB7cKU9b2eKVEVjYt1Yo_nnoRVm-gAJ,https://lh5.googleusercontent.com/p/AF1QipMrxpWQp0m_8wcw0UiFbGVBOFVFGkjb6wZ1Opck,https://lh5.googleusercontent.com/p/AF1QipNfxPvHRtPRzKR9orIhLMPxmFW_hX3tkaRr6XiW,//:0,https://lh5.googleusercontent.com/p/AF1QipM1zYtSkw5r6SjLllSXww4k0G5Pm7GBAnnUj3Us,https://lh5.googleusercontent.com/p/AF1QipN0J0y5LQk0KYwASOBmzdFwAWyPfF6ImCXmujXg,https://lh5.googleusercontent.com/p/AF1QipOWpDmWKFqFmRpC-EbvZSoHsulLOn7asfghiAs,//:0,https://lh5.googleusercontent.com/p/AF1QipNKmoKIHYYThkKVNcfgTIO7QzQ4kS1MNQ5HaMA0,https://lh5.googleusercontent.com/p/AF1QipOWkTUnFYN7GToblVLKs9ojipg4t4nl5WyrmuUG,//:0,https://lh5.googleusercontent.com/p/AF1QipPrVgUU8II78cQi8AwzQDyV3dqMucfUIvkc821X,https://lh5.googleusercontent.com/p/AF1QipP9itruFceSegrrBzEDfQTGFtGMq5gPAZF7Mv8F,//:0,https://lh5.googleusercontent.com/p/AF1QipOHMI1KGKgsoBrysNTRVS4AOHN8IpUZHekUrVqC,https://lh5.googleusercontent.com/p/AF1QipPkZ2BxLnJChyFhEUcisJ0kFVFH8OlFwzpXeaOa,https://lh5.googleusercontent.com/p/AF1QipP8l9RDkwLAsovc2XSH30bZULVkSIfeltgJ_2Sw,https://lh5.googleusercontent.com/p/AF1QipMmFWAWfpbSjQaQf7Zddyngk2pCcRzCieU8tRe-,https://lh5.googleusercontent.com/p/AF1QipMwLr3uorA8qziC9xeDAxjPqh2-O1Y9-8zcZ7kk,restaurant,Abdeen,Italian restaurant
El Sharouk Restaurant,"بجوار الجامعة الأمريكية، ١٦, Mohammed Mahmoud, Al Balaqsah, Abdeen, Cairo Governorate",02 27921454,Not available,4.4,170,Cairo,https://maps.app.goo.gl/54nWKGS4uZXRKuau5,26VQ+6R Abdeen,47.043063,-123.760437,https://lh5.googleusercontent.com/p/AF1QipOh8SKw022A4J4ympykDuLCVVibE6kNOuap5O_W,https://lh5.googleusercontent.com/p/AF1QipM4vDoQ4nc8f5T7qFbFIXfLjZNT0t8sEvJqM2GO,https://lh5.googleusercontent.com/p/AF1QipO-WnSSf4hr9vVZPLJMabq5QkHro1E_ypVgCtE7,//:0,https://lh5.googleusercontent.com/p/AF1QipMyfde33L1OqbISo4x8F5JjN4Q7snOkj2C7aBF-,https://lh5.googleusercontent.com/p/AF1QipO8IPE2hfcvSS7ZGYqeKkEA54lYoGKXAk7E2TY,https://lh5.googleusercontent.com/p/AF1QipNCkax2LIhCpscpNV-IxjS01jqnouhh9cdVZbgo,//:0,https://lh5.googleusercontent.com/p/AF1QipMNuRoJPoVLIwSVqRAg8VzT71pQjfWIQGfEORZc,https://lh5.googleusercontent.com/p/AF1QipPW9pGr2h3yT_5TYLKaJmvH2D0zyDoJ0vRz7aTC,//:0,https://lh5.googleusercontent.com/p/AF1QipO9y5_hd8_mPXqgYzoKuoYZ4hGZc4vElbTtOT8,https://lh5.googleusercontent.com/p/AF1QipNXGGLbvgWo0DPHIOhtVKG-PVNP1OHvbQWupTF7,//:0,https://lh5.googleusercontent.com/p/AF1QipPSbR5buTTQxjagc_nEXFPTC8SJ4fy8hnPwNeNY,https://lh5.googleusercontent.com/p/AF1QipOYe8D1eLG9jZx17eT1ls9ok4y6cZAkVtdh-rM,//:0,https://lh5.googleusercontent.com/p/AF1QipNYsB3jIZdJiMCjxUQtMSxqnXTrd2d2njyIy_yJ,https://lh5.googleusercontent.com/p/AF1QipOCAZi9AC06rOheVFsghmmvxIqpWjWIxQtYL1j7,https://lh5.googleusercontent.com/p/AF1QipOWtavYLGX9huabJaVcrQtvaRhgRvk9vSho3XFH,restaurant,Abdeen,Falafel restaurant
Tamara,"3 off sherif st.، DOWNTOWN, Abdeen, Cairo Governorate 4280143",02 23922088,tamara-bistro.com,3.7,6,Cairo,https://maps.app.goo.gl/fVhZK4t6Q4AnqRC28,26XV+99 Abdeen,30.048437,31.243437,https://lh5.googleusercontent.com/p/AF1QipMdA9KZsrqFWkxZX8FqmxGQc9hTzQXrc0X7Td9V,https://lh5.googleusercontent.com/p/AF1QipOkLRmc4g1koBkIDIk3Yq0czkdx7HvFRCjX27FS,//:0,https://lh5.googleusercontent.com/p/AF1QipPcolEK37eOPXl0HDGQXbuDgkK4jkDJRXLXL8GQ,https://lh5.googleusercontent.com/p/AF1QipONt8FVCHOdVezyo-TsWyzM-4dbqYO98uKLAYe-,//:0,https://lh5.googleusercontent.com/p/AF1QipMjGf6CfRw3ynrqPSvsPxMf7cQgVTeR839XW8RT,https://lh5.googleusercontent.com/p/AF1QipPXsmvQOhdZHksBG0n4t3Dp-ZPz0jE37HOAqK8Z,//:0,https://lh5.googleusercontent.com/p/AF1QipNKStUYy1jTF0skuxZOvlmMLkognYV2HTBS1NXf,https://lh5.googleusercontent.com/p/AF1QipMvXcdbLBQKxsfOkoZJQhAGgcWDWvYz6zN5x3YJ,//:0,https://lh5.googleusercontent.com/p/AF1QipOVUdb6Vwl9e6LT2Qg3CAEISKGK6y_W2YWMrBsl,https://lh5.googleusercontent.com/p/AF1QipMwUXxrJasBKr7cXMiTc1y0HYPT669_uWQWuuWY,//:0,https://lh5.googleusercontent.com/p/AF1QipNsGTaBELS0_UpEMo0-e0nLYWKpE5PRMVCHnMqi,https://lh5.googleusercontent.com/p/AF1QipP_fNFzt9TJ_qA1gRP8-F0mb7ohOQldgf9WaJkh,https://lh5.googleusercontent.com/p/AF1QipPAga7KE8y3c_0-N4jSZ5DkHXXwlK4lVV1gPz8N,,,restaurant,Abdeen,Restaurant
التاج السوري,47 شارع الفلكي، الدواوين، عابدين القاهرة‬ القاهرة Cairo، 11461,010 00054964,Not available,3.8,100,Cairo,https://maps.app.goo.gl/FFzfx2HQ4aPikqQi8,26VQ+7V Abdeen,47.043188,-123.760312,https://lh5.googleusercontent.com/p/AF1QipPTYlbYNv_LzgweLDe4TjoYd39006Buztlhl8TW,https://lh5.googleusercontent.com/p/AF1QipMZ1IEoNBBNNwMK6wqiFszKZa88a1WtfZLsLnOB,https://lh5.googleusercontent.com/p/AF1QipMjvCkhlM2AGyN_eE_1SGAHHFmRdb-yWIc7w1Xr,https://lh5.googleusercontent.com/p/AF1QipP_c0w_SX2mfjOAeACydBrAGonGXgQz39RG602h,//:0,https://lh5.googleusercontent.com/p/AF1QipP_aL4K9cnw9bDMhsLQyg8XOzgP9GnSHycbeqkt,https://lh5.googleusercontent.com/p/AF1QipN3k39ysebCiYO62k0_OYsskXEXiiZXh_s7_qyr,https://lh5.googleusercontent.com/p/AF1QipPaRwqtuXllVIhZPY3h7BLXsLbEhE5zyNnVMsTM,//:0,https://lh5.googleusercontent.com/p/AF1QipOHFEFa7VcG87af0EXvsCGZiMNztiOqWFKtGyB9,https://lh5.googleusercontent.com/p/AF1QipOeLfyT4LWj8sbNjEWFeNyhupT4VhxB-b_F8Wn4,//:0,https://lh5.googleusercontent.com/p/AF1QipMBFb3vBGeqYYEKTXMfWnvxOyxoRH2gwd5yvYqf,https://lh5.googleusercontent.com/p/AF1QipOng_yj1ZVuV4gTvnGv3bk4kxmyDvONDLLJVsw0,https://lh5.googleusercontent.com/p/AF1QipNvJLPhX1khkQBNow72NrH8eqmU9OZZAt3ul9fN,//:0,//lh3.googleusercontent.com/VY3ijSzkrsA6YiJC2FuL6uQ4jsQzvry7j4sg_58msFc7se46UdcTMqeoYzgLqiI,https://lh5.googleusercontent.com/p/AF1QipN-5n73dQL4oO2D9VcaQpqplTslbsJae6YRBTYN,https://lh5.googleusercontent.com/p/AF1QipOSEf1W-QXqLXIzUgVpiKcC7yTb-HAxvjcT7DIM,https://lh5.googleusercontent.com/p/AF1QipPfGFUU-BUhKonazAoRutbc4x9MXoj4axRyLBFO,restaurant,Abdeen,Syrian restaurant
Up Town Cafe,"امام سينما ميامي فندق، 33 Talaat Harb, Bab Al Louq, Abdeen, Cairo Governorate 4280160",011 20030016,Not available,4.1,719,Cairo,https://maps.app.goo.gl/nXzzRyjKmArCNCSu8,362R+CC Abdeen,30.04375,31.24375,https://lh5.googleusercontent.com/p/AF1QipNiDwYM880XzC3KT5fbn4TzZ2RjVtFkXfRmHbRj,https://lh5.googleusercontent.com/p/AF1QipPo5ZHGsldE2dfDJ2ExNzhAsEJvC3xvnWtIjFKA,https://lh5.googleusercontent.com/p/AF1QipPqfR43JhpGYxIOXyok8xddPa704bKarUInSpio,https://lh5.googleusercontent.com/p/AF1QipMeXUcv-_UaZVY6D96-NOBW6vjxWTk7kLHexKgw,//:0,https://lh5.googleusercontent.com/p/AF1QipOeSiR1rt16RadrR2UuPrP85H2z5MbZvXGZXJ0_,https://lh5.googleusercontent.com/p/AF1QipNqCoMROhnCSs-3cqICUY-1xLkaSy6pJ_UASIqs,//:0,https://lh5.googleusercontent.com/p/AF1QipNsSXlhRxNI1jiCmnpKhk5VZiH1a8GRqdi1GhyF,https://lh5.googleusercontent.com/p/AF1QipPTyGZsVJ9m1O3YZgiaSySPSY5JmWj6o67tpNCQ,https://lh5.googleusercontent.com/p/AF1QipNutb-0XJGCG8iNeWPZNtWbV40fI-Kb1CeaaSff,//:0,https://lh5.googleusercontent.com/p/AF1QipMIZhpSl9M01N6gm7sHXPH2k34xzDhdfLHWzndY,https://lh5.googleusercontent.com/p/AF1QipPiyxl6QxLBYxv_xyv5bY2UfO8PNuToeptxFyzb,https://lh5.googleusercontent.com/p/AF1QipOp_b0Vqw3T-QkDogWk109L--jWRTg1S3kZLCY2,//:0,https://lh5.googleusercontent.com/p/AF1QipPK2ftBFFPbewPp3wyjdUKVNVORkNjFNomchan_,https://lh5.googleusercontent.com/p/AF1QipNwlr5v_2NBWPBZdY5W3Uki8VHdVxlDMpuaZN9H,https://lh5.googleusercontent.com/p/AF1QipNJueNpDNva8KjkioaY1ZPv13x1YuJ5h-9ziAqk,https://lh5.googleusercontent.com/p/AF1QipNx3mAAVNDDT0pZ2nhmNkvh4YrpUrOqCKf7D-d-,restaurant,Abdeen,Coffee shop
Wust El Balad Restaurant - مطعم وسط البلد,"Sherif Basha, Al Fawalah, Abdeen, Cairo Governorate 4280151",not available,Not available,4.3,"2,087",Cairo,https://maps.app.goo.gl/vYLS7HZ4pdMdWHRD9,26XR+WV Abdeen,47.049813,-123.757813,https://lh5.googleusercontent.com/p/AF1QipMT0JIpuFj36-37NEas4seMyJQyyTbu32KKrvKj,https://lh5.googleusercontent.com/p/AF1QipPtAb-c0O_nZZGcfWbfZSOFnsA0y2PO4yMxiJ2w,https://lh5.googleusercontent.com/p/AF1QipNQRfw-IFsJLJz2bPW11MjTAPQX0vXmRXfJvU26,//:0,https://lh5.googleusercontent.com/p/AF1QipMFWWP1XE1w9W-TxNPUG6-SfVDC0-pEr6JNlxKr,https://lh5.googleusercontent.com/p/AF1QipOH4uxW-K6-ylBSpexlrwycx3WH_rRehG69vpz7,https://lh5.googleusercontent.com/p/AF1QipMqIn-mLUijkrbIS2kQfjBs0RGh2RT-4zNAi_-v,//:0,https://lh5.googleusercontent.com/p/AF1QipPk8mueB4lsHYNMcKI8ciZGXeS_gmyvBJ16cMeZ,https://lh5.googleusercontent.com/p/AF1QipN898MQM1IK_m66nwYdH614OfCZ3xLjO8XzMYkV,//:0,https://lh5.googleusercontent.com/p/AF1QipOwoVXoOnAkusZxO4F-47-MxrjJ-7mZfWbt_esc,https://lh5.googleusercontent.com/p/AF1QipPo9-TWzS76A5sTyTvFjTAbw9VM3R_ZE-gDS6Bh,//:0,https://lh5.googleusercontent.com/p/AF1QipPjTdTJXmEVLKUUsrE8c22ClUAjo8wg2LF_EJam,https://lh5.googleusercontent.com/p/AF1QipOhx3CLnxswV-K7jBOQ1X6bFsyvwrNNK4-7MUUL,https://lh5.googleusercontent.com/p/AF1QipPryx9dJWPl-kHN7WkpEh5Jg63ql9VDr-6JeD5q,https://lh5.googleusercontent.com/p/AF1QipP5_ruFjxf7Wjm26DA-Wo9zKXAD26HiUyDeGIed,https://lh5.googleusercontent.com/p/AF1QipMe9R43Z5U4GW6z4rfnDe6K7-edOgqMrIXO3vf6,https://lh5.googleusercontent.com/p/AF1QipMpoDSfU3NYXgRZHAtuiyVPHsCCWQQ_Lx9j1-LL,restaurant,Abdeen,Egyptian restaurant
