Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Baba Abdo,"Al Banhawi, As Sawabi, El Gamaliya, Cairo Governorate 4334026",010 32745000,restaurant-75862.business.site,4.0,"6,496",Cairo,https://maps.app.goo.gl/oscaJfKCKzWZL6qp9,3747+9C El Gamaliya,30.055937,31.263562,https://lh5.googleusercontent.com/p/AF1QipPysQX4umbIIEL3jbSjiHVL1CX9mZs5O7dRWt0t,https://lh5.googleusercontent.com/p/AF1QipON_dxeRqsW604JTokqiRAb6XCuFeQ5EnN-RdY,https://lh5.googleusercontent.com/p/AF1QipMpn7bwMPkZPvo-X7Ehe_4iL5EQgJGu5e0TJs0,//:0,https://lh5.googleusercontent.com/p/AF1QipPSFjWyvMRaU715xJhvwKFDIhUagR7KSNA0n54,https://lh5.googleusercontent.com/p/AF1QipMINITnJt0WPJo8wUkaq69Dvy1OdEgM8rsG9tw,https://lh5.googleusercontent.com/p/AF1QipMs_sFN-cjmmwVsOPV8Q9llw7P6uMcOXAbBtz8,,//:0,https://lh5.googleusercontent.com/p/AF1QipMJPDv1ufv7Soi9rss0CnCfHshHqq0upKpD22c,https://lh5.googleusercontent.com/p/AF1QipMnLp6tjlNGs8d8li5Jw28gTkbHgjvKjLS78GU,//:0,https://lh5.googleusercontent.com/p/AF1QipPgFei1hlUbBTwunC-e-vCL1q5_gl9XEuSbMRc,https://lh5.googleusercontent.com/p/AF1QipObH3p3FG54nAyzxcoOSOPMjyD_y6qJ7ZG5m08,https://lh5.googleusercontent.com/p/AF1QipPsPEKkn78nvSv832XOFmeB-DNTbQMqqkD3D4c,//:0,https://lh5.googleusercontent.com/p/AF1QipOuR_ASTvDtpfTVivM1M-IQMvDHcDufF3qG-CA,https://lh5.googleusercontent.com/p/AF1QipM9ASpKckKqyKsuoZ08UK-BwBKfsRWCThS2JM0,https://lh5.googleusercontent.com/p/AF1QipMALeZAwuwJHlOPRvVU28f128o7u0EHq7isSwbO,https://lh5.googleusercontent.com/p/AF1QipOxydGJFUErAG7ULmNxwOlPy1cGSHcRtec1Usg,restaurant,Bab Al-Sharia,Restaurant
مطعم ربيع الشرقاوي، كبدة ومخ,"El-Gaish, El-Nasr, Bab El Sharia, Cairo Governorate 11558",02 27866477,Not available,4.4,270,Cairo,https://maps.app.goo.gl/ZWjniKcG8VzMcGV77,3768+92 Bab El Sharia,30.060938,31.265062,https://lh5.googleusercontent.com/p/AF1QipO_mV-JRuOtlNQy9cyfblEvJGv_n4Ka1s1GxeKP,https://lh5.googleusercontent.com/p/AF1QipNiDYPLb3LYOYl1ptrTnx9-QPDJsXck7gEyb6Ke,https://lh5.googleusercontent.com/p/AF1QipNrNwuT7LDMda4TUjBA2uz0iKFYFY31B9huUiKM,https://lh5.googleusercontent.com/p/AF1QipNV7vTPSsBY-Rgd91Od-uPX7SFDkW4XiwZ-uglb,//:0,https://lh5.googleusercontent.com/p/AF1QipNWfaeKyDXOivokEV2dag-78bLT9Apw32MoiEkL,https://lh5.googleusercontent.com/p/AF1QipM0MLZn4OoMmsmvxd4m8AMrbiBD0EnYMLBgSf9y,//:0,https://lh5.googleusercontent.com/p/AF1QipPqVUG2i8iV2ZkNjDCTCpnFjFP9yh0H00n8Y7i0,https://lh5.googleusercontent.com/p/AF1QipMuNmTDzfzlMosOYfd1JfG4wxUeMPDkwtMj-MNQ,https://lh5.googleusercontent.com/p/AF1QipMSiVdlxy-1dHqir-xSbI6CRqYsETCZWkpQl1gE,//:0,https://lh5.googleusercontent.com/p/AF1QipOMZtv2HvHjgZv8sAakqbXXxz496qO4bV1TANhS,https://lh5.googleusercontent.com/p/AF1QipMsry3QFm1Ib2UPAMGu4tGgZ8EmnCiLZV-dpDfZ,https://lh5.googleusercontent.com/p/AF1QipPq02r6ixKNRH3XP_8-VdzShfc2pHPmA09R4fKJ,https://lh5.googleusercontent.com/p/AF1QipPo7rXBnPEa5zv_mJC3vV7jSIwubwXFDQBE4Yky,https://lh5.googleusercontent.com/p/AF1QipOcUdo3f2Dnf0orMCc1Dc3XR3xD_cIUXZgeCL3p,,,,restaurant,Bab Al-Sharia,Restaurant
ZMAN restaurant,"8 st Al Bayoumi, Al Kordy, El Gamaliya, Cairo Governorate 4334035",011 13279567,Not available,,,Cairo,https://maps.app.goo.gl/V7A5vaYzHVR6G6B18,3758+XG El Gamaliya,30.059938,31.266312,https://lh5.googleusercontent.com/p/AF1QipNMpkvAO0KxQlweGTFnNKXxiwXXUoV_P10iyvg-,,,,,,,,,,,,,,,,,,,,restaurant,Bab Al-Sharia,Restaurant
Zeen el shaam,"بجوار شركه اتصالات, ١١٦ El-Gaish, Ash Shamkeri, Bab El Sharia, Cairo Governorate 4333012",011 23353961,https://www.facebook.com/ZiennALShamm,4.5,304,Cairo,https://maps.app.goo.gl/ipVmxCRw562Y4t9y7,3745+HH Bab El Sharia,30.056438,31.258938,https://lh5.googleusercontent.com/p/AF1QipNNKGYhFCUArhw2NIYfNvMI0jmtjv4sgmJmxOF-,https://lh5.googleusercontent.com/p/AF1QipODB9tZHXhUNwYKeeGmK9FpOl--6VcNgWD6lR8h,https://lh5.googleusercontent.com/p/AF1QipM-iQyhahm2a5XRlqxW8UVlYtwE8m9_XJxz4dS0,//:0,https://lh5.googleusercontent.com/p/AF1QipN-HVEtmqBmAqR3lrrS_0ZkC6-y37D891gFZhza,https://lh5.googleusercontent.com/p/AF1QipNwcxAsGIDnupt_0Ci5aVXmTQj-TUssmt__jU5-,https://lh5.googleusercontent.com/p/AF1QipNumBY5AtkXJXAfMNDEO7NGgY8pbFlKC3O31Quq,,//:0,https://lh5.googleusercontent.com/p/AF1QipPvOuWMPKyMObPGQuQa2oHUhW3nz6cxzBvuIQYt,https://lh5.googleusercontent.com/p/AF1QipPO9-bsCxZu08paMk50OvpWAApOMkvTiZWbnab9,//:0,https://lh5.googleusercontent.com/p/AF1QipMb1t-DJPtiO7r_y5qavAjm9XeZT4mFDQZxhzzX,https://lh5.googleusercontent.com/p/AF1QipPPBKS3jnntO_P_MmsddD_mKPSuPGKsWWz3IOBW,//:0,https://lh5.googleusercontent.com/p/AF1QipOxdUnwwBIhLrSrxxAOEk5lAPiy5QLLbk4OP5gI,https://lh5.googleusercontent.com/p/AF1QipOksQRarl_PP1v8KO2UPuJMDPAVzvx6lttahHGB,https://lh5.googleusercontent.com/p/AF1QipMoGTpdepgHOX_S9xFGVep5laFqVZODa_BNN7vt,https://lh5.googleusercontent.com/p/AF1QipNwKk65HweK-PnrjkqttC2mmaCzZjSlb90ksMUl,https://lh5.googleusercontent.com/p/AF1QipPNIOg6_2dV-oEJQndIheGrp_PFNbr1ZNH9p7YE,restaurant,Bab Al-Sharia,Syrian restaurant
Elgameel fish,"5 Al Gamil, Berket AZ Zatli, Bab El Sharia, Cairo Governorate 4330305",010 16669459,Not available,5.0,1,Cairo,https://maps.app.goo.gl/1txmNBstkKyJRDoB7,3764+25 Bab El Sharia,30.060063,31.255437,https://lh5.googleusercontent.com/p/AF1QipNL7IXXHd6PU-KOPgWqUT-j_1vhSUbLQtoWLl_c,https://lh5.googleusercontent.com/p/AF1QipOEftqyTT0TQGSiqe4RvUx52QKlPthdsYC_O4Y7,https://lh5.googleusercontent.com/p/AF1QipM0n8JOkASgYJs2BhJRrFFavaaBWjf70Ujbfhmp,,,,,,,,,,,,,,,,,,restaurant,Bab Al-Sharia,Seafood restaurant
درويش,"حارة الطواشي, Sidi Madin, Bab El Sharia, Cairo Governorate 4330252",012 22225743,Not available,4.0,21,Cairo,https://maps.app.goo.gl/jtkcYwEkatj1DGnG9,3753+9R Bab El Sharia,30.058438,31.254562,//lh3.googleusercontent.com/NoC9I312ryCLiog9PANu93w1AiwRdEZcRGNS0snOPDeD4gGxUg5xgfRjP26ecMd7,//lh6.googleusercontent.com/xEW2LyEBwWMbWENpfWBL-geKKklsgnmoixhPAch0EJcnYtLVqOamf6GslUSxjUWOvw,https://lh5.googleusercontent.com/p/AF1QipOsmdlUXtQ7b3YkJbkaEQIFhxdM_mpQ7K-UN7Ih,https://lh5.googleusercontent.com/p/AF1QipM6FUMnVVV-BLDWRMg-js3M9wN1qIF5fbL8o41t,https://lh5.googleusercontent.com/p/AF1QipObeYdsNjfHTiMoaRuPlv9vsb2QqyiEx9YmCV56,,,,,,,,,,,,,,,,restaurant,Bab Al-Sharia,Barbecue restaurant
El qeshaishy restaurant,"72 Kamel Sedky, Sidi Madin, Bab El Sharia, Cairo Governorate 4330251",not available,Not available,4.5,8,Cairo,https://maps.app.goo.gl/v2J2vwGHa4x45nmh7,3753+Q5 Bab El Sharia,30.059438,31.252938,https://lh5.googleusercontent.com/p/AF1QipNt--TWSuXNRGPKsCGG4vbYwrOr8lj6f-XjZMjb,https://lh5.googleusercontent.com/p/AF1QipPfvs_xEf75p3VxcVgGF_bKXHMql7JUREr4Jh4b,https://lh5.googleusercontent.com/p/AF1QipOltl_Fttrqz7FhwhxiI9Yja6P9qHHSgvOYcakC,,,,,,,,,,,,,,,,,,restaurant,Bab Al-Sharia,Koshari restaurant
Bebeto,"3745+JVC, Ash Shamkeri, Bab El Sharia, Cairo Governorate 4331204",02 27862709,elmenus.com,4.1,"1,264",Cairo,https://maps.app.goo.gl/zHJ5wrXZXpL5U1Z78,not available,30.056562,31.259687,https://lh5.googleusercontent.com/p/AF1QipPVirgxvHs1POgK9uJ2XDbCoD3LZMGM2W_HXOZ4,https://lh5.googleusercontent.com/p/AF1QipONAe-z8Nty0L7BKxRDPeVknHvWcQON7Hijcryg,https://lh5.googleusercontent.com/p/AF1QipPJfMCi_324mNp4fjyp-3cowShZ4TQw6l9aFdRa,https://lh5.googleusercontent.com/p/AF1QipPv-jx3vlxtZ01aMm5TQ-EEe-hq3b6bNQO81BPe,https://lh5.googleusercontent.com/p/AF1QipOtDNEPTjdi66VAAAn-bznK6zENOxZwyh9rVf_j,//:0,https://lh5.googleusercontent.com/p/AF1QipMQaQILBdEm-n0MixTVK2k46RKd6HFzIOpUwJOu,https://lh5.googleusercontent.com/p/AF1QipOtCSUqnOMqoQhJU2wVCHjeDvISFOj5euZHEeny,https://lh5.googleusercontent.com/p/AF1QipOkGnizbEl2l36HcWfMKviwHwPgJHUspYbOGbZi,//:0,https://lh5.googleusercontent.com/p/AF1QipMI8ZjjZ61OC3SyJdhUPrtxsgcyn43IOhFeQF3C,https://lh5.googleusercontent.com/p/AF1QipMhiMleLqKaeoTFKcW5Xbyv3vSAp7vZ5Huw1lVP,//:0,https://lh5.googleusercontent.com/p/AF1QipO90Rw8p32bZqaZdqebI2-H86t8c3m7SEwnFyzL,https://lh5.googleusercontent.com/p/AF1QipPJx-um7Dr-OlVozzV4pG4eOJ_OwuBSedB4r5m7,https://lh5.googleusercontent.com/p/AF1QipPZUkIQglE31MfmigXeT_vsWLciWwdWntzaw94_,//:0,https://lh5.googleusercontent.com/p/AF1QipNhG0BlaB_Ws0nYZ5bl3_FbKMr2nQORkQyjCxwq,https://lh5.googleusercontent.com/p/AF1QipMzb1ObKQwjumStdLuRxVlWNNuXB4aWZv1ccrgk,https://lh5.googleusercontent.com/p/AF1QipN1ANCtvoNOIdfIw7WrlGae-0c54F974ygnpc37,restaurant,Bab Al-Sharia,Meat dish restaurant
مطعم القشيشي,"29 ش Kamel Sedky, Al Fagalah, Bab El Sharia, Cairo Governorate 4330250",not available,Not available,4.3,130,Cairo,https://maps.app.goo.gl/GtjzCZXHtcSf2KP18,3752+W8 Bab El Sharia,30.059812,31.250813,https://lh5.googleusercontent.com/p/AF1QipO1vRGYV_Zo51YD1cyQaVREJyIZ7Nd8XDYq3S_L,https://lh5.googleusercontent.com/p/AF1QipOj2ihGCAugd2TvcLm0InMJRR_LGQ4rzLFGQaHM,https://lh5.googleusercontent.com/p/AF1QipMlAudU5TmC0MOyDFrWdyj_HwO9i8vEW3OHW5mG,//:0,https://lh5.googleusercontent.com/p/AF1QipOxGanjJHcgxQTyq8uKlvqTRx4z-s08bGLlB-fQ,https://lh5.googleusercontent.com/p/AF1QipOnKedpVyldU4r8PvJu7D51Hk-5GXMCBc2jYwms,https://lh5.googleusercontent.com/p/AF1QipOXFb2ZTEfr6aUenLxGBBQZPSjG_USQQZGH5cjd,https://lh5.googleusercontent.com/p/AF1QipMYv-Zil60BM_DTDx9I8pVY8BhL_aD6VcR17FqT,,,,,,,,,,,,,restaurant,Bab Al-Sharia,Fast food restaurant
Salsa,"٥ Haret Al Shazliya, Al Banhawi, Bab El Sharia, Cairo Governorate 4331206",011 25358073,Not available,3.0,1,Cairo,https://maps.app.goo.gl/m2tQuecyrWXWS4udA,3746+JC Bab El Sharia,30.056562,31.261063,https://lh5.googleusercontent.com/p/AF1QipPTR7tuBO-XYSdkwQp1eiJuk3B8xi7SRYqNZJdh,//lh3.googleusercontent.com/5zNnXlBCEUNV9ughN3FGJvtZnyTh3340yuhSwxTkb8WCRvYlxKFvVgyD04nsWzJq,//lh4.googleusercontent.com/j8lm-ZKB7WTn2PyDMa3aIfwext-0UueRww43Sk_ac_ZWs9zUwbwM35Tv5EP5oAc,//lh4.googleusercontent.com/aOLkUQjRhIoZ6sxj_HACJLY6ca6A2B5rsDzRYEe7-R3fQwLYolsOeDqGglEcCyw,,,,,,,,,,,,,,,,,restaurant,Bab Al-Sharia,Fast food restaurant
