Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
الرواق المغربي,"36CG+JXF, Boulaq Num.1, Bulaq, Cairo Governorate 4311301",012 21222800,Not available,3.9,23,Cairo,https://maps.app.goo.gl/fZ5NjXf3D2qSCbAX7,not available,30.071562,31.227438,https://lh5.googleusercontent.com/p/AF1QipO2rZO1LVkwa67K3T9UPH7FmNyGX7Xh9zj8fdA4,https://lh5.googleusercontent.com/p/AF1QipOxSW7aYRdHIhZEKsfDaCRDsNC4mg6LShKHwzj2,https://lh5.googleusercontent.com/p/AF1QipO1RKYxN_ET1o3HHr5ngpXp9_upvOxt8zlT02hM,https://lh5.googleusercontent.com/p/AF1QipMqqYJT9c7VAosYrbzXBB6tSQ-JMgVd72bFdyju,//:0,https://lh5.googleusercontent.com/p/AF1QipNCNTUnjjHaFGjD5T-a-Q9NoNJjx-TS6Z-uLUl6,https://lh5.googleusercontent.com/p/AF1QipMnfVdnkoZkjfV5IBaoQV-puOuESIo6EwI0NgfM,https://lh5.googleusercontent.com/p/AF1QipM_YgAHK6En-dQHSBi_5XrCNs515VH0DJ2WtzYE,https://lh5.googleusercontent.com/p/AF1QipMJzef9k4QdIxsSY_kXN-BcI1-hZtBMMU_CAP2N,//:0,https://lh5.googleusercontent.com/p/AF1QipMxbltuIUD4fEkQNmYSsfG78yHH0fvofxcOWo3r,https://lh5.googleusercontent.com/p/AF1QipOlHfR6nQ62z1b7mnQBuVdQ9o4it7cRMey-GzjX,//:0,https://lh5.googleusercontent.com/p/AF1QipPh0cYRBYq9bT1xYVQItxjdFHfrBcn0wuQdFqpz,https://lh5.googleusercontent.com/p/AF1QipNJtBTbh3jpfadPPF2T2ljdCT4pD6jb1F0x-B3T,https://lh5.googleusercontent.com/p/AF1QipOd8HhL1w7tcXlTk173rIiWeeOOch0cpKthPwti,https://lh5.googleusercontent.com/p/AF1QipPGhNjwFsKCbDPxHOzmQR62Wdx-NRPHz6D1hHYt,https://lh5.googleusercontent.com/p/AF1QipMfyQmgjmo_hhlbPfGd6z_9hu5U_NGe6GejW6Mj,,,restaurant,Bulaq,Moroccan restaurant
BREEZES,"362J+7M8, Fondok Al Nile Helton, Sharkas, Bulaq, Cairo Governorate 4310002",02 25777444,Not available,3.9,59,Cairo,https://maps.app.goo.gl/GfBMwdu2MxVN76wB7,not available,30.050688,31.231687,https://lh5.googleusercontent.com/p/AF1QipNrCuFAU9eZ81I4tP6ahAv4CJQ_lEUe75gdjpHn,https://lh5.googleusercontent.com/p/AF1QipMzBZrvFJBggwAqco9CFL6K7urm7gNHSXDbyO_P,https://lh5.googleusercontent.com/p/AF1QipMiz8sXiFOlLDJ1xCsfCxCHcfFUd3feGuGQ3IXQ,//:0,https://lh5.googleusercontent.com/p/AF1QipOnh8Obwm570bdxt48gfS80Ixcui3YRmRjvacVr,https://lh5.googleusercontent.com/p/AF1QipOEW--SAgF2TUHGooZIMYvZ3AyG-83UlgqrgNkz,//:0,https://lh5.googleusercontent.com/p/AF1QipNS8SaaERRHFlY3dtKmgLiNOOoUsI4vbaFP5KuH,https://lh5.googleusercontent.com/p/AF1QipPOrBFXFtuE_3envuR-0qW_1FixgHRGGPM_OK05,//:0,https://lh5.googleusercontent.com/p/AF1QipOtArlMsXHapp3m_JCiuvkHbS2BMq44rAYdyI9P,https://lh5.googleusercontent.com/p/AF1QipPTcTqL5pMYEa6VNpxoilKa-Yk0U6H5kStGxV6Y,//:0,https://lh5.googleusercontent.com/p/AF1QipNgmTEYKKL54i2ZfVXz7UR9Zs9cFlm1eLzxZeMg,https://lh5.googleusercontent.com/p/AF1QipOdnL6ZkL_WnTjs6dr4xMNJbNmcOBhIW47ISYKh,https://lh5.googleusercontent.com/p/AF1QipPDy_tlwNlJ4IL_lySXBzX9k8Oy48BquCzfwOrW,//:0,https://lh5.googleusercontent.com/p/AF1QipMUZQbY3AdRN_-cSALBXwS-utC4GzLvaNPm3698,https://lh5.googleusercontent.com/p/AF1QipPTKE1gcCTBcZRhiO2mJAXS_Ktbt_FN3uhnVaX_,https://lh5.googleusercontent.com/p/AF1QipPV-DYudWT0ETGkvx0Oy55IAPvHCnSsBlxfjogn,restaurant,Bulaq,Izakaya restaurant
مطعم القصر العايم,"369G+4RP, Mnia Al Kmh - Cairo Rd, Souq Al ASR, Bulaq, Cairo Governorate 4311110",010 33336451,Not available,4.6,37,Cairo,https://maps.app.goo.gl/A3RzemuDi5p6LUK88,not available,30.065688,31.227187,https://lh5.googleusercontent.com/p/AF1QipOC2f8TnfjP3K3O56oPwOHkBoVzMsuduDlN7R_4,https://lh5.googleusercontent.com/p/AF1QipMai1kni3wSIDYRRyjU9oi7-nsl3O86hrWYtKwW,https://lh5.googleusercontent.com/p/AF1QipOJE8IviVkxGHWJqzhpg8FR3j99xdF0HPxNADTz,//:0,https://lh5.googleusercontent.com/p/AF1QipOQCw0sZgWPzJdrS_zgrN77J9N-zrnsOTDA93Ox,https://lh5.googleusercontent.com/p/AF1QipPkoalbVLkAB4kmwbH-VVaMe-mwPBVNFS3GZfys,//:0,https://lh5.googleusercontent.com/p/AF1QipOU3Y0RAglH3_xBfVCXZWazN1XXzkWdaq2tURTt,https://lh5.googleusercontent.com/p/AF1QipOwFUYDFrl9Mk6LLP00CipdS6vpbS5cE_aJu44K,https://lh5.googleusercontent.com/p/AF1QipO_XnNdGoOrQ_RFiIqU53mXV6AC_R-oyvbgIHQs,https://lh5.googleusercontent.com/p/AF1QipOnWdU7RuB_CaTUj9PnwX87JaO6FUSWHm5-0jUo,,,,,,,,,,restaurant,Bulaq,Restaurant
Falafilo,"25 Sahel El Ghelal St.، DOWNTOWN, Bulaq, Cairo Governorate 4310022",02 25797940,Not available,3.7,3,Cairo,https://maps.app.goo.gl/Nduzz8MvCRFjJB416,not available,29.989312,31.232563,,,,,,,,,,,,,,,,,,,,,restaurant,Bulaq,Restaurant
Kababgy Saly Ala El Nabi,"41 Ramlet Boulaq Sq، EL SABTEYA, Bulaq, Cairo Governorate",02 25756106,yellowpages.com.eg,3.8,331,Cairo,https://maps.app.goo.gl/CN2qKq9QiowvQnL5A,368H+RV Bulaq,30.067062,31.229687,https://lh5.googleusercontent.com/p/AF1QipP-o6PfZda7BjP3uEQ_2HMuK7j0cKid36kwwV7R,https://lh5.googleusercontent.com/p/AF1QipOYxpzAXgNNzgk2ioqCKDLbP-H04-pVqVYkSh9a,https://lh5.googleusercontent.com/p/AF1QipPAtFhBVeYxpjAdmYaDSTALgej4cFQJBO05kUfx,//:0,//lh6.googleusercontent.com/MspqKdglFF6hMERNyNeOO2i6nD60TeT7vuou_y14FkUynW7PFwlz-dSHVen-UT2o,https://lh5.googleusercontent.com/p/AF1QipMMf9um_rEsxOjMJHTcVku3d6a5oFkM8jwgvFFj,https://lh5.googleusercontent.com/p/AF1QipNFB6GCXpr3NJXH_lfwi_lqRAESZRo1aj97mmmU,//:0,https://lh5.googleusercontent.com/p/AF1QipP1YnpENeJiSBW8osceEB-NggPz9Es3-4YOXgbs,//lh4.googleusercontent.com/AEE_ix-SqKvsKDZcBaCAz58htiFwG_ctxspNO2Fjyicov6XctBSUtLKn_SPUB50,https://lh5.googleusercontent.com/p/AF1QipNYV9-p-UIZwCy9ikc3d7ZXtOX0djz-Hx3OrH9u,//:0,//lh4.googleusercontent.com/yL3xBiyNvkvf0BmQhK-v3ACtJZZX5UMRXzJmuTcyMWzWDEL5GMVtUEIRIL2N5U-GPw,https://lh5.googleusercontent.com/p/AF1QipMOUxDoiXhOjspb-EfxoIZXVdWMJpXMKT00yvAb,//:0,https://lh5.googleusercontent.com/p/AF1QipOumo3NfhF69MHXg8WPDG2rTsNDaPkAWB8fmhQC,https://lh5.googleusercontent.com/p/AF1QipMIplUSJKCox-yuaUUZ_ievjsyZRf37mxpqsUJV,https://lh5.googleusercontent.com/p/AF1QipNO-xX92JZV81htyh08NGCK-2mapVVHy9BYON70,https://lh5.googleusercontent.com/p/AF1QipNPOymTxhq7yc_61xYo7L_txF7sMpPwRrrvM_UW,https://lh5.googleusercontent.com/p/AF1QipMq6Tma3hQEi5qM5CwdFpPh2Yq7K-geo9oFyXMk,restaurant,Bulaq,Barbecue restaurant
Paprika,"362J+W73, Boulaq Num.4, Bulaq, Cairo Governorate 4310003",not available,Not available,4.0,210,Cairo,https://maps.app.goo.gl/i6M2w6GsjXf23sgW6,not available,30.052312,31.230688,https://lh5.googleusercontent.com/p/AF1QipMoef001iCC_8ojIuvaGv4362Ck_lr73yUVLflr,https://lh5.googleusercontent.com/p/AF1QipMPV8U7ifidDNgC_Qz-gGI5l1Nw76eO5qo2P6GK,https://lh5.googleusercontent.com/p/AF1QipN-0-1nvECo_H7yYwmn4r8m9cIVFFYPnHVb3yge,//:0,https://lh5.googleusercontent.com/p/AF1QipPS-k4UCTiVb2x-K4fzYckL7HAB1Dx37l8Pnpsp,https://lh5.googleusercontent.com/p/AF1QipPI-ZGdbi6dH9ihCywL0teFMJ0iHWq3HLn8MIIg,//:0,https://lh5.googleusercontent.com/p/AF1QipMw8q-BGKTQKMeHUIEj-9WizjoIPXCLes6IpLDA,https://lh5.googleusercontent.com/p/AF1QipO6Sx9sIWvq1ek4AFGYL_hlPS4j6vv-yIAMgPQa,//:0,https://lh5.googleusercontent.com/p/AF1QipNvigAdyGLMX5tP5dqwyhagGAmIIRhAdbaIDO8o,https://lh5.googleusercontent.com/p/AF1QipMXBUstdBheglRHEixnQI2B1fnUUb_PfW4O7mm1,https://lh5.googleusercontent.com/p/AF1QipNpKlFsCxNo6ImtRZy4fICjYiXdrc6KUHKEc4tB,//:0,https://lh5.googleusercontent.com/p/AF1QipMLrhfC6X3zantSW5iyYEI_hFh59gP08VOS_U2_,https://lh5.googleusercontent.com/p/AF1QipNUPsmAD0LHKAOdHWfEzFtn1-OEo3-uJhWR-r0f,https://lh5.googleusercontent.com/p/AF1QipOOEQ7e7ashUhBz9XQR7X0yTXxX7buSMFixv73p,https://lh5.googleusercontent.com/p/AF1QipNlhGcq-40H6tY2bNMGwhU72gBZN1iPzM7D8dB2,https://lh5.googleusercontent.com/p/AF1QipPvodIhQCnk_4Vy0mPhHJ8WDPThBc1zxmgGPzEi,https://lh5.googleusercontent.com/p/AF1QipN0Xt-Dt2OPA9HZEObjx-ERscNk9z_LhDxhVB-c,restaurant,Bulaq,Restaurant
L'Uliveto Italian Restaurant,"Nile City Towers 2005 B, Corniche El Nil, Ramlet, Bulaq, Cairo Governorate 11311",02 24619494,Not available,4.7,135,Cairo,https://maps.app.goo.gl/9E6CqGKEtk85fi9t9,36CH+Q2 Bulaq,30.071937,31.227562,https://lh5.googleusercontent.com/p/AF1QipNHBpwQQJsOGLopfefEkumX4altOyiZxZkMlKhY,https://lh5.googleusercontent.com/p/AF1QipNbTNlL408Y7n9GiEkQ_k_G6InpdkbFKxukQtnk,https://lh5.googleusercontent.com/p/AF1QipNjt2xgM-8ljTR8D0l-TYIreHfU5dA0SbKQTS0l,https://lh5.googleusercontent.com/p/AF1QipPWmbNvfH4vHTnuCn4NPJbzCpivJtyxZHJ1IFrO,//:0,https://lh5.googleusercontent.com/p/AF1QipMzngH29aqlKb1XsI2tTEwDogTrFC7dFM8E8LKC,https://lh5.googleusercontent.com/p/AF1QipPlK3nsMaPEqDgyG3-hw6r-XcaLx9TH6SKQywKg,https://lh5.googleusercontent.com/p/AF1QipNxIYVeUa5ecOYViIMpd02VyGW2IzcV0BymXBEq,//:0,https://lh5.googleusercontent.com/p/AF1QipPa_E_5syV6HkCvPQpv7JFkLvwnXvj5oIRTUIld,https://lh5.googleusercontent.com/p/AF1QipPdBppHLid93588ootqLyunB-ef78-qgY5c5h6D,//:0,https://lh5.googleusercontent.com/p/AF1QipP7S684QAtNRjAt3CeO1UhG1wXDpi8j9SFIEm5K,https://lh5.googleusercontent.com/p/AF1QipPsOf-hbGtkw3cXwyRMQok0yt50Om0L2yz1LbaQ,//:0,https://lh5.googleusercontent.com/p/AF1QipNYG7Z1DadaYPyuC_AsKzIbFgSrkZQPKU_7wsn2,https://lh5.googleusercontent.com/p/AF1QipMO_NzMm__mHY5RctbOepnl96aP2llekjm1jEIy,//:0,https://lh5.googleusercontent.com/p/AF1QipMmY4b4AQ6G_H8QqaAqTrJwtTBvx7LZoPvDZgEs,https://lh5.googleusercontent.com/p/AF1QipNW3XSDKzxgU1s3eM7lIhVGneqVGvXMeV3C2uAT,restaurant,Bulaq,Restaurant
Omar ElKhayyam Restaurant,"٣أ ش الصحافة, Boulaq Num.2, Bulaq, Cairo Governorate 4312130",010 69927953,Not available,4.3,15,Cairo,https://maps.app.goo.gl/MBt11whCnLhSwDs6A,364Q+48 Bulaq,30.055312,31.238312,https://lh5.googleusercontent.com/p/AF1QipO34KUNWn5_nPHfToJKGix9JrDfUiWag33oYci5,//lh5.googleusercontent.com/D8K-S3JgPtmm1sxTc826J8H5sKJ9vgXF7TFKowOef2wuTxF2tm5s8sDJ6gGfRRkQ,https://lh5.googleusercontent.com/p/AF1QipPGeNtpeR8KsWeOayP2vKhuS6jbvB7WT6yD8OS2,https://lh5.googleusercontent.com/p/AF1QipOH9gdTUZV-NKoIdYpBZovqOokN8EbJu_Siyl4Z,https://lh5.googleusercontent.com/p/AF1QipOj4PewcLM6cTGmM1NJpA1cVXJsLP-vlaZ6aDIN,https://lh5.googleusercontent.com/p/AF1QipPfqyWE6qzLenvg3IxKVBbw7VUt6KbSjB80Ou22,//lh5.googleusercontent.com/KI9hhO8B8HPN4rLrglXMowJG_IIVIqYZaP6ZFYb93dqCjA1g8TJQ32KyozhrnhEw,//lh5.googleusercontent.com/9OzexRRK1DS4PBOFq1A7yHEW3XitU5nJnEEun4vhAG_MEll9yQgeqIokZrNnn1Z4,//lh3.googleusercontent.com/o5r6TWvHae8tCuB4ILUFh1xEQWh4Is0OJGPOeIdk7vdEwqTX8ZHidz0YtpfSzH4Q,,,,,,,,,,,,restaurant,Bulaq,Falafel restaurant
O Seven Restaurant & Cafe,"Boulaq Num.1, Bulaq, Cairo Governorate 4311301",012 00000083,Not available,4.1,63,Cairo,https://maps.app.goo.gl/QngETKxrxaG4ezvs5,369G+RR Bulaq,30.069562,31.227063,https://lh5.googleusercontent.com/p/AF1QipP2reA7YTq7PvlpV4n0tsuPbf7Yj9LlulxXSY8K,https://lh5.googleusercontent.com/p/AF1QipOfebtGshwr00qB6b3Zgk6x-mZOzwBFWV0DrMaO,https://lh5.googleusercontent.com/p/AF1QipOifqZYjCqZgXhOhscBp_MZoGqK9PmxMLRJ2G1L,https://lh5.googleusercontent.com/p/AF1QipPlzl5_lJK3rZGcPrgfkP2a0pWr75UizaaZS3qo,//:0,https://lh5.googleusercontent.com/p/AF1QipMrN_J_44ooieh6S2OYYjBsAFiJqFMcpslLjNQA,https://lh5.googleusercontent.com/p/AF1QipPp6G4CCTw0ah5r4BK0BX2DgnK4vcrisxLUdOy_,//:0,https://lh5.googleusercontent.com/p/AF1QipP-aLl74NTPGGGn9O7k5GB4xEJTo0VdgGeCz0x5,https://lh5.googleusercontent.com/p/AF1QipOWFpsz9PcXpPKGl3lZI17n3DT1OOuF4OC4jJkU,,//:0,https://lh5.googleusercontent.com/p/AF1QipMopqTI2Plf6AiRFUoHXyWSI0IdJvTC8yxYW_Qx,https://lh5.googleusercontent.com/p/AF1QipMyVJI0gJZANNeOfx-aWYt_yY7RktrrU-55bV8t,//:0,https://lh5.googleusercontent.com/p/AF1QipMiV8aEDE-s6soHSkJRjyuiyU0t5oEw50g6C7g9,https://lh5.googleusercontent.com/p/AF1QipOcp0ch2PnkhV2efTWcJraSuvYnyvtSUEWMpAqs,https://lh5.googleusercontent.com/p/AF1QipNOislmuPg4itrsclqEsKY8qCKlLaAxl8ZAzzuh,https://lh5.googleusercontent.com/p/AF1QipO8EVgXkvb8odMouFRLBsTmANAcs_IITpz0BDuB,https://lh5.googleusercontent.com/p/AF1QipOrvAB9SknfK6jErMfoe9SM1NopgOH46HBO3yTP,restaurant,Bulaq,Izakaya restaurant
El Dreeny Restaurant,"26 يوليو امام مسجد السلطان, Bulaq, Cairo Governorate",012 74444200,https://www.facebook.com/kebdaeldreeny/,4.3,362,Cairo,https://maps.app.goo.gl/HXQp3txpZ1xR6fKXA,364H+QW Bulaq,30.056938,31.229813,https://lh5.googleusercontent.com/p/AF1QipM98JpcTfSPM-q9A09DVsa5UolJykQZBHmZmWwr,https://lh5.googleusercontent.com/p/AF1QipNdHf0x7ZRVyYwCm60nJvqI1Fns8DzemOLQxlFU,https://lh5.googleusercontent.com/p/AF1QipMHh6AIRmuzI2z7VKL1zVmIXag5xiUd8GXD9Fd1,https://lh5.googleusercontent.com/p/AF1QipPcDYkbk9DYda-7U3e85eDz9GxZjnlFItMa5_Fs,//:0,https://lh5.googleusercontent.com/p/AF1QipMeRMFLgeE7tHbeoC4gqmGU5kolqjEWXQcF1PXW,https://lh5.googleusercontent.com/p/AF1QipPSRuYI7EXUH3TGDVWaexVnAWWAtk8kd9fF3PQP,https://lh5.googleusercontent.com/p/AF1QipMbpRMWt4hZlpFmpg0xhVubHgHjal9EfhlCzieT,//:0,https://lh5.googleusercontent.com/p/AF1QipPpupq_-lkGn5YiDchX_hK0rpHSo-zuiSm4BT4L,https://lh5.googleusercontent.com/p/AF1QipODA8ERj_ftap1hZjnPticzVfbeILoSrARCMDOq,https://lh5.googleusercontent.com/p/AF1QipMSZG5eum-1Oz_vl3jw2sDapUpkWCoUAZfCGDrm,//:0,https://lh5.googleusercontent.com/p/AF1QipOL-CdSIacqKHonqpE7bCvqMmDY2cpkArv4qxRR,https://lh5.googleusercontent.com/p/AF1QipPeb7RHbq1EoBv_df8xQ3-P0Q3dT4-g1qmjzjfr,https://lh5.googleusercontent.com/p/AF1QipMSjcWvA6hyrH_Ow6PQIIQ3ECtXT3LCm71E8Esb,https://lh5.googleusercontent.com/p/AF1QipM-1st-03om1d3r8DaP96m9Dwqdm6lGwC6y9YG7,https://lh5.googleusercontent.com/p/AF1QipMuTbnlBLVBAr2dd2-np75ExeqboKQP1_4wo-vs,https://lh5.googleusercontent.com/p/AF1QipPoMUOfUtTKXHxU_QSto0Rs4qUGOpDdZjH2-ZdM,https://lh5.googleusercontent.com/p/AF1QipMT339BIy3DxItf7OttY_HtjA5bnDs3lwublYJ5,restaurant,Bulaq,Fast food restaurant
