Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم منفذ القوات المسلحة,"3722+2G3, ataba, El Mosky, Cairo Governorate 4284101",not available,Not available,1.0,1,Cairo,https://maps.app.goo.gl/BNrgxBeRRXRgoCn7A,not available,30.050063,31.251312,,,,,,,,,,,,,,,,,,,,,restaurant,El-Mosky,Restaurant
Mix Sandwich,"4 Near Ataba, Ghayt Al Adah, El Mosky, Cairo Governorate 4284010, Cairo, Cairo Governorate 11511",02 25923226,Not available,3.8,11,Cairo,https://maps.app.goo.gl/EHqd6Am8APjZnVj7A,3722+G6 El Mosky,30.051313,31.250563,https://lh5.googleusercontent.com/p/AF1QipOA4OHn3VHvp8MPV-RQ0IOwWqNms3aAvVtWjPvM,https://lh5.googleusercontent.com/p/AF1QipOlyE8iUcRci2m3kTIlp1_WX218Z2TfkI4Bm4dy,https://lh5.googleusercontent.com/p/AF1QipPKNNEkb5Xz_1K7vVmVtH7rDfWRWi_VdT0dDHfS,https://lh5.googleusercontent.com/p/AF1QipNBKw8Sf2OiO0JiT-ysopJ6XBpAKW-RDHb--dSJ,https://lh5.googleusercontent.com/p/AF1QipPlfKXPfAPQH0ORDcBlZO2qPdO5JuSL61wdMr5P,//:0,https://lh5.googleusercontent.com/p/AF1QipOXn8mZI4zle8_0KsADo5I_tctDIs28hIfx4MGK,https://lh5.googleusercontent.com/p/AF1QipNUAJ-Fc61wGuFpUlwVBZfj3haSKWzWqyP7m0mz,//:0,https://lh5.googleusercontent.com/p/AF1QipPk9LAkIkUAoAV0_lpE7c8TA6pABU8ocIevN8sU,https://lh5.googleusercontent.com/p/AF1QipPFZHqan5D_lOjRUsDEGl4wK1fnobJHMxSdW9Qi,//:0,https://lh5.googleusercontent.com/p/AF1QipP8_qH3aZhp6mjMBNMhZPNH11aUGuKMIbbHYSbM,https://lh5.googleusercontent.com/p/AF1QipMlIpzScpDGwUtCi2bNyfl7Ru37F4Tg8l9hUVao,https://lh5.googleusercontent.com/p/AF1QipOdwVA5Jona_OZpE0ZrwmbFqUEuIAIeRIK7gqMQ,//:0,https://lh5.googleusercontent.com/p/AF1QipP7Ch7pnnj7tvykDtHhybdANLVwa_S9CC79cpqp,https://lh5.googleusercontent.com/p/AF1QipNWL6wUKNKA0eRqeguSnqgpjfJRKjrXZ4fODpwA,https://lh5.googleusercontent.com/p/AF1QipOF1U_EY-_qEgJIvk4zuNrAC2xZUel-9-ZNyVlh,https://lh5.googleusercontent.com/p/AF1QipOdI3xOpa4MEtZkl1Unxqz0TcukOO7TqYPCZVFZ,restaurant,El-Mosky,Restaurant
كشري وحلواني سحس,"أمام المسرح القومي, ١٩ Al Bostah, العتبة, Cairo Governorate 11511",010 66155474,kosharysehs.business.site,4.0,4,Cairo,https://maps.app.goo.gl/rpHvk8LCiaCWjsV3A,3722+C3 El Mosky,30.051063,31.250188,https://lh5.googleusercontent.com/p/AF1QipPIXjkW-WEjZ6CXDykgnjQU8p8qFA46IHSbMFDQ,https://lh5.googleusercontent.com/p/AF1QipNPTQbp_sv1TJwh2aQUHaHkRfzLWITm2-N7FUK0,https://lh5.googleusercontent.com/p/AF1QipM0lhLyA5pKGAs5Vl6mm231VbpUjVCPSy-CEr1z,https://lh5.googleusercontent.com/p/AF1QipOG4E7_etQbW3i-Yacp6CZrPiZA2pPN_4AW7zhC,https://lh5.googleusercontent.com/p/AF1QipMWe78cOdUV7H7AQThHcALVI563i6c_Fy_ZBRoZ,//:0,https://lh5.googleusercontent.com/p/AF1QipPqZlLdOe5Zr1eFs8pm91cPX--_TLE2R9EP-NK3,https://lh5.googleusercontent.com/p/AF1QipOMAzTipAcZC8cyhjkXX0VSCDUheSJ6FkyH-SP0,https://lh5.googleusercontent.com/p/AF1QipMyQwrlaOjT5v-oaOM8KQtmm7VhzY310Op9NGcG,https://lh5.googleusercontent.com/p/AF1QipPp1jbk6QerqUJmvaCgpo-q6aoxF_anIwTjDMkX,https://lh5.googleusercontent.com/p/AF1QipNLzg3_r1HGJWH4wCMPonv7Z1sy7r4OaXOcSmrs,https://lh5.googleusercontent.com/p/AF1QipN8vY0yZx4UCVrrHLxCDdbHsOEzXnFMY_afnl5s,https://lh5.googleusercontent.com/p/AF1QipPmfiyoeKvViUrG_2fAv6Ym3KoAIfrvaaneCakc,https://lh5.googleusercontent.com/p/AF1QipPwcLs_FlBt3kHqWA7XfBA0lmXYSEPPaRQfmnNr,,,,,,,restaurant,El-Mosky,Koshari restaurant
مطعم التوحيد,"26XW+RQC, Ghayt Al Adah, El Mosky, Cairo Governorate 4283102",not available,Not available,5.0,1,Cairo,https://maps.app.goo.gl/cWKevyVmfxMhtPD1A,not available,30.049563,31.246938,https://lh5.googleusercontent.com/p/AF1QipOw7r14BvBQj50rIM2jxv3GfwPG-RCLzja5Jcdd,,,,,,,,,,,,,,,,,,,,restaurant,El-Mosky,Restaurant
كشري موزه Koshari moza,"4 Al Bostah, العتبة, Abdeen, Cairo Governorate 4284003",not available,Not available,3.3,4,Cairo,https://maps.app.goo.gl/ukrJGU5G9XcS1sEe9,3722+Q5 Abdeen,47.051938,-123.749562,https://lh5.googleusercontent.com/p/AF1QipP2EnLyAMMYJiq7y7566Bx9aJd6R11ZS_mw6kEn,https://lh5.googleusercontent.com/p/AF1QipNdC6I_AiUlGPprztXRoslVbdEXGtLEdm4RNclP,https://lh5.googleusercontent.com/p/AF1QipP-R8gnWpz0qMS2pJi-6pQ68jN5cPCJUfGAlvyZ,,,,,,,,,,,,,,,,,,restaurant,El-Mosky,Koshari restaurant
Al Mabrook Fish Restaurant,"54 Haret Al Soufi, Al Fawalah, Abdeen, Cairo Governorate 4282021",not available,Not available,3.0,2,Cairo,https://maps.app.goo.gl/WSacgfnMTZo4UyFM9,362W+6C Abdeen,30.050562,31.246063,https://lh5.googleusercontent.com/p/AF1QipMNxGayTYkFvevM1Qpj7ph91Q_7q46RkryhvY3j,,,,,,,,,,,,,,,,,,,,restaurant,El-Mosky,Restaurant
El Monofy foul falafel,"8 ش مكسر الخشب, Al Moski, Cairo Governorate",010 08352352,elmenus.com,3.9,9,Cairo,https://maps.app.goo.gl/xDTGnBsVoK4633av5,27X4+RF El Gamaliya,30.049563,31.256188,,,,,,,,,,,,,,,,,,,,,restaurant,El-Mosky,Falafel restaurant
El Tekiah,"172 Mohammed Ali, Ghayt Al Adah, El Mosky, Cairo Governorate 4283141",not available,Not available,4.0,2,Cairo,https://maps.app.goo.gl/xzz815RMvpQGhVPq9,27X2+H9 El Mosky,30.048938,31.250937,,,,,,,,,,,,,,,,,,,,,restaurant,El-Mosky,Restaurant
عز الشام السورى,"Down Town, 16 shrief Basha street , behind El-Ahly bank , Down Town 16 شارع شريف باشا ، يجوار البنك الاهلى, Cairo Governorate 11512",010 06978645,ezz-alsham.business.site,4.8,5,Cairo,https://maps.app.goo.gl/11Uw9QD7k43gpZCU6,26XR+2Q Abdeen,30.047562,31.241937,https://lh5.googleusercontent.com/p/AF1QipNgU1uJ6ilT0wnLrulX_MGhY0JvU-O7dd2UDygW,https://lh5.googleusercontent.com/p/AF1QipOSmiYX6FJ6OaFbuqr75017_5NrMSjkpKvXrxVt,https://lh5.googleusercontent.com/p/AF1QipMgGx55mzPx3ddkdhfFj0_pdQIqOWkyQJEc44at,https://lh5.googleusercontent.com/p/AF1QipPl1Q3SJ84xaGzV2cAbZK1lW_JJZXmEbpj9Doci,https://lh5.googleusercontent.com/p/AF1QipMtcSykYm1VkdFfWvba8K6auZz1vskulYEkAcAV,,,,,,,,,,,,,,,,restaurant,El-Mosky,Restaurant
Nitocrisse Restaurant & Cafe,"10 26 July St, الفوالة، عابدين، محافظة القاهرة‬، downtown, Cairo Governorate 11511",010 96769726,Not available,4.7,362,Cairo,https://maps.app.goo.gl/5QiayFL8muWnMLhCA,362V+XR Abdeen,30.052437,31.244563,https://lh5.googleusercontent.com/p/AF1QipN80-jBolY-7jSaiNnG48moU1EajgPudPIsSB1Y,https://lh5.googleusercontent.com/p/AF1QipNn4qagDINunUDvAi7ysOvfqK_j-lvzHsRgoh9s,https://lh5.googleusercontent.com/p/AF1QipPUZ9PajuMbddmOta31c2MHVE08XdGrtMI_9Thz,https://lh5.googleusercontent.com/p/AF1QipMRcvkKefevryH_vE-G73UDHvnk41WAcC4s7xV1,https://lh5.googleusercontent.com/p/AF1QipMhd8EpvTlCAVNfBIndQ_IV9-A5nLRsE8pHLclX,//:0,https://lh5.googleusercontent.com/p/AF1QipO6mL1xbn53BCe6vub0nodUYt_XoG01b1VU8fLy,https://lh5.googleusercontent.com/p/AF1QipPFfpgpd620g1_D48rM6Vj1nVD5kkLs9w-L4ghl,https://lh5.googleusercontent.com/p/AF1QipN3OGMY9mvZ4wAakHqO3Y_mwIhLpN7eNiK8prKn,//:0,https://lh5.googleusercontent.com/p/AF1QipPKfsIXauntwYfhKo8LpElchVhjcSFh-5wDZ1U,https://lh5.googleusercontent.com/p/AF1QipOpeJVWqnQWumo-AF96PgvHLb2N9PrANnnH6Mn-,//:0,https://lh5.googleusercontent.com/p/AF1QipOUCjGa8_cUaLGMIe0skj98H-KF-IED1lCdbCgg,https://lh5.googleusercontent.com/p/AF1QipOsP4UuOT70HvJhWgCFxCq6Gq_1FxSc0TTK91IE,//:0,https://lh5.googleusercontent.com/p/AF1QipMOkLtqi3E1CCUVQskEq7B0mhxKJQ9heoKegb4z,https://lh5.googleusercontent.com/p/AF1QipOYm-7-8JXKs7skW8fNq8HTMKMGRX47KHW9nUDw,https://lh5.googleusercontent.com/p/AF1QipO8oSS6qYbZdqupc3WHUAQ6stoR9Py5ES5JF2sO,https://lh5.googleusercontent.com/p/AF1QipNOx5hkpGCt6uYkrdIJAuE2VGBb5LPGOpA9UBjY,restaurant,El-Mosky,Izakaya restaurant
