Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
El Nasr,"24 Kasr Al Nile, Ghayt Al Adah, Abdeen, Cairo Governorate 4283010",not available,Not available,3.0,1,Cairo,https://maps.app.goo.gl/h2MEVAbPXm355hi99,26XW+2V Abdeen,30.047562,31.247188,,,,,,,,,,,,,,,,,,,,,restaurant,Manshiyat Naser,Restaurant
Studio Misr,"El-Darb El-Ahmar, Cairo Governorate 4294010",012 07273747,Not available,3.8,896,Cairo,https://maps.app.goo.gl/YU6zkg31VjDMaJkXA,27R8+W9 El-Darb El-Ahmar,30.042313,31.265937,https://lh5.googleusercontent.com/p/AF1QipO19csZOA-9sRZMXt7tGlYqJxH6HqbOGOmffZpO,https://lh5.googleusercontent.com/p/AF1QipNK7Pfn-hFdkVdfgOc_xkyC3twGqCPrzc1WLcWV,https://lh5.googleusercontent.com/p/AF1QipNy_icqCkYV72T4lraE6w8QYLrDk7oVP5HgqDFX,https://lh5.googleusercontent.com/p/AF1QipOvZE6ZrmD0orzjabEqLtQ096XiqzkZhCu6Lftl,//:0,https://lh5.googleusercontent.com/p/AF1QipM0o6eFikm0mf-OJiNm93N4BpRnDz_V0-XL0vAF,https://lh5.googleusercontent.com/p/AF1QipMM1eOOUFmI8HWkXOb4jhA82QDFHEuoKMRsA82c,https://lh5.googleusercontent.com/p/AF1QipMRATm80u8zdqcPbOlh1z9V2xmpJ1ai7RcXac70,//:0,https://lh5.googleusercontent.com/p/AF1QipNwZXGyUHxkjwy4IX_WyUs8hbBgLK-PVQ_Ezuwt,https://lh5.googleusercontent.com/p/AF1QipOpRGSOosJDLm3oEnuxKi4-yCcreuMOGLvITOEv,https://lh5.googleusercontent.com/p/AF1QipNrl5qib68YJpvIExIDZk2h4Jzcq4f0lAaTGu91,//:0,https://lh5.googleusercontent.com/p/AF1QipPKyRJXKWOjFMfP3pRDUR2XA7eZI1n0WI0FVj0-,https://lh5.googleusercontent.com/p/AF1QipOU0k-B3P2NW-VgWbbclaSxW1Ofp0voJnnEu6bX,https://lh5.googleusercontent.com/p/AF1QipP3AIYVs0-88kz4tJlFKKvB6MTqZyMk2iccPfh_,https://lh5.googleusercontent.com/p/AF1QipMb_eADVxhZtbyf2CZDH8pyU9dXqYSbw7flw56f,https://lh5.googleusercontent.com/p/AF1QipNZh61m_PN7ODmSKXtLI1OXgA333PNcWdvx4m_w,https://lh5.googleusercontent.com/p/AF1QipOAnXzd4xQtLKOR5MViF9lfrHi3CUfDVsJ5T9MV,https://lh5.googleusercontent.com/p/AF1QipPOl3qG6B326hQDyCeJAdRj3kVuLibkPrLL2rDz,restaurant,Manshiyat Naser,Meat dish restaurant
Nitocrisse Restaurant & Cafe,"10 26 July St, الفوالة، عابدين، محافظة القاهرة‬، downtown, Cairo Governorate 11511",010 96769726,Not available,4.7,362,Cairo,https://maps.app.goo.gl/5QiayFL8muWnMLhCA,362V+XR Abdeen,30.052437,31.244563,https://lh5.googleusercontent.com/p/AF1QipN80-jBolY-7jSaiNnG48moU1EajgPudPIsSB1Y,https://lh5.googleusercontent.com/p/AF1QipNn4qagDINunUDvAi7ysOvfqK_j-lvzHsRgoh9s,https://lh5.googleusercontent.com/p/AF1QipPUZ9PajuMbddmOta31c2MHVE08XdGrtMI_9Thz,https://lh5.googleusercontent.com/p/AF1QipMRcvkKefevryH_vE-G73UDHvnk41WAcC4s7xV1,https://lh5.googleusercontent.com/p/AF1QipMhd8EpvTlCAVNfBIndQ_IV9-A5nLRsE8pHLclX,//:0,https://lh5.googleusercontent.com/p/AF1QipO6mL1xbn53BCe6vub0nodUYt_XoG01b1VU8fLy,https://lh5.googleusercontent.com/p/AF1QipPFfpgpd620g1_D48rM6Vj1nVD5kkLs9w-L4ghl,https://lh5.googleusercontent.com/p/AF1QipN3OGMY9mvZ4wAakHqO3Y_mwIhLpN7eNiK8prKn,//:0,https://lh5.googleusercontent.com/p/AF1QipPKfsIXauntwYfhKo8LpElchVhjcSFh-5wDZ1U,https://lh5.googleusercontent.com/p/AF1QipOpeJVWqnQWumo-AF96PgvHLb2N9PrANnnH6Mn-,//:0,https://lh5.googleusercontent.com/p/AF1QipOUCjGa8_cUaLGMIe0skj98H-KF-IED1lCdbCgg,https://lh5.googleusercontent.com/p/AF1QipOsP4UuOT70HvJhWgCFxCq6Gq_1FxSc0TTK91IE,//:0,https://lh5.googleusercontent.com/p/AF1QipMOkLtqi3E1CCUVQskEq7B0mhxKJQ9heoKegb4z,https://lh5.googleusercontent.com/p/AF1QipOYm-7-8JXKs7skW8fNq8HTMKMGRX47KHW9nUDw,https://lh5.googleusercontent.com/p/AF1QipO8oSS6qYbZdqupc3WHUAQ6stoR9Py5ES5JF2sO,https://lh5.googleusercontent.com/p/AF1QipNOx5hkpGCt6uYkrdIJAuE2VGBb5LPGOpA9UBjY,restaurant,Manshiyat Naser,Izakaya restaurant
Valencia Restaurant,"26XR+P67 1 سكة الفضل, Talaat Harb, Abdeen, Cairo Governorate 11613",010 95246018,https://www.facebook.com/Valenciarestauranteg,4.4,180,Cairo,https://maps.app.goo.gl/uFVAGKpi1suQ13ax7,26XR+P6 Abdeen,47.049312,-123.759438,https://lh5.googleusercontent.com/p/AF1QipPvxVTQ5GMrqmCPNE2VuKzJKjqKEmW-eCusWBYg,https://lh5.googleusercontent.com/p/AF1QipPe5CUGWznajyFmiDA7492A1ioPVJ_WD_kRTHAR,https://lh5.googleusercontent.com/p/AF1QipPyNEyVg1xLgAdlJnzWNojPzPVYsb089F8huo6e,//:0,https://lh5.googleusercontent.com/p/AF1QipMl4xwo7lFPrgwaLW09TDrkzKCydoW_qRMREDmq,https://lh5.googleusercontent.com/p/AF1QipNPygGfm7Owg4fIHu4-TuvOYdP-uODm3T77bnmf,https://lh5.googleusercontent.com/p/AF1QipN3ng32_FzKm7TdGJ9zVBLoJCGg3L2MVeuvWSUv,//:0,https://lh5.googleusercontent.com/p/AF1QipP_UjjfxkxwCCiwbGHqN8M2yopSHQXhHpYsoJ-Z,https://lh5.googleusercontent.com/p/AF1QipOy20Y38o71isnlLZhnzxrYXxlmS0k_ziALy1C8,//:0,https://lh5.googleusercontent.com/p/AF1QipNuOygn7ubT_uMQwtXZrS4PRnL9u4Kpm2q8HaLi,https://lh5.googleusercontent.com/p/AF1QipO5aNnTbWk_yBl_wiNS4JkyBxG03hhh0D6JAEva,//:0,https://lh5.googleusercontent.com/p/AF1QipOx7gOIbtErlogpvVmuVy5RJi286eN3XRGg3RUW,https://lh5.googleusercontent.com/p/AF1QipNhopQg3QlThrAwNcwCIQm94k0yj64KVh83FvGp,https://lh5.googleusercontent.com/p/AF1QipNrzvqAW3cwSXXSOs9S1CRZCD_dPdFpmNcbg7ua,https://lh5.googleusercontent.com/p/AF1QipOhJ6itUwwA55BpxZ3KSRC5-C87ISYzmN8qAlgP,https://lh5.googleusercontent.com/p/AF1QipMGvdPoJWRCUSSn21RDKjDgnA00K-zQwocts-r7,https://lh5.googleusercontent.com/p/AF1QipNFRSqJuJVr_U3Yg-BD9wi_pPUIJ2hkGurnZ9bg,restaurant,Manshiyat Naser,Restaurant
pitapita,"2 Emad El-Deen, Oraby, Al Azbakeya, Cairo Governorate 4320101",010 01321302,https://www.facebook.com/profile.php?id=61550339056791,3.0,2,Cairo,https://maps.app.goo.gl/t7heHtRBKMiRATtF6,363V+6M Al Azbakeya,30.053063,31.244188,https://lh5.googleusercontent.com/p/AF1QipPp4p9BhQP-L-FduRp5YBr14P7APjum1Qvor2bW,https://lh5.googleusercontent.com/p/AF1QipO9BRcBk27C-idvrrs3JrRfCCAbvsmb16MubYqy,https://lh5.googleusercontent.com/p/AF1QipO42Kp6jimurSkbk15kXsCisw8o8nMBXyPfjmkL,https://lh5.googleusercontent.com/p/AF1QipPrJhjDBAWHrXtI0nxk5aQeM0FcJMD5druIFpzo,,,,,,,,,,,,,,,,,restaurant,Manshiyat Naser,Chicken restaurant
Nasser Sons Restaurant,"port said st., Ghamrah, Bab El Sharia, Cairo Governorate 4333010",02 26742050,Not available,4.5,6,Cairo,https://maps.app.goo.gl/3vfgRj83dGwzrvdaA,not available,30.221063,31.482687,,,,,,,,,,,,,,,,,,,,,restaurant,Manshiyat Naser,Restaurant
LA Chesa Restaurant,"21 Adly, St، Downtown، Cairo Governorate 4280180",02 23939360,elmenus.com,4.3,288,Cairo,https://maps.app.goo.gl/naYjxYPfuyJBHeZ66,362V+G4 Abdeen,30.051313,31.242812,https://lh5.googleusercontent.com/p/AF1QipNybLMFxgJVeN_E_zAUBnUp-zPPOGE2zN1JG-18,https://lh5.googleusercontent.com/p/AF1QipOlUdJk3FZsNxJjd68Tpuk5UMDaEV4XiPqVXeZn,https://lh5.googleusercontent.com/p/AF1QipMr0LT4Qqbwjj6nOmZPqtUzTOdo6UuqrxWrLa9D,https://lh5.googleusercontent.com/p/AF1QipMwL1Dnr0UWVrElL047soAtUzujUpwtSpJY9Nrx,//:0,https://lh5.googleusercontent.com/p/AF1QipOYS_ywYjhj1vk38a7MYlW6tRat45qvkNJtARis,https://lh5.googleusercontent.com/p/AF1QipNilsB7RBQDcoJiqiJ28GBLEHSvRYoGlZzwchgB,https://lh5.googleusercontent.com/p/AF1QipN-iJ1RaL4DP9w5v2C-NPcUWyzCU-lcaJAy1h5i,//:0,https://lh5.googleusercontent.com/p/AF1QipMZhmCcLxx7NTUQFpkiRQNowp1GvAqCYu_pmTHz,https://lh5.googleusercontent.com/p/AF1QipN80WhBV86pmWSEayTBuN0wpZ6Bkb7a9dfsEyWs,,,//:0,https://lh5.googleusercontent.com/p/AF1QipN2FcGj71wkxkZuUY1JycMk51X9JY8dnVahPAi4,https://lh5.googleusercontent.com/p/AF1QipMTRMbkvFoh3lwzdc5mo7aIxLW8GVYd-KoDSman,//:0,https://lh5.googleusercontent.com/p/AF1QipMGENs2E_EZrw-WXlJ2hviRg97q2ZaLF-gEm6HR,https://lh5.googleusercontent.com/p/AF1QipPV2i2bfe6oXyeLN_FZNB4HkaT7xgqfuWYYfJix,https://lh5.googleusercontent.com/p/AF1QipOdaJ77ZEUHnYxBTDBaRZtdBfhg3eE8Ds4hiO7W,restaurant,Manshiyat Naser,Restaurant
I NATS Restaurant,"Ismailia, Abdeen, Cairo Governorate 4272102",not available,business.site,,,Cairo,https://maps.app.goo.gl/5ZWDvyZqMppniV3G6,26WQ+X7 Abdeen,47.047438,-123.761813,https://lh5.googleusercontent.com/p/AF1QipPnN1-1Ogm3M7fMmV7TxX72uXXOPssRJopWwgw-,,,,,,,,,,,,,,,,,,,,restaurant,Manshiyat Naser,Restaurant
ZiZo Restaurant,"1 ش الامام الحسينى, Ash Sharabayah, Manshiyat Naser, Cairo Governorate 4421122",012 73008657,Not available,3.9,392,Cairo,https://maps.app.goo.gl/77yZBQp7SJPwLSa98,"27QC+6X Ash Sharabayah, El Sharabiya",30.038063,31.272438,https://lh5.googleusercontent.com/p/AF1QipMlNNPJmV3N5Yf2fS7C6J4H6Hn-EEqmypl4DXXJ,https://lh5.googleusercontent.com/p/AF1QipOQDnYgL3wsWpKRACjYmFW0HUTfGKgky56oTlcR,https://lh5.googleusercontent.com/p/AF1QipMHEtkZlHEKjENMd5lJSJ69zfJddf-v4LAJVY7-,//:0,https://lh5.googleusercontent.com/p/AF1QipNEmVV2mttEE4NMmeWan0X_-kEgbZl7GNdN63Q,https://lh5.googleusercontent.com/p/AF1QipPgvHByY2PGY2AM86P1HJQEaTO9rwTVxZn4ojZE,https://lh5.googleusercontent.com/p/AF1QipMwQZ5XSKNCS9aVTIm93Kkp7ywNYhRoVGs8NvE,//:0,https://lh5.googleusercontent.com/p/AF1QipNfs_DLa6CN9npuBkJlH8fKKDIbfBPrJOfDwZsx,https://lh5.googleusercontent.com/p/AF1QipM7LrEZ5_YwG5B1VD_rPJ5YDnjdRwj8zbSLpvfb,//:0,https://lh5.googleusercontent.com/p/AF1QipPtXLetTy72CzsdsdqyKbLFSeDfN2copGeUbPjR,https://lh5.googleusercontent.com/p/AF1QipMTlXOwW60uaUmyAFWWBGeHtUm9rU7p8oJi3KqR,//:0,https://lh5.googleusercontent.com/p/AF1QipPBE8u1uYfstdGDNAqL7vzVEfpr-Y55W-5Amu4T,https://lh5.googleusercontent.com/p/AF1QipMCchrOfPG6QsJa1nrTrdR1cgzRrgxstoXnYQqS,https://lh5.googleusercontent.com/p/AF1QipNgIA3V-OVD_JmX1F1RRTWpfDKAW8BplFVCjYVd,,,,restaurant,Manshiyat Naser,Fast food restaurant
Akher Saa,"36 Abd El-Khalik Tharwat, Marouf, Qasr El Nil, Cairo Governorate 4272151",011 52364278,elmenus.com,3.7,598,Cairo,https://maps.app.goo.gl/2XvKEe3bGjXGh73Z6,362R+94 Qasr El Nil,30.050937,31.240313,https://lh5.googleusercontent.com/p/AF1QipPtUqyO1BOyfE6uRnk-xtF0ZLKjk7N2-XQYZpAE,https://lh5.googleusercontent.com/p/AF1QipNa3YggduSevuCvezQidV5qUsCaJgfHcyT_01Jt,https://lh5.googleusercontent.com/p/AF1QipMYeEVlQhWbPHZeYlaQdSxBjWIJpGvvW0Mwkv6-,https://lh5.googleusercontent.com/p/AF1QipPbQ1bnNUWBXfAQ1RBsOWti4hk4oIoqfHjcl7Us,//:0,https://lh5.googleusercontent.com/p/AF1QipMes58fkpmOfWDsS8rz0eTfZNMgndBR3tOqWOpE,https://lh5.googleusercontent.com/p/AF1QipOMwf_WR2OOfH4LBg6yh1Rg536gBDsvo0b7mbFT,https://lh5.googleusercontent.com/p/AF1QipOhOZK0GvVbQiaMsPc9GtK624h3sBPNN5MjJ-JL,//:0,https://lh5.googleusercontent.com/p/AF1QipNN8Vh1Rxlef-qLYI2uzm9Llk-3bKm0biKkrjyn,https://lh5.googleusercontent.com/p/AF1QipNSQOmDlnl8G7vq73Ck1kyj_jzrDp6Gtq4FYg,//:0,https://lh5.googleusercontent.com/p/AF1QipNs3tnvQ46V052hSQTNe06htucJ2GnmpBJciuzo,https://lh5.googleusercontent.com/p/AF1QipPZKgMMn67UvJhU2Qn-fPpQTRz_L1pnHJxO7p1v,https://lh5.googleusercontent.com/p/AF1QipPK1vw8XzpKKSCToNmxQYhlyWV8lr8JEJrkYduN,//:0,https://lh5.googleusercontent.com/p/AF1QipNa3tWO1eUuD3cc13DUcRuOEjsdqB-3GoHzOD0,https://lh5.googleusercontent.com/p/AF1QipPrtgb99wQbOODRxR5fDcVkG58AIctixV8tKWRR,https://lh5.googleusercontent.com/p/AF1QipMBoECZGH-AR4yC2M8-qudwOUfoY5sT8Ei5tm7z,https://lh5.googleusercontent.com/p/AF1QipN38_YChyUjAs3L3-Hqc9H3TSrMg4aStfF2rg,restaurant,Manshiyat Naser,Fast food restaurant
