Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطاعم الصباحي للمشويات و المأكولات البحريه - بيراميزا,"Al Mashayah Al Sofleya St, Mit Khamis WA Kafr Al Mougi, El Mansoura 1, Dakahlia Governorate 7650048",29W3+G5 El Mansoura 1,https://www.facebook.com/Alsabbahi.Restaurants/,4.1,"1,921",Dakahlia,https://maps.app.goo.gl/aZ82E9BEv53dqJCAA,29W3+G5 El Mansoura 1,31.046312,31.352938,https://lh5.googleusercontent.com/p/AF1QipOnSC1CWyErtIS2Hn430r8iq2bIVSYgxXMZumQz,https://lh5.googleusercontent.com/p/AF1QipOCFcI7WiPSax_Q2agvqEMYJhrfq6keJFPTZ03E,https://lh5.googleusercontent.com/p/AF1QipPIC4ryn9cGkBENLF4v7SFgQEN14vymPbOA6nki,https://lh5.googleusercontent.com/p/AF1QipNzMh8qDrZZe1gDhLiAoJal-QYEsB4Nq-ToBHHr,https://lh5.googleusercontent.com/p/AF1QipMnUUyamH_0iuC3J-xwj8gYXmHRXw3sTdVuL99h,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPBOoawouAPD5XG6jV9HVCXDb70WZNW6ZEUis9F,https://lh5.googleusercontent.com/p/AF1QipOh8ClWQvsnK5f2iNw4isB6IxbDN1fzDhNk7NDv,https://lh5.googleusercontent.com/p/AF1QipMyxv-YIRyRHb6ukARuiJr1STvyC83yfpEsjH3X,https://lh5.googleusercontent.com/p/AF1QipPFpeOCpR4jIe_HgtDgXaLgvkMjXszx3Zo65KuQ,https://lh5.googleusercontent.com/p/AF1QipMEgRnaOGc7pYMtAVUFfaD4jfOjiRJWudVVugqu,restaurant,Dakahlia,Restaurant
Salt Restaurant,"29W6+PF2, Al Mashayah Al Sofleya St, Mit Khamis WA Kafr Al Mougi, El Mansoura, Dakahlia Governorate 7650048",010 30903999,https://www.facebook.com/salt.restaurant.eg,4.4,71,Dakahlia,https://maps.app.goo.gl/bSC5ptk4MaXuKf8bA,not available,31.046062,31.362313,https://lh5.googleusercontent.com/p/AF1QipOMtuDkYb_Q1eA-jf43N1rcCCXxnfqqMQZ1tJox,https://lh5.googleusercontent.com/p/AF1QipMG2d_3Tf4DNGzLYev-aXo4qsFX9aISRfOu8mnj,https://lh5.googleusercontent.com/p/AF1QipMQykJNXf2JIWfDTxutwNy7eOyMppnO83RdcyX2,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNF2SY4gE652nt8YX1_beuWNdIwipu3B9I449Fh,https://lh5.googleusercontent.com/p/AF1QipNQByw03BAXoS5ogj3GjL84xYYDBJ-NUyE22qKL,,restaurant,Dakahlia,Restaurant
Oliver restaurant & cafe,"Al Mashayah Al Sofleya St, Mit Khamis WA Kafr Al Mougi, El Mansoura 1, Dakahlia Governorate 7650042",010 20307979,Not available,4.2,402,Dakahlia,https://maps.app.goo.gl/ezdLGVKEDUhnrkCg8,"29W6+87 Mit Khamis WA Kafr Al Mougi, El Mansoura",31.045813,31.360687,https://lh5.googleusercontent.com/p/AF1QipPsfiNMAcuDzmJL8m6dA38GMc84RdPw31RC4DKD,https://lh5.googleusercontent.com/p/AF1QipMb6XLIJqkig8yXiXTAxuxZA_Z--bikwoUDuurj,https://lh5.googleusercontent.com/p/AF1QipPDVafryKUhgwR5p-QGGd-yq9LjKR2irFAEfcam,https://lh5.googleusercontent.com/p/AF1QipMvfJoLruo0V4ls5dc_KlhzXB_RzvWCQ6xMTB4G,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNX6ju-VRyoh0_DgOJZF2gNKTL5l8whblHvYAUr,https://lh5.googleusercontent.com/p/AF1QipPpgAPTyGDSTWdCEJdwLcIZ2EaVS-FmefS33UW6,https://lh5.googleusercontent.com/p/AF1QipP2xghGo7yv4u-erMLRkXzhFkCjUNMcfZeuVJrP,restaurant,Dakahlia,Restaurant
Mac ‘N’ Pie ماك ن باى,"Elmohandes Ahmed Al-Hoseiny Eid, Mit Badr Khamees, El Mansoura 1, Dakahlia Governorate 7650015",29Q4+54 El Mansoura 1,https://www.facebook.com/Mac.n.pie/,4.4,771,Dakahlia,https://maps.app.goo.gl/QmtWMaTURUQuAKdHA,29Q4+54 El Mansoura 1,31.037937,31.355313,https://lh5.googleusercontent.com/p/AF1QipN9JlaKgKPon_LNlZiM109JOFXc3DII4CBPP4iH,https://lh5.googleusercontent.com/p/AF1QipPXzVk6LcXmWuwSIjJLr_m-6iQj177sngi_m3lj,https://lh5.googleusercontent.com/p/AF1QipPdu12NUsyl3wlXp1NTztA8_bZEiZjqpxyg0DWy,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNTUQX3o2BP6SuXrfdTRgmLHtwisxDOvbStIG7a,https://lh5.googleusercontent.com/p/AF1QipMfQ7sSXRE0AMCFR4aejDwAxaLthRHnPvwCikhY,https://lh5.googleusercontent.com/p/AF1QipPS01RmpVv_Dmo7xAp7sx1i0R1Z0ARSdAWExf2b,restaurant,Dakahlia,Restaurant
كشري تومه - TOMA,"29W4+7Q5, El Gomhouria St, Mit Khamis WA Kafr Al Mougi, El Mansoura 1, Dakahlia Governorate 7650040",012 21559320,Not available,4.2,872,Dakahlia,https://maps.app.goo.gl/b1ny6RAhkX9hkWC98,not available,31.046250,31.373750,https://lh5.googleusercontent.com/p/AF1QipN-FQkNErdZJ70Gmcue81WieMfi7GUGGrSS3gfm,https://lh5.googleusercontent.com/p/AF1QipN6EQPyUEc5bZWQz3JOlVItPjIiuvkm6Osu_8U4,https://lh5.googleusercontent.com/p/AF1QipOvURTkUhNo07lOH2Sc__AdDuBNR-RnVO7d4sPv,https://lh5.googleusercontent.com/p/AF1QipOWZ_cVu747q9XlIBqxYNVcahGavuA7ui_gfloC,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNZcb1FyAbSG89V5rEAAZT0HY2w4BLXGDg7OgiS,https://lh5.googleusercontent.com/p/AF1QipOFFiX8J2elWMHesA5SvIN3OUOPbKT58l0y0zA2,https://lh5.googleusercontent.com/p/AF1QipMVQWISKeAq4TI_fXUOJBrgViQRyFV2KTss23rL,https://lh5.googleusercontent.com/p/AF1QipNovLoZ48glOiB0WNnGfaQudJkZ0npMXpVGyd34,restaurant,Dakahlia,Koshari restaurant
مطعم البانسيه للمأكولات الشعبيه,"V76C+R2G، Unnamed Road, شيوة الشرقيه، أجا،, Aga, Dakahlia Governorate",010 66414695,Not available,3.8,28,Dakahlia,https://maps.app.goo.gl/vx8W719fRAwhhRVXA,not available,30.862063,31.270063,https://lh5.googleusercontent.com/p/AF1QipPoWK5wnPwkNOOX8hBW7RsV4hFW7vGGqSsMxj9z,https://lh5.googleusercontent.com/p/AF1QipOfS0FU6quMlBtqPQ2Nxqtm1JcPN2rasijMKJ-_,https://lh5.googleusercontent.com/p/AF1QipPhNBMy_vBZj3_uqfDvOWF3CiM9EVXrQPrvFBnm,https://lh5.googleusercontent.com/p/AF1QipMOI1FOUtvmcO63JULY5L4VEt5zoQdEd-rqKYEg,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMtQASzooB-mTYrVfaKWD7yYj3MG1LJmGZeazKc,https://lh5.googleusercontent.com/p/AF1QipPwV6Ck1RIw7B_GdC66hMaDE_Mb2OwV2eOMlvIQ,https://lh5.googleusercontent.com/p/AF1QipMVYU5rYSQemA4oc9Jq-JzIyheIiBD7NkUJs6S3,,restaurant,Dakahlia,Restaurant
مطعم اولاد ذكرالله,"R63P+8HH, Mit Ashna, Aga, Dakahlia Governorate 7530094",not available,Not available,3.8,45,Dakahlia,https://maps.app.goo.gl/2BhpLKKaSMzvznwA9,not available,30.803312,31.236438,https://lh5.googleusercontent.com/p/AF1QipPxz0NoJp_DEXPz9Qx44YUBkaIQhKiOFMfD2prc,https://lh5.googleusercontent.com/p/AF1QipPr9TXekdN1VCAzGgbWVA-J3T5dzXDpuJja6eLL,,,,,,,,,,,,,,,,,,,restaurant,Dakahlia,Restaurant
Buffalo Burger,"El Gomhouria Street In front of Faculty of Law Dakahlia, 35511, El Mansoura 1, Dakahlia Governorate",29W3+8M El Mansoura 1,thebuffaloburger.com,4.2,"1,244",Dakahlia,https://maps.app.goo.gl/Qo3i6rFPmBosTfCM6,29W3+8M El Mansoura 1,31.045813,31.354188,https://lh5.googleusercontent.com/p/AF1QipNipM4dKhz7zHr36XNo5vOFp5qmRg-MPydDIhSe,https://lh5.googleusercontent.com/p/AF1QipPcimuayidOJZo6_SwJ8AUDGSFyp83apFHco6Je,https://lh5.googleusercontent.com/p/AF1QipPPSH1sB7sBqTXSULmag-p90L3FMbBQptQzQbIj,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMMnz3CagKRGUNhyrNYIi-4NWDaPzLXHVKvHr1R,https://lh5.googleusercontent.com/p/AF1QipP-EvyHCnX066cmYjhsBHORyoCxibhNSq3REhKq,https://lh5.googleusercontent.com/p/AF1QipMZA94uooO4y79n4nCX51gqRG_84h1WubTOB7d8,restaurant,Dakahlia,Fast food restaurant
Oregano,"ش سعد زغلول ب توريل الجديده ش فيلا، المحافظ, Dakahlia Governorate",3C62+FX El Mansoura 2,http://www.facebook.com/oreganomansoura,4.2,807,Dakahlia,https://maps.app.goo.gl/DmGQyoRS4Xmh3htE8,3C62+FX El Mansoura 2,31.061188,31.402437,https://lh5.googleusercontent.com/p/AF1QipNBX4V9ov8yy0RGGjLSs546K5VwbN90VK7fGG5H,https://lh5.googleusercontent.com/p/AF1QipMB_7YZGzXQMOrmLBNPNkHS0jJ-kfzE80poRzd3,https://lh5.googleusercontent.com/p/AF1QipPPqWHQzRsfffvtDXtT1xnxwFH-hdtRft1X23TE,https://lh5.googleusercontent.com/p/AF1QipMWi7gJrPc_MZoEk7r5IuCCKORytEZsym6LFAY4,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNwRUhrkBAcNu4EvBY875PUAIAeCtz4cciU1aif,https://lh5.googleusercontent.com/p/AF1QipOQ1qJP7kVx2fi249eWp7MP-R9z1E1VOcUn0utP,https://lh5.googleusercontent.com/p/AF1QipN80LJE5KtIsXkN3iWRfEU2g-GOoqgM3NSGuDb1,https://lh5.googleusercontent.com/p/AF1QipO_2qpVNra4FdQLWiRddoNaqipqz8v0YBmrnvvp,restaurant,Dakahlia,Fast food restaurant
Ketchup Restaurants,"44 Gehan Al Sadat, Mansoura Qism 2, El Mansoura 1, Dakahlia Governorate 7650150",29Q6+5J El Mansoura 1,https://m.facebook.com/pages/%D9%85%D8%B7%D8%B9%D9%85-%D9%83%D8%A7%D8%AA%D8%B4%D8%A8/383267135159365,4.0,"1,464",Dakahlia,https://maps.app.goo.gl/DLE6UBFAiT7NwS5M9,29Q6+5J El Mansoura 1,31.037937,31.361562,,https://lh5.googleusercontent.com/p/AF1QipOTZt2EL3BCw9LuHdUUXu0vRTlbNzYOCQAUACUb,https://lh5.googleusercontent.com/p/AF1QipOCIE2_TrK__48sZEw6Be7dGy-NSQxaFzcyCiY1,https://lh5.googleusercontent.com/p/AF1QipPjgwmQ1d9UV6LfnKf8Fx2MQenLkzAN79sV8OvK,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO8PkjODxXgUzJsVtHjeYNP-jJFzrB4nFRxNB7E,https://lh5.googleusercontent.com/p/AF1QipMDhGShGADQ6HKyi7mZvVvQ69sgOJXKTmKMBqG8,restaurant,Dakahlia,Fast food restaurant
