Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
McDonald's Damietta Branch,"141 Sa'd Zaghloul, Corniche ElNil 141 سعد زغلول, كورنيش النيل",02 21600377,mcdonalds.eg,4.1,"1,770",Damietta,https://maps.app.goo.gl/8KTgL96e2ZPkaJpw8,CRC5+CJ Dameitta Second,31.421062,31.809063,https://lh5.googleusercontent.com/p/AF1QipN2bUTAPH2uwSOk-NtFRO19cAGYyJPgg2PYnbJp,https://lh5.googleusercontent.com/p/AF1QipOa_oY68aj31ZuyLBV0YIF3O2s4Zj93_xopg7k9,https://lh5.googleusercontent.com/p/AF1QipNAVZnd65mI57El2TdfsyAjCPyNESldaSs-m2P_,https://lh5.googleusercontent.com/p/AF1QipM7BHPhvYIko1vpLAN_ySlHGZX36OjKRduMi_md,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOESxBgV7lR906f-_pYpIDwiSIXKPQih_-Fu0D_,https://lh5.googleusercontent.com/p/AF1QipPkyDdOk59Uc35OXNMtXkOERqciwXVv_UFamSob,https://lh5.googleusercontent.com/p/AF1QipNWvGEiPwFgKDsTCRaH7HPKoW9rDj1baaCKx86P,restaurant,Damietta,Fast food restaurant
BabElhara,"El-Tahrir, Qism Damietta, Damietta, Damietta Governorate 8040307",0216483,babelharaegypt.com,4.2,"1,051",Damietta,https://maps.app.goo.gl/5d8anQd1uKA8bgNv7,CR66+4W Damietta,31.410312,31.812312,https://lh5.googleusercontent.com/p/AF1QipM1YugliLkD-oDh8bkBku12EH0_SCCEfzfhd_RH,https://lh5.googleusercontent.com/p/AF1QipNDTuvo1Alp1TPsLRV0dup7cYIHnhuf90XUoKuT,https://lh5.googleusercontent.com/p/AF1QipNX492CxJUNxFeI0rPnT0eSKXqEhwP1JzIHFT8G,https://lh5.googleusercontent.com/p/AF1QipPxTUfUR5ouHyWXURQ6PFGiSnKtjBzfS_dyMOD4,https://lh5.googleusercontent.com/p/AF1QipMHLYwMSTL-stvmqrMc3BHrgSWBbCg7ZGAh1QU5,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNvRekQqvJY1EJb6_-Lv5hapVvXMGCJJ-54zI18,https://lh5.googleusercontent.com/p/AF1QipO3WzK6KRZdukOG2UI_BCWFtu32eUMRUGIivBcZ,https://lh5.googleusercontent.com/p/AF1QipPX85TMjyIuB9a1UEYv4rzT4qRPaRvd02lnU-yV,restaurant,Damietta,Restaurant
Estacoza,"91 ش الشارع, Al- harby, Shatt Izbat Al Lahm, Damietta Desert",057 2330828,Not available,4.2,"1,612",Damietta,https://maps.app.goo.gl/pq5SBReVKGoG5Ucs6,CRQ2+7Q Damietta Desert,31.438187,31.801938,https://lh5.googleusercontent.com/p/AF1QipMIjCK6KoMh8rak8uot1WlxES3VuytAHng6ky16,https://lh5.googleusercontent.com/p/AF1QipMLe6NHz1bhHpYEieb0LxkXpMkmwqUaSNM3lw8A,https://lh5.googleusercontent.com/p/AF1QipNqYqkdjJynEkB3-HHW1idE3-2Grz-2ek0ernz3,https://lh5.googleusercontent.com/p/AF1QipOLsnQXUVFR06HyxZo6MMHZQiH0q-zSg7bpwPGE,https://lh5.googleusercontent.com/p/AF1QipPZWX74-1WY9qDzAll_kha5Jd1kVUYMVi4GI-hG,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOp90il8vczToHJy3VZorBrWBEeHGvvWajqV21U,https://lh5.googleusercontent.com/p/AF1QipPsfNWAdFMAiMBr4pNprpnhsFRXFxPwEv0PPtf0,https://lh5.googleusercontent.com/p/AF1QipNMo0Vwg1p4-BBaynBeHv1fHPryFoYO_gMsX34c,restaurant,Damietta,Seafood restaurant
Al Kelany Restaurant,"CR98+P64, Fekry Zaher, Qism Damietta, Damietta Desert, Damietta Governorate 8052211",057 2326472,https://www.facebook.com/alkelanyvillagebarbecue/,4.1,"1,880",Damietta,https://maps.app.goo.gl/TRBF7jDsHbQt2jRQ6,not available,31.419313,31.815312,https://lh5.googleusercontent.com/p/AF1QipN8YBXFXQ2efRG8dxGoGvNxVENzVdU86vREU2pW,https://lh5.googleusercontent.com/p/AF1QipMj_GRV-CpCma4yoMH9dbGzY3O0Xg5RqoCTC0Vw,https://lh5.googleusercontent.com/p/AF1QipMGeQdnKJLUBVFw5E6Jlg2QzLuKXsWVDsfkjkVo,https://lh5.googleusercontent.com/p/AF1QipMZ084hfsXvlsH6H-zdWUWgJUrZB9y5hs-rEXl0,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsSUg3Ex9oCriLfexQcSJ3iFAXZDxaj3atKj5p,https://lh5.googleusercontent.com/p/AF1QipP2AJEi7xTiheyQSilwe3ukyvg0aABKBjFj0cHC,https://lh5.googleusercontent.com/p/AF1QipO2wqtqls7ugcyfsPVgI-ZWz_LtD7pDpf0cjHn4,restaurant,Damietta,Barbecue restaurant
KFC,"Qism Damietta, Damietta Desert, Damietta Governorate 8041122",0219019,egypt.kfc.me,3.4,984,Damietta,https://maps.app.goo.gl/1HsWequdr6fgrfNC7,CR86+CQ Damietta Desert,31.416063,31.811937,https://lh5.googleusercontent.com/p/AF1QipOV2SlI9ywwU3yyahwucIDO1BpFj_4A_4vWk7AX,https://lh5.googleusercontent.com/p/AF1QipPTWU536IG1PgbfUbNyuNIIkzNEg1eXXjK525jB,https://lh5.googleusercontent.com/p/AF1QipP9NZpNmScPGqQHICT27HTH09REc1did2pYSEQt,https://lh5.googleusercontent.com/p/AF1QipMt94YXG4YWmOYNKvXA5aAOg2l3R-BKQK6K_XiR,https://lh5.googleusercontent.com/p/AF1QipOqISaGqLbYNuYbdv3WXHi2xI1umeK98His5OkM,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMF7X9Mw8CjHDeU3F7uT5qZT-wvBEXjaYQq94uA,https://lh5.googleusercontent.com/p/AF1QipP0uXL-7V-wxpDnpA2MkiT5g6j8yHRc_dyGc22A,https://lh5.googleusercontent.com/p/AF1QipNTyh4Y1rTR8Xm_V9VjCoUAHiWRMog0a7jL-1We,restaurant,Damietta,Fast food restaurant
Banadora Damietta branch,"CR99+CQF, Qism Damietta, Damietta Desert, Damietta Governorate 8042112",010 05545811,Not available,3.7,154,Damietta,https://maps.app.goo.gl/9qyjmXKCwp9ga6dR9,not available,31.418563,31.819437,https://lh5.googleusercontent.com/p/AF1QipPQD_kOSf9txAfwyR_rx5XcgvVkNHXERUwIHsJr,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOUTWIvBLVEx_A9nEs4dBnrrHCqyJCc-7Qou-EG,,,,,,,,restaurant,Damietta,Pizza restaurant
Café Suprēme - Damietta,"CQR7+72Q, Damietta El-Gadeeda City, Kafr Saad, Damietta Governorate 8035301",010 22226686,Not available,4.3,436,Damietta,https://maps.app.goo.gl/T6gGDb52U7Nv6jgo8,not available,31.440688,31.762563,https://lh5.googleusercontent.com/p/AF1QipPlN_KI3G02eY3xoVJ0jeeS9SVccLWeq3rg7eny,https://lh5.googleusercontent.com/p/AF1QipNtPIrmlXGYINFi3VoQz-yN6VXDYuNPWYeLcZD9,https://lh5.googleusercontent.com/p/AF1QipP7BNdFfXrL4ydl4q5PQAqMU04vahWRLgrF6Gpy,https://lh5.googleusercontent.com/p/AF1QipPykffFElML9trFWUPeMOB19r9iUvWf7j-TcD28,https://lh5.googleusercontent.com/p/AF1QipMJsXil3UyV2TAPAH-mH5JfFmbqxna1iqUjRy2e,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNG3KjJnTACBkzNr01GWObaTE9OfZdc8Otk4d_h,https://lh5.googleusercontent.com/p/AF1QipN9cZduxpoLl8Z5gM1QdvhJ0zGiODf3JuvajNxZ,https://lh5.googleusercontent.com/p/AF1QipNCCZxTkDRYYRfGj34UIwBU6Zb-wadLqYxM1tNq,restaurant,Damietta,Izakaya restaurant
ROYAL CLUB,"Damietta - Ras El Bar Rd, Qism Damietta, Dameitta Second, Damietta Governorate 8051223",not available,Not available,4.4,436,Damietta,https://maps.app.goo.gl/3eCsJUDDCFPjGaQM8,"CQMX+35 Qism Damietta, Damietta Desert",31.432688,31.797937,https://lh5.googleusercontent.com/p/AF1QipOa5M-gYnEPjh9stvGA09ytXRs0xYRzip9pSe4W,https://lh5.googleusercontent.com/p/AF1QipNtZnmY--yFle6ZDJbQpRiAe3HDqh7DrdApHEel,https://lh5.googleusercontent.com/p/AF1QipPgU3jYBKNA3Ow7KI_qSsx91Va3zUbhePQo2vKC,https://lh5.googleusercontent.com/p/AF1QipNCER1YMY4v1h2Ib_Ijrbyn0aU8xWHSz5CoRk4F,https://lh5.googleusercontent.com/p/AF1QipPbhSm376Dy4rJXTTf5a5a2wr0Ihf78VEs4A6_z,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPew1A99dklL9gRl0BfxKX0-Xv_eV8fqeLKkKJR,https://lh5.googleusercontent.com/p/AF1QipNtRFCHcGMWt3x0sqlRAXNb9pFhagPC8GTC9Src,https://lh5.googleusercontent.com/p/AF1QipOFYoWC_b0sOyEu1ivP98Zfs1NK6nrbPEIXgLnY,restaurant,Damietta,Fast food restaurant
مطعم عاالفحم,"Qism Damietta, دمياط الجديدة، Damietta Governorate 8040303",057 2416510,Not available,4.3,774,Damietta,https://maps.app.goo.gl/tYtxoj2EW59PvhMYA,"CR57+C7 Qism Damietta, Damietta Desert",31.408563,31.813187,https://lh5.googleusercontent.com/p/AF1QipMz6TUfBmYqIfUT_z48e8Fg7imugOhpm8_fcbJN,https://lh5.googleusercontent.com/p/AF1QipMBdSZZma7dnICb3AS89TTQiTkpZoxKGAB7tg_V,https://lh5.googleusercontent.com/p/AF1QipNCtLlKpZ0Q3XEYNF7TcnmAAgwF-b6oQuUPSTaF,https://lh5.googleusercontent.com/p/AF1QipOmoQKyEbx56_HDeLcj0wfabecVkyM-XnNDxrzw,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMSRswoXplJMWTR3RvyYpyaq6ocFn4xLBIBSYy7,https://lh5.googleusercontent.com/p/AF1QipOkJMcx0Jy1_ur0ehplEdANyiAbJbbOEPhgAhDn,restaurant,Damietta,Barbecue restaurant
XYZ RESTAURANT,"بجوار المصرية للاتصالات, برج سكاي لاين, كورنيش النيل، Damietta Governorate 34511",016765,xyz-egypt.com,4.2,648,Damietta,https://maps.app.goo.gl/SjHZgMrZwwDWfxkt9,CRF4+X3 Dameitta Second,31.424937,31.805188,https://lh5.googleusercontent.com/p/AF1QipMy0rK3gh0XFE7nFkhKbp5f880Uv6j4PG6o_Og1,https://lh5.googleusercontent.com/p/AF1QipO5FsHngLHRDsO33GWSlJy-I0Qe2pJY1u9pTASB,https://lh5.googleusercontent.com/p/AF1QipPAdDajr2ZwgBcYq8kWbb1VfXAaHQVCKia2LoQY,https://lh5.googleusercontent.com/p/AF1QipM7I2gsu1j2r5pDWGWPeKKvrt9gD74ibVyxVF3T,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOvBs46quLSacP8AiUCSkaQRVuaAUQvEiPgBhJt,https://lh5.googleusercontent.com/p/AF1QipPu6_QsDSRMuu0rqlT44N0KcQD7UynXCA8COzDK,https://lh5.googleusercontent.com/p/AF1QipMuT6uVoiKXX2TJT32nEvCH5prPR63qAAgdqc-e,restaurant,Damietta,Restaurant
