Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم مفرح المسلة,"المسلة, شارع Gamal Abd El-Nasir",010 17176721,Not available,4.1,177,Fayoum,https://maps.app.goo.gl/APXVod4VUY6Hjgk5A,8V83+PC First Al Faiyum,29.316812,30.853563,https://lh5.googleusercontent.com/p/AF1QipO-LNIoJxDm55Fcf-BJbK27DHJOXO4QCi-u_g6U,https://lh5.googleusercontent.com/p/AF1QipMpfBzvmJUrkEM4ajMpjImXRpysq7_zT9JLSb6b,https://lh5.googleusercontent.com/p/AF1QipPG4FQiqGaUtorAmmWtlC4crTpn_PydwuRnNVfi,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMrWUc2y6MemHyyjdAvl3VdEqKYd35_8YQs4yls,https://lh5.googleusercontent.com/p/AF1QipMzs3USpnnwzXDg4AtPZ-nr0IQFTB1rMJcXguQ,restaurant,Faiyum,Restaurant
رست الفيوم,"طريق مصر, Faiyum Desert Rd, Faiyum, Faiyum Governorate",011 49210004,Not available,3.7,553,Fayoum,https://maps.app.goo.gl/MHvz94zFDhxC2zuh8,HW2H+27 Faiyum,29.550063,30.928187,https://lh5.googleusercontent.com/p/AF1QipNxvMA-uzkgpfOwZMZODcVL_wEQxYUJasuSAlnz,https://lh5.googleusercontent.com/p/AF1QipOJ_julyNOdOn9gc5g-kynE4Sdw41m315tREo42,https://lh5.googleusercontent.com/p/AF1QipNkNSahpN2whgCtpShLjc4lJOwremUA1o-plS24,https://lh5.googleusercontent.com/p/AF1QipMF1FRgLO1cm9uxlvXSvGzZn_kivH4uea9LzLvf,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOn4E1h8W2JnLmqiRja4AujPtHToqDtLzXwqST4,https://lh5.googleusercontent.com/p/AF1QipMMwm2KqLzd-SZusarkrAd25Tz0pLbF7cbt2_9l,restaurant,Faiyum,Restaurant
كشري المنشاوي,"Al El-Horeya, Qesm Al Fayoum, Second Al Faiyum, Faiyum Governorate 2923063",010 50185551,https://www.facebook.com/koshary.Elmenshawy/,4.0,753,Fayoum,https://maps.app.goo.gl/4V2BgEnct8DCFHTy5,8V33+GJ Second Al Faiyum,29.303812,30.854062,https://lh5.googleusercontent.com/p/AF1QipP6gOwup4mE3jDIPTUdIFJrEhkrZuvpiwVVORuL,https://lh5.googleusercontent.com/p/AF1QipNJfuJodvgIMOzU-yoB4d7E1zc0T1PHzdp4mcp-,https://lh5.googleusercontent.com/p/AF1QipNqauWLLU_pZmhWHdzOc9ADSpoPjbCAkhy4ixxt,https://lh5.googleusercontent.com/p/AF1QipP9CUKybx5du13FBD1UEeI52qC2cTuQNqI5ONAY,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipORC6hXm45t4cpu0eoFMHZAJPpoWrWinuYpuHHW,https://lh5.googleusercontent.com/p/AF1QipPDIzSqLowOXMNUq0R8c3iQBGdRZvXyTtzeL9Ke,https://lh5.googleusercontent.com/p/AF1QipM0zBmL9f4fiwh56Xaf_eawQeoUQu-9Ej-LDTMM,restaurant,Faiyum,Koshari restaurant
مطعم الطيب,"The Ring Rd, Monshaat Al Fayoum, Faiyum, Faiyum Governorate 2931301",not available,https://www.facebook.com/ELTAYP.FYM/,4.1,"1,183",Fayoum,https://maps.app.goo.gl/sYMMEJAXacewJC1HA,7VV5+63 Faiyum,29.293062,30.857687,https://lh5.googleusercontent.com/p/AF1QipPcPkBesS60B3b3GPp2KDRx3cJbuBmVUVzAELBU,https://lh5.googleusercontent.com/p/AF1QipNrs2soO7RTpEh4jwVxdSn9P7kuW2bBNLrpEU96,https://lh5.googleusercontent.com/p/AF1QipNjwsIa55daOnbg1yJIpkX2V9mOxLUwDLb70cWV,https://lh5.googleusercontent.com/p/AF1QipOvlZqNyKnGz5IutTFHrIk-xU931NJqnBKeQwjg,https://lh5.googleusercontent.com/p/AF1QipNxwdVfQvtxl_btgKoKJ6Q3tvud7gUSMCBF1bEq,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPiNFFapMI8ensFM0qg84KgPJFI7qIKaVeq53zH,https://lh5.googleusercontent.com/p/AF1QipNlRyAUay0K11Tk-U3pH_Td99TkgxBmEOdZuzbM,https://lh5.googleusercontent.com/p/AF1QipMk0T3qtIhjQNmaWDkrJSM8dkpgSieSuNnzmrqf,restaurant,Faiyum,Barbecue restaurant
مطعم بهية,"Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934234",010 22211615,Not available,3.9,963,Fayoum,https://maps.app.goo.gl/e6GyKtZnjK69yzk19,"8V72+XV Qesm Al Fayoum, First Al Faiyum",29.311250,30.856250,https://lh5.googleusercontent.com/p/AF1QipO4v8zYJZ9NKsixD7Th0XBMlHVjKdtSRI6Xd9dG,https://lh5.googleusercontent.com/p/AF1QipN4ghksPAfBzPi3LzOguHO9fALIPvuXMzoD2u2J,https://lh5.googleusercontent.com/p/AF1QipNLhlgZ38r_tpzsxWpylZqnCe2HGJ6NMBtRNUM5,https://lh5.googleusercontent.com/p/AF1QipPqujg9iQ6u7gfVAj7fzjPO93O5KJOuEKNI6EWu,https://lh5.googleusercontent.com/p/AF1QipNspC5Z1Cperz86VxkO1hlPc0CY03iwbV7GTW3r,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsK3ud8UfABHYEImKmETPk87cqjCVWj444CAFU,https://lh5.googleusercontent.com/p/AF1QipOLSEXKuLAjDR4nv7T_rYG8okGZDdw2h90-EbbT,https://lh5.googleusercontent.com/p/AF1QipOf5ch5SmkC7Ad4tCV2j8vLpU_C0VZBJjqX4fsP,https://lh5.googleusercontent.com/p/AF1QipPF1GOQJluTSryCMsvHOrjLuACgj8ojdEiFhDQl,restaurant,Faiyum,Restaurant
Rozana روزانا,"المسلة, First Al Faiyum, Faiyum Governorate 2934316",010 30393274,https://www.facebook.com/RozanaFayoum/,3.9,481,Fayoum,https://maps.app.goo.gl/5oFGByCckkN4FZgB7,8V83+45 First Al Faiyum,29.315312,30.852938,https://lh5.googleusercontent.com/p/AF1QipNW1E4HLsvqShTU7F6kfvb8492S9de5hKrB1ar6,https://lh5.googleusercontent.com/p/AF1QipM8uk5irDLDdMWhL_zubn-h9xicFgobIcY_yOuz,https://lh5.googleusercontent.com/p/AF1QipMhHFMGxlAuYQAWtSkvg4XJs-ix7gz5naCpsvRW,https://lh5.googleusercontent.com/p/AF1QipMrZbXjCjfByFeljV4em46WAWs3Sk3L0HS9gAI-,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN_j6VestDnwBr3fw1t4GNVQKYB0v3lukmE7nRW,https://lh5.googleusercontent.com/p/AF1QipNuQs1v_HTdH4N69JGKQeaBMy1Oe5TegBgdqElz,https://lh5.googleusercontent.com/p/AF1QipNPiXrBE9OXldFIyv6qidgZYI1SPtJLpPqsEbS6,https://lh5.googleusercontent.com/p/AF1QipOy2UiFlg1Qn_4D701yicORrkfbufqozMQB0mIp,restaurant,Faiyum,Fast food restaurant
Primo Resturant - مطعم بريمو,"Taha Hussein, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2933144",010 12709000,Not available,4.1,509,Fayoum,https://maps.app.goo.gl/2D6iaetf56ZbWvka9,8R9R+R9 First Al Faiyum,29.319562,30.840938,https://lh5.googleusercontent.com/p/AF1QipOmBHSWwl3GFVhsVKknrV04Pibwmo_zbTST6Rw8,https://lh5.googleusercontent.com/p/AF1QipO051aezNQf8Dzjj0NxFpQzo-XYmjMXVxcmyLSE,https://lh5.googleusercontent.com/p/AF1QipPCtVjpAecaWBTWqHhxOMhRWxU6o4P_XIndYjk4,https://lh5.googleusercontent.com/p/AF1QipO8zgPVx-L4AJOPia92YtBMU4caIzCMhM7VP8dX,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPHJJCsfFrwKKCKGXFglCHv1Ns0u44qYczEirH5,https://lh5.googleusercontent.com/p/AF1QipMpJdazLHeFnVF9036SCI7Q_bfzBKXJVFNc-ym0,https://lh5.googleusercontent.com/p/AF1QipMDc9Lew5AqoYbna-2JNfeN8ieeHybog1070ZOw,restaurant,Faiyum,Fast food restaurant
Wings Restaurant - مطعم وينجز,"المسلة، First Al Faiyum, Faiyum Governorate 63511",010 13385712,Not available,4.0,824,Fayoum,https://maps.app.goo.gl/qwEpagDAV6F3hc7W9,8V82+2V First Al Faiyum,29.315062,30.852187,https://lh5.googleusercontent.com/p/AF1QipMEtYtDTb5hdygsBgw-t0lkHybSIa4T3GPY1vDs,https://lh5.googleusercontent.com/p/AF1QipNBdfAbE2G5iwwpN7VjRuPv-CN2csciYKpdIbJn,https://lh5.googleusercontent.com/p/AF1QipMYxuaumb-DxNehtnVC9kY7n6oPP0IhV7QrVFVf,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMT6K0ppcg1nBBHGxNQPiqh1Ygozg0LtD0org9t,https://lh5.googleusercontent.com/p/AF1QipPV0YREG0KyRWyLdOOZk7GBjtbaxc9e88ywLr7A,https://lh5.googleusercontent.com/p/AF1QipMd-mX-PCY-Z5jqRCeBoJsGgV491X7ayyB5XEB3,restaurant,Faiyum,Chicken restaurant
Ozzi Restaurant,"El-Khalifa El-Maamoun, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934001",010 94900700,https://www.facebook.com/oozygrill/,3.9,995,Fayoum,https://maps.app.goo.gl/Xz38wYdReDJ5FSCk7,8R5V+QG First Al Faiyum,29.309438,30.843812,https://lh5.googleusercontent.com/p/AF1QipOgNXwzbbsjtvX6Tskyq5Rn0OZzL0vTMX6ss_vw,https://lh5.googleusercontent.com/p/AF1QipPEz9gVfHeceS5VP8vJ96Zm4dfAHsWJje2ggWFv,https://lh5.googleusercontent.com/p/AF1QipM6LgpyZXF2t3Ace6C7wJqD0L3kvb8eTPJQ_r-U,https://lh5.googleusercontent.com/p/AF1QipMQAXiExW9Iq2WaJTJR1fVlaGoUqJNnQhi7ivJi,https://lh5.googleusercontent.com/p/AF1QipMnCWZB6VmXkT_msSkMZaXq0V_5MzdYixW_hOs,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMDVY4iQrJ64FMCh9A-MpRa0vgjn8MchIcqrStE,https://lh5.googleusercontent.com/p/AF1QipNdU-7WSWFFXr0AuqNvH_6NOiv4wrE6ZrXSzLff,https://lh5.googleusercontent.com/p/AF1QipPZwiN1vuPu_hh5Xjrm96niXtuhlVAZ_7GNy5cl,restaurant,Faiyum,Barbecue restaurant
Tamam Cafe & Restaurant,"Gamal Abd El-Nasir, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2934246",010 90300049,Not available,4.1,225,Fayoum,https://maps.app.goo.gl/XdDBo8SdRUNuM2hA6,8V93+4P First Al Faiyum,29.317813,30.854312,https://lh5.googleusercontent.com/p/AF1QipP_kASv7vIeRxw3_qAeZAWdgWOFaEd5kw_M9NwF,https://lh5.googleusercontent.com/p/AF1QipOhSGEJlcs92BKJsl3BoEp7bIdEydLWB82kJpvF,https://lh5.googleusercontent.com/p/AF1QipORDKB9lZHSFcsxiG_Y48A232CvoYeD2-_6Zjjt,https://lh5.googleusercontent.com/p/AF1QipP7IdjCCcykZ-1GxKQ-aHCB0aV4sLR-kB_mFUeE,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPoDrlfyUVg5EyuuoS2JvofrvETY7yLoftfgph4,https://lh5.googleusercontent.com/p/AF1QipMMzMqmvAS1CYZPkC-ZB_T8kDeMAL1PSPvxV24X,https://lh5.googleusercontent.com/p/AF1QipOUidMpAHFl0GAx-oNu7Kz44t6eabHXRthU3ZDK,https://lh5.googleusercontent.com/p/AF1QipOsY_rvpKiN48QNZ3m_C90V4u_VpmZlqToAUlV0,restaurant,Faiyum,Italian restaurant
