Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم الشريف,"El-Rawda, Al Mahalah Al Kubra (Part 2, El Mahalla El Kubra, Gharbia Governorate 5840207",not available,Not available,3.9,15,Gharbia,https://maps.app.goo.gl/Q2NWd32eNKnTQvXA8,2FH7+C4 Damanhour,31.028562,30.462812,https://lh5.googleusercontent.com/p/AF1QipPTxGX_2LdusOSoqH6sbOW7H1cVRaonm60JT_48,https://lh5.googleusercontent.com/p/AF1QipORpy9up08exTsZQ57K3mc-jCK2PkOP4DEeZOv1,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPaoNiGf2XtVCMV1_7xnAv8IDv0jzDXiY4eNU7Z,https://lh5.googleusercontent.com/p/AF1QipNoc3Xr-bL5d9fMwi93QdQSOig4TXGh94huqVsT,https://lh5.googleusercontent.com/p/AF1QipPhZ9Gblgt5Rqp13pLB0mQlGOjNy8RjSrHWsJKg,restaurant,Gharbia,Restaurant
Toskanini Restaurant and Cafe,"RX9R+5JM، طريق خرسيت الجديد, Tanta Qism 2, Tanta, Gharbia Governorate 6645652",010 25177036,Not available,4.0,"2,228",Gharbia,https://maps.app.goo.gl/wZZKLPiVsLvMxGZi8,not available,30.817437,30.987563,https://lh5.googleusercontent.com/p/AF1QipNGQ7p8GdCPuiZd7VsvpXpf3mhHzz4EXXrTqOYo,https://lh5.googleusercontent.com/p/AF1QipONZcyGM_6Y_z5e-KmG7a5vAYU053t_wYD-EeGc,https://lh5.googleusercontent.com/p/AF1QipPxUyvle0h6FwPXJMqLsf0qHsiA26Rc-8Ukn9KY,https://lh5.googleusercontent.com/p/AF1QipN8wCpPqFU0pjuvaaE1lVgSYfqG6YUAOi5DxVRN,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNc1lTotSJyu8ITgBWr82rONTgf2oWQ1735Rmf3,https://lh5.googleusercontent.com/p/AF1QipMqh6KNX3gMiQnJkCS5-uT5FZt_QjiP7-j2IST5,https://lh5.googleusercontent.com/p/AF1QipMcGKKsEfwOs4sYnrje-J5rJHQWSNLN9sD0iK20,restaurant,Gharbia,Izakaya restaurant
Meat Point,"Al-Ashraf St. Facing Outlet City Mall, Tanta, Gharbia Governorate 31511",040 3290243,http://www.facebook.com/meatpointkb,4.5,407,Gharbia,https://maps.app.goo.gl/3zF9bkzJwYeegoU28,Q2X5+25 Tanta,30.797562,31.007937,https://lh5.googleusercontent.com/p/AF1QipPmOChdO-IpPivvalxHfL8JsHR9I7Be6cqbd4Uq,https://lh5.googleusercontent.com/p/AF1QipNVBYwIGxJg8N1Y3EoNK31rA655hI6nTjZNxc69,https://lh5.googleusercontent.com/p/AF1QipPYN5GQlUGHR9nMCyrtGrRnLwfRTsT8A5RBddNb,https://lh5.googleusercontent.com/p/AF1QipOf2_r3tOID5H3ngNYG9jiXH51SONP1czuh_xPP,https://lh5.googleusercontent.com/p/AF1QipNjE88EqGiLkUa93unOJ_Mjtb1xQ14TeB-OshpK,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOEtEoOTfqDTjrkD3Y3tuhzwKIt6QpPpAU4XM1J,https://lh5.googleusercontent.com/p/AF1QipP6LexEiN18WSZMy8Xu1Gzjkr9fq8G-4qLRQ1_3,https://lh5.googleusercontent.com/p/AF1QipNbrzvm31StU4ljDw0x8xQoHiWFoWEpgvuV2ik3,https://lh5.googleusercontent.com/p/AF1QipPaAtH1fgvUs_fl1k3cg3D66yclpXU4Ug9U60lx,restaurant,Gharbia,Meat dish restaurant
Familia cafe,"RX8V+3MG, Tanta Qism 2, Tanta, Gharbia Governorate 6634023",015 51380085,https://www.facebook.com/familia.cafe1/,4.4,54,Gharbia,https://maps.app.goo.gl/R9u6abKuJ3C3u3LV9,not available,30.815188,30.994188,https://lh5.googleusercontent.com/p/AF1QipN4_QoNTz57mlW5rClMT5n3caoCiuqbSc1ZPzmG,https://lh5.googleusercontent.com/p/AF1QipM3UDKog3Kcn0LMsG9PeU31najtsY8xfbLhEXfC,https://lh5.googleusercontent.com/p/AF1QipP1Xiu0OiY5-A_Qttu8qYv4ZkzINm8Zver97dNl,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM0pFCjR2rmGa-MDzGc-Fc1HAtW66OmGU8Y7gR_,https://lh5.googleusercontent.com/p/AF1QipN7foaFGQTOAuSXRsGadf_yKSMZ3esS6CpLJzax,,,,,,,,restaurant,Gharbia,Restaurant
BolioBero café & restaurant,"Q2V2+CJW, طنطا ش سعيد مع, Botros St, Gharbia Governorate 31511",040 3325100,http://www.facebook.com/BolioBero,4.1,130,Gharbia,https://maps.app.goo.gl/DZ8RAqSqF2bKcQJp8,not available,30.793563,31.001688,https://lh5.googleusercontent.com/p/AF1QipPjCW57pd6AgcXc_FZwVycqqeDPweZK9y31QuY-,https://lh5.googleusercontent.com/p/AF1QipPsmHvxzTIxtwa3anFUS0ZXZdjo_HLnSwngL-LH,https://lh5.googleusercontent.com/p/AF1QipMYx4wrVm5q3dsTNmljSG31PY_5IM4DmqxP7gG5,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO71F3R7E1BTyaU51hE0gT1P0vzWhfi6KryQptN,https://lh5.googleusercontent.com/p/AF1QipNfgnIY4Xj4zA8vyZ3Hb2vMu8T7LSpoblbbAqe5,https://lh5.googleusercontent.com/p/AF1QipO_vXZfTROOubbUAhp6ijjYgZRcie3Orq77w-AD,https://lh5.googleusercontent.com/p/AF1QipOr_xsh2dtp133JBEGNhnkvOIHdjdI6sKTadBW0,restaurant,Gharbia,Restaurant
Amwag Seafood Tanta - أمواج طنطا,"Q2V6+VW7, Al Kornish, Tanta Qism 2, Tanta, Gharbia Governorate 6632545",010 93292944,https://www.facebook.com/AmwagSeafoodTanta/,4.4,852,Gharbia,https://maps.app.goo.gl/HwDJsvHfQU48wuJn7,not available,30.794938,31.012313,https://lh5.googleusercontent.com/p/AF1QipMnLRFwfPyouLwpVusgqQEvWDJFfcFABRRF6YGw,https://lh5.googleusercontent.com/p/AF1QipOMJrZ8ZfoNbQMLvnHn8DO2b1ti_p1gkr6p5DSW,https://lh5.googleusercontent.com/p/AF1QipNKJrYrQaaETu6FFnBgLeooQFovlVPLp-9-kSu_,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPOE4wW2K5j6XZYbefKrtimj4d8FMWPf4oawzuI,https://lh5.googleusercontent.com/p/AF1QipPV2f1Sazs7iGSJfz3x3c5QJmbDRHsQ7tj9HB9s,https://lh5.googleusercontent.com/p/AF1QipPMSrWr5UbgVCKtOpb9ITQVxI6rFSTjbJTkCh7J,https://lh5.googleusercontent.com/p/AF1QipPKoy0SyM1x4cwjmkJlbtPWNmiydOuF86dDKAjQ,restaurant,Gharbia,Seafood restaurant
Porto restaurant Cafe,"Tanta - Alexandria, Ad Delgamon, Kafr El Zayat, Gharbia Governorate 6614220",010 11827090,Not available,4.3,9,Gharbia,https://maps.app.goo.gl/gugVfiYJbbhdpfea7,RR8J+5C Kafr El Zayat,30.815438,30.831063,https://lh5.googleusercontent.com/p/AF1QipM2lTVGnXlefGLIN-ukB1NIbKweAo4i02ONEhFH,https://lh5.googleusercontent.com/p/AF1QipN1ioKy49sjg0fJ0nIHheBsuavxYYVoJfF2k46b,,https://lh5.googleusercontent.com/p/AF1QipPW6QtXcBzeqFzTG0c2XxNKNJnFxukV8Fj2ugmG,https://lh5.googleusercontent.com/p/AF1QipNamXHquLTJowlYsJZDRdI2T85x_2w_WHz5bfUe,https://lh5.googleusercontent.com/p/AF1QipM2sb0-sCk3hbZJsHYq_D8moNGjaPvpEbTyfNXS,,,,,,,,,,,,,,,restaurant,Gharbia,Izakaya restaurant
Blue moon restaurant,"Anter bn shaddad, Tanta Qism 2, First Tanta, Gharbia Governorate 6632055",015 55171196,Not available,,,Gharbia,https://maps.app.goo.gl/CyWDVpT7cGK17rD77,Q2P2+H4 First Tanta,30.786437,31.000312,https://lh5.googleusercontent.com/p/AF1QipPaXK5YySvCYwn26XClNgMdtbtJsVh0v0mZ0dfy,https://lh5.googleusercontent.com/p/AF1QipNkDvnhY1fWyDygDsVMQJiGY906DGEpYodQEkzr,,,,https://lh5.googleusercontent.com/p/AF1QipMGpjU7-B4azqE3h60YEm85ynEaYyIGCr4xq7Uu,https://lh5.googleusercontent.com/p/AF1QipMHapUn8YiIJx_dw0CZvTu7vqR2CYAnSYV_bY1O,https://lh5.googleusercontent.com/p/AF1QipMOSMXNCliweJZezZWz4bMGX9X5tzvGx_9t10zG,,,,,,,,,,,,,restaurant,Gharbia,Fast food restaurant
sector 7 restaurant & cafe,"R26H+F2M، طريق طنطا - المحلة الكبري، طنطا، الغربية،, Tanta, Gharbia Governorate",012 10301119,Not available,4.2,124,Gharbia,https://maps.app.goo.gl/hLr3JJr2C2AkbYPj8,not available,30.252688,31.464937,https://lh5.googleusercontent.com/p/AF1QipPLSIEt-3l94y4lWG6-Y6iShCerYKmOUG8nkryC,https://lh5.googleusercontent.com/p/AF1QipNyUN0wVgam-DqvCRpvW8xF1gnrEQORoBJaSQo8,https://lh5.googleusercontent.com/p/AF1QipNWB5uBEX9YUfyAvdVs1JgqLgkOQNFAQGkZ9nGu,https://lh5.googleusercontent.com/p/AF1QipN1mkzB0k3GlnWUZvyzHiRc35vYxMmHLmbytoop,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNSm69w96uxgVJtkK5G9WW2kRvBryU63KwbHiP4,https://lh5.googleusercontent.com/p/AF1QipN8bmO5EVhZeZ01D-yTsF-6UaV2C3n_3vUpM3Pd,https://lh5.googleusercontent.com/p/AF1QipPNobYw6NPRc3nijcutcp-ipmsHxA2KMBZNmetR,restaurant,Gharbia,Izakaya restaurant
Habayeb Restaurant,"WRR8+V8F, Basioun City, Basyoun, Gharbia Governorate 6712364",010 12527637,Not available,,,Gharbia,https://maps.app.goo.gl/NaVp9qvQdF3T8Q1JA,not available,30.942188,30.815812,,,,,,,,,,,,,,,,,,,,,restaurant,Gharbia,Restaurant
