Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Nino Sandwich Shop,"الهرم, Nazlet El-Semman, Al Haram, Giza Governorate 3514504",010 01463008,Not available,4.8,282,Giza,https://maps.app.goo.gl/worKn4JoJppzKCSY9,X4GR+7W Al Haram,20.975687,40.142313,https://lh5.googleusercontent.com/p/AF1QipOUrTJ1QF6Aekgr6WvcnLyEeA-Yf5v5oAGi-NEL,https://lh5.googleusercontent.com/p/AF1QipOjU06B5kmPk_soN2MOTTaIZ0MAReYxLLSI4ULT,https://lh5.googleusercontent.com/p/AF1QipNEErdgW3Nad39aq1visbmr27NOVvzPIa8Rylbq,https://lh5.googleusercontent.com/p/AF1QipMpZ80B5GkFai8bi9HAW1_LU3YyP9siCHJhoZZD,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipODYr8aF_PRq-zOMdJ1G0WZqa2s6YTQl95jY_9B,https://lh5.googleusercontent.com/p/AF1QipPpRfIzBtaQ31RYBomRgi_aW-cBRYvQvkm5KaDL,restaurant,Giza,Sandwich shop
El Gizawy restaurant - Nazlet El Seman,"Nazlet El-Semman, Al Haram, Giza Governorate 3514552",010 63960160,Not available,4.5,436,Giza,https://maps.app.goo.gl/PLTFTa9NrRDAz4iJ9,X4HV+34 Al Haram,20.977688,40.142812,https://lh5.googleusercontent.com/p/AF1QipNvTCDiW9pRpWukbOaelOyROv_Q0z905LIHc5sJ,https://lh5.googleusercontent.com/p/AF1QipOeALdKIlRT7KGC_IvfbGMUxRPN73R8zg_qJJ2_,https://lh5.googleusercontent.com/p/AF1QipONjXcHMeLMEHrLQjIOHWBbkC2bQECPVbsSRHu1,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMFDAehsFHDEeNdvFjYS3w69pcGeVLxu6lp3XvX,https://lh5.googleusercontent.com/p/AF1QipMuc3VDFps28ItAZ62TlZe1AW69tZPCQHaT0HRI,https://lh5.googleusercontent.com/p/AF1QipOrnyL4pkIfmcu4SY1Wj8lEyXqN0DjNNdg85mdX,restaurant,Giza,Falafel restaurant
مطعم وكافيه الهضبة,"2ش أبوعزيزة من شارع أبوالهول السياحي الصوت والضوء 2nd Abu Aziza st., Ext Abul Houl, Pyramids",011 50040181,http://www.facebook.com/4HADABA,4.2,"1,234",Giza,https://maps.app.goo.gl/skZQ3r4EoXR1oKbr8,X4FR+39 Al Haram,20.972687,40.140937,https://lh5.googleusercontent.com/p/AF1QipN3zJ6YG6NaPE36Ewt95HR9sgABXTIgibAWD9Hq,https://lh5.googleusercontent.com/p/AF1QipO9E34w5hAKIf3O4u8EMqNUmxT2tk_bfBVlZObp,https://lh5.googleusercontent.com/p/AF1QipPJwpAcrxT6gsepJq8whe_LSwKE-C2ZcLlvW156,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO-delPortsB-F4TB2WI8vGjDJn1gaiWZ2iRDUU,https://lh5.googleusercontent.com/p/AF1QipMFtmYcU0PJyYKRxLSKhzg1Bakb5-AH_ycXZlQi,https://lh5.googleusercontent.com/p/AF1QipM1c4Lb56obUC2aryOT2W7xBxht1cNQWr7LxWO-,restaurant,Giza,Izakaya restaurant
كبابجى نجم - Negm Restaurant,"ترعة والى, Al Kasabgi, Tersa, Giza Governorate 12519",011 11244944,https://www.facebook.com/A.negm.N?mibextid=ZbWKwL,4.3,148,Giza,https://maps.app.goo.gl/9C9FhTiXgNXsiBBKA,"X6F4+RH Tersa, Al Giza",29.974562,31.206437,https://lh5.googleusercontent.com/p/AF1QipOfJZ9GRYosUAx54chmfsSJPeiolG5ZeY4rzViJ,https://lh5.googleusercontent.com/p/AF1QipPfW2-MNjJz_TtsaYwYvxB-0xDjJyhgBMtdj85O,https://lh5.googleusercontent.com/p/AF1QipOqwABxNacwWXl5mb8vLuCi72xHPEvCX6FtJtZV,https://lh5.googleusercontent.com/p/AF1QipOSDZR6VMrFVzwUHxoRlmCqFv6GBvRllaG6enXy,https://lh5.googleusercontent.com/p/AF1QipNZMoOLnmjSOp6AsbpWVOBBtwDssTuVDCjrB4q6,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN3voEsrnbEAq8ReWaJiKWEWqySt2nv7ER0P-Ym,https://lh5.googleusercontent.com/p/AF1QipNANJumXCy5xp1qn6RKAkrleofiGnGpWiOULJQ9,https://lh5.googleusercontent.com/p/AF1QipN3W5aZvt0GDdTlU9NM_KUac82J6be1vMPnpecv,restaurant,Giza,Kofta restaurant
Khufu's Restaurant,"X4HF+8P, Nazlet El-Semman, Al Haram, Giza Governorate 12512",010 80058888,khufus.com,4.5,"1,508",Giza,https://maps.app.goo.gl/6oYWvbxqdeh1CQLC7,not available,29.978313,31.124313,https://lh5.googleusercontent.com/p/AF1QipMsTm1TqcQ0XpN-DuJNjNvXQvT2_zO3SwrVp4tK,https://lh5.googleusercontent.com/p/AF1QipNmsK7dDWFkkO_TJfO7w3NnJnYThiXtkDiorpYR,https://lh5.googleusercontent.com/p/AF1QipPEwTwG-U8MKI9_fsn-FrICZeY9wJ3HkcQplXy1,https://lh5.googleusercontent.com/p/AF1QipNIQCIX5GnMYtSTTMFqf-JWHcRmgFCbBKHVVP2K,https://lh5.googleusercontent.com/p/AF1QipPh8DwKF6fYpN4FTz6GhDZ9NvEV54PGpvNTCP9p,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOKqHjBdwMc-7BzAKJVB0z2LQvDRW1VcE1xJkBK,https://lh5.googleusercontent.com/p/AF1QipOzwvh9blbZ1KIkTVDnyEisrjvt9cjATo2pgeB6,https://lh5.googleusercontent.com/p/AF1QipOnILpP_YWavjvYYZxreMs8B8t1SHFsSUDhcoBG,https://lh5.googleusercontent.com/p/AF1QipP3jNGiMYG7il4C6a56xZpJEows80weDVGA0kmF,restaurant,Giza,Egyptian restaurant
Aspero Restaurant & Lounge,"133 Nile St, Oula, Al Giza, Giza Governorate 3726553",010 50855838,Not available,4.4,357,Giza,https://maps.app.goo.gl/1cpfLK6YXuSDTNmK7,26G9+G7 Al Giza,30.026313,31.218187,https://lh5.googleusercontent.com/p/AF1QipN53lCcMW2er1kr_qdc3snTAn-6vtwVo2z6nCi8,https://lh5.googleusercontent.com/p/AF1QipOMp7Sm8E0IUwgMoDYIrbXDBGVuQUofsMb0lM5s,https://lh5.googleusercontent.com/p/AF1QipNG7wVVhHtIdKwkVy6Ne9aCnWSLXdueGhdz5Fa-,https://lh5.googleusercontent.com/p/AF1QipNke5SdovEiAceYY-lMOurwUkWcMyRhgDPrMSqT,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM1b7J43S5w3tiCjyApx5o4HVVvdQ7r-qfXgLBF,https://lh5.googleusercontent.com/p/AF1QipOMh7ZhrBBjbqWSsSt7ChSzQQBWSWKBznbbONxw,https://lh5.googleusercontent.com/p/AF1QipNpuyJKBBktjf1W_H-XorLLjGAfd47jzdursVup,restaurant,Giza,American restaurant
Mamay Restaurant,"2st District - 2rd Nigherhood Beside Bernasos library and El-hosary mosque, 6October, Giza Governorate",010 29462910,Not available,5.0,20,Giza,https://maps.app.goo.gl/hJsvdZsxTHmWEPGC8,2675+6G Al Giza,30.013063,31.208813,https://lh5.googleusercontent.com/p/AF1QipNFGQEALqfmQ-7vmNOtzmwwot0wdHdENrX7Q-nE,https://lh5.googleusercontent.com/p/AF1QipNNzD5m6BFVACPt17hJWfrLgMdNwOJWnlUm1i_h,,,,,,,,,,,,,,,,,,,restaurant,Giza,Restaurant
MerKaBa Bistro,"15 Abo AlHool Street Giza Cairo, Giza Governorate 12300",011 18733384,Not available,4.1,22,Giza,https://maps.app.goo.gl/nY46D3sbaWWJASUC9,X4GR+88 Al Haram,20.975812,40.140812,https://lh5.googleusercontent.com/p/AF1QipNqcL_X6Qo9hVlWDPNiMc_653BnNXSIBFXkf4C7,https://lh5.googleusercontent.com/p/AF1QipOcgNvLOyFnAm7wkEAHDvDYneDyJEcwe9o1IBJE,https://lh5.googleusercontent.com/p/AF1QipNVEvGgHvcuM2GeOYSBNHB61DzN7gQi2AHKYl62,https://lh5.googleusercontent.com/p/AF1QipMgGsC15OZE4A0hBylj9iAfmoIIYuv9bMzqAOa6,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPPft16ygjuduPc6A0PmUvYjRdj72Cm4uFOM8Tt,https://lh5.googleusercontent.com/p/AF1QipNuv0xcSzttpgdqEWPGIaY-QsQyGRtdE31y8sxr,https://lh5.googleusercontent.com/p/AF1QipM90mTDB5IcPWCZ2cVC6-XkrmBGj5Tyii-4OXlK,restaurant,Giza,Bistro
Restaurant Pyramids,"شارع Abou Al Hool Al Seiahi, Nazlet El-Semman, Al Haram, Giza Governorate 3514521",011 53710000,Not available,4.3,"1,508",Giza,https://maps.app.goo.gl/G1QXQ3qxaC4NrMFD9,X4GR+HM Al Haram,20.976438,40.141688,https://lh5.googleusercontent.com/p/AF1QipOzR5FyGoh0S8_UdPWV5gpnRAMtymtEj6ntOTn1,https://lh5.googleusercontent.com/p/AF1QipNrga8WtCSK5YLDRoXi1fG82PeAgc6AVmM1SxPD,https://lh5.googleusercontent.com/p/AF1QipMSUGyztbUM6dyVVYT1DjiYES_DndCa9MuMxrrA,https://lh5.googleusercontent.com/p/AF1QipMciM_n8JOpv14WyoHzc-n5hAYEwB8v_u_0MLOy,https://lh5.googleusercontent.com/p/AF1QipP0WxGhSka0k1FHAxFDlCA-9MBy3OQoftl4A_Ai,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMEZUkIDiAEdR6-fOKvNmx3qcnEZq3WfAon6aqf,https://lh5.googleusercontent.com/p/AF1QipM-Jz7zwGC1AV4DKQ7LW0hBzsDGQugN0eIDvW14,https://lh5.googleusercontent.com/p/AF1QipM42sz7ErXVhSRFKlXT7F0ONXrIPZMGM6oTnxGk,restaurant,Giza,Barbecue restaurant
Al Yousr El Kababgy Restaurant,"خلف فندق الفاندوم, ٢٤ شارع فاطمة خليفة, Al Haram, At Talbeyah Al Qebleyah, El Talbia, Giza Governorate 3537140",02 35837831,https://www.facebook.com/%D9%85%D8%B7%D8%B9%D9%85-%D8%A7%D9%84%D9%8A%D8%B3%D8%B1-%D9%84%D9%84%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA-1509204992738251/,3.9,248,Giza,https://maps.app.goo.gl/L1ZXRruPAggBzCfd7,X5XG+49 El Talbia,29.997813,31.175937,https://lh5.googleusercontent.com/p/AF1QipN1plFdcj-JC9C9Z-FOkmcy6wqqh4xGCyq9eauY,https://lh5.googleusercontent.com/p/AF1QipMj8bwbIje32A1UFJB5Be1Fm5J1ttcdbxx-WebS,https://lh5.googleusercontent.com/p/AF1QipPLp6HMvNPvOVUabZQgd0ykqn59f9rbCXVYpNMg,https://lh5.googleusercontent.com/p/AF1QipPyNoRZaJFUXxr6kI7owoWth-9rpwaZLabJZWIJ,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPsA_nWJhDnhO5UODhKfPnSf7D7gAmD3gojdTba,https://lh5.googleusercontent.com/p/AF1QipNfts1EWdOzqp4A4Y97CWPIOual1wlr85xJBx8C,https://lh5.googleusercontent.com/p/AF1QipMgeR6zzWSbuyTasoJqCVS0CySKTnNnkRy45t2R,https://lh5.googleusercontent.com/p/AF1QipMHtSGEm6mcYlB65rmlwfmynimRTMRbtEc_tuLY,restaurant,Giza,Barbecue restaurant
