Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Melodies restaurants and Cafe,"اول طريق البلاجات امام سوق السمك الجديد, Ismailia Governorate 41511",010 00041287,https://www.facebook.com/MelodiesRestaurant.eg,4.3,50,Ismailia,https://maps.app.goo.gl/DsFCHg6n9RzYbYUt9,H7J9+GX Ismailia,30.581313,32.269937,https://lh5.googleusercontent.com/p/AF1QipOI0Fu3nlQ1GB-P2oHdnhFHiaUEEMQRTy_cWAWq,https://lh5.googleusercontent.com/p/AF1QipPkvs5u3AogeKVZgACck9gZN4chQZ1nJnP4oYsz,https://lh5.googleusercontent.com/p/AF1QipMUgMZf5h8JoK047vAEHcELbLXjLsZtIkPjKkCB,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOL8aqivAo55rUCsklQZg-ExBF4xrq5nX9CwYEA,https://lh5.googleusercontent.com/p/AF1QipNDmOwFAwMw7ihMMe8JjBh1XLzJjBAUdv6-4FRZ,restaurant,Ismailia,Restaurant
Alfanar Restaurant seafood,"El-Gomhoreya, Ismailia, Ismailia Governorate 8357050",064 3911000,https://www.facebook.com/alfanarseafoodrestaurant/,4.3,"2,261",Ismailia,https://maps.app.goo.gl/W6NLmjbHgpmcnnRdA,H7J9+JW Ismailia,30.581562,32.269813,https://lh5.googleusercontent.com/p/AF1QipPps2_tA6I5Ox9PgI9HP9GbgjjEYp_A6HPZViAL,https://lh5.googleusercontent.com/p/AF1QipPpdD1BVOXWm5POpyvbpCiLBWvUNwnbubNKD5Cp,https://lh5.googleusercontent.com/p/AF1QipO_bwQos04NR5ji6IVuXvr1NdtJCkuYBo2h7Xwq,https://lh5.googleusercontent.com/p/AF1QipMTt1Ot8FcMI5ro7ZpWjjtxBDjb-pWKkzZ_IqF9,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPDW8TNiwOTrmKAPWUFJSM3VoRH6h-Gay0NEWnc,https://lh5.googleusercontent.com/p/AF1QipNq0ejB6YpUepoApnXr_48GTvcx8cBnTcRddqkP,https://lh5.googleusercontent.com/p/AF1QipOEQ0FrGjB8Yj4eXC2YqZujmL5EOwh5EDRo5hkE,https://lh5.googleusercontent.com/p/AF1QipPaIOjxZT3myuE94GJu5X77fSWBMkJb6CIuLiD-,restaurant,Ismailia,Seafood restaurant
Caviar Elkamash Seafood Restaurant,"New Fish Market, Belagat Street, Ismailia, Ismailia Governorate 8356363",012 74030301,Not available,4.1,40,Ismailia,https://maps.app.goo.gl/LH87J6zRuwKPgYBQ7,H7J9+MQ Ismailia,30.581688,32.269437,https://lh5.googleusercontent.com/p/AF1QipN2-BnoigPc2iicNAds3VCbJ84JVQOXgtGp473X,https://lh5.googleusercontent.com/p/AF1QipOle-BA-nQbpIwb9rIkXiUBm_2KM5M4c3B4hGp0,https://lh5.googleusercontent.com/p/AF1QipPtBVMHaA7Ej-exTF4jnhgNxJ2NmBkK1_Hn5x11,https://lh5.googleusercontent.com/p/AF1QipNtt-GYP3uPnZKo1CWlCJmXdk-PwV1nnm04BBHF,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOQ219zZMJUhY-FzkBMoJogt6WNU5AZOs-Nh8HR,https://lh5.googleusercontent.com/p/AF1QipOfTYLvXlm5nhDIKJkcGI1HjU2G_5Dubb8kSgHq,https://lh5.googleusercontent.com/p/AF1QipP7o_UkBR9K3WYFz5ZVcgMQplFKtNGyY9Poi_N7,restaurant,Ismailia,Seafood restaurant
grave cafe and restaurant,"carrefour road, Ismailia Governorate 41511, Ismailia Governorate 41111",010 96106132,Not available,3.9,19,Ismailia,https://maps.app.goo.gl/pCfmeNNoGszvyjUQ9,H7F8+P5 Ismailia,30.574312,32.265438,https://lh5.googleusercontent.com/p/AF1QipP7WHy5bUKpVySgD-uCiz9ZUENUZnUz7Gojd089,https://lh5.googleusercontent.com/p/AF1QipOZbdLMeMcEeIbDV694lmnoue12cvtZwfpUWnh6,https://lh5.googleusercontent.com/p/AF1QipP4Q8G8QM5duJRyyKwG16ZW_Mjy8Sv4fGkT4Srk,https://lh5.googleusercontent.com/p/AF1QipO627F0gMt64On2JdYzIpAc_uH8D3zEvt6hcuqh,https://lh5.googleusercontent.com/p/AF1QipPpYuUJn27P0PTo2vfUTNWC-7Pxzu1mERU4uAr6,,,,,,,,,,,,,,,,restaurant,Ismailia,Restaurant
كيان - Kian,"H7VH+M68, El-Tahrir, Al Temsah, Ismailia, Ismailia Governorate 8361309",012 07088136,Not available,4.0,174,Ismailia,https://maps.app.goo.gl/QtRrV3ViLrKX8r9w8,not available,30.593938,32.277687,https://lh5.googleusercontent.com/p/AF1QipNH1E2avgxfwBBEQpONdvZdqmuneqJgbiQD8690,https://lh5.googleusercontent.com/p/AF1QipMl-7cCX2jvWXUTfFOUiL31qMkBjSVfgbPTOgbj,https://lh5.googleusercontent.com/p/AF1QipPFRgbj-b_pxxRWjeBxL6ENZRKzcRFD31sVOh5Q,https://lh5.googleusercontent.com/p/AF1QipPjQNDlTDZfhQ7PGyasy9nqE6aEnzIfU2qkEI9U,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNvRnDvobudjAP7bhJUaD_px2RH_TPfNTM7JCo4,https://lh5.googleusercontent.com/p/AF1QipP5uhKLb5JQYnb8YEWytf2M2dZfZVm_oBLqfoMo,https://lh5.googleusercontent.com/p/AF1QipPfu01hb96vsb-RVgtXy78Qg-dsNXKNaNhvHIxB,restaurant,Ismailia,Restaurant
مطعم بوابة دمشق - البلاجات,"H79H+W6H, Ismailia, Ismailia Governorate 8356210",011 11883302,Not available,3.7,42,Ismailia,https://maps.app.goo.gl/oDkvSSVHXBvhER7H7,not available,30.569812,32.278063,https://lh5.googleusercontent.com/p/AF1QipN0l6gLXdYOx2PiA6J6uIl-L1PsIdYN3b3ebgoH,https://lh5.googleusercontent.com/p/AF1QipO60DuuwSSei8t_s5kdrriEbE_aIhmlH3xA2bnf,https://lh5.googleusercontent.com/p/AF1QipMVEOg7B2YyaAUsVHRP3voc7KYwYshQNSJ4gS8o,https://lh5.googleusercontent.com/p/AF1QipPKRdMBRvrzihqUIEGWnRjh_gQ1bJPlf9uKsEk_,https://lh5.googleusercontent.com/p/AF1QipM_74gFDUDXJzpPkxXoxOk1BongRrvP9m_t1hH_,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPJUEnBX3Ss5imIJ7Kwv7sWXyPZOeGOWTpFHAXM,https://lh5.googleusercontent.com/p/AF1QipMlpZ_id7cZgKmhaSJNbNvCOIlZDdnrDNtR50pN,https://lh5.googleusercontent.com/p/AF1QipP2BuuRYi7ku3pUChZYK3vGUqKB1v_h7NcC6oh5,https://lh5.googleusercontent.com/p/AF1QipOpTlgSCAfm_7-n5xRY_5onjzMeDg2Du1qugEIc,restaurant,Ismailia,Buffet restaurant
Urbano Cafe & Restaurant,"El-Shaikh Zayed, El Sheikh Zayed, Ismailia 3, Ismailia Governorate 13176",J77G+78 Ismailia 3,https://www.facebook.com/urbano.eg/,4.2,714,Ismailia,https://maps.app.goo.gl/46DTaUaeCzatLWpW8,J77G+78 Ismailia 3,30.613188,32.275813,https://lh5.googleusercontent.com/p/AF1QipMa7j1pTzTp-KXZJTXyrM4reFQqhLtp6FwQL5C3,https://lh5.googleusercontent.com/p/AF1QipOPbgU7xu3CnpgHYqt8DqoYdccN3l3ws5xuHN9M,https://lh5.googleusercontent.com/p/AF1QipPFXoP0HGqBPljEVNarU8lKM0k8HzwuO07UPmh2,https://lh5.googleusercontent.com/p/AF1QipP8tfWik5U0hPnXYestG3hDZRfQXaGvUdY_9EJ1,https://lh5.googleusercontent.com/p/AF1QipOAzoqQmcCiB3u4W6e938nllnEghJKhv1mrRC6t,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPM8s5ofxu5k679sqSNT0ngIqQXn7o5xPjKlIrZ,https://lh5.googleusercontent.com/p/AF1QipOK7xx51rVvjLxl6HqksqbI8Q6OHuNixvix9rpK,https://lh5.googleusercontent.com/p/AF1QipM1K5KxYZ1i4VPlnI3e3msiuriDHhoWIEvEIBER,restaurant,Ismailia,Izakaya restaurant
The Garden Ismailia,"H7QF+FQG، محمد علي, Al Temsah, Ismailia 1, Ismailia Governorate 41511",011 01166630,Not available,3.4,50,Ismailia,https://maps.app.goo.gl/A72jjGL7U79Xe9i99,not available,30.588687,32.274438,https://lh5.googleusercontent.com/p/AF1QipOxiKxc4S3Ne6H8DqEYppxoongsD-yBAtB586xJ,https://lh5.googleusercontent.com/p/AF1QipMbo39F8NG6lNzcOZvaULjadzN9k9DBUUpg4Xof,https://lh5.googleusercontent.com/p/AF1QipOQFUONIEr6EGBXuYS1Z2xNkXHYr_bdHhIE2UMI,https://lh5.googleusercontent.com/p/AF1QipP0Emz2qOG2rwEaLfKPDrejUUuNIrL2Tf0gw9gV,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOj7EWU2epM1R292klNcSziNLYoI8kXpLdpfnQV,https://lh5.googleusercontent.com/p/AF1QipPwqmDhaJwBuMCyJzuVu_8ZqOxfBfFNilXqadUD,https://lh5.googleusercontent.com/p/AF1QipMYVKZtZyLp-oKeEwbrsLWVBO8eS-r_LOJrazFn,,,,,,,restaurant,Ismailia,Fast food restaurant
حسن ابو على للمأكولات البحرية,"16ش الاهرام ومحمد علي، ، حي, Ismailia 1, 41511",H7P6+86 Ismailia 1,Not available,4.2,"9,424",Ismailia,https://maps.app.goo.gl/vMkk5eYEBVvpc6wt5,H7P6+86 Ismailia 1,30.585813,32.260562,https://lh5.googleusercontent.com/p/AF1QipOOS-uf4lYNPNHP8XQhgm2C3PUrg-5x093fn2NE,https://lh5.googleusercontent.com/p/AF1QipNSapJPe2HRphVZFOkaYZ5_kTgburrgcimQt8c,https://lh5.googleusercontent.com/p/AF1QipMLXwqTKzYu68AuN1J-8NESVIvattz8mo5heSYy,https://lh5.googleusercontent.com/p/AF1QipP0fVcF7RkyLtYZg5w9q92yy-VVdFBt9dUH6tOR,https://lh5.googleusercontent.com/p/AF1QipMO7n3Ivz0AY97dCH-jZr82stHAlqPgDVUfs2p5,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPTkK6WctMWc3osBvu5ApIw14WNtCWAszDJ8BaB,https://lh5.googleusercontent.com/p/AF1QipMKCTRE1pIxJ9hOLxBNWuO2pAVNZsJkzGMC7D1f,https://lh5.googleusercontent.com/p/AF1QipO5I2YysabCjM5HA3TwEOUeu9_ECU22_S303cVH,restaurant,Ismailia,Fish & chips restaurant
Haven.Ismailia,"بجوار راما موتورز، 4 شارع إبراهيم، سلامة, Ismailia Governorate 41516",J73G+QJ Ismailia 3,fb.com,4.3,386,Ismailia,https://maps.app.goo.gl/xyrtkXyGN9DAeQ3a7,J73G+QJ Ismailia 3,30.604438,32.276562,,https://lh5.googleusercontent.com/p/AF1QipOTlYP4xgV0czvSU1oOLnZai0l6PNJQt9NwJZWv,https://lh5.googleusercontent.com/p/AF1QipMj0p-7OVty0zsw6xvExd85pSxWwUooQMF_MXfW,https://lh5.googleusercontent.com/p/AF1QipO_kwF-gtchWtQssPcJbhcHd18eq0Qtj9vnHTnC,https://lh5.googleusercontent.com/p/AF1QipPN52p9sbdinxfqxhMZp_Bv_idWjuCLwgO5fz0c,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOfZreRuWtw8o13V7NIjV9jaK6YKNeW_9ZOXxIV,https://lh5.googleusercontent.com/p/AF1QipNTEn3hTjwBtES4tpFPDN4yEWmkImRmZ8NHs-rp,https://lh5.googleusercontent.com/p/AF1QipMU0VJK62PIeIKRy519VLA78Fp2EtH6_bksgu-E,https://lh5.googleusercontent.com/p/AF1QipNa3ZJcsxqTzWcvWPMxcEATZULYIpRNDaGnpoLC,restaurant,Ismailia,Fast food restaurant
