Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Flavours,"Ali bin abitaleb Rd, Kafr Abu Tabl, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860126",015 59909922,Not available,4.8,64,Kafr El Sheikh,https://maps.app.goo.gl/LHBT2MUjKccFRr6Z8,4W2R+XX Kafr el-Sheikh,31.102438,30.942437,https://lh5.googleusercontent.com/p/AF1QipOQIlKRPeHcY90s12HRoCE6HrwJU47t950gupYv,https://lh5.googleusercontent.com/p/AF1QipO33KYZCGGUKmyupUw-6EKm4spLIqv5CVTFUE-q,https://lh5.googleusercontent.com/p/AF1QipMKwvuXJ8bvUnQKIzsET5NO8X-cHhYfQkicgBbk,https://lh5.googleusercontent.com/p/AF1QipPpey0vDZstTSi9IKlMxE2gB8EQ6Mn40CayJOyo,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMvM1jYvT82ZkpoJsWD3ooB_nr0TWO5rNQAwpc8,https://lh5.googleusercontent.com/p/AF1QipPQyo25ls9dY9Zr7nkj_hrfr0yNrUhfLIrAJAZ7,https://lh5.googleusercontent.com/p/AF1QipNgVlLOIGdF7TFCzp_aVEaOdUDGvo0nR3XOlYcZ,restaurant,Kafr el-Sheikh,Restaurant
BAB ELHARA Restaurant,"4W5W+XCC Emirates Bank، El Khalifa El Mamoon، Al Eskan, Qism Kafr El-Shaikh, Kafr El-Sheikh Governorate",047 3240888,https://www.facebook.com/babelhararesturant/,4.0,993,Kafr El Sheikh,https://maps.app.goo.gl/8N9KqCqEY252YUoYA,not available,31.111250,30.943750,https://lh5.googleusercontent.com/p/AF1QipN2WoPYifAVHt-hxfnohheYinOUWwwXFoAJMbcM,https://lh5.googleusercontent.com/p/AF1QipPnp-aqtwKQjI8SsDfbzX4Wz-aJ9s5sZWtAQM1E,https://lh5.googleusercontent.com/p/AF1QipMk_36Ny37MpNk3J4ix-Mb20UtGTiknI6fvyh_s,https://lh5.googleusercontent.com/p/AF1QipOsA1t-yPmYnjmtOR0gCF2L-tPZ6we-5g06A4Go,https://lh5.googleusercontent.com/p/AF1QipP0yBb7-V3HLufKeIDajLXaziJBBEDAn8yrAJJt,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPS1ncCeOw2zasi-3k3le6N4fJnzDSGtANXh3ia,https://lh5.googleusercontent.com/p/AF1QipN6udMfb9TDn5zZbbn2Tlw6QC6lTZf2xH0dOn4,https://lh5.googleusercontent.com/p/AF1QipM4Li3VJQ-OOiGEmB0cvNVeuZBnMv4xNYw-qHDv,restaurant,Kafr el-Sheikh,Barbecue restaurant
Max's egy ماكسز,"El Khalifa el maamon, Qism Kafr El-Shaikh, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860504",011 28395911,https://www.facebook.com/maxss.egy/,4.2,300,Kafr El Sheikh,https://maps.app.goo.gl/CQRH9Bdb4Z4m39cQ6,4W6V+HP Kafr el-Sheikh,31.111438,30.944313,https://lh5.googleusercontent.com/p/AF1QipNAfZhGi0fLxj9pvGTuqABLC5uMqBQZ4PPNrfTh,https://lh5.googleusercontent.com/p/AF1QipOrW1dUirafNKOLlP2Znt77hp2uLYoPI2Fazfne,https://lh5.googleusercontent.com/p/AF1QipO4IYA9olycar9kMrunHlgw-xmHW6Besx5K-_5z,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNyvWV8OgjJYgi7QcxsFpwwB43gOCgSD8I2PnAz,https://lh5.googleusercontent.com/p/AF1QipMYHEseRa65VfDU35u8pcS3bVKZvxu8QRMoT6Wb,https://lh5.googleusercontent.com/p/AF1QipP6DkRryS-P8cyswhUbAj5YPqk3F-GkrQrUMkg9,restaurant,Kafr el-Sheikh,Arab restaurant
بيتزا بلس,"بجوار بنك ناصر, El Khalifa El Mamoon, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860507",015 55422235,menuegypt.com,4.4,80,Kafr El Sheikh,https://maps.app.goo.gl/TtgRztqxLtJDCFKz9,4W6V+WM Kafr Al Sheikh First,31.112313,30.944187,https://lh5.googleusercontent.com/p/AF1QipO26BfNd2jL-5LvSN3FU7HKwLd1cL6utnvKZRm5,https://lh5.googleusercontent.com/p/AF1QipMWTu_m73VJnMcHBa8S6_ILD3HYOJkIYR2MjF6o,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMxZDb5z3c3XE58WN2V6fPAE8ISwYjF04tF2unD,https://lh5.googleusercontent.com/p/AF1QipMcYm2r1CXOWcDKlOP0LhKU-i0NzXu-j3qUb0M5,https://lh5.googleusercontent.com/p/AF1QipPM2flkX9R-hNIm5XiRic71GRkETIi9CtFC3dXb,,,,,,,,,,restaurant,Kafr el-Sheikh,Pizza restaurant
ابن حميدو (F.M),"4X92+H9R الجبالى، دوران المصنع - أمام أبراج, Kafr El-Sheikh Governorate 33511",010 50207580,Not available,4.2,36,Kafr El Sheikh,https://maps.app.goo.gl/ynTKzhLikr6DJXKfA,not available,31.118938,30.950938,https://lh5.googleusercontent.com/p/AF1QipPujSsU301dbphHaVbtC3TsEpYuwvlSxjknarIL,https://lh5.googleusercontent.com/p/AF1QipPiqOMGJSND4E22zyt4Gde3C_zdFQ3PhtVH1OH8,https://lh5.googleusercontent.com/p/AF1QipN7xFKYzgLn-qQuDCpxIouqndCuLXHLkwfQ3Jjw,https://lh5.googleusercontent.com/p/AF1QipMODfBPQuhw31PFSCPNHiEVEgpBrgY6NXDOg9V8,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMp-KuzHyx78Nm4MZGwB4wph4O3iNcjU6Z1-YNL,https://lh5.googleusercontent.com/p/AF1QipPXC4qi0J0p4vE9ZLQnZt4fYh-XTOu31pkIdlqu,,,restaurant,Kafr el-Sheikh,Restaurant
واحة مندي أبو صالح,"بجوار كافيه نابولي ورويال للسيراميك كفرالشيخ - مدخل 47 الجديدة - رافد طريق بلطيم الدولي Kafr elsheikh, Kafr El-Sheikh Governorate 33717",010 10643100,https://www.facebook.com/mandy.abosaleh,3.3,182,Kafr El Sheikh,https://maps.app.goo.gl/9857FX8WGDtwPZJo6,4WCX+9Q Kafr Al Sheikh First,31.120938,30.949438,https://lh5.googleusercontent.com/p/AF1QipPbBFlC1lx-uUSCpi9gBuE1Dj31d1554zBCl3P8,https://lh5.googleusercontent.com/p/AF1QipP0EMxy9_cmjnCiAr6wHPlj1XhKw4eroNt4qwNS,https://lh5.googleusercontent.com/p/AF1QipN7nNNmsS2G0ZFSApgvHS478aqIU8oYA-1WxqHc,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMYuSA0w8bBDfMxOzEchUv0Aj9tH_Mnuw3EBc3x,https://lh5.googleusercontent.com/p/AF1QipN_vJJ2kYkG1weEEam_QVxUH0cn0hZjSCsoMaem,https://lh5.googleusercontent.com/p/AF1QipNETZLzb15FND_FpkQ12pQktphu5ZVxptSyW0AI,restaurant,Kafr el-Sheikh,Meat dish restaurant
Koshary El Tahrir,"4W4W+8FQ, Mubarak Rd, Kafr Abu Tabl, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860129",not available,Not available,4.4,44,Kafr El Sheikh,https://maps.app.goo.gl/DwhUYZ2BJvhE29VD7,not available,31.107312,30.945437,https://lh5.googleusercontent.com/p/AF1QipPt85iY18T7jrTufhyCdOidse_oi64dj48DdUVf,https://lh5.googleusercontent.com/p/AF1QipMYvp-CMvctqTelm-omt-o-96RpO_g70eALHAAE,https://lh5.googleusercontent.com/p/AF1QipNd4qIe2N9pu8dSiEjUxaB_1NLtiBvCk8gujc0L,https://lh5.googleusercontent.com/p/AF1QipMQfw3d9hSoRgR6d5r8uRGPqa7BBAU30igsQ3fQ,,,,,,,,,,,,,,,,,restaurant,Kafr el-Sheikh,Koshari restaurant
Chickers Fried Chicken,"شارع المصنع،, Qism Kafr El-Shaikh, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860660",010 08585041,https://www.facebook.com/chickersfriedchicken/,4.1,415,Kafr El Sheikh,https://maps.app.goo.gl/hmL656hWpU1dEoFP7,4W9X+HV Kafr el-Sheikh,31.118938,30.949688,https://lh5.googleusercontent.com/p/AF1QipPwbSTg1GW5b8_dXFMnNuF2AoQMYp0V4ScV9YnS,https://lh5.googleusercontent.com/p/AF1QipM51u_7WsNhJyEual-eue-L2kzt4lNzmo8CEpc,https://lh5.googleusercontent.com/p/AF1QipMqfBfLYMHsMG7_ZZ4rJwtP552l5rq0milZ3dEj,https://lh5.googleusercontent.com/p/AF1QipM-uV9WG5B8P60WrWq53U0WY4RD7balqbkkEzd5,https://lh5.googleusercontent.com/p/AF1QipPjMu8PA7m6cbP0ZNkZtlZ8j7t5fpjs-7tH2K_2,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPXbiLXt5v-9kYyoGM7PkmWh3q599hAHlogeX_5,https://lh5.googleusercontent.com/p/AF1QipN4v6cahFcf3kjI3AXfp3YS12rTkjpj9yQPTl-E,restaurant,Kafr el-Sheikh,Chicken restaurant
Napoli Cafe,"شارع المصنع, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 33512",010 14564155,Not available,4.0,779,Kafr El Sheikh,https://maps.app.goo.gl/dwz4jTbiASpEN1eC9,4X92+P3 Kafr Al Sheikh First,31.119312,30.950187,https://lh5.googleusercontent.com/p/AF1QipO1d_UYJtXDtAiopaDmxSSRDvuxcrn3vtb2aOxn,https://lh5.googleusercontent.com/p/AF1QipOSlWov3Ld8LjdE6pmVDYc08TdNWz0TGotVJWI9,https://lh5.googleusercontent.com/p/AF1QipNs-pEHiKItZJ2TOByzDllOsX_tn0JZ7TW5k1kQ,https://lh5.googleusercontent.com/p/AF1QipNIF9re38GfDS5oTfB1Avnwax_lSkBSHIF0IFWC,https://lh5.googleusercontent.com/p/AF1QipO34dmbUP7cIdFfQy8zR5hmXvRHHTKnaTmVi1j2,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNQTEmfxKBjE0Mug4j8oxv2Sbf38YlUArJlNmDe,https://lh5.googleusercontent.com/p/AF1QipNfWAia6Tc_Koy4EDOakxxo0-2OszNeebpmKiOQ,https://lh5.googleusercontent.com/p/AF1QipO_YUltQ1alHUNF3qx40rrA-HCFSa6-lAnMIb5j,restaurant,Kafr el-Sheikh,Fast food restaurant
Pizza Express kafr elsheikh - بيتزا اكسبريس كفرالشيخ,"4W5X+G8G, Qism Kafr El-Shaikh, Kafr el-Sheikh, Kafr El-Sheikh Governorate 6860421",047 3249977,Not available,4.1,690,Kafr El Sheikh,https://maps.app.goo.gl/zTDZGMxU3S8CVQx7A,not available,31.108812,30.948313,https://lh5.googleusercontent.com/p/AF1QipMZ0ee6bSgjoDAkktG6y8O9ec9LGB9LS4gdDw-6,https://lh5.googleusercontent.com/p/AF1QipNaYuf6u_9vsxSCR5wjmcb5UCkguY1f5I1wl5O-,https://lh5.googleusercontent.com/p/AF1QipMCI66XWDCgd2ohFpD1uuS1sta8j4Lbzbw7zghf,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM8MLpa7YkGgvq0LxakOTu3tptZaR04Q5vv2Wew,https://lh5.googleusercontent.com/p/AF1QipOWOyhtlMh36yGRY534D8SFxgprn26UN2LbV4vd,restaurant,Kafr el-Sheikh,Pizza restaurant
