Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
AHLLAN Restaurant مطعم اهلا,"https://www.google.com/maps/@25.6885906,32.6217779,48m/data=!3m1!1e3?hl=en, Luxor, Luxor Governorate 85958",010 64128461,jewelhowardcarter.com,4.9,231,Luxor,https://maps.app.goo.gl/Efm5UTVCHMjt5hLe7,MJQC+FP Luxor,25.688688,32.621813,https://lh5.googleusercontent.com/p/AF1QipPlCXc8f0Br2jTkaarb5dNv7ueP4zQXPq-oiF94,https://lh5.googleusercontent.com/p/AF1QipNG0VAWYKpFrg-e_Hj2G3PatJFp3GQcNwrnAL77,https://lh5.googleusercontent.com/p/AF1QipOysWuZD2PFWi8G8aUS_UDu0VbxXXyUgEVovMRK,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOaV0ls6WF5k7IudMI9LijT7WAL5XGJHDh4Mn7j,https://lh5.googleusercontent.com/p/AF1QipMMuOngwlgkv9bCu2yu_ZHoHykd2nXCbmCDFkGl,restaurant,Luxor,Restaurant
مطعم النخيل داخل فندق سوفيتيل وينتر بالاس,"MJWP+HMP, Madinet Al Oqsor, Luxor, Luxor Governorate 1362404",095 2371196,Not available,4.8,4,Luxor,https://maps.app.goo.gl/EwZdGRvUnfuvEwo29,not available,25.696438,32.636688,https://lh5.googleusercontent.com/p/AF1QipPCxySfFhiUNampFMHZxmSMKOS6nf2PhxhkMrm4,https://lh5.googleusercontent.com/p/AF1QipNvVBS2Th19GXyb4dnhOppRVAtfdAS1FNRncfG4,https://lh5.googleusercontent.com/p/AF1QipPqlcyo928WJOItjAb1L_Idb5EXCb4AEeWe5GxK,https://lh5.googleusercontent.com/p/AF1QipNzqSmyv9B7r8EOdBMnS5v1A8Z8nJNg7vUO2-qH,https://lh5.googleusercontent.com/p/AF1QipM61Qvj17H6hhUQP3oSUheE3_pzmQJDel231G7g,https://lh5.googleusercontent.com/p/AF1QipO8vzFlonWIZI1aXCqk8Z76ghE6cITDnL-bZX2I,,,,,,,,,,,,,,,restaurant,Luxor,Fine dining restaurant
BOB Egyptian& Moroccan Restaurant,"Mohaned Farid, Luxor City, Luxor, Luxor Governorate 85951",010 50773411,Not available,,,Luxor,https://maps.app.goo.gl/89orzXLmbVCcXYoL7,MJVV+66 Luxor,25.693062,32.643062,https://lh5.googleusercontent.com/p/AF1QipOzR_Gl2UmJK9xSmxMDilCNQE3-RI0AsUg8QeYU,https://lh5.googleusercontent.com/p/AF1QipOvfRV12hwFNF_gbud8ZNp59qJrxS5ZKzLPir4K,https://lh5.googleusercontent.com/p/AF1QipNs03t2-F9RqWPUh4q7tpHemhUYvFpkVWUfzhRK,https://lh5.googleusercontent.com/p/AF1QipOk2AY9puAuPsszbGtXBBc99baBLPmFGUIIH-S9,https://lh5.googleusercontent.com/p/AF1QipNzbLOtp0CRdksf6bLFuK1ACWTBackWf2M3FHA5,https://lh5.googleusercontent.com/p/AF1QipPmLTuiEVs4eDpLhvWWDMtiLsxNXTsnZhSK9f4-,https://lh5.googleusercontent.com/p/AF1QipOofhefvAhokIDhNGd9HCCbdb5MAViLTZWi_gQg,,,,,,,,,,,,,,restaurant,Luxor,Restaurant
Aisha restaurant Luxor,"Al Rawda Al Sharifa, st، Luxor, Luxor Governorate 1362103",010 07967391,Not available,4.6,707,Luxor,https://maps.app.goo.gl/oq9YACMtZ1n7gzjz7,MJPM+X5 Luxor,25.687438,32.632937,https://lh5.googleusercontent.com/p/AF1QipN2psU-ySrmh09Ib5Jjk_NW0R363Hp4ID1l1e5t,https://lh5.googleusercontent.com/p/AF1QipM-FqDrH2JXu_OBgdUkvR0FpR29fhPGyvfC7Blg,https://lh5.googleusercontent.com/p/AF1QipM1oEBxGO3kbT_U31DAGcOUEp2h4X1ZqcxwafoH,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPtNON1WIruza9ZjuKRrYhEPdNndmMO0sBhjlMi,https://lh5.googleusercontent.com/p/AF1QipMFLCXw2COCs-E74GwT-FbwawnrZ3JX1q1rMzij,https://lh5.googleusercontent.com/p/AF1QipNyKaT6gO3S7Fx-ZbkJQGtPRtTTOoNCPnQo9zDD,restaurant,Luxor,Restaurant
Georgian Nile View,"PJ3R+62, Luxor City, Luxor, Luxor Governorate 1362502",not available,Not available,3.1,83,Luxor,https://maps.app.goo.gl/J7tPSgEwg8xEACf38,not available,25.703063,32.640062,https://lh5.googleusercontent.com/p/AF1QipP93s9merkWiiPejF6pifZWPKyiPHrF9izWr4-r,https://lh5.googleusercontent.com/p/AF1QipP4nU25wChgefVbX-_fwqn26XCvmUhC4CnhKgeK,https://lh5.googleusercontent.com/p/AF1QipP12tD6tJLE7-SDGFtoNUlXfIdtiNPj9cPQUyuR,https://lh5.googleusercontent.com/p/AF1QipOxmkw5NBMwV_pwUF_Ub5kIDIzrfohH41DuEMhN,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNaRm9w2u6Oa5Phvej-0yCU6LapzMDy_N_c_DZq,https://lh5.googleusercontent.com/p/AF1QipM18DSTDnRj-BoMV84ok-wLfUqHxDdrtrKutJHM,https://lh5.googleusercontent.com/p/AF1QipOSZTrENF1pCBRyjX7PvGe1eHXF8qkCziy4hv0g,restaurant,Luxor,Restaurant
SunRise Bar & Restaurant Luxor,"Sonesta Hotel & Lotus Hotel & Steigenberger Hotel, Kaled Ebn Elwaled St First floor ,Front of, Luxor Governorate",010 21580246,fb.com,4.2,253,Luxor,https://maps.app.goo.gl/ZTu85rbVMTHkUddB6,MJQJ+3V Luxor,25.687688,32.632188,https://lh5.googleusercontent.com/p/AF1QipMpGyCiOdb9-pUgBZxJEvfsnPI2bfjH0WS-gvyh,https://lh5.googleusercontent.com/p/AF1QipNZcVWCDGOh_q_YeYD-DhujrAmo8b6gsV6705y0,https://lh5.googleusercontent.com/p/AF1QipNGb-qkFg3gq5MpC3J9AXF6U5o1hP09ldDVrXda,https://lh5.googleusercontent.com/p/AF1QipNLVFFVTF58T84ztObqaP20hXFKAtE3WI7bOzqH,https://lh5.googleusercontent.com/p/AF1QipPa4NVKOBvhD3gHxyvNMYeMNOlGX-IunbwTDhNK,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNwP-gUpzkM030rcqnoHZN0BvRcKCr62P0Z9E5X,https://lh5.googleusercontent.com/p/AF1QipNaGIvMRWogLz2inbJYRrINeLyuxDZfJ0SkDYkd,https://lh5.googleusercontent.com/p/AF1QipPKR-Cwu4pNXa9w44Kzj6iwrN2TGwH_YO-nynAQ,restaurant,Luxor,Restaurant
The Lantern Room Restaurant,"Al Rawda Al Sharifa, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362103",095 2361451,Not available,4.6,271,Luxor,https://maps.app.goo.gl/hjBSgViLkJNPV38Q6,"MJPM+X4 Gazirat Al Awameyah, Luxor",25.687438,32.632813,https://lh5.googleusercontent.com/p/AF1QipNRynMZGFyoG5gC6FT5FtSkYDfpT9lPeD8JxOoL,https://lh5.googleusercontent.com/p/AF1QipPjmYFU9_Z2kwFTuQsYxurPIumxeSKGRH3-N_Ek,https://lh5.googleusercontent.com/p/AF1QipOw-g5Uiyq5vFlcJ91el-p2p4mzf1NreTO7J2kH,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOUiUz6LNpsZT7_XUnrm1y6JpKtU6ZYIP-TyeTx,https://lh5.googleusercontent.com/p/AF1QipP50n1cCo1bwWYk-Qt6QQBTJZ8sFXFk-dshqNHe,https://lh5.googleusercontent.com/p/AF1QipM5t21vUpZK_LNNerTPUJTUkpdyGZvBhOOgYE30,restaurant,Luxor,Restaurant
CAIRO PLAZA RESTAURANT,"PJ6R+P53, Tourist Port Rd, Al Qarnah, Al Qarna, Luxor Governorate 1345270",not available,Not available,3.9,220,Luxor,https://maps.app.goo.gl/tdHGnAXL61N43Mfi8,not available,25.710437,32.638937,https://lh5.googleusercontent.com/p/AF1QipO0vMqbgXlevBNm-2memfseK8gUfE91jSLk8OoY,https://lh5.googleusercontent.com/p/AF1QipMO4pOAbyzj5aqyYyBZJdmwuW20Y2kV22BBOycR,https://lh5.googleusercontent.com/p/AF1QipNio48Kvl5XZ8lMRMBUV8liHuff5l4jHSkrtOrJ,https://lh5.googleusercontent.com/p/AF1QipPKSZjOcV372Qv2q8kalh3hRhxMxg19uKTYmYTP,https://lh5.googleusercontent.com/p/AF1QipNShiC7d3C07SV_Z5reqX5M9oOi5yUzdcwTkI6J,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOzI7tqv42teAJ2UXOguVEIB9cIVyGRX175p_PA,https://lh5.googleusercontent.com/p/AF1QipO_KRu9dYuHxevhb-HZo6l9Qnkrr2BPD2LP87eo,https://lh5.googleusercontent.com/p/AF1QipMWTEM0wylcRe_KszWPqHNPnjqLr8lQvz0sOeqi,restaurant,Luxor,Restaurant
مطعم كويك بيتزا Quick Pizza Restaurant,"Television، street, Luxor Governorate",095 2282002,Not available,4.0,"1,524",Luxor,https://maps.app.goo.gl/pjp9prV5wR5oLPUCA,MJVR+32 Luxor,25.692687,32.640062,https://lh5.googleusercontent.com/p/AF1QipPq9klk8mJc032MRzL0Skr_77Q7OrxE0JYkm3np,https://lh5.googleusercontent.com/p/AF1QipOFKZk8oLiQaqtPuaimRg2hcyWxp4HXN4Whhkry,https://lh5.googleusercontent.com/p/AF1QipMGybKWs7mlCl2aJtY5QK9cWDkiUGV2GEJshRtI,https://lh5.googleusercontent.com/p/AF1QipO-y_71vhkwz28KW_6jV8pMEgQ086wXi_9g77rI,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipONJYByfNTBF97EIIHkR2XjkarpjlBKD8ZEZmin,https://lh5.googleusercontent.com/p/AF1QipOq0C1aO0jjTC5cpWCm3TsOIu-JjGwriKyjyuVb,https://lh5.googleusercontent.com/p/AF1QipNqUh5TR1-_TwNtakQ1QXGy7_QFnpHx5tZ6mhq-,restaurant,Luxor,Pizza restaurant
The Raisin,"MJWM+2XJ, Luxor City, Luxor, Luxor Governorate 1362010",not available,Not available,4.0,1,Luxor,https://maps.app.goo.gl/TGnxwx5QAbGfQvNaA,not available,25.695062,32.634937,https://lh5.googleusercontent.com/p/AF1QipMczIi3sAd4SMvmpHTCY7oAgRB57MAlsCWq9J8B,https://lh5.googleusercontent.com/p/AF1QipOuFCLXwpPiclR3tayLVnyTZdHOqsYGrtmHBgai,https://lh5.googleusercontent.com/p/AF1QipNyytCmab7UwJi8X1kcwC2q-rOn2T2QycAVbpaT,,,https://lh5.googleusercontent.com/p/AF1QipP8exDDwAiGQnKPYRbbysMpfn3G64gFsoZH9Va3,https://lh5.googleusercontent.com/p/AF1QipMMx8PrlWSVTz59Z94BJKpYPzW3YHRlwA1ndg9c,https://lh5.googleusercontent.com/p/AF1QipNA0fNTjGq2lo8locCRik6Bu6z06jSMT1C2v5Mm,https://lh5.googleusercontent.com/p/AF1QipMsJ5rDVBVKGvCgZ-cEuUWis08e9q-ypAriHvIl,,,,,,,,,,,,restaurant,Luxor,Middle Eastern restaurant
