Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
قرية كوكو العربي,"986C+HH3, 31.364235,27.321342, Mersa Matruh, Marsa Matrouh Governorate 51512",012 10000612,Not available,4.5,120,Marsa Matrouh,https://maps.app.goo.gl/DnwGvoFbHJZJcp6v8,not available,31.361438,27.321438,https://lh5.googleusercontent.com/p/AF1QipN0sKb7-NdOcWyL7WvACrFk4SsH0bfmtnnKOhAc,https://lh5.googleusercontent.com/p/AF1QipNC4km36lS1xM45_qeNaDm4-ffFmHHmKRmxbAx5,https://lh5.googleusercontent.com/p/AF1QipPmMKW8gHowzmaJFHA-c4nLw8C1RTyBy5RgJlsB,https://lh5.googleusercontent.com/p/AF1QipPRD5vhKujEpywaPiV-_ToeQ286nDRYLZ1wucZQ,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN4B4LEwzfQ59zwPw4zUGeFV9T-2WfmXkwD2seP,https://lh5.googleusercontent.com/p/AF1QipMOncVUObNdUIAyT8gSQSdBaacszrVvpG41UGAJ,https://lh5.googleusercontent.com/p/AF1QipOTYusrEtjxYF4XQEm1m26ByT4qcOtvv7ZOkqbH,restaurant,Marsa Matrouh,Restaurant
مطعم نيو فلفله للماكولات الايطاليه والسوريه,"965F+GRP, Mersa Matruh, Marsa Matrouh Governorate 5052942",010 09235413,Not available,3.8,80,Marsa Matrouh,https://maps.app.goo.gl/yApCtahXDjdMqgkE9,not available,31.358812,27.224562,https://lh5.googleusercontent.com/p/AF1QipPag4KuHE0T-XDniqBMZErrPha8eUjVmf6zfcj_,https://lh5.googleusercontent.com/p/AF1QipN8E58G2VbEwUF3YzlFMJlTUOYWS7bAfDoSQJ4A,https://lh5.googleusercontent.com/p/AF1QipMJfOnii0e2YAGOyEITuzBg5L5foFlE3ZtJUgcq,https://lh5.googleusercontent.com/p/AF1QipOfknLryndGQeEKC9uvpybY3U5gjoAUOCAY8qvM,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOK0rPCTNb4FB5Tp_1fuKvDc7pFr-4KnB7qZIPy,https://lh5.googleusercontent.com/p/AF1QipOl5ZcXCTsDKjsSQk68dMRsZbMwg_SJMMNb83H5,https://lh5.googleusercontent.com/p/AF1QipPPwIJS_B3gfvQRJlkCVgSgvsGKieVgd911oU_L,restaurant,Marsa Matrouh,Pizza restaurant
Rommel House Restaurant,"5 El Galaa St.، DOWNTOWN، MARSA MATROUH, Marsa Matrouh Governorate 5052935",046 4935466,Not available,3.9,211,Marsa Matrouh,https://maps.app.goo.gl/zDaXCyCrmHTXDxCE9,not available,31.354062,27.233688,https://lh5.googleusercontent.com/p/AF1QipMqz9PgljEcED66Jql8SmQEwxld7Hi2uIs9iWQV,https://lh5.googleusercontent.com/p/AF1QipOSpHiciABBKW6OiIm80m9oB0BtMgooOiBsLtP9,https://lh5.googleusercontent.com/p/AF1QipMsToWhb22nyQrW--R0J3FT0qhLkbxQP6tTzo3R,https://lh5.googleusercontent.com/p/AF1QipPwF5_lpaQz28W_DsAtkOc6BDmGe0MRqHasBFHu,https://lh5.googleusercontent.com/p/AF1QipPSUQuhFoWxkVmYIdq0KY6ALgP3khdqwQm9J7rL,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOL0BbtsS4V_Ev1NMtITFQF_alNC23ywLbVmfkV,https://lh5.googleusercontent.com/p/AF1QipOPUFOY1lBrTWGZQqTgy-8uLfaH7i1_T0N9pOUP,https://lh5.googleusercontent.com/p/AF1QipND0uPrltPDDCtOg5Cha45W0TFHi9shMRu90Dzk,restaurant,Marsa Matrouh,Restaurant
New Sultana,"965G+C34, Mersa Matruh, Marsa Matrouh Governorate 5052942",012 88830313,Not available,3.9,728,Marsa Matrouh,https://maps.app.goo.gl/eaPNHqAv8TBLKbGGA,not available,31.358562,27.225187,https://lh5.googleusercontent.com/p/AF1QipMdmaOKc85C0MUVxr7zRMW2tmTV-Cs4IdnanMt0,https://lh5.googleusercontent.com/p/AF1QipMBj1IIobkyQN-PKeass1qNV74RgdEWQsXfeX1M,https://lh5.googleusercontent.com/p/AF1QipMmX7Y2iUfaKZyRbBTRXRxnFHHoxSyxGu18zaY-,https://lh5.googleusercontent.com/p/AF1QipOPHzbhsuFEMuTpql0fi2mOy4VVTgZxCsDxLYKp,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMxBJle0R6DsPvtsRteB_k8gb3ZvEZeMS2malhG,https://lh5.googleusercontent.com/p/AF1QipOJXyaP11mXwstJqQLV2dHzfwewiKdSyx5NwsnJ,restaurant,Marsa Matrouh,Pizza restaurant
مطعم كوكو العربي,"963V+WCR, El-Tahrir, Mersa Matruh, Marsa Matrouh Governorate 5057012",010 91119058,Not available,4.1,"2,832",Marsa Matrouh,https://maps.app.goo.gl/Df574S3AJK6E6E479,not available,31.354687,27.243187,https://lh5.googleusercontent.com/p/AF1QipN-YK9vKB5OBuzp9b1GvtZhNGhI6cemBl28_LIl,https://lh5.googleusercontent.com/p/AF1QipOog1wYC2X5-hip0uImcQbMvWD6przuM3lI_3lH,https://lh5.googleusercontent.com/p/AF1QipPo3Idh2ckoPRBP30ubBf4zBSTNJ9OjKBB8FHdL,https://lh5.googleusercontent.com/p/AF1QipM6ok4rynbrpIqwp7sVs9W3gHk2lPR5eFTP0AUr,https://lh5.googleusercontent.com/p/AF1QipMDZmC_MillMoeaPLzrmdATZ_3-utEVm_qE0Rq_,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMM88CzCvWf4e9W0Fl5OrfLMv80WWSV98Q9AFw6,https://lh5.googleusercontent.com/p/AF1QipM2s58Zq1RIO0OfqS7c7DnEfMQvFH7svKvLDMrv,https://lh5.googleusercontent.com/p/AF1QipOiGY0yif7uPvpwlBSNPLWVb4_cUTBy1mZN8xPt,https://lh5.googleusercontent.com/p/AF1QipM-amyli4pDOHjv2Aiaaz5NhfkBDn3To74ZOODP,restaurant,Marsa Matrouh,Restaurant
Belle Vue Restaurant,"مرسى مطروح, البسيت",046 4932066,Not available,4.3,7,Marsa Matrouh,https://maps.app.goo.gl/hjq3jjkGesBsjMmX8,not available,30.252688,31.464937,https://lh5.googleusercontent.com/p/AF1QipPEysnv6tmLqPXbSIdQj7g54c_8LaXpUs2wZ1GU,https://lh5.googleusercontent.com/p/AF1QipO8L0ckUOmh1oHtngRJUOgl4nhG3ZMccM4x4gdf,https://lh5.googleusercontent.com/p/AF1QipMXP_ucDlUTLTL7G8YDnpsUbmc57ye4iiPydX0g,,,,,,,,,,,,,,,,,,restaurant,Marsa Matrouh,Restaurant
Arus elsham,"شارع علم روم بجوار شركة اتصالات ، قسم مرسى مطروح، مطروح،، مرسي, Marsa Matrouh Governorate 51511",not available,Not available,3.8,798,Marsa Matrouh,https://maps.app.goo.gl/pwtguuRKqLdEi38z5,not available,30.252688,31.464937,https://lh5.googleusercontent.com/p/AF1QipOqqQR2LduusSwZEdBitAZOSFjNyxfq73-QObCp,https://lh5.googleusercontent.com/p/AF1QipMTH2VMwysZrXzjwTmCrZTfLQEnawQ_t-Y6-nE,https://lh5.googleusercontent.com/p/AF1QipMvZHrT7Z1feXmO7x5aOJaIhcnljSVONWEjTby-,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOXHre8As4F4uezdYrTTKxmqFznJ4GYeVq2Ow2I,https://lh5.googleusercontent.com/p/AF1QipMszUBE8B_33EEWc6AFFwhUUG5D6Frpqx9IlHUP,https://lh5.googleusercontent.com/p/AF1QipP_4RVI1SRm0O-395c4BgA7dIGMJ0ZkIyDPiY5B,https://lh5.googleusercontent.com/p/AF1QipOJHhvFgZdAN7sR0rjJIYDDJLzWZ7ce9W-okSMF,restaurant,Marsa Matrouh,Restaurant
مطعم عمر المختار,"963Q+RPJ, Omar El-Mokhtar, Mersa Matruh, Marsa Matrouh Governorate 5057006",not available,Not available,3.9,53,Marsa Matrouh,https://maps.app.goo.gl/9k3vduay6Yy2QUGV6,not available,31.354687,27.239312,https://lh5.googleusercontent.com/p/AF1QipNfoCAfoVtzUHqfXXcuQtxt72fhyiSio82UZ2Zs,https://lh5.googleusercontent.com/p/AF1QipMKO-pRuu_TtfqRl4X9JFBz5G6r8CvPE3RToQkV,https://lh5.googleusercontent.com/p/AF1QipMz5IK2jG68W9hIxv905GPWh2j3GbMtS-EQjgto,,,,,,,,,,,,,,,,,,restaurant,Marsa Matrouh,Falafel restaurant
مطعم بيت العز,"زاهر جلال، قسم مرسى مطروح، مطروح 5057010, Marsa Matrouh Governorate 51511",046 4947770,Not available,3.7,170,Marsa Matrouh,https://maps.app.goo.gl/7h3niFSsqadw1F6F6,not available,31.353938,27.242938,https://lh5.googleusercontent.com/p/AF1QipN6O_gGjovofLlXD4IAsWCjrhYrGvk7HjrgjklY,https://lh5.googleusercontent.com/p/AF1QipOmViNnXDWROZCZAWrGSRZEg_w6G2J1nyYiiBUv,https://lh5.googleusercontent.com/p/AF1QipMj2fuT-p-nKf6AR8jSkJIb9VD-jOCk4SN4ChIO,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP08_Gq5WkS07jhgF9a4u-DaWTfOqCb_pLd2pZf,https://lh5.googleusercontent.com/p/AF1QipNg-5mfHF2SWQYF-P3jJSeRpetdOr90PHjTcwBk,https://lh5.googleusercontent.com/p/AF1QipP_etDptxoTjSkzGj6xquILG7AYQKBu32c5zPzq,restaurant,Marsa Matrouh,Restaurant
Abdo Kofta,"شارع الخليج ،, Marsa Matrouh Governorate 5057012",011 17724888,Not available,4.0,768,Marsa Matrouh,https://maps.app.goo.gl/7pLGxqPz921sRJp17,not available,30.252688,31.464937,https://lh5.googleusercontent.com/p/AF1QipMOGxdlGpQNdOHT5MfEUvClkeILo3qxLnadZRbU,https://lh5.googleusercontent.com/p/AF1QipMXpovP5R71Skgqz9NWTFSYuzkmjrR2Lb0XuviC,https://lh5.googleusercontent.com/p/AF1QipNuNLYGWiwPwwmB_X39-VW2NebIxQr7pefrqx6y,https://lh5.googleusercontent.com/p/AF1QipPlt1fa3NZHX2HkBPMhxL3yox-5n3fV3kJ78QQm,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPfr9W6CNL8VyUkZjhP5ILIkPCPJxIgcT77JwVS,https://lh5.googleusercontent.com/p/AF1QipOzDIZ82-Z5YBmY_HnPbOA9B4lO3TpOozQQzt0S,https://lh5.googleusercontent.com/p/AF1QipPaA1G_A2DVkL_tyLMGIwV2BGQ2N8nCOMLgpQmp,https://lh5.googleusercontent.com/p/AF1QipNzjDfeJvUZmpgC-Z9ojHrJKHU_lnGUsOEy_MI_,restaurant,Marsa Matrouh,Barbecue restaurant
