Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Famous Burger,"بجوار صيدليه د.محمدفرغلى، المنيا-شارع طه حسين-امام مشويات بندقه، 61111",010 27909097,Not available,4.5,98,Minya,https://maps.app.goo.gl/kFirT7HgRpJ6HK2j6,4Q52+79 First Al Minya,28.108187,30.750937,https://lh5.googleusercontent.com/p/AF1QipNr3XGfgokRg8uZVxvhhWQjG_wy93m_iVjeAGug,https://lh5.googleusercontent.com/p/AF1QipOqb4c9yAkaiPL_e2pvXW0IZ1LnaLK2yPsoj3qo,https://lh5.googleusercontent.com/p/AF1QipOjlJ0cVx6_u4GTkypHDnWqaKpRIKYA3xZvF8U,https://lh5.googleusercontent.com/p/AF1QipNjPI7l6HXJdCNdUU7bbm5QxoIMjCqc3gmxnuM,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMNu1LLRiSBEUEN_1piaI-whgSQBDXzH8WjLZfm,https://lh5.googleusercontent.com/p/AF1QipNiRy4LovAAt5TBymxFed6BPwIsBepLAkqqUJlw,https://lh5.googleusercontent.com/p/AF1QipNqXLnJy3Bv4GTBWb-AqyYzPzBg1UGquFXiuLvj,restaurant,Minya,Restaurant
Trevi Cafe &Resturant,"الحي الخامس , مدينة المنيا الجديدة، المنيا، 61111",010 00074934,https://www.facebook.com/trevi.minya,4.5,157,Minya,https://maps.app.goo.gl/3RzEEAU62Pi9iPQx8,3RMC+8X New Minya,28.083312,30.822437,https://lh5.googleusercontent.com/p/AF1QipNI4aJ33AYtQzOun_8ODcV3AV2Ig19lKLV1Os9m,https://lh5.googleusercontent.com/p/AF1QipMWmLyrBYmwUHnJkotPba83pjGdyb-h-eMa8Zl2,https://lh5.googleusercontent.com/p/AF1QipMdZkVgplTftG_F1KXDfTy09SozJdkiYovhQSHP,https://lh5.googleusercontent.com/p/AF1QipNmq-Y7GfaqpWs6XEoOM2qG-gOQZN9zOwG3t_O3,https://lh5.googleusercontent.com/p/AF1QipMTKt_JFfHgMNjpaCscyUAKLZQPq6hPQ9lmWeJG,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOP5VMMZIYPDjP0dcFqTi5TvUa3NoFzNCjvoHiJ,https://lh5.googleusercontent.com/p/AF1QipPqqNCavs25yQ7hkANiWsd8OE0WXFhW-L_-iDNU,restaurant,Minya,Restaurant
Orkeed,"4Q62+FH2, Kornish Al Nile, Qism Minya, Minya, Minya Governorate 2451176",010 00239239,Not available,4.3,"2,411",Minya,https://maps.app.goo.gl/CwK95yws1kD7dAgM6,not available,28.112812,30.750813,https://lh5.googleusercontent.com/p/AF1QipMUiwU2V_9L6JIYF3yYLPo2DcntGIM-bj-4p2IY,https://lh5.googleusercontent.com/p/AF1QipNC6IYQF69ORxifaBWie-tsb8bgQwzu_ZtyQrrU,https://lh5.googleusercontent.com/p/AF1QipO77g_jlR1tT8DLryal-tqJFF-3StcnvTCJ5Odx,https://lh5.googleusercontent.com/p/AF1QipOtzU1S-rjoPed2kJY6bTbUgTd-sVAS0TEhe2HW,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPwaqy_nb-0ANjlyluWHpH0Z955jCFLNni7OVrz,https://lh5.googleusercontent.com/p/AF1QipNvo2zMHHD1LgU4G6bu-mRQxZyNtxfb3lkfrkuu,https://lh5.googleusercontent.com/p/AF1QipNP6LeCZzGeTmuBu-T9-j3lCRboWbyyIw36-tsv,restaurant,Minya,Barbecue restaurant
ست الشام . شلبي | المنيا,"ارض شلبى, Qism Minya, Second Al Minya, Minya Governorate 2431414",010 50484848,Not available,4.2,113,Minya,https://maps.app.goo.gl/zAsoGa1VEfExPpmb6,4P8R+V3 Second Al Minya,28.117188,30.740187,https://lh5.googleusercontent.com/p/AF1QipOJwwwtFO_2FuaHdqaM2XWVj3kzUO65nToNrrwd,https://lh5.googleusercontent.com/p/AF1QipObSD5Hc44k2kL_SbM1nLngv-7X88jWKdcaNXtA,https://lh5.googleusercontent.com/p/AF1QipPc9sZmoiO3cSx9ONBq6g28XO-XtM_ieajhmEQd,https://lh5.googleusercontent.com/p/AF1QipPxvhvoTsWWrj2aEQy9-HJWqmcp8yflt75GbUTn,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPwfnvl5lWdaWt_mDJIhqq3g2LYECxhdxvdurme,https://lh5.googleusercontent.com/p/AF1QipNonguYBX-ZDWiFC1zEkx7QKV_9pXiDdSZWMrYy,https://lh5.googleusercontent.com/p/AF1QipPbAEpTNkXGM9gnycL1PaOemSplZOgR-2vQCA-n,https://lh5.googleusercontent.com/p/AF1QipNhJrPQUZ7UtyFLN2luYt2SEdcMmLH4KY0N_zvz,restaurant,Minya,Syrian restaurant
KRATOS,"3RG7+23R, المنطقة السياحية, New Minya, Minya Governorate 2460002",not available,https://www.facebook.com/kratos.restaurant/,4.1,64,Minya,https://maps.app.goo.gl/DVTP3Tpb4buPUxTz7,not available,28.075063,30.812688,https://lh5.googleusercontent.com/p/AF1QipMSdgk4s4WrwzOYovj4_Gl0OyNvS5l3V1gn1Owi,https://lh5.googleusercontent.com/p/AF1QipPkwOyE83w2X8SwgN6-B_hNHLNimD5dONwYIrdf,https://lh5.googleusercontent.com/p/AF1QipNG_mbn6Bw_vRgcqiTbAShoZAwk8_wkeHZ0d6q7,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMJ981b2qo_OqHXFvSkeiNcLGBjjcZPqCQ3Vjer,https://lh5.googleusercontent.com/p/AF1QipPukxZAjttGSO_sPOrAIplbATFdoB7rBTUFnpgT,https://lh5.googleusercontent.com/p/AF1QipNiW7sKP9fB7L4M-Y3t9M-eicW0cUqdCvRtiVXA,restaurant,Minya,Family restaurant
Freekeh,"4Q23+PP2, Qism Minya, Minya, Minya Governorate 2451133",015 55511777,https://www.facebook.com/Freekeh.SyrianFood/,4.1,828,Minya,https://maps.app.goo.gl/oD7s3ePNyipLBXy89,not available,28.101813,30.754312,https://lh5.googleusercontent.com/p/AF1QipO39xvnn4141LmuiaCplAnc9MpocPNeNpEYeF1d,https://lh5.googleusercontent.com/p/AF1QipP9DcNS0UpK6KojFniLmF7iHnzLQZvugjjwuB2A,https://lh5.googleusercontent.com/p/AF1QipPyUqAI30D44qOY1C4Y5FMiOW2Z48YPthtmuqCe,https://lh5.googleusercontent.com/p/AF1QipNqmmKBQUYDp03RidBCp_47ijvohelctY6nfiy8,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsARpkWu2mX1W8kFBDArF2BRkXYI75jU8DKjX_,https://lh5.googleusercontent.com/p/AF1QipNRGtxIaG2DOhOoFSpytr58iKh2OsYgGte1LL-A,https://lh5.googleusercontent.com/p/AF1QipNs8V0CS2_WLORzUpwgsL8YV6s_3jwT5kpM73U0,https://lh5.googleusercontent.com/p/AF1QipO-KNkTGZkC8FORqMxxQMGaOAPxTKnk-VtYCm-i,restaurant,Minya,Syrian restaurant
El Baron || البارون,"نقابه المعلمين, Mahmoud Fahmi Alnokrashy Rd, Qism Minya, First Al Minya, Minya Governorate 2451110",010 22998668,https://www.facebook.com/Baron.minya/,4.1,254,Minya,https://maps.app.goo.gl/xVyof1A1oXbBLuCq7,3QW4+28 First Al Minya,28.095062,30.755812,https://lh5.googleusercontent.com/p/AF1QipNNUKdDV0r66KQ4nurAhgIAWV0Kay4CaE-9-WoG,https://lh5.googleusercontent.com/p/AF1QipMh-ZX_j8XCsBRN7qpRKcF2IMUzHpPJKCplxV6T,https://lh5.googleusercontent.com/p/AF1QipOlWegL7kBdTCx9MY-pZLa_5wZowELoaMciIgZb,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPpUuLFgUmZIiUEQ3g2fflw5wlj1dQgFEssVuLI,https://lh5.googleusercontent.com/p/AF1QipMqMF2T1w4RbOyvh1rbPq1J1241MCarzw7NYmgK,https://lh5.googleusercontent.com/p/AF1QipOa0j7zcnFZ6dlAjxOeIapeRoqCKHarQDd9tfDU,restaurant,Minya,Restaurant
Set Elsham,"Taha Hussein, Qism Minya, Minya, Minya Governorate 2451142",010 60601600,Not available,4.2,"1,699",Minya,https://maps.app.goo.gl/3gCibKHv3RMNA6iM6,4Q62+82 Minya,28.110813,30.750062,https://lh5.googleusercontent.com/p/AF1QipOJZdPpHqFACF1rtkGpA7r1UBZJD0U1RzOhiVXy,https://lh5.googleusercontent.com/p/AF1QipODVv7zvaBPObKuOU9eAABgXRLFgAMJIFpg9GOK,https://lh5.googleusercontent.com/p/AF1QipP9V3Zwp8f4qrmi_nrcKsZBy8TPx441MzAIW-rW,https://lh5.googleusercontent.com/p/AF1QipP_UKbNcGC2EjNU8kAzZzZHK1mqPsqQMMCjIigC,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPVNntpoQs87-6Xo7itSb-tfw4iF_DckSEXwxcI,https://lh5.googleusercontent.com/p/AF1QipM0DG7yhOsWHr--lFSTdvNqnDw4ZWXWOFvFkWX2,https://lh5.googleusercontent.com/p/AF1QipM0lD8yJ-Z8A-9YhSvgRu_Ywld96foLmd5VhOos,https://lh5.googleusercontent.com/p/AF1QipM9LsIiNCwbJlm5b6y-62DtiCDmH6CLU4w8xVEW,restaurant,Minya,Syrian restaurant
مطعم القبطان للمأكولات البحرية,"3QVC+257, Minya - Assiut Rd, Sawadah, Minya, Minya Governorate 2427715",086 2179707,Not available,4.3,315,Minya,https://maps.app.goo.gl/tSSYm74i7hht1318A,not available,28.092937,30.770187,https://lh5.googleusercontent.com/p/AF1QipNzOl8y2HnKUZ8O2ZuKp7-OAYfZRId6sjJDUmDV,https://lh5.googleusercontent.com/p/AF1QipPG86jX-KmQ9ZSed1q6pphthHKfQgRzu7gZirpB,https://lh5.googleusercontent.com/p/AF1QipMkMQZiOXe3-jwhWKAat2C-ogUA4dan4jbV6U0m,https://lh5.googleusercontent.com/p/AF1QipPbOYaOyr-ty0DGTrcunTCwp0W49e9BZFqW0vfR,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO2PDtvTohwhGpxMbtg18AT3po0IVO9k_kgZ9V0,https://lh5.googleusercontent.com/p/AF1QipMvLRiG2iCzmklpm-OB3gaTCMCSfmSGLLBg1-zP,https://lh5.googleusercontent.com/p/AF1QipP3jzBMVdbQmNBeAYUw2q_fQFWFc511xfxJ7RRG,https://lh5.googleusercontent.com/p/AF1QipP6i7F-tz0hHRRkguMpvmznzvS9nby_i4NZbrNd,restaurant,Minya,Seafood restaurant
Casa bella Restaurant,"Taha Hussein, Qism Minya, First Al Minya, Minya Governorate 2451140",010 03397905,Not available,4.4,385,Minya,https://maps.app.goo.gl/HdYMeVher55csdqd7,4Q52+HC First Al Minya,28.108938,30.751062,https://lh5.googleusercontent.com/p/AF1QipOwIXA_6_lhf0X7LHBXM8L-BeLe7x8IP2edKYPq,https://lh5.googleusercontent.com/p/AF1QipPro_e31i7qLiOPYZCXK1eG-3ptTgMv2143esV0,https://lh5.googleusercontent.com/p/AF1QipP_7JVm518LN1GVUIFDriYyIQz6SvSg-Wa-QtGB,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOcHt6LUSPUpBl05ZTsc-26fQvi5-ZZwjs5KSeI,https://lh5.googleusercontent.com/p/AF1QipM3QEvw2VnEj9dWEoRO8S66OVcd93yashjJvHCA,https://lh5.googleusercontent.com/p/AF1QipMU83h53beVoWlzFPinM1CDCvHGabLk7QOiTHLp,restaurant,Minya,Fast food restaurant
