Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
إبن حميدو,"FWCH+CJV, El-Gaish, Madinet Menuf, Menouf City, Menofia Governorate 6053223",012 26260848,yellowpages.com.eg,4.3,17,Monufia,https://maps.app.goo.gl/fPXcUhVCNrjUtDye8,not available,30.471562,30.928812,https://lh5.googleusercontent.com/p/AF1QipMqRS_ZmnxEGDBBaVt1pigAN1gve54nM-iO69P1,https://lh5.googleusercontent.com/p/AF1QipNEo5oVFxu3m3o8Yz6vVR9gy7DAJrNW4JrUrF8V,,,,,,,,,,,,,,,,,,,restaurant,Monufia,Pizza restaurant
مطعم و كافيه شارع السعادة,"الروضة، مدينة منوف، منوف، المنوفية،, Menouf, Menofia Governorate 32952",not available,https://www.facebook.com/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%B3%D8%B9%D8%A7%D8%AF%D8%A9-101127765000314/,4.1,256,Monufia,https://maps.app.goo.gl/3WsvJw8EG6UsBTtr6,FW9H+FJ Menouf,30.468688,30.929063,https://lh5.googleusercontent.com/p/AF1QipN-_nM9hFGj06viWqC7dGA9TKi2jGYPzFOVJy-h,https://lh5.googleusercontent.com/p/AF1QipOdIuVU7eDwp5qKooe3c0lyzLljBJ0dbo_-COWY,https://lh5.googleusercontent.com/p/AF1QipOrMwWlacQdd2JuPiQRE4aMW1KR17D08ONML-EH,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOimNMWsKfPVVmMVTEAApJB0cmjaB2Cp9uoI2wy,https://lh5.googleusercontent.com/p/AF1QipMw6x-Uj6i1gne6n0GiztE947o8p5cXxXOt9F9c,https://lh5.googleusercontent.com/p/AF1QipMtLdJ4AhagopTaRWFt8RrbjybjsMwfqWkVfHlT,restaurant,Monufia,Restaurant
مطعم سلامه شقير,"Haret Talat, مدينة منوف،، منوف،، Menofia Governorate 6053134",010 97979916,Not available,4.5,16,Monufia,https://maps.app.goo.gl/McLPUVeo6115fvH86,FW8P+66 Menouf City,30.465562,30.935563,https://lh5.googleusercontent.com/p/AF1QipNC9aUj88FQ0mTje1-Wqv4-8o55DGS76iRLUUfr,https://lh5.googleusercontent.com/p/AF1QipO70B00B4IYWhITp6fi76XoZeqge8zLcaAgAVW3,https://lh5.googleusercontent.com/p/AF1QipNJjzMbC_2cwl6zW_k5Ft8h80Tr_7czWv21eRj9,https://lh5.googleusercontent.com/p/AF1QipOGdXOnkFkCZ9bsQHYN9Z6VCqfXNFcpGkktbcTJ,https://lh5.googleusercontent.com/p/AF1QipO43YYVLQo6KlAFYV2UKjjB2OFjXJKSRGjcnihG,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNIGVabHEIwwnYF-FQBD7NuVSx5Hf0TzKCfeOtx,https://lh5.googleusercontent.com/p/AF1QipMTRXQHgBZ-eGPRk9lXCHwnV1wrSIrHmPlqU4F7,https://lh5.googleusercontent.com/p/AF1QipN-7GjWce_MRXudp9pZFXL_XfPukKaOA3p_hF5T,https://lh5.googleusercontent.com/p/AF1QipPoiYwkm9u3AI2OE4sZ1DvOB-ssXwYoWq-jUtOz,restaurant,Monufia,Barbecue restaurant
مطعم وكافيه دايماً عامر,"بعد مستشفى الايمان بجوار مخبز حماد، طريق الحامول, Madinet Menuf, Menouf City, Menofia Governorate 6053182",012 10004090,Not available,3.8,97,Monufia,https://maps.app.goo.gl/HHHg5tM6EBBGh5DF7,FW9P+RQ Menouf City,30.469563,30.936937,https://lh5.googleusercontent.com/p/AF1QipOhDZ7RLHwyZY7xda20N7Xb8407IcJc1S5GEqUe,https://lh5.googleusercontent.com/p/AF1QipPVuz9yew2lTc0admDYVoXzZ0JVxfj0gF_kMyVF,https://lh5.googleusercontent.com/p/AF1QipNBT20en7u5rtqPSJBMtWxDUql0cYoCG_MhVYq2,https://lh5.googleusercontent.com/p/AF1QipPoj5WrluVFjct2Y2q_jD_Dn8B1oMI3PjQ3NayD,https://lh5.googleusercontent.com/p/AF1QipNa99zaWFJXxPeB_VWu63L_msRoGKYy_-Z6kwf6,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOOxDtmiLfbNKwSeGovb5oUBxE5eBLPf73o3CDY,https://lh5.googleusercontent.com/p/AF1QipP_WJj7HimzsriMepRZkDIjW0LajZW5UJlQBtH3,https://lh5.googleusercontent.com/p/AF1QipMlMy3Y_sg95_Q-9R0g_zSnNcBudvNUQ_zL7Snj,https://lh5.googleusercontent.com/p/AF1QipOYpNTYP6tD_oya6tufDUDerqBmvB3dUZEf1ybC,restaurant,Monufia,Izakaya restaurant
Fidelity Bean Restaurant and falafel Ashmouni,"FWCH+CJ9, Madinet Menuf, Menouf, Menofia Governorate 6053223",010 07200038,Not available,4.1,37,Monufia,https://maps.app.goo.gl/1re1M2DfpuXa3bTg9,not available,30.471063,30.929063,,,,,,,,,,,,,,,,,,,,,restaurant,Monufia,Falafel restaurant
مطعم اسماك حبيبه,"مركز ومدينه، مدينة منوف، منوف،, Menofia Governorate",010 94400206,Not available,4.4,20,Monufia,https://maps.app.goo.gl/k54bYd6FLTWisVMC7,FW9M+9F Menouf City,30.468438,30.933687,https://lh5.googleusercontent.com/p/AF1QipMDw4limXTbP5qMC1yuDF6x0hOgxjdIdUH2--Bq,https://lh5.googleusercontent.com/p/AF1QipMN31-zWcOUpkTGLFgNykyyckZi7xsjcA3tVTnr,https://lh5.googleusercontent.com/p/AF1QipMRhqcLR7oOs5QhwDFBvli4YkLhk_NVHdnP51gS,https://lh5.googleusercontent.com/p/AF1QipM56gJkfgF7rr31UrY5uzIx4v16iNhy8Tv096UD,https://lh5.googleusercontent.com/p/AF1QipMYsT67KyKzLGiCvvoGDqKQKPylFM7vmtD7oV9n,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPY1d2F0p_m3Y3kodio8vkTYMoCh3PM0Lu65vOD,https://lh5.googleusercontent.com/p/AF1QipNwCKsRQPtvCIRunsMR2CsJhi5c3lUQXxGb9K8J,https://lh5.googleusercontent.com/p/AF1QipMDUzk52WbAj-Ns-pz74RFIONgyIv0znz3VeaBU,restaurant,Monufia,Seafood restaurant
El Nagah Restaurant,"FW8J+973, Madinet Menuf, Menouf, Menofia Governorate 6052187",not available,Not available,3.7,10,Monufia,https://maps.app.goo.gl/zitgXtpEEC1L3Caf6,not available,30.465938,30.930687,https://lh5.googleusercontent.com/p/AF1QipOKjkPf0UQs7m9seVMgCsV6XWVDsJ8OGloLINoV,https://lh5.googleusercontent.com/p/AF1QipNSGXnb368gwWjXL_eect93K8LYWAqHa5DP5R9T,https://lh5.googleusercontent.com/p/AF1QipMCnf8x-KPiL3srkFh8oD4wxmfrnBHXJ_pffCg,https://lh5.googleusercontent.com/p/AF1QipOX1SyLdGXvRp7z9B_HWo_3cpG5rQ-NFcTgAQjD,,,,,,,,,,,,,,,,,restaurant,Monufia,Restaurant
El Gamil,"FW8J+973, Madinet Menuf, Menouf, Menofia Governorate 6052187",not available,Not available,4.0,1,Monufia,https://maps.app.goo.gl/LWDTiZks9S7RKxqN8,not available,30.465938,30.930687,,,,,,,,,,,,,,,,,,,,,restaurant,Monufia,Restaurant
La Rotunda,"Abd El-Aziz El-Shorbagy, Madinet Menuf, منوف،، Menofia Governorate 6053134",010 11110820,https://m.facebook.com/laRotundaCafe/,4.1,602,Monufia,https://maps.app.goo.gl/41it7kjWmDR3RJT96,"FW8P+96 Madinet Menuf, Menouf",30.465938,30.935563,https://lh5.googleusercontent.com/p/AF1QipMH2_dx_swHl4R9hT1iKHe9LpBspXNuQZg6LBt3,https://lh5.googleusercontent.com/p/AF1QipMoyHBNMHoP9kNSVrmO1MIPBADUo5kV04FJQik,https://lh5.googleusercontent.com/p/AF1QipOcdAYV1XdAQwyfn2U4tdKgecn2QlIKZOFVv2UJ,https://lh5.googleusercontent.com/p/AF1QipP5XoeGZ4DX8bukgaYjc2_-yGxfN8iM3Ay2dgm-,https://lh5.googleusercontent.com/p/AF1QipPUVP-8VoyEdmfkrYSfKidjxLMSfky7AsmU1MMm,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMb9BMBrauskwgABb1YfzmIkN1Zkb2ooVEzMXG_,https://lh5.googleusercontent.com/p/AF1QipMqjQeY9oXqhZTxWRd5KexgHcMkesLAY64DKUgo,https://lh5.googleusercontent.com/p/AF1QipNKS0lqagErmLgifzZb0FYv7u1yv-Qi0L7J1zqD,https://lh5.googleusercontent.com/p/AF1QipMKFByLPm-hax8kPBaUeQQ2r2anmfSc7xNgQlv-,restaurant,Monufia,Fast food restaurant
السفير,"FW8M+M2M, El-Gaish, Madinet Menuf, Menouf City, Menofia Governorate 6053078",010 29273243,Not available,,,Monufia,https://maps.app.goo.gl/oFMYZw4SjKaSDYsC6,not available,30.466813,30.932313,https://lh5.googleusercontent.com/p/AF1QipNR_fnJeMzHuXW6Ch15sABUhXzWWO9AD6mA93Dw,https://lh5.googleusercontent.com/p/AF1QipNL9zwqm7Vcv3P-A7FkFbmeImhbIsnUvhwVke-D,,,https://lh5.googleusercontent.com/p/AF1QipOFaZpIx-XoIyHzX-svMMqtPtijhR7J3_BRlMrA,https://lh5.googleusercontent.com/p/AF1QipPVIEQA3KTEfGIknz9h70pSyzKeI0_BVRkWGcIm,,,,,,,,,,,,,,,restaurant,Monufia,Fast food restaurant
