Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Wali Café & Restaurant,"355 zone 3, Cairo Governorate",2FHJ+73 New Cairo 1,Not available,4.3,4,New Valley,https://maps.app.goo.gl/wLAGHFZVu4HoGWY8A,2FHJ+73 New Cairo 1,30.028188,31.480187,https://lh5.googleusercontent.com/p/AF1QipMOFqzPjxNAA1-GhLepm8Jn1dPpwOzLhJp4QEyL,https://lh5.googleusercontent.com/p/AF1QipP2Bf9PzuBK_cmk-SK1ohqaCBx0SCrYqjaS9y3U,,,,,,,,,,,,,,,,,,,restaurant,New Valley,Restaurant
Eatery,"Capital Business Park, First Al Sheikh Zayed, Giza Governorate 3247604",012 78005557,Not available,4.4,934,New Valley,https://maps.app.goo.gl/59ESRpiwqt1aY5TC7,22G7+82 First Al Sheikh Zayed,30.025813,31.012563,https://lh5.googleusercontent.com/p/AF1QipMidiGlXBOo5L1VlbiLcvfF24hh5w6IIgWlvaPX,https://lh5.googleusercontent.com/p/AF1QipNWvGm2r5C1w6rcKeMMZtkMVrkdXRl_z6nuKCsR,https://lh5.googleusercontent.com/p/AF1QipPrf54L__u_YGtxDyL8gFPi2hiAoHv4Pi6UlgQ,https://lh5.googleusercontent.com/p/AF1QipN6AeyBPRef1RixknOgZJLAy9ZB2wtTVDGERmic,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPghFJBFa7ujdzVKi1b7VQ9ZgLG8knnHOT2qHYz,https://lh5.googleusercontent.com/p/AF1QipP0AAGKAMQzcnOjRScs7Guk5y9whWUgvUdcJxM6,https://lh5.googleusercontent.com/p/AF1QipNgdbYrGRn6XAYg1NmFsYevT4NMmMMUPjbWnnbR,https://lh5.googleusercontent.com/p/AF1QipPq48Jxcd0q0JzR6e1hex8oooo7YpTwHKsRyFYI,restaurant,New Valley,Western restaurant
GÄRTEN,"2FHG+5W, New Cairo 1, Cairo Governorate 4740004",010 22221795,garten-eg.com,4.6,492,New Valley,https://maps.app.goo.gl/jEkWYB61U7GmwFBh9,not available,30.027938,31.477313,https://lh5.googleusercontent.com/p/AF1QipMgfVzk0nH42hkEenT9Dq3L1peeSckRM_n2rPZ5,https://lh5.googleusercontent.com/p/AF1QipNYxUAX4NWqm7lpuSDPU1E_ABXINcRZU5aoczK_,https://lh5.googleusercontent.com/p/AF1QipOhGzqmJWVnbDsCVcnfNYjJfnP24x9uDiMVuH20,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMfHUDmxpYXaT39XaVOAfGfFtn5o50t_UHYvSU,https://lh5.googleusercontent.com/p/AF1QipNF61JLPKm4YpFICqUKobSAykRcjeMt3WCSPH7r,restaurant,New Valley,Restaurant
Kazoku,"Swan Lake Compound, Second New Cairo, Cairo Governorate 4732401",012 70004877,kazokuegypt.com,4.6,"2,403",New Valley,https://maps.app.goo.gl/LnoevXBN72FyZmEa8,3C6P+FR Second New Cairo,30.061188,31.437063,https://lh5.googleusercontent.com/p/AF1QipNSeBcjZGoHUJzqNmewxpqkkSq1iK4JspkyW7gV,https://lh5.googleusercontent.com/p/AF1QipN1hAS3hUt66Oz3ThDWUSF0Ws9aIaGKu33V667i,https://lh5.googleusercontent.com/p/AF1QipNFltiAZPpNs9TUYwsHaqVxk90rdocCSNR6D36_,https://lh5.googleusercontent.com/p/AF1QipO6yFo9f9GM-Mav9IsAcKm6g1iEx8DKQemQW1l4,https://lh5.googleusercontent.com/p/AF1QipPAqgDJhjDWd3qu_h_E5naWe2y7yHy4ceq854EK,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM9E3EluRlyFENCWyB8cSRnBQn1unLUFEHuSooM,https://lh5.googleusercontent.com/p/AF1QipPQULIM_gyW2N-byfKsdghL7IeTlse8DiZQlIqC,https://lh5.googleusercontent.com/p/AF1QipNNVdPMmybbL74wNe-HQcz692UumQJzSXDw-fIg,restaurant,New Valley,Japanese restaurant
The Smokery,"Katameya Heights Rd، Cairo, Cairo Governorate 11771",XCV7+5P New Cairo 1,thesmokeryrestaurants.com,4.3,"1,458",New Valley,https://maps.app.goo.gl/K1VRd2LBs6Lw9wQ49,XCV7+5P New Cairo 1,29.992938,31.414313,https://lh5.googleusercontent.com/p/AF1QipMDcniYpML6tP0ydZr9w4faqZqAhjXtFFcKh6Yf,https://lh5.googleusercontent.com/p/AF1QipPu2Hq-5KTPv7R5w7bquhxfXrLViozOsgyZgXtj,https://lh5.googleusercontent.com/p/AF1QipNs-smFCC3knBAZJ1YstANxvHA3XkapQgTiqjf4,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNKDjrVjy7ew2PO0s0wd9Gq_fZZob2hmB31zcC2,https://lh5.googleusercontent.com/p/AF1QipMLcU-uBgHpEY-9_junttcz6VWsFOjn6Kd6T0nM,restaurant,New Valley,Restaurant
Tao - Dusit Thani,"90 South Street, New Cairo 1, Cairo Governorate 11835",2FG4+FF New Cairo 1,taocairo.com,4.5,413,New Valley,https://maps.app.goo.gl/rzQCAfZZUnjhMfpu6,2FG4+FF New Cairo 1,30.026250,31.456250,https://lh5.googleusercontent.com/p/AF1QipNuIdntGphZAx0ASNjqO8VpATyIMsOFvYf_NNj1,https://lh5.googleusercontent.com/p/AF1QipPuXg7t7O9proASFsDFdQoWCRI-m8rWrAdouBFe,https://lh5.googleusercontent.com/p/AF1QipPo052RtKdQUUNKLRMyLOFOzZQP8vqxkS9E7IjA,https://lh5.googleusercontent.com/p/AF1QipNxwFG6aKiqlaar24aUMZk2huBccxdtPgE1XBzC,https://lh5.googleusercontent.com/p/AF1QipNnx_rvpQaMzCqPNOWi6P1tjgRYZSgZQB-Z5MXY,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMB6ZAe44bMcFbJPkUew4uD23mi3E1QYVcidLoF,https://lh5.googleusercontent.com/p/AF1QipO3g-lD_T-GXboWzYIEWVtHPafSqmQf3resbB8b,https://lh5.googleusercontent.com/p/AF1QipNmv5gCCvIMBaiE_fqmcwZY8Gv0E4XXPWubkIbs,https://lh5.googleusercontent.com/p/AF1QipMFBAx6fdqnwJHd5HImKAmmQX4WFXFH21Mx1oTn,restaurant,New Valley,Asian restaurant
Chinoix Restaurant,"3CFQ+RRF, Abbas Al Akkad Axis, Second New Cairo, Cairo Governorate 4732503",02 24063333,morecravings.com,4.5,97,New Valley,https://maps.app.goo.gl/eC3nV7Zyk13iQ4G76,not available,30.074562,31.439563,https://lh5.googleusercontent.com/p/AF1QipPLExzb8H8i9qmBWhx0Es0hhZxewLSTz_AMUQP-,https://lh5.googleusercontent.com/p/AF1QipMnq1yyOxxwJvw7brIzuWI_daU47BHl91tAtfMT,https://lh5.googleusercontent.com/p/AF1QipOKsWgpbZXZPi60CBVAJj5kF4RXoT-PeUBnGPAt,https://lh5.googleusercontent.com/p/AF1QipOnrKdMtr85wZm_RkvHa2EzDIsnpXiSjJgBh8e3,https://lh5.googleusercontent.com/p/AF1QipMMxBBNZidL4DRsBcFf_WtV7zkiw-TuPu_JcC2s,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOcOh6ac9pkK6uUhdbG6-NUMPT-ewTOfrFKMAer,https://lh5.googleusercontent.com/p/AF1QipPSTIjGC7I_G_ROkozhGj8v7Mpiuu14q-fhaKpz,https://lh5.googleusercontent.com/p/AF1QipNwB18JVpViWaADzFtOivh4it8SoreQVEnAVZmu,https://lh5.googleusercontent.com/p/AF1QipNGgw_L7kw00UmNJFB4dPXf_9Uw-y3pFY6VZTLT,restaurant,New Valley,Chinese restaurant
The Way Cafe & Restaurant,"6, Cairo Governorate",2C6Q+65 New Cairo 1,Not available,4.2,691,New Valley,https://maps.app.goo.gl/akkC13qhL6mi9NVD6,2C6Q+65 New Cairo 1,30.010562,31.437937,https://lh5.googleusercontent.com/p/AF1QipM5d77L9F1FQ7Y9h_Zeu6H9MRc-zIf6EaKPEshj,https://lh5.googleusercontent.com/p/AF1QipNz1NlGOFsht3xlAbnIXMdLZtEYUjVkyCiFwABB,https://lh5.googleusercontent.com/p/AF1QipPjzIWNaqPbKBvt9_qElEIdeLQ8Kc_t7vxRRo_y,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPkOmk_PJMI-FitvbdX9IAbqeuYEub2OcyJ_d7X,https://lh5.googleusercontent.com/p/AF1QipMpuQPMVSi40ZrUP2-GkHYtLoqONVFfIfGq6Lot,https://lh5.googleusercontent.com/p/AF1QipN2vZU3_i38PxkhRxa0sKmuYddpG27pgXMTqMY,https://lh5.googleusercontent.com/p/AF1QipOVnFbtRFVZYEY_RliX7FDKFfqUFGnn11tGW470,restaurant,New Valley,Izakaya restaurant
Lexie's,"El-Tessen street Lakeview, Cairo Governorate 11835",2FF3+QJ New Cairo 1,lexiesrestaurant.com,4.5,628,New Valley,https://maps.app.goo.gl/T54tHar7iMA5bHcH9,2FF3+QJ New Cairo 1,30.024437,31.454062,https://lh5.googleusercontent.com/p/AF1QipPx7b-hvDnXtyPlm-hD9i3_yJRClpdpeNfOEqSc,https://lh5.googleusercontent.com/p/AF1QipPbJ3K7DdHimMrW_dNRA09t6oArMKAhLjX8r_Ir,https://lh5.googleusercontent.com/p/AF1QipNsEIv0BI4GqXi5u6B9MywaJrjviKt0REXnOEsX,https://lh5.googleusercontent.com/p/AF1QipMeo9FMiUKrD8VicIo9zrMjMtHdTQ4-tDvzUvCA,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPHoT_OF7dw6uI4d1x30yJ08V1jcJXodCCix2bD,https://lh5.googleusercontent.com/p/AF1QipMMp1gZ0MoK0t7gtYPOZHhbKARbBCZAAVMCa3Dq,restaurant,New Valley,Italian restaurant
El-khan Restaurant,"In front of, Katameya Heights Road, New Cairo 1, Cairo Governorate 11861",2C32+9C New Cairo 1,triumphhotel.com,4.6,21,New Valley,https://maps.app.goo.gl/hjDQkLeMjwXui1AFA,2C32+9C New Cairo 1,30.003437,31.401063,https://lh5.googleusercontent.com/p/AF1QipOqHA7I5cZ_ckzazqGwZN3r0X-S_TqmUNJANhn8,https://lh5.googleusercontent.com/p/AF1QipOa07Jf2JEMF2u-coGF4LmksDyFa7H7vesgUZY-,https://lh5.googleusercontent.com/p/AF1QipNBxv5sjuaMTiSHmpEqNQFKvMdO6aekazhUjD4V,https://lh5.googleusercontent.com/p/AF1QipMlSe8TnZXE2OaeJ8J8xsovS6rqkxBgRw0NB2ck,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOA2y394dKr41fdzYaF1r5Iv5lluECQnITBxj0j,https://lh5.googleusercontent.com/p/AF1QipNFoiPLqwVJTK7KDAcm6hFQhZHolkxrLEgwd_NH,https://lh5.googleusercontent.com/p/AF1QipMYnE2_cu84KH7EPKEPfgxoUgukXiro_KcI2sZA,restaurant,New Valley,Restaurant
