Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Tawla Cafe & Restaurant - مطعم وكافيه طاوله,"4QQP+62P, شارع الفاتح - Fateh Street, Qesm Thaleth Al Arish, North Sinai Governorate 8955030",010 23044576,Not available,4.7,3,North Sinai,https://maps.app.goo.gl/HdJVRCpGFRKda52q7,not available,31.133187,33.775562,https://lh5.googleusercontent.com/p/AF1QipMOKWoZXLjnPNOGcoek_ikYGcYTOonYAf-siQUq,https://lh5.googleusercontent.com/p/AF1QipNh6u36JLW3A3Jw_BkXUxT26fKGwHLEiwzMyOZc,https://lh5.googleusercontent.com/p/AF1QipMhVQDZbUpSMLX8RkBXLmQ65_uEQZAXnuge710r,https://lh5.googleusercontent.com/p/AF1QipNKTCgZmrkxByK_InntZrgPuRNkHcjFOibSpzsv,https://lh5.googleusercontent.com/p/AF1QipNPRrcDilcY1IIlpwcCDdDUrEjVaZ9ZJIpMuNUA,https://lh5.googleusercontent.com/p/AF1QipOXROD8aiwVZFNtnmMAJ4l4EWW0ILcLBL2_kd1r,https://lh5.googleusercontent.com/p/AF1QipONsUkC-PKdWq1R2Ytt61m9QRdienqM0kbgtcfM,https://lh5.googleusercontent.com/p/AF1QipM1pr1SPHJmR4WP_dC0BDl_2ZdpQaTuowSezEK6,,,,,,,,,,,,,restaurant,North Sinai,Restaurant
OIA restaurant,"الكاشف فون, ميدان جامع النصر, Al Sayed Khalaf Al Salam, North Sinai Governorate",not available,Not available,4.5,11,North Sinai,https://maps.app.goo.gl/umdDY6mATPDmv78Q8,4RJ3+C6 Qesm Thaleth Al Arish,31.131062,33.803062,https://lh5.googleusercontent.com/p/AF1QipMPtsXFVrkIu5dLHRKZOBfdEiKnjiQsXFIDNwc8,https://lh5.googleusercontent.com/p/AF1QipNrzd-enaLIM3mp1tESn-hK2We89_jt_-kIeyZX,https://lh5.googleusercontent.com/p/AF1QipO8dnb4ydyNhR3ZoqDijCWxxOE0_XCqlXvC45Sg,,,https://lh5.googleusercontent.com/p/AF1QipPqSpQnj2X7Qp2wMGrTvrJG2jFib6dTQ4ozNA3r,https://lh5.googleusercontent.com/p/AF1QipOmvm0Wtb2t6YEKnF4QNyck3TGYm9nVNGbGLf_1,,,,,,,,,,,,,,restaurant,North Sinai,Restaurant
مطعم أسماك سينا,"4RVF+WC, El Arish 1, North Sinai Governorate 8956612",010 14246099,https://m.facebook.com/groups/370732480695612/?ref=share&mibextid=S66gvF,4.3,4,North Sinai,https://maps.app.goo.gl/arMwLXQm26ro51jQ9,not available,31.144813,33.823563,,,,,,,,,,,,,,,,,,,,,restaurant,North Sinai,Restaurant
مندي الصاغة,"العريش، قسم ثالث العريش،، شمال سيناء،،, قسم ثالث العريش، شمال سيناء،, Qesm Thaleth Al Arish",068 3374227,mandyalsagha.blogspot.com,4.5,4,North Sinai,https://maps.app.goo.gl/6H5jvkLduUw79teXA,4RG3+43 Qesm Thaleth Al Arish,31.125312,33.802688,https://lh5.googleusercontent.com/p/AF1QipOt62PbygnOhiucs-iohYe8HTRwRCRJo9ncfxJx,https://lh5.googleusercontent.com/p/AF1QipNwpe5C4M9fDV1eFFW6j6PIVpLD_uXUOOTeUUI9,https://lh5.googleusercontent.com/p/AF1QipOmJAJQ0o6NgixHvDYhXBrddMKd5sOnvFP7icb7,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNkLEs0ygLlgsThJbnk8rQ-UyJX6NXokFeNDeaE,https://lh5.googleusercontent.com/p/AF1QipMLl8wyZ_BvWPy0yG_o4LjKJTFNzZBm34JpAPMS,,,,restaurant,North Sinai,Western restaurant
مندي ابو مصبح,"4RJ5+C5C, العريش، قسم ثالث العريش،، شمال سيناء،،, Qesm Thaleth Al Arish",not available,Not available,4.2,41,North Sinai,https://maps.app.goo.gl/spkZke6YmaG3e4fE7,not available,31.131062,33.807938,https://lh5.googleusercontent.com/p/AF1QipPzHoyuDnPVrgks_zeZcXpAYph2qB6r3DcOGv2Z,https://lh5.googleusercontent.com/p/AF1QipNCc5Wg-RnTZXxVEOGiAC3fo1szRaL9_IeQHFDf,https://lh5.googleusercontent.com/p/AF1QipPlxezvfz6AjGTEhmWGd_dpUG7UuqZQSOs_mb6o,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOvmbwoNSUPYQoUUtu2_1b8h7IGwqgN9C1T8MwW,https://lh5.googleusercontent.com/p/AF1QipMd8XUjNONDT1GD6Nix6M87pqBMt1PKRTJxs0PB,restaurant,North Sinai,Restaurant
مطعم اللوز فول وفلافل,"شارع اسيوط ميدان العتلاوى, Qesm Thaleth Al Arish, North Sinai Governorate 8954730",not available,Not available,5.0,1,North Sinai,https://maps.app.goo.gl/ub3N8cCKFnzstvU8A,4QMW+3C Qesm Thaleth Al Arish,31.132688,33.796063,https://lh5.googleusercontent.com/p/AF1QipOEOp780y8TRI2rWsajUXnnnvv6stThfsfWEuLj,https://lh5.googleusercontent.com/p/AF1QipMOeYIdxMG0l1Oh-H4BrZA_CM5qsyHi04TA6g6S,,,,,,,,,,,,,,,,,,,restaurant,North Sinai,Traditional restaurant
MAXIM BEACH,"مسجد شراب الجديد, شارع البحر أسفل, Qesm Thaleth Al Arish, North Sinai Governorate 45441",010 68641033,Not available,4.6,16,North Sinai,https://maps.app.goo.gl/oDgKiCHZE9hiD1Xz5,,30.195813,31.441313,https://lh5.googleusercontent.com/p/AF1QipPtZod5b-MjvHagTySxJjaJsK_zxqytLyUwtv_J,https://lh5.googleusercontent.com/p/AF1QipP_FIX2LFUaBPlLoIk59ur6KosB9O1ILiLoULyW,https://lh5.googleusercontent.com/p/AF1QipO69xl2vkvVNEsGdvpr1dJ4bsNfhOkkqAZm2ioQ,https://lh5.googleusercontent.com/p/AF1QipMxnNfcahzHD4_af3SV4OBTu4jNyc95w29SJ5B4,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOJaJ_6a-G2L4OdBEprwdz1IrdLA14v32b7iWDK,https://lh5.googleusercontent.com/p/AF1QipMxNAitN4QcZoCKqIcjK_HIY5XEi0nVB86Y3Exn,restaurant,North Sinai,Restaurant
مندي اولاد خطابي,"4QGW+55Q, Qesm Thaleth Al Arish, North Sinai Governorate 8954353",not available,Not available,4.3,3,North Sinai,https://maps.app.goo.gl/9tYWZy51Purks9xv7,not available,31.125437,33.795437,,,,,,,,,,,,,,,,,,,,,restaurant,North Sinai,Restaurant
مطعم الحن,"4RC4+R6H, Qesm Thaleth Al Arish, North Sinai Governorate 8954617",not available,Not available,4.4,103,North Sinai,https://maps.app.goo.gl/zcD9DDLAKQUmn8d48,not available,31.122062,33.805563,https://lh5.googleusercontent.com/p/AF1QipOSHy8NoetVaz_bkQGjcRomGF9EOIr2xqO1KYcP,https://lh5.googleusercontent.com/p/AF1QipMSsU48u9_NUqlZcv9ExwLzxq6-vbVwyc2Fgo-c,https://lh5.googleusercontent.com/p/AF1QipOWefZgTk4w1VPXEyDlIqmnkk_hGWVT0C6-isol,https://lh5.googleusercontent.com/p/AF1QipNnqc148YX6NUwHu0U1JA_rze58lh4jbVneo_0J,,,,,,https://lh5.googleusercontent.com/p/AF1QipOuxkSW0eqdJKtVLMNk0toKTaI0g3XIOGHYY9cA,https://lh5.googleusercontent.com/p/AF1QipM3V9NCkyN_WCxpBPyceTDiuL5lbSHF1OCZlCwX,https://lh5.googleusercontent.com/p/AF1QipOFGIm1cVtbjyG4JZI6ymuCiCYtK3cJUtl-TCpA,,,,,,,,,restaurant,North Sinai,Falafel restaurant
مطعم الزهره السوداء,"4RH3+4Q9, 23rd of July St, Qesm Thaleth Al Arish, North Sinai Governorate 8954813",not available,Not available,2.5,2,North Sinai,https://maps.app.goo.gl/Yq6XhSdfFczBj45s9,not available,31.127812,33.804313,https://lh5.googleusercontent.com/p/AF1QipNofByBU8up49b4CILWog8W2JkFl26xr2FSoBxO,https://lh5.googleusercontent.com/p/AF1QipNkbWm-i-J2NFGN-2d52ahgiN01m6XT_muOoj_D,,,,,,,,,,,,,,,,,,,restaurant,North Sinai,Fast food restaurant
