Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Ibn Hamido Seafood Restaurant,"Saad Zaghloul, Port Fouad City, Port Said Governorate 8562434",012 08899089,https://www.facebook.com/IbnHamedoRestaurant/?ref=br_rs,4.2,"2,996",Port Said,https://maps.app.goo.gl/CUrKEPRM3Nhx9WkJ7,77CP+M7 Port Fouad City,31.271687,32.285688,https://lh5.googleusercontent.com/p/AF1QipMkIdVHpQdXFcadw7MHV6nMSzqufJlVxrKk-zNB,https://lh5.googleusercontent.com/p/AF1QipNEiFfr3N0TgAPTeF81CfzfRoVV70hAp10bfKxm,https://lh5.googleusercontent.com/p/AF1QipPD_PnQD5M_rC_J7zEa2-NUceiDEtSi04pT4x5-,https://lh5.googleusercontent.com/p/AF1QipNx4PT1ZQmPyXCdHJ0euexF_k9ggkuvWROnf9KS,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPYQ5JqjPxLronU_B0cddRrz1cfUAS1V_KGb9TF,https://lh5.googleusercontent.com/p/AF1QipNE8lu_aMvVdENnNTC-ePgut0KVmejjeSF3SdTn,https://lh5.googleusercontent.com/p/AF1QipMJMdDadb_BR_6MVJVjWt2wfVj7n-rwn1UwFn5M,https://lh5.googleusercontent.com/p/AF1QipM4A0xAZyc4QhF4sRWc8WdYco8DutEV9NGlOaXo,restaurant,Port Said,Seafood restaurant
سوق السمك ببور سعيد,"775R+2V2, سوق السمك الجديد بورسعيد, Nahdet Masr, Al Ezab, Al Arab, Port Said Governorate 42518",not available,Not available,4.3,"2,101",Port Said,https://maps.app.goo.gl/8JQUyWbJoDnUQgdU7,not available,31.256250,32.288750,https://lh5.googleusercontent.com/p/AF1QipNqQ2ZwCXGvVNhdNk7eXvoRTO8jQu8jcXyc1BuV,https://lh5.googleusercontent.com/p/AF1QipMQsgRTyuUlxaOrZJD6s07V-i232g-S924HfjBK,https://lh5.googleusercontent.com/p/AF1QipN-aXnGlc7NNKxAKhGtpnV7z-wl8_699LX9CggU,https://lh5.googleusercontent.com/p/AF1QipODPixHUv-Igj-vTWkklQRxrykBi7u1zPzfYWkX,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPIOY5JkGUP5yJUJppp0O9tHhYCfTyGu93nJjnY,https://lh5.googleusercontent.com/p/AF1QipOJbYAtd3-p-o8oZoo-CES0Tl-Ky5MOBwA25eUz,https://lh5.googleusercontent.com/p/AF1QipN3HKIpDaVO01FCpqc_W8kR-Mcvy2rCyEOXm0HD,https://lh5.googleusercontent.com/p/AF1QipPNGml1Doh-Ghw-fKYIyK3JWFdlJDSK1A1Xa9Lo,restaurant,Port Said,Small plates restaurant
Series Smkatu Seafood Restaurants,"ش عبد الرحمن شكرى - سور مصنع الغزل والنسيج، بورسعيد",066 3747208,https://www.facebook.com/samakatochain/,4.0,"1,488",Port Said,https://maps.app.goo.gl/CABCYPutzso5Xosu7,67VP+WG Al Dawahy,31.244813,32.286313,https://lh5.googleusercontent.com/p/AF1QipOfHra4a9SNCgBJVnlTVrulDTELEL8NUX2MqavW,https://lh5.googleusercontent.com/p/AF1QipO-kKXCYwJiEYvu8VNkVA2iu7FdeE6A-VoNJaLN,https://lh5.googleusercontent.com/p/AF1QipPhzk52CofP_P4jk_TDbgXWdTV9hDO1k5gvegi8,https://lh5.googleusercontent.com/p/AF1QipPiN5bs_AO8m9a3I0VnMZ_jZNBboL3RSS-QlbkQ,https://lh5.googleusercontent.com/p/AF1QipMZM7LwPRBV5HAA4MyOvZ9P5RHoyFgJO4NkzMo,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMkfa46jHfBS3YNcJCBRlmoySRHPg-kQgxfzTIy,https://lh5.googleusercontent.com/p/AF1QipOQQri1QSa7TVPOG17mcevlR8BU3QRGmh0UwMBf,https://lh5.googleusercontent.com/p/AF1QipMh8tbWp5oRXWJe2Z7nwbyfSdspFdGvlyonf1g_,https://lh5.googleusercontent.com/p/AF1QipNB_PfFu1Em2rDFTRAu-n7K5H_8G_O9bXcCU_P4,restaurant,Port Said,Seafood restaurant
Bella ciao,"77FJ+F49 سعد زغلول،, المناخ،, بور سعيد،،, El Manakh, Port Said Governorate 8563001",not available,Not available,4.2,29,Port Said,https://maps.app.goo.gl/PPJGfiADy1Ue9jNG7,not available,31.273313,32.280563,https://lh5.googleusercontent.com/p/AF1QipPX4ZKxBUt8AecymvnlURD1IaXUVlQu5G8ybDpr,https://lh5.googleusercontent.com/p/AF1QipOxp7VDQ3MwYHlgw3DLS7EWnfLwY6CQqBFiy9aI,https://lh5.googleusercontent.com/p/AF1QipOAB4gW0UzBlbMm_oRqudyq4s2nKUgXqZG2SQNh,https://lh5.googleusercontent.com/p/AF1QipN_ZX6shQD2TVlb6qaOSQs2PJ1YISl_8mP5la8g,https://lh5.googleusercontent.com/p/AF1QipOSEIVucr6093Hh-0t4qu3b-YasQYaMn57N9Y8n,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM3y15n_3HXJxoMqv1FYC-1cqn2Gst8HJL4djVU,https://lh5.googleusercontent.com/p/AF1QipNKnxJkgRrksYYprfgxmc_tbwkE48Q8v1rihoLq,restaurant,Port Said,Izakaya restaurant
Asmak city,بورسعيد شارع 23 يوليو داخل نادي الجميل,012 75401116,Not available,4.5,44,Port Said,https://maps.app.goo.gl/Xr8KGVz48wjKdf2z8,77FJ+G6 El Manakh,31.273812,32.280563,https://lh5.googleusercontent.com/p/AF1QipMNsaHyQur4RA_bhrIJGBnp7dXI75oEx-PBTken,https://lh5.googleusercontent.com/p/AF1QipOle5eLna6XWGIMkFw6Vzr9IyI5ogcq3gdTDLa8,https://lh5.googleusercontent.com/p/AF1QipNS8FjuuwuJmXerqy8fXbyNaiFzcACK9r8UAbmA,https://lh5.googleusercontent.com/p/AF1QipOFlm3ofswIw39Fp-L1NIriYFIQMtsEfjSk4Os0,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN1eaPdrOInwKaZxoUWrozjYGuRIAIZJZTlsmNl,https://lh5.googleusercontent.com/p/AF1QipNGwb1CXzmUnqFPou1EEjnp5FEgVUV2JvAbLqjN,https://lh5.googleusercontent.com/p/AF1QipOylprX34Byr42U9ARggX-UP7CNhAvBRrSWFV7W,restaurant,Port Said,Seafood restaurant
Portofish,"شارع ٢٣ يوليو، امتداد حي المناخ، بسور نادي الجميل, Port Said Governorate 42311",012 04444602,https://m.facebook.com/portofish/?ref=bookmarks,4.3,"1,009",Port Said,https://maps.app.goo.gl/HGVETx5etdCuYPMK9,77FH+GW El Manakh,31.273812,32.279812,https://lh5.googleusercontent.com/p/AF1QipNZRDTt-PTXwLk41DCeutFsTQtEzpd3GxGsYn-t,https://lh5.googleusercontent.com/p/AF1QipP1oBtB3PB7Rndk_zPB0oeTpmXewnLsy6SP8rO_,https://lh5.googleusercontent.com/p/AF1QipM363QCUgnTcX4MjiOlmgfYxrbJEiSfDLYs8sud,https://lh5.googleusercontent.com/p/AF1QipPgv251pb-xOibGZrpqNtaH8jdW0kTRyeOg6Gu4,https://lh5.googleusercontent.com/p/AF1QipOac-p4Ho-hO48fSyg2FFEANbm3b2R96VHJk612,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMzZs8yLL4VJ4Bg8X8bv0z6lcbC0Y3QFtdyC1Tg,https://lh5.googleusercontent.com/p/AF1QipOnlTCLRe583-i1XxqwQ2b4GLkZqoLEIzASt6BZ,https://lh5.googleusercontent.com/p/AF1QipPmQBAOBznY1vQlgEgjCjKWQq0YAaC0adScuhxK,restaurant,Port Said,Seafood restaurant
Big Pizza,"77FM+2QX, El Manakh, Port Said Governorate 8563110",010 11507967,Not available,4.5,78,Port Said,https://maps.app.goo.gl/BTuCA3ErYqoBbz879,not available,31.272562,32.284437,https://lh5.googleusercontent.com/p/AF1QipPtDI5cilel9OwwjkL9-_-vanT-WrWcbjCAo1X_,https://lh5.googleusercontent.com/p/AF1QipOT0s4mOWjk031r0123xjhmm1apvKoILqPIR-Z_,https://lh5.googleusercontent.com/p/AF1QipOKb1lH_ntCcHzP6yyMhVCRwkn2j3Vg7JiKk336,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMzA6ifoSz1KnZLEIVzSw7R3u7sPTqwWc6LFnJ3,https://lh5.googleusercontent.com/p/AF1QipO0rg05zXpIhstS12ed_R6JXCmBNOTyMgLOup5Q,https://lh5.googleusercontent.com/p/AF1QipP1s3_CrjUimNBxGYD8l9YriMaFBxU0mcTBhabs,restaurant,Port Said,Pizza restaurant
مشويات ابو فارس,"779R+289، بور فؤاد، بور سعيد 8562520، Portsaid, Port Said Governorate",012 27888221,Not available,4.4,25,Port Said,https://maps.app.goo.gl/K3LDsDmvgye19sN69,779R+27 El Manakh,31.267562,32.290688,https://lh5.googleusercontent.com/p/AF1QipN7rnoEHXyotlu4lqbEuazj_VhJfL_od-Fg8cmN,https://lh5.googleusercontent.com/p/AF1QipMpfATvw85ixYwRnhM55sJJd0n-yC7MtEWvFhBM,https://lh5.googleusercontent.com/p/AF1QipNhCqeiH8IejWN9VcVa8zopDNCA2QkEaQAp_X-W,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOuO8nAq_7Kh8FCQe7-GjXkkDlERxqhZAZdtVqD,https://lh5.googleusercontent.com/p/AF1QipMqSpZwMe3UQ1yDKv3N51CaDMsHk3IRVdT_Yh8B,,,,,,,,restaurant,Port Said,Barbecue restaurant
Elshenawy,"778J+4RC, Markaz Port Said Le Al Tashid And Al Bana, Port Said Governorate 42511",010 03131753,Not available,4.0,9,Port Said,https://maps.app.goo.gl/jpXLr27tZLhdT7Fe9,not available,31.265313,32.282062,,,,,,,,,,,,,,,,,,,,,restaurant,Port Said,Restaurant
فطائر وبيتزا الشيف الجندي,"بور سعيد،, Port Said Governorate 8527017",012 03468531,Not available,5.0,2,Port Said,https://maps.app.goo.gl/4wokjYuRwED8S3n89,not available,30.235062,31.490063,https://lh5.googleusercontent.com/p/AF1QipOy1iY8TWV3rDc0sws3yDzY3rdm97WQ2yH0NrBb,https://lh5.googleusercontent.com/p/AF1QipM046nIFNTRXvaPBebCl_pT54oU5LO7rDRuuRYv,https://lh5.googleusercontent.com/p/AF1QipPFJmp9jaay1rR9NTDXLoEfnygVFGjpmGx80Ww2,https://lh5.googleusercontent.com/p/AF1QipPWDuSiO0XTcoZEZJfQvtvqtvlSpY35Z1ZXUNdr,https://lh5.googleusercontent.com/p/AF1QipO1CI52dlfitNDLIP4NCxfd7XQc-R_OGSfxNjSw,https://lh5.googleusercontent.com/p/AF1QipPkqJaLNr3kEOUTZ1p_eBACeHGWsAksrsNxpXYL,https://lh5.googleusercontent.com/p/AF1QipPorj7Bi8oWRklLQs2oori-w4lI9YL0neHAMXSp,,,,,,,,,,,,,,restaurant,Port Said,Pizza restaurant
