Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم الرشيدى,"F5CM+3GM, El-Shaheed Farid Nada, Qism Banha, Second Banha, Al-Qalyubia Governorate 6470049",012 73772896,Not available,4.3,234,Qalyubia,https://maps.app.goo.gl/zmTUkZc1LvWgrWNv9,not available,30.470562,31.183687,https://lh5.googleusercontent.com/p/AF1QipMdswhKpqNjXgloJ-bpS5M5939FBUiQD0ZtwKiz,https://lh5.googleusercontent.com/p/AF1QipPUeSROcMw-C0ctYTg3ZlSuRt_Y66TXx2ZuSpSl,https://lh5.googleusercontent.com/p/AF1QipNdqDy4k04g4PRPuJerFn1FdKONKiz3aD9Vqv6p,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNF2JtPVdDs1OW1csDXkDiAH0u-2KhqSmzkrfjJ,https://lh5.googleusercontent.com/p/AF1QipPsk1pqhjFizJZ2Hln5F65GGBb9NFdltFPUdMod,https://lh5.googleusercontent.com/p/AF1QipMCJa8ECUFyzhYpKEH-sBeKymlQAfJSIL-nZiFs,restaurant,Qalyubia,Falafel restaurant
مطعم أبو عمر البرنس - Abo Omar Al Prens,"F5CH+H42، شارع التحرير خلف قصر ثقافة, Second Banha, Al-Qalyubia Governorate 13511",012 82212247,Not available,3.7,30,Qalyubia,https://maps.app.goo.gl/CtNFoNkJ3DH2vAJ78,not available,30.271062,31.516312,https://lh5.googleusercontent.com/p/AF1QipM3z0bTr6poITAt6mNz7D4JyCCAsfJ7IbEg7tqI,https://lh5.googleusercontent.com/p/AF1QipP_QUdQBKyRuhLhpjR2rOXLmD3k6l8aNPhTyPF8,https://lh5.googleusercontent.com/p/AF1QipPoBIM1iyIX8y6lrkQuzLRXgDmy0d-dYUQ3IPu6,,,,,,,,,,,,,,,,,,restaurant,Qalyubia,Restaurant
Oriental Nile View أورينتال نايل فيو,"بجوار مبنى المحافظه, Kornish Al Nile, Qism Banha, Second Banha, Al-Qalyubia Governorate 13512",010 50585958,Not available,4.2,341,Qalyubia,https://maps.app.goo.gl/usjyHdsVU7eub7ty6,F5FG+GR Second Banha,30.473813,31.177062,https://lh5.googleusercontent.com/p/AF1QipObunxlbBPvWVIL3aGnKFux4PNU6YfLLe3u_7Dp,https://lh5.googleusercontent.com/p/AF1QipNOaDhDrlhtTZq-OHB1mHR61EL6uzUhrMYAELqk,,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsJJU_U98jB-uaPIIosEywaRWWjFBRf2UV6T42,https://lh5.googleusercontent.com/p/AF1QipMe25M9esQWoyqaMCsi05IiMahNdsrAIEQZq9kX,restaurant,Qalyubia,Restaurant
كبدة الفلاح,"F58M+WQF, Qism Banha, Second Banha, Al-Qalyubia Governorate 6470042",011 19263332,Not available,3.9,16,Qalyubia,https://maps.app.goo.gl/JaG5y73pM5MYqXPQ6,not available,30.467312,31.184438,https://lh5.googleusercontent.com/p/AF1QipNGcRZCGcotK1SUyNc57SBIR6I4R5hZGsNzPeV8,https://lh5.googleusercontent.com/p/AF1QipOVIlZAHCCSKRIcUwuGJLvU3JSry28yOHaF-Sgx,https://lh5.googleusercontent.com/p/AF1QipPl6PVvaFd0HeGzK85NQXHvxw-tCjIGq8fSe_jd,https://lh5.googleusercontent.com/p/AF1QipPi_X1Xd5tW053dSWCaG1V2OpgdcCx7biXkZdSR,https://lh5.googleusercontent.com/p/AF1QipOjRzu2GJOP9AYtEAhWDU-MplO-AeZ2VAgeGJDI,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOH_xcaeYgDQJEiP_j3oFm9-p4Buxdd36Vcq34M,https://lh5.googleusercontent.com/p/AF1QipMHiH_k31sGm62MTAmSeYKO634C35AitNBNXz3C,https://lh5.googleusercontent.com/p/AF1QipOrCi8Qnog5nlsZGeQcMIZg1TXKk9eS4TXCIr7O,,,,,,,restaurant,Qalyubia,Restaurant
كشري هند,"F5CH+873, El-Shaheed Farid Nada, Qism Banha, Second Banha, Al-Qalyubia Governorate 6470102",010 04841104,Not available,4.2,196,Qalyubia,https://maps.app.goo.gl/ce4rLsdg7MHgz6Qg7,not available,30.470687,31.178937,https://lh5.googleusercontent.com/p/AF1QipN0GuydTh4FiTlpDE-nYZVZPCELDOeAQoE8wc1l,https://lh5.googleusercontent.com/p/AF1QipNjwEPyxJZiZnfZRy0mER_Nj9_u3EhOkWiMIcGU,https://lh5.googleusercontent.com/p/AF1QipPtMUwbghIHfTuImh11KCos2CY_a_CgSJaU5tMP,https://lh5.googleusercontent.com/p/AF1QipObgicy6biHgvjMxh9R4VRtRCdUOdwviP_ZYrix,https://lh5.googleusercontent.com/p/AF1QipO8GjW4zTexQPUP_wPlEEbL5Mryke9omena6uR5,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMiHqkeQ_07r-X76VvTjzb3qGXT4PmL1Xawx_ql,https://lh5.googleusercontent.com/p/AF1QipNSgdgMWGaImwnPCj06ae46NvcfkVm3lbuOcrYs,https://lh5.googleusercontent.com/p/AF1QipMylu9xY41W9AkSFCvbDW-4epQuu0Exw-C22Dxp,https://lh5.googleusercontent.com/p/AF1QipMy65v5UBDAbR_RGXnJTbRAbvrjNUUuZUG4oVY7,restaurant,Qalyubia,Koshari restaurant
Sticks,"حديقة الطفل, شارع ٤٥خلف, Qism Banha, Second Banha, Al-Qalyubia Governorate 6470140",010 21603912,Not available,4.2,5,Qalyubia,https://maps.app.goo.gl/BKWRsH7Hgr7Xveyg9,F5HH+7P Second Banha,30.478187,31.179313,https://lh5.googleusercontent.com/p/AF1QipNVERfn_KxL3CNXp6qw2TTI-a_DuvUj8fJnRqI9,https://lh5.googleusercontent.com/p/AF1QipNWjkTRxdPEYM-hEElFstH5C_ikiZLrLWYUzK4e,,,,,,,,,,,,,,,,,,,restaurant,Qalyubia,Sushi restaurant
Pistro بسترو,"F5FH+J4W, Mecca, Qism Banha, Banha, Al-Qalyubia Governorate 6470105",010 99997175,Not available,4.4,28,Qalyubia,https://maps.app.goo.gl/Egg3xQ3iZradAC9e6,not available,30.474187,31.178063,https://lh5.googleusercontent.com/p/AF1QipPDVmb6SP8dIGg8ZlBbvkOsidIdYTKNloG4z5Vj,https://lh5.googleusercontent.com/p/AF1QipOiDVfgKsPfJ40SmwbDrqPl4_019vxkmdHvZpxl,https://lh5.googleusercontent.com/p/AF1QipPk1Xf5hBXCtjn3DuiYQBQjzStDTtNTKI9OobHG,,,,,,,,,,,,,,,,,,restaurant,Qalyubia,Fast food restaurant
أوريو & كيري,"F5FH+V3M بجوار tomorrow land, Qism Banha, Second Banha, Al-Qalyubia Governorate 6470101",not available,Not available,4.3,3,Qalyubia,https://maps.app.goo.gl/AxYXuirUhzCHEBKY8,not available,30.474688,31.177687,,,,,,,,,,,,,,,,,,,,,restaurant,Qalyubia,Fast food restaurant
Hadota Restaurant,"بعد كوبري الفحص -سابع, شارع شمال علي البحر, Qism Banha, Second Banha, Al-Qalyubia Governorate 13211",010 00389740,Not available,1.0,1,Qalyubia,https://maps.app.goo.gl/Wt1mLpNvvicLNo4Q9,F58M+9W Second Banha,30.465938,31.184812,https://lh5.googleusercontent.com/p/AF1QipNhyg_NIg-ZTyOH_-nyiWCfwqY-oSvsOnDByoW-,https://lh5.googleusercontent.com/p/AF1QipPanoDJRjanddJoI5_xBfQZfTtpZRo9GNoNR7Yu,https://lh5.googleusercontent.com/p/AF1QipOiyInlQUZZAB0Texqe4NI0Sg-6sMo97z-7W7Up,https://lh5.googleusercontent.com/p/AF1QipMw40jaZutvofTms-l2hJk7pmNgb1WLGsgm0RId,,,,,,,,,,,,,,,,,restaurant,Qalyubia,Fast food restaurant
Jamie's chicken & shake,"Qism Banha, Second Banha, Al-Qalyubia Governorate 6470101",010 69780877,business.site,4.2,580,Qalyubia,https://maps.app.goo.gl/8z2YeZUddJbnvTtj6,"F5FG+VW Qism Banha, Banha",30.474688,31.177312,https://lh5.googleusercontent.com/p/AF1QipOna7guGwpnDa7QxHwoxSFtH5n6HJUQXW2GERWa,https://lh5.googleusercontent.com/p/AF1QipPVD4SzFUW9KBW4SNzfiEN-PVUP_VLOnPhTuZaa,https://lh5.googleusercontent.com/p/AF1QipPKt5Y_r3REhoHPlNssF2ObCwdgMjeqOMw_olD7,https://lh5.googleusercontent.com/p/AF1QipP-0dlmUwi8gA9OgXqBp8qWL53qLQHb6q-hSd15,https://lh5.googleusercontent.com/p/AF1QipPVGqjMt1s-5vIaiLr5s1whApXZriQ_2fuWVVwV,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPJ-2_6g4oEd6dGst0974UOoo4Rqrsj39iwVyks,https://lh5.googleusercontent.com/p/AF1QipNeyhjMfjejKHE22VAnnVXnX0RZzuyqgeUFOWdr,https://lh5.googleusercontent.com/p/AF1QipOu4v9UwIImOe2-MvsthoczQ1fQS1j_ZaWVP51f,restaurant,Qalyubia,Restaurant
