Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم مستر فود MR.FOOD,"شارع عبيد شارع، الدكاترة, Qena Governorate 83523",011 19666828,https://www.facebook.com/profile.php?id=100094244370758&mibextid=LQQJ4d,,,Qena,https://maps.app.goo.gl/Cr24hdq3sjMRRzF49,5P58+MV Qena,26.159188,32.717188,https://lh5.googleusercontent.com/p/AF1QipN56o5gvowG8sjTxEdiANIO_QRETagp0kKKWgRe,https://lh5.googleusercontent.com/p/AF1QipMKg59mT4OFtukHP8uioF-lAhDgI0LD6Sh8dXAp,https://lh5.googleusercontent.com/p/AF1QipNmptj3g3h2k8hf-XU2HNbbrdaEX2dADOE5lqa9,https://lh5.googleusercontent.com/p/AF1QipP0b4nXCD0xlY3nN5IdY7pRu-d7p0bFUomY6VA7,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM0jRf7fPLxx93qHCRrvf7e03VQXuJCRD70cRs9,https://lh5.googleusercontent.com/p/AF1QipMYP4GHEwT6YtCsxAI8DRpc3cOo9uCNb03K0Mzh,https://lh5.googleusercontent.com/p/AF1QipPO7fR7pLoRqsihAtZsjUJ0SyE0XkCknsCkVwJT,restaurant,Qena,Restaurant
مطعم وليد المصري,"طريق القاهرة - أسوان الصحراوي الشرقي، قسم قنا، قنا،, Qena, Qena Governorate",011 12166551,Not available,3.9,70,Qena,https://maps.app.goo.gl/k3xfucRXL95XdgM47,5P98+CR Qena,26.168563,32.717062,https://lh5.googleusercontent.com/p/AF1QipMY2Mmq-MgwXA-TVcC5gQSel6hzDBkbKQU9Vr_b,https://lh5.googleusercontent.com/p/AF1QipO7ow4bjd75ZEq3UFtbyFwBVkmQcNqXEF7jRhx0,https://lh5.googleusercontent.com/p/AF1QipMtbkFp0eZCJN12dnWFLP-qOI2zH41xV78t9h4q,https://lh5.googleusercontent.com/p/AF1QipNfK7AvqR0ZGDGlN4ylg6SQ8STHgLHBKLjbMmsj,https://lh5.googleusercontent.com/p/AF1QipN-pnI2hYpD1IMulm1CSAmHTYPzIKgXXcuBHfNh,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPNFAlIwL2ONQofhWpkbDEfz9qcCuWJfuOM-T8Q,https://lh5.googleusercontent.com/p/AF1QipNIk16LBKgoFw6xaMNfxRRYhLyu8AyhsHgkjfrt,https://lh5.googleusercontent.com/p/AF1QipONrZ2zGzvG-WbjfZjyja5RT3dJFKzZg6Xzqh7P,restaurant,Qena,Falafel restaurant
House Of barbecue,"5P58+F33, Jul 23, Qism Qena, Qena, Qena Governorate 1461202",011 11149879,Not available,3.9,534,Qena,https://maps.app.goo.gl/rx23KgA9Cj7Rc5St8,not available,26.158563,32.715312,https://lh5.googleusercontent.com/p/AF1QipOXTOsluiGEfjWhPaJ39F9ez6EtSexfajjF4tOh,https://lh5.googleusercontent.com/p/AF1QipM3e-RXF7z6nsSZaBZyCmmLJSTUwl9i749BB9aT,https://lh5.googleusercontent.com/p/AF1QipPM7Wd_uT02pI4XZNn-ameKtxZPeSwN9XmtYm_j,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNIXQwot5_rWu-yK6ErhRBOEcqqoahrncv4ih5J,https://lh5.googleusercontent.com/p/AF1QipPC0nrvQ6SfhalxJZhJ4ftjgBBKLznUw0ZHif6Z,restaurant,Qena,Barbecue restaurant
Mido's Restaurant,"5P57+X8X, Bean Al Gnaheen 2, Qism Qena, Qena, Qena Governorate 1461207",010 99033312,Not available,3.7,44,Qena,https://maps.app.goo.gl/Q3kw1NgcktKv2W5L6,not available,26.160187,32.713313,https://lh5.googleusercontent.com/p/AF1QipMfuyvIancqk8uLPTJrnrzGHsYtXeKH4kT-Al5J,https://lh5.googleusercontent.com/p/AF1QipMmHXbXjjDKHItomwjaRDYBd8fEw_0Rn7QPJqcH,https://lh5.googleusercontent.com/p/AF1QipNXAf8KznaOWL2lOjrTWH1FVK3H2Od--q7Z0l3C,,https://lh5.googleusercontent.com/p/AF1QipPaDjxew_hbMQdjzGjqCbV45VBeUH8vKZSqyB5R,https://lh5.googleusercontent.com/p/AF1QipM3XNKwrpn8FJnNPiAEMwYT6H_u2qnVuwHcNMV-,https://lh5.googleusercontent.com/p/AF1QipOKvDHYyLZeUnPcAJ0wFOG4cIhQCnAWjbKTQ7o6,,,,,,,,,,,,,,restaurant,Qena,Fast food restaurant
Dolphin Restaurant,"5P34+HP7, Qism Qena, Qena, Qena Governorate 1460305",096 3323000,restaurantguru.com,4.2,641,Qena,https://maps.app.goo.gl/krXzJqV427bt7QM1A,not available,26.153937,32.706812,https://lh5.googleusercontent.com/p/AF1QipOwjHw3N9Te2RZ_UsE-D10h8n3bOcWisPXVx45i,https://lh5.googleusercontent.com/p/AF1QipNx1gLFE15AV9fRqZjDXPhBJQ1-yEpVQL0omlh7,https://lh5.googleusercontent.com/p/AF1QipOciXrKuT6I1GWChD1Y6U_hK1lLMk8TqpZDZ4WE,https://lh5.googleusercontent.com/p/AF1QipPjgKgGs6Df9q7PJs-M1ZqDZAHdJMguXyJ1FWKs,https://lh5.googleusercontent.com/p/AF1QipOBGZe-bjjK3Qu3PUkS8dDj1fJTlj0h93NflWjl,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNf9o4U0kzSXDm_TDtVpCpNpuFWjyLI28mIWIyC,https://lh5.googleusercontent.com/p/AF1QipOdZfk5t-OroAOjStgAekLwGYOTSvhlsa474pS5,https://lh5.googleusercontent.com/p/AF1QipNZ7VjxMtxFhp1lQoZRJxABH1-fO2tKtr4RXOod,restaurant,Qena,Seafood restaurant
Sicilia,تالغ26 يوليو 26th of July st,096 3360600,http://www.facebook.com/cafe.sicilia.qena,4.1,"1,555",Qena,https://maps.app.goo.gl/k5dtnh7tYRd64RjDA,5P45+W2 Qena,26.157312,32.707563,https://lh5.googleusercontent.com/p/AF1QipNG9aAFCYZmYi7zQ4uphVCxyR3lnJrVwJzA4t8W,https://lh5.googleusercontent.com/p/AF1QipO-mGyWXzIp2sDXVKLOJoYI8_FE1gJw8qjy64B7,https://lh5.googleusercontent.com/p/AF1QipO9tDQ4EsFNBz3aBmnxQb9zwLU61F5I2ymuIB8Y,https://lh5.googleusercontent.com/p/AF1QipPhmMAqrpkOhvAA-JssZciSKIhsOrTxWc8dpnSF,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOCz05iRk9VvQmsCPl7pwZ8EA7dTDsx-beCh034,https://lh5.googleusercontent.com/p/AF1QipMFjHj69I11owe9n5bNbw4lWawboK6TMNl8TH77,https://lh5.googleusercontent.com/p/AF1QipNAgqEL1A-WcqdUHikEiaKqAbByHpucsa2kIc7u,restaurant,Qena,Meat dish restaurant
3altablya Qena - ع الطبلية قنا,"عبدالفتاح كريّم, Qism Qena, Qena, Qena Governorate 1461340",010 62422006,Not available,,,Qena,https://maps.app.goo.gl/hfGipZfw3nRrbf2SA,5P87+6X Qena,26.165563,32.714938,,,,,,,,,,,,,,,,,,,,,restaurant,Qena,Fast food restaurant
كويك فوود التكيه,"Al Nakib, Qism Qena, Qena, Qena Governorate 1461101",096 5347070,Not available,3.8,"1,928",Qena,https://maps.app.goo.gl/HQWDZC9D1C5NRsVp6,"5P59+96 Qism Qena, Qena",26.158437,32.718063,https://lh5.googleusercontent.com/p/AF1QipOZwEGm7yKtkikAFhLOzIkA0nfT2akB2mnnQpfC,https://lh5.googleusercontent.com/p/AF1QipNY0rHuUC5wMpuQCT2Z38fmZGn157PplpWTpkDI,https://lh5.googleusercontent.com/p/AF1QipPR_FTekNXJuZd2s0cW2Fds37ragDvr_wNVOXrC,https://lh5.googleusercontent.com/p/AF1QipPePnqXvz11pBcs2i5zPSLH5UsbyhKJEsLHAAEY,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMDDL67l94Gv_5fxsKTw-a9TiygGwFPe1-tmKLf,https://lh5.googleusercontent.com/p/AF1QipM4JhJqefGbK_ADwOy4l8gw2vh7y1dEYyEr9Xcj,https://lh5.googleusercontent.com/p/AF1QipN9xtkFZxM16bnTShZC5fod8osjDlF0mkqFfE28,restaurant,Qena,Fast food restaurant
كشري وحلواني الامبراطور قنا,"شارع كوبري دندرة بجوار مستشفى قنا العام قسم قنا،",010 33348048,Not available,4.1,215,Qena,https://maps.app.goo.gl/TpvNLWDZMKQQeztL7,5P64+6H Qena,26.160562,32.706437,https://lh5.googleusercontent.com/p/AF1QipNhlrw3ztHjFZeLXP4SCGOl9yO2vqzAp4NLQriA,https://lh5.googleusercontent.com/p/AF1QipOgXoJtgBNn8lfo-W0YVtYVc5e28BwlHEo8mbTg,https://lh5.googleusercontent.com/p/AF1QipNGmNhshcCb77OlUh5PiL79iplVSP3YJt1l0UTb,https://lh5.googleusercontent.com/p/AF1QipOw5y6J3Da-nrGMz3SbfPNN7zDBh3BJkTvo19zp,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOuIS26kur144xjfEUALY1Z1hQOS_eAYJDdCQXe,https://lh5.googleusercontent.com/p/AF1QipNlgEoKg_zxsbwMKgpSKmiSRzRbZ55UJLqk-Taz,restaurant,Qena,Koshari restaurant
مطعم وكافيه ميركاتو,"5P58+68H، Unnamed Road, Qism Qena, Qena, Qena Governorate 1461201",not available,Not available,4.1,70,Qena,https://maps.app.goo.gl/5duNpWejCi3iYYjf8,not available,26.158062,32.715812,https://lh5.googleusercontent.com/p/AF1QipN7Cpj7KTXwcS0JqQgMS1OkknRPqWPc-HMwkXvy,https://lh5.googleusercontent.com/p/AF1QipPh841C35qzR74AAppfuhzbPCdOBT8BriDZO2E1,https://lh5.googleusercontent.com/p/AF1QipN0xUltllypj8Xe7sOxBY0eBcq4wGV38lwPFvLC,https://lh5.googleusercontent.com/p/AF1QipNgDWstBFbrjkXUOs67E8gJcDKExNzQUrUAbSUw,https://lh5.googleusercontent.com/p/AF1QipPQVY55IV99AKLsbMpM94rjiKXmcKKJfRTY-9LV,,,,https://lh5.googleusercontent.com/p/AF1QipOT_XLObn_ZIzNuzKwPCIzUoHWMvldp3P46fS9I,https://lh5.googleusercontent.com/p/AF1QipNZcgvYKtQ9cSoSmHfO-lZoq6dzW1hXNtIMQ1VF,https://lh5.googleusercontent.com/p/AF1QipOBlnR8XmH3Olu1YhOhKa3SEYlrI5Du06aTq_91,,,,,,,,,,restaurant,Qena,Izakaya restaurant
