Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Red Sea restaurant,"نادي قارو الرئيسي بجوار coffe time, Faiyum Desert Rd, Faiyum, Faiyum Governorate 63514",010 50083051,Not available,4.3,140,Red Sea,https://maps.app.goo.gl/M2hkLNL9Dbo3FPMH9,not available,30.252688,31.464937,https://lh5.googleusercontent.com/p/AF1QipOB6XB4GVXHsVNWO8MkNOL4NqKfyj2yxK4lNppD,https://lh5.googleusercontent.com/p/AF1QipMw6VjrHb7T-JVtCY33RCRRuD3-kcyY7LRvKA2I,https://lh5.googleusercontent.com/p/AF1QipMM5f1FezxXH5z9Y-w3lLwFYw1LY7tQtdtfY4Wk,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMrKN70s6_WDkhhDlStG5OeFjYIc9yhe1zR_2tr,https://lh5.googleusercontent.com/p/AF1QipM1JIGkYm-nqo6rj0pHPGU11ar1mOATlvCqqo-3,https://lh5.googleusercontent.com/p/AF1QipMK9G18Poha2763IJjtfWP7pxzQ4NvHs0srnXXH,https://lh5.googleusercontent.com/p/AF1QipMzGPcikK4kSAvXv_u6wZqMqFNK1b74AMfFTKBe,restaurant,Red Sea,Seafood restaurant
San Marino Pasta & Pizza,"100-, 101 Shehab Al Din Khafaga, El-Maryland, Heliopolis, Cairo Governorate, Cairo, Cairo Governorate",010 62229211,https://www.facebook.com/SanMarinoEgypt/,4.5,"2,153",Red Sea,https://maps.app.goo.gl/agL67nZ4ZpSZgGn39,482C+9V Heliopolis,30.100938,31.322187,https://lh5.googleusercontent.com/p/AF1QipMxlPuvnAmjXeeQKtLgh0QuvotdueQSTGnasKFf,https://lh5.googleusercontent.com/p/AF1QipPpU4-fSh79lL6gXrCT7DkD6aKDAhON0OKhSH_C,https://lh5.googleusercontent.com/p/AF1QipP2FVK1UNFHU_AYALFtROEd0D9bsDl7ppsRr99d,https://lh5.googleusercontent.com/p/AF1QipPuxFXODTqQFCiEcJwipgyfhqLJ8hgHUmLGqJNk,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOA8KIE2aaxlseCFZpU_3419J9DbZtZ7xl4jHhE,https://lh5.googleusercontent.com/p/AF1QipNM0uBZA4Qg4W9mg9JkNIVSGjyrKstd1ywf47fV,https://lh5.googleusercontent.com/p/AF1QipMw7kfzSwiiGUmPnGjzILW_37UY5nLnNIEAlQlN,restaurant,Red Sea,Italian restaurant
ايسترديا للمأكولات البحرية,"٢٤، اول عباس، شارع Anwar Al Mofti, Nasr City, Cairo Governorate 11765",02 22607143,https://www.facebook.com/estrediaseafood/,4.1,"2,118",Red Sea,https://maps.app.goo.gl/u1ajvXNf7CpqurjJ8,388J+QH Nasr City,30.066938,31.331437,https://lh5.googleusercontent.com/p/AF1QipMYp8P65x7aDDT5ki5-uQRAZEOyhYtcVgBIfnnn,https://lh5.googleusercontent.com/p/AF1QipNjbCu51fA8W247SDKLS_o39oUKesIwTBt-xRM2,https://lh5.googleusercontent.com/p/AF1QipNJao8DbPOYoUlKW88aRuM24cjpjG8Ek_6yCI_1,https://lh5.googleusercontent.com/p/AF1QipM7_pfEZYTXFIrkoOmYU_SmvqaKDEziw7xNweAL,https://lh5.googleusercontent.com/p/AF1QipPCheuDQh5rOHgK9yLtX4u4PpPnwkAY6n5MEHc,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOKDww0UqcC0MAO3ILeKumj838kTRKB-rym_V_Z,https://lh5.googleusercontent.com/p/AF1QipOL20rfKnsj3D01rGL_fQFHGokhWuWFsQ_hnMBt,https://lh5.googleusercontent.com/p/AF1QipMu4oQVJTwtzq3uFimRYea4rm1TXbVojB3Z0D0u,https://lh5.googleusercontent.com/p/AF1QipN3Z9TbLyMULFyBCngdZWb3euL_hnXddxN35usx,restaurant,Red Sea,Seafood restaurant
Seagull Restaurant Dokki,"Nile St, Ad Doqi A, Dokki, Giza Governorate 3753451",02 37494244,https://www.facebook.com/SeagullRestaurants,4.3,"4,500",Red Sea,https://maps.app.goo.gl/JgA7YWhwQAVLQSVL9,26V9+RJ Dokki,30.252688,31.464937,https://lh5.googleusercontent.com/p/AF1QipPO7nAnsXt-QJRTuGJQEmUZ-kuV65cpjVozgg9T,https://lh5.googleusercontent.com/p/AF1QipM6O5_NMu6YHgSFioBd512uuNAsdhst8kZ3A0K_,https://lh5.googleusercontent.com/p/AF1QipO7FYii3G6dnS65OdcCKuqnhDX3N-6KZ_UQxlvO,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNS0mPgT4UaVUeA4bh_XaxCad7uMpWHKTXH_0bb,https://lh5.googleusercontent.com/p/AF1QipMXfVbRj74621nnLAVId-e9sqDVuv-PpMqL0MH1,https://lh5.googleusercontent.com/p/AF1QipPNDbZQYiZmevsxedRTMrAE1VKkJSuvf6i5aCbh,restaurant,Red Sea,Seafood restaurant
أسماك البحر الأحمر Red sea sea food,"RJQH+H43, Unnamed Road, قسم أبو سدر، جنوب سيناء،،, Ras Al Masala, Ras Sidr, South Sinai Governorate",011 12538819,Not available,3.0,5,Red Sea,https://maps.app.goo.gl/BvT6MAvr8nsymoBh9,not available,29.838938,32.627813,https://lh5.googleusercontent.com/p/AF1QipNWqprZPtuZz5HobpTuAggymrXWcZPMH8dHrrU1,https://lh5.googleusercontent.com/p/AF1QipMouYYQ7aiM1z9DlCrn4imBNA_4Q8i9bDZLJACn,https://lh5.googleusercontent.com/p/AF1QipOW0ZlPDc3lV4EsQ0nHeseLhlkjgXzXwBxyjq1D,,,,https://lh5.googleusercontent.com/p/AF1QipNJ3SHecSZ10vM_WgXbVSSCAByHnQm3t4IgVuPW,https://lh5.googleusercontent.com/p/AF1QipP9IDt3525I5z7JUX-fZrFfFGNWDIszVsHV09p4,,,,,,,,,,,,,restaurant,Red Sea,Seafood restaurant
لامواخذة,"92 El-Sayed El-Merghany, El-Montaza, Heliopolis, Cairo Governorate 4461001",012 22228825,https://www.facebook.com/lamo2a5zaaa?mibextid=LQQJ4d,4.5,"4,365",Red Sea,https://maps.app.goo.gl/6CHZmMmWh5vyxDtv8,38MH+XQ Heliopolis,30.084938,31.329437,https://lh5.googleusercontent.com/p/AF1QipND7JXcUaV4Bia8uOoGveA03ZMOWROga0oqI4DZ,https://lh5.googleusercontent.com/p/AF1QipMxi7XhAUBerPVLIxar7LSIRbUb2YRfpiWfnq9i,https://lh5.googleusercontent.com/p/AF1QipOaUcX8HPp9HDlkpeRujYS8l4r-nAcjmTt5hH8S,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMxCD49AVGnX8CH6Vz7COd1DL6ROToclQOeqkJ5,https://lh5.googleusercontent.com/p/AF1QipOiOB1SJSJmjg6lv2CWovLa7XE8SMlFmsSbHhsZ,https://lh5.googleusercontent.com/p/AF1QipN_rQ5DbRa9uqaOmUsLozlf7JWL1_8tuFSgndh9,https://lh5.googleusercontent.com/p/AF1QipPSF8jN05e4SukeHVvfOa4HA5Xbfb5brU9KRKSx,restaurant,Red Sea,Seafood restaurant
مطعم إستاكوزا أسماك البحر الاحمر,"WRV6+WF, Basioun City, Basyoun, Gharbia Governorate 6712223",010 94339698,Not available,3.0,1,Red Sea,https://maps.app.goo.gl/EVe1EbaJXky9T13u8,not available,30.944812,30.811188,https://lh5.googleusercontent.com/p/AF1QipO1VcF-QvUSGqkjLZkJOPW2WBA9TTsJufQ58sIj,https://lh5.googleusercontent.com/p/AF1QipNVLx-p72OftLp3V8UPanlPyeiJR7ovSag4iY1D,https://lh5.googleusercontent.com/p/AF1QipPFUv630BYOwgTvi_sGBx12V3WAEjiyaPbGmicW,https://lh5.googleusercontent.com/p/AF1QipMTysJVnIV0iXybAWwVZ-oKESd-UwjuYAg7FrUp,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOAea_P0N1N8chSIped-CGOjcHnyXXhIMFyxffP,https://lh5.googleusercontent.com/p/AF1QipO7Rcb06KCMvpl0FmsBZYcDjdRpjqBMHyx7qrQU,https://lh5.googleusercontent.com/p/AF1QipOu-sqHLGEhLZvSNJ5n-mgzHuCHYzjc9nW2KxQI,,,,,,,restaurant,Red Sea,Seafood restaurant
Abo Ali Seafood,"El-Nasr Rd, Sheraton Al Matar, El Nozha, Cairo Governorate 11312",010 29191919,aboaliseafoods.com,4.4,577,Red Sea,https://maps.app.goo.gl/5MyPWgFn2h886uZh7,"39RH+CQ Sheraton Al Matar, El Nozha",30.091062,31.379438,https://lh5.googleusercontent.com/p/AF1QipMpae68Hin-xjVg2Z9QucLW9_b3tVjT0QIIbr2l,https://lh5.googleusercontent.com/p/AF1QipMZYQH7RicDmi6UzqY_UJ9cleNRZuSJ3qY5LLQ2,https://lh5.googleusercontent.com/p/AF1QipO6H7_MJUY8I1KvJhBZK7SbOzerlqn1AKQqR3z7,https://lh5.googleusercontent.com/p/AF1QipN2Yrz-qoegMODMs1BbRkEYRBM_7b-2wON5Dkwh,https://lh5.googleusercontent.com/p/AF1QipMPtJEX3IiB3M3ldE2XEcf5Z3vAARlzmp0tbdBQ,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP137re2vuZ218yv4qsQY4jwnIbwXbtHGC9SQZk,https://lh5.googleusercontent.com/p/AF1QipNQtljQoL24i-r5SnKn2ampku7i6dhoDZ74Y8RR,https://lh5.googleusercontent.com/p/AF1QipNYtyKN2-t0w1rdoIq37eP4oCfNh08-RDSVAM7j,restaurant,Red Sea,Seafood restaurant
Fish Fish Cairo seafood restaurant,"86 Hassan El Maamoun, st, Nasr City, Cairo Governorate 4450476",02 26774757,fishfishseafood.com,4.4,194,Red Sea,https://maps.app.goo.gl/2vktJWHHsM6nz9Ss6,3984+MV Nasr City,30.066688,31.357188,https://lh5.googleusercontent.com/p/AF1QipPGnwJ1uMiq9p0SsfWeV5Dq_gZO_dq7Ts-tme5q,https://lh5.googleusercontent.com/p/AF1QipMBWpoecbW6dHVPz3GAIvWKeOUU79jDmAYfdf-y,https://lh5.googleusercontent.com/p/AF1QipMQdt5_HDj_Jj-1t4dBqMt8WIkYzLe5p5FaCBOI,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM4Rl8H3SzJwzgMiYhl8TEO7IQpbcjPuZsB5q-_,https://lh5.googleusercontent.com/p/AF1QipOt3gLwcA-wtR7lDqOhqdDCnqTT7iw8djjeTCad,https://lh5.googleusercontent.com/p/AF1QipP6hIN801rPynrDOdsemWvRvgW6wgEOXE9v-tfi,https://lh5.googleusercontent.com/p/AF1QipMEbGbauhqRD-uovTXisKEv6_85ExT0iYO3u79z,restaurant,Red Sea,Restaurant
Shrimp Station,"بنزينة التعاون, شارع محمد فريد ميدان رامى هلال, Cairo Governorate",XCWC+J6 New Cairo 1,Not available,4.7,19,Red Sea,https://maps.app.goo.gl/Bn88qqXMUZ3DSR8a7,XCWC+J6 New Cairo 1,29.996563,31.420563,https://lh5.googleusercontent.com/p/AF1QipP5VEyI_aFyS2ztPexSeAMNF3JL_CBlwAW_AwNX,https://lh5.googleusercontent.com/p/AF1QipPxAlXE_xUH15jSHsKg5-w6-LNfLs01TN-5J4_T,https://lh5.googleusercontent.com/p/AF1QipNdrnH6Y8ae1lO-B_pj-8FTc_A1JqyTXQMJm_zu,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMALvDqPMl87mrywMutjUzJe5Cc250lOvhNmT0U,https://lh5.googleusercontent.com/p/AF1QipPPLGt5nNkb96y_SC9DY8J0pGwrfNRdCGPanD1D,restaurant,Red Sea,Seafood restaurant
