Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
مطعم الملك فاروق,"GPX3+355،, كورنيش النيل،, Al Kabsh, Sohag 2, Sohag Governorate 82749",GPX3+63 Sohag 2,Not available,4.0,20,Sohag,https://maps.app.goo.gl/LSX3BJx3EgJ28nT97,GPX3+63 Sohag 2,26.548063,31.702688,https://lh5.googleusercontent.com/p/AF1QipN2eY_Ghb4I26jarIGqokIcpQizf1DEUvzwm7Z5,https://lh5.googleusercontent.com/p/AF1QipMQ0ZZSfTRZnojd2hbe06RqWO4GbcdoOdLcGTg7,https://lh5.googleusercontent.com/p/AF1QipNPp5XL9TwCPaS1xX_V5A5wr9oUlN2iI3M5uYwA,https://lh5.googleusercontent.com/p/AF1QipNvdhHCaitBF00Q8w8SmqnyrRnXne7btEwgz1gn,https://lh5.googleusercontent.com/p/AF1QipMmbcBKo5fB7N1Ylj91kGqtv-ijktksLY_asNqd,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNZna-_HSKkKT2Lq0l0lXophZb7bw_WvSCpgiA5,https://lh5.googleusercontent.com/p/AF1QipPue9PPfxPl9FqYhiMTa5qt--Bz1GgSpuqz0j5z,https://lh5.googleusercontent.com/p/AF1QipPhw7LypQan-3KA-Hab4it3f4ImXXtUiBf83oCv,https://lh5.googleusercontent.com/p/AF1QipNSFdJwYjDYt65ZHOjqXjO0DiV91j42qSuOioPp,restaurant,Sohag,Family restaurant
بيت الخيمه سوهاج,"HP74+XF5, Akhmim - Al Swamaa, Sohag 2, Sohag Governorate 1684091",010 15357864,Not available,3.8,416,Sohag,https://maps.app.goo.gl/Wf23bAJdEgBzsQk28,not available,26.562688,31.706812,https://lh5.googleusercontent.com/p/AF1QipO-4CuebR_HsqN-wqsaRt49RRUl0TBk4vLiq17A,https://lh5.googleusercontent.com/p/AF1QipNkY8PUN9fEbpxpXaVyrxbpLfoHg2OziA4GDWGs,https://lh5.googleusercontent.com/p/AF1QipMeyS1rp4U0DouDImPW7xK5Eya6iszBQDOoH9qX,https://lh5.googleusercontent.com/p/AF1QipMLvorWx6d-wck4OGYJbSxyMXsfc-DthvlK2mSK,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMbPUkjqzxk9EEUwK3or7Cd2WbKVPVHtyVoLh-v,https://lh5.googleusercontent.com/p/AF1QipOexEFcbGX4HQctxgfEsAj30SDz6u8K2QBLS5I,https://lh5.googleusercontent.com/p/AF1QipO394pfIzUhZ5atD-7KijJC6kgXUOB-6xPcp6w8,restaurant,Sohag,Izakaya restaurant
Lets Go Cafee,"Mohammed Ali, Qelfaw, Sohag, Sohag Governorate 1683053",012 12515000,Not available,4.1,"1,013",Sohag,https://maps.app.goo.gl/tsQjpuxVyqYxtqVRA,HMCW+42 Sohag,26.570313,31.695062,https://lh5.googleusercontent.com/p/AF1QipOs60obG4_kmk6BpR7JciqwAZe6wkoiTxQZj80A,https://lh5.googleusercontent.com/p/AF1QipM0LpG8KQNNyHd17cjpJ3wyCIr1IIaVyd6lDFwa,https://lh5.googleusercontent.com/p/AF1QipPiZV4gdIF7cEyZI4jTMxgiV1Uhd7t_97ytSTEc,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPTYnahcDUjEbCRrc2cFVCdmTtluMkFPI2fKPyH,https://lh5.googleusercontent.com/p/AF1QipP8kd3wjZxNH1g9kJxNHZiQRDDS2KzXSjppw_k6,https://lh5.googleusercontent.com/p/AF1QipMuT7-ZUQvVl97KVEvdtPL-LTWaE0aeP6x2jO9L,restaurant,Sohag,French steakhouse restaurant
ديوان الشام,"Qelfaw, Sohag 2, Sohag Governorate 1683032",015 55863633,https://www.facebook.com/dewanelsham/,3.7,330,Sohag,https://maps.app.goo.gl/4sB6ZrUfHQcjTaPe9,"HM6X+63 Qelfaw, Sohag",26.560563,31.697688,https://lh5.googleusercontent.com/p/AF1QipP96hQq-USHva4YU4AkPw-8LyV0YJutQlEE4utn,https://lh5.googleusercontent.com/p/AF1QipNH07QlxXCC360LYmNuSZKb9k8GvzIUOeBJLL6D,https://lh5.googleusercontent.com/p/AF1QipOvKMdHu540wi7-W85ZKumK4IoRId-dythX8eLR,https://lh5.googleusercontent.com/p/AF1QipPwAqnSJ90q4AEYVZCZXG8V8caASWklkPXNE5xW,https://lh5.googleusercontent.com/p/AF1QipPG8GDs4JTbmHd6mcaUZh3hzEwPXXEJa5OZbpuU,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP6gVnnSLfQkpgf-kaqj9oyPLFqeCOPoFy-_2VJ,https://lh5.googleusercontent.com/p/AF1QipPM75U0qGn2k_76Ws9r_SpejUUMbvDi3Fw4hyI,https://lh5.googleusercontent.com/p/AF1QipNelhms7KxVCLlLaykdfeDwogYnnlERETjF80b6,restaurant,Sohag,Syrian restaurant
مطعم عويضه الجمهوريه,"٢٥ الجمهورية، برج مبارك, Sohag 2, Sohag Governorate 1683080",HM6X+R9 Sohag 2,Not available,4.1,344,Sohag,https://maps.app.goo.gl/qLwFtmeve7qFbusE8,HM6X+R9 Sohag 2,26.562063,31.698437,https://lh5.googleusercontent.com/p/AF1QipNsStRLcxAziWNaawbRP9G7xvj5chn1Nn787k_n,https://lh5.googleusercontent.com/p/AF1QipMGcs2gG-nCJl7_DHC9fxeHOXZd2VX7FtdnHRoU,https://lh5.googleusercontent.com/p/AF1QipPnzxW_Axo-jPh_XyOScHRYyauSv9v0ID1GxqP4,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN1DxhzOBphLrzq1SPNmfOIZpoMC-G24_hAeybt,https://lh5.googleusercontent.com/p/AF1QipMLwxKUUx3KxIUaWGoR_b2caiVd0IsWc4TV3fht,https://lh5.googleusercontent.com/p/AF1QipNS-SSWFqkZZcA7KWK8LJrBCs7ae-cmAu7pEI6h,restaurant,Sohag,Meat dish restaurant
sawareekh مطعم صواريخ,"elgamhorea, Sohag, Sohag Governorate 82511",011 00050520,https://m.facebook.com/sawareekh,5.0,2,Sohag,https://maps.app.goo.gl/nRQMhYCC1D1MUtJV6,HM8W+4M Sohag,26.565312,31.696688,https://lh5.googleusercontent.com/p/AF1QipNs5uiLY2oJaN-uznYhRUfrJIlez4wxvBRcyL-w,https://lh5.googleusercontent.com/p/AF1QipOmdHlhxukV0AcCLmR2vH34QfRBgf0BziVLmxZu,https://lh5.googleusercontent.com/p/AF1QipP33fastobpevtIEbNXY6k4ub9vYBFgWqH8F5Oo,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMZrfQRXpGYBCA7Oz1d2vCzXeo3vOVfNiMHjzfn,https://lh5.googleusercontent.com/p/AF1QipM6HRtBQmS3HI8JMFSaDT-lXrCBp5dwKKuP4-Gh,https://lh5.googleusercontent.com/p/AF1QipNupqhct8pi5eE-2gNibjm6HJRKS62X3ML7aVZu,,restaurant,Sohag,Restaurant
Restaurant & Cafe Planet,"El-Khouly, Sohag 1, Sohag Governorate 1683082",HM8W+PG Sohag 1,http://www.facebook.com/Planetcafesohag/,4.1,600,Sohag,https://maps.app.goo.gl/s17hrr4mieEYnYM69,HM8W+PG Sohag 1,26.566812,31.696312,https://lh5.googleusercontent.com/p/AF1QipNaf4ArcVbKaTP-oUEFIieKgClJD5FBWN3tB4Zr,https://lh5.googleusercontent.com/p/AF1QipOPyaUPdYpV1n_5ecJYHORlB9dpI95QpYNfdh2K,,https://lh5.googleusercontent.com/p/AF1QipN3ZWc7pYFtrcJq8R_iLOGgfNQXYqRZD3C8rm9X,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMH9hlSp_vh0a4CiVvS4Jti_0Ja5xhbL_8T7Cp-,https://lh5.googleusercontent.com/p/AF1QipPCdgBmLL00pIQFgLYd_anyV3fZ0RRHaT9j_m6a,https://lh5.googleusercontent.com/p/AF1QipO48AMU_l7Av9Lu6nk-tq_wPCz4bMr5inT74GT2,restaurant,Sohag,Izakaya restaurant
Pizza Smile,"ميدان الثقافة، 9 شارع بور سعيد اعلى حلوانى دهب, Sohag 2, Sohag Governorate 82511",HM4W+94 Sohag 2,Not available,4.0,553,Sohag,https://maps.app.goo.gl/Ke4XJNTRMCy5k4kKA,HM4W+94 Sohag 2,26.555937,31.695313,https://lh5.googleusercontent.com/p/AF1QipP-6y5NnwaURk2AhpZeW0oz9JEWxNFPUdkudkPf,https://lh5.googleusercontent.com/p/AF1QipN57HSwitGtEZOer26BpAE3v2RiLo-lKGCMIm7x,https://lh5.googleusercontent.com/p/AF1QipPxjmIGWmOqzNjSYc00I-daR4tbTp5OnU4kL34,https://lh5.googleusercontent.com/p/AF1QipPXyXKnt7mnIaAv8wuf2FpB-Qyz3M230qzapN8Q,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNtQrc_BZEa8Bm1NAF2-zf6MyGqeaiFRm_sUglL,https://lh5.googleusercontent.com/p/AF1QipOOALHM0FZRNVarBT-9LdNKnDJD6NgBbUPq_pSP,https://lh5.googleusercontent.com/p/AF1QipPGGxU1m98G1892SVGsuzknOF47Pvv0LZiFzjrj,restaurant,Sohag,Pizza restaurant
آبل فود Apple Food,"El-Khouly, Sohag 1, Sohag Governorate 1683030",HM5X+67 Sohag 1,Not available,4.5,339,Sohag,https://maps.app.goo.gl/djPqk9oSSNje18yq9,HM5X+67 Sohag 1,26.558062,31.698188,https://lh5.googleusercontent.com/p/AF1QipPd2WjZLkCjASEoxryAF_w1OOh1kksKzjK4Zlsu,https://lh5.googleusercontent.com/p/AF1QipMU7I0yTLdhJm9gF23avMS6u3UUwX8VcK_ONUMk,https://lh5.googleusercontent.com/p/AF1QipOtomPzWLPt6z_SnHmBihvW6YDyRBc_h1fo1bt2,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPFPSUvL6a5COpF2MDJ36-0E2C61CcHWpiSFuF5,,https://lh5.googleusercontent.com/p/AF1QipN91pv6pvC4KMSUNUQFxiVzmmOxjHL0LBTBzCYZ,https://lh5.googleusercontent.com/p/AF1QipP9tWd5kKr9812iC0G7Iu0pl4PUdE9P3scdZRcG,restaurant,Sohag,Fast food restaurant
Wesaya El Gomhorya,"الجمهورية, Qelfaw, Sohag 2, Sohag Governorate 1683085",093 2715654,Not available,4.1,"1,242",Sohag,https://maps.app.goo.gl/LD1vw7gPtpusc2Jv7,"HM9W+M5 Qelfaw, Sohag",26.569187,31.695437,https://lh5.googleusercontent.com/p/AF1QipN-qCesFvHBfzpqb5SZ-Z2BZOfGhLXa3dlmae3u,https://lh5.googleusercontent.com/p/AF1QipPiw_cSnO9kMhfGY_5UO9s56gwz4JKu-NfYeOFf,https://lh5.googleusercontent.com/p/AF1QipPtS269V8aRTbg7ltDDqLpspjxeZs6OGTbcpAHF,https://lh5.googleusercontent.com/p/AF1QipOkDYwsQHku_uF_oHrcjmQL79VVo53fcoFNX8u4,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMbcXxX9ED3m6_HE4_A0jqSKD203sEJe4pXuG5r,https://lh5.googleusercontent.com/p/AF1QipNVzkEEks9G_Y9C_xLeJl2u3n39PHC-cwF_LAq-,https://lh5.googleusercontent.com/p/AF1QipPpaJS_njKcOwEArN8SKhQX38P1V2zwybSrACbO,restaurant,Sohag,Fast food restaurant
