Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Seaduction Dahab,"Unnamed Road, Dahab, South Sinai Governorate",015 01111931,https://www.facebook.com/seaductiondahab/,4.8,562,South Sinai,https://maps.app.goo.gl/mvxe3fkuxVPJ6ks16,GG68+8H Dahab,28.510813,34.516437,https://lh5.googleusercontent.com/p/AF1QipMeKMOXJJ8IW3UDfTSHudbNSU8b27DYd43p8chK,https://lh5.googleusercontent.com/p/AF1QipPQlSjNibxiNBxBCsHkeE2nKPxkrZTeItjNteve,https://lh5.googleusercontent.com/p/AF1QipPRzDttZbWybH8F-0xApmIdoCeD4lt5TgHZ-UXF,https://lh5.googleusercontent.com/p/AF1QipNySN3cPfx1A_sHTwNDXLp2uLi1lLeKTKELl4hX,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNzO7bea0JCf1gDkL1btB-LFjpKPzJFi_ycbUJ0,https://lh5.googleusercontent.com/p/AF1QipMg2qP3tOT0BmYhXNe2_2V-gwJXlBx85M5tJeOi,https://lh5.googleusercontent.com/p/AF1QipNFAwNsAK3WjWcoLCyHONfD8YS7M8HhhSkK18lV,https://lh5.googleusercontent.com/p/AF1QipO3ulqu_BpLLF5gRhSmbON2Hd_Zln8hQ1mVCW-t,restaurant,South Sinai,Lebanese restaurant
Sinai Star seafood restaurant,"Al Quein, Second Sharm Al Shiekh, South Sinai Governorate 8761130",010 03111573,Not available,4.5,344,South Sinai,https://maps.app.goo.gl/PYpPXtEEaEkrW4weA,V78V+7M Second Sharm Al Shiekh,27.865687,34.294187,https://lh5.googleusercontent.com/p/AF1QipMcH44qqsBrUDa6WzGQ9YE5wpq_u9Y9CL9dKCj3,https://lh5.googleusercontent.com/p/AF1QipPETDSKj39cefxIkjArhRoGtqRTFL6KutRqozQ8,https://lh5.googleusercontent.com/p/AF1QipMErbq2HZ18vC9g2BFWutfHHfgPYJ5YKANNUuhN,https://lh5.googleusercontent.com/p/AF1QipMq-0tcMPtzXRktxz8-_ptyqDrgGun6jTiJ_SMe,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNpoMRY5G6Tc_rqvIbn-sBR4FofrnI3r9fSoMZi,https://lh5.googleusercontent.com/p/AF1QipPxaYFqazR1jC5_30adsXjDbt-rAx69Ebt7N4Bn,https://lh5.googleusercontent.com/p/AF1QipMXJ1_05aLjeCazM912ggdMlC-XcFvuB-nNaGD0,restaurant,South Sinai,Restaurant
View Restaurant,"قسم سانت كاترين، South Sinai Governorate 8772614",010 97522991,https://www.facebook.com/pages/View-Restaurant/208179386026444?fref=ts,4.6,76,South Sinai,https://maps.app.goo.gl/hoXeLdnrS24CzhWV9,GG39+XR Dahab,28.504937,34.519562,https://lh5.googleusercontent.com/p/AF1QipNGhqR3_olX5x9b7KXtmpFR9Eb1LBNPvZV3K0KN,https://lh5.googleusercontent.com/p/AF1QipNjABOWNLXnkn13_Ad6UptkcA8jMNzNB9SajMw,https://lh5.googleusercontent.com/p/AF1QipNhTBy2Nirozr4uVXYINY5_0gReOIoC0aC6UO0,https://lh5.googleusercontent.com/p/AF1QipNRMnyr9qn3kN_8cFlORMr4pXkbGI5UBRKJsJZZ,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMuDOieRvfdhA7BqevbLtqP_FPN6u6XiaZnBYl2,https://lh5.googleusercontent.com/p/AF1QipNLaxzlREfIw9xdNE3RDlC_1IHocF5r071o-Dhh,https://lh5.googleusercontent.com/p/AF1QipMFkpw3T4rItg_PVQrK15QI2_wQQtAYqS1r9X6D,https://lh5.googleusercontent.com/p/AF1QipNiSi3T4D3YSumUtUM7-1Tyz13MKlKFqzpsABrM,restaurant,South Sinai,Restaurant
Karkor Restaurant,"قسم سانت كاترين، South Sinai Governorate",010 02050161,Not available,3.8,155,South Sinai,https://maps.app.goo.gl/p97no1aiLuihGNWw8,GG29+3W Dahab,28.500188,34.519813,https://lh5.googleusercontent.com/p/AF1QipON69qwVLY0JUmPQYM98pEQDe5Y3MlYdfE6yh_-,https://lh5.googleusercontent.com/p/AF1QipPN-QOBzKYBokMNezBuVhnn0NXmcafyzEy-FD-5,https://lh5.googleusercontent.com/p/AF1QipPgrV4wuVifSi1eeJXHAkbKnlNGZ67Xvy0mlWpB,https://lh5.googleusercontent.com/p/AF1QipNn1sxLl4fYUJhIeysCrfgMePiVbthcvfuI_wAq,https://lh5.googleusercontent.com/p/AF1QipNLF8si-_rg5PaqDHe2sps5X2cD720FCRdYF5PO,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO7PTr8mIEvKrwZrk-n8LIvDlcSyFwgkbkTzud0,https://lh5.googleusercontent.com/p/AF1QipMVjgPGU8Hu9U0XX0f6f_fQ1irdRMOcHxkWqlNl,https://lh5.googleusercontent.com/p/AF1QipPERC_FxPfooa_ufPE_fQDdOHC5nVj9ec8nSwr_,https://lh5.googleusercontent.com/p/AF1QipMfiA7GGU9eW4w1-0CmdrOlF8swZQOXefLAG5o7,restaurant,South Sinai,Meat dish restaurant
Red Cat,"46617,, قسم سانت كاترين، South Sinai Governorate 46617",010 91140113,sites.google.com,4.4,607,South Sinai,https://maps.app.goo.gl/woYE3ErmUaHc3Wvx6,FGX9+WW Dahab,28.499812,34.519813,https://lh5.googleusercontent.com/p/AF1QipMkuxGPjVc8mP2TM6oBv7eWa9pfOrrUyIokQb4c,https://lh5.googleusercontent.com/p/AF1QipMfqTZu8doflKn2kTf1C5TCHImqbkp9fRDQjctc,https://lh5.googleusercontent.com/p/AF1QipN5ZDwG1N02jh0tXzm7rqInHZNQsLR0e2HEvEkv,https://lh5.googleusercontent.com/p/AF1QipOppV6kfkGJDjbuC7gWJttpjfCO2RQSiApnXWKa,https://lh5.googleusercontent.com/p/AF1QipNspSwJtoibFi4iZ1uFnPRVtohOTMbOB1jYiqH1,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPdu8qOeKdyjJbeKXF5rsxnllNEEXbaR_p0wq7C,https://lh5.googleusercontent.com/p/AF1QipOCfJYHDp_yt2H8qyb3DokqOFE0WYFgEQWtzISU,https://lh5.googleusercontent.com/p/AF1QipMFCEdNLDnIKkixKsWsCkMg7FNDNdWRSnvSXyIf,restaurant,South Sinai,Restaurant
Shark Restaurant,"المسبط, Dahab, South Sinai Governorate 8772523",010 13133348,Not available,4.5,"1,405",South Sinai,https://maps.app.goo.gl/SdGSWS8uaZJaeiULA,FGX9+84 Dahab,28.498312,34.517812,https://lh5.googleusercontent.com/p/AF1QipNQmnXaYAzGHgE9ecyiHRjMQy_M6kmcFyE0ewkF,https://lh5.googleusercontent.com/p/AF1QipMygLDHoDtZl0KcEA2kCWGIosnmivQUgDMs-_0,https://lh5.googleusercontent.com/p/AF1QipMpqQGEhcShjq-FR73usSZpuuWKHAfE-9lGktwU,https://lh5.googleusercontent.com/p/AF1QipNS4LaQ5FOwh3UAM149B5-4TcH_MBFAuu9zz-O2,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPPJxJwRMxviXr7ykUmF8YTMIBG4gPYd4sZevtV,https://lh5.googleusercontent.com/p/AF1QipN5TzvtgVwBSXx71u6PojOEsNIY_h-PVJe29JYJ,https://lh5.googleusercontent.com/p/AF1QipMwt3SJDSgOnoPp49H9sxcc-AALvZGBrX2xtcmu,restaurant,South Sinai,Restaurant
Nemo,"GG57+MC9, قسم, South Sinai Governorate 8772464",not available,Not available,5.0,1,South Sinai,https://maps.app.goo.gl/gWU4fNsuGd5Seaw77,not available,28.509188,34.513562,https://lh5.googleusercontent.com/p/AF1QipNO5O4pc1_rrYz1eAlHztZHuZUp1MbA86I03pX8,https://lh5.googleusercontent.com/p/AF1QipOaISEZ5anUT638ig6MNEZXcWpGxZP1n7Rr44Lp,https://lh5.googleusercontent.com/p/AF1QipORjdE8MQGau27Yn6HTO5ym9PH5F3otroTu9pAB,https://lh5.googleusercontent.com/p/AF1QipMfK-QCe3NZT6SLEJLHc_whZiu0SI9wMgCdrgBa,,,,,,,,,,,,,,,,,restaurant,South Sinai,Restaurant
Mango Chinese Restaurant,"La Strada Mall, Second Sharm Al Shiekh, South Sinai Governorate",012 74661328,Not available,4.8,128,South Sinai,https://maps.app.goo.gl/xfdbpB4TgytFgC69A,2CVH+MJ Second Sharm Al Shiekh,28.044187,34.429063,https://lh5.googleusercontent.com/p/AF1QipP9mZ8Zo-Pq6EB46orI5K_tV2oFNU8mrHL1w76n,https://lh5.googleusercontent.com/p/AF1QipN7Wx4lTxpJlCQnbG1pqs6dQdtKaecWJXmn927A,https://lh5.googleusercontent.com/p/AF1QipPwKMhbV04IPQKvn_4b_dKHLcSsdaFoEMHzOlNh,https://lh5.googleusercontent.com/p/AF1QipNrVEkl3V6QZe3LhMnNXpVfvCRQnDOMXVEeoCxx,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM2aNunCSwG8Wiz_y-HREMh1iFXs79FXPNM_TMq,https://lh5.googleusercontent.com/p/AF1QipN4QZElvY57-g4hsW1fPxlHm4KwGqOAT_GHHkTk,https://lh5.googleusercontent.com/p/AF1QipM0_gozyp5953Z1JtNSZ8gi7-7Mf9E5_KayLVHy,https://lh5.googleusercontent.com/p/AF1QipMDUTE2HfZ1rj81asyHDCXhe1x9TCKCkRv6pIX8,restaurant,South Sinai,Restaurant
كشري سيد حنفي -الشروق,"امام دار مصر و نادى جرين هيلز‎, El Shorouk, Cairo Governorate",02 24285070,sayedhanafy.net,4.2,"1,048",South Sinai,https://maps.app.goo.gl/S5eo4pqLdSp77U24A,5J7Q+GF El Shorouk,30.163750,31.638750,https://lh5.googleusercontent.com/p/AF1QipMPysXmsH8ROEPjn3MWZIGiqb9k8X2E1GTl24SG,https://lh5.googleusercontent.com/p/AF1QipMuoYLVU8DoW3NP0XPORZ9kf9JNJ52BVEYdBZ8,https://lh5.googleusercontent.com/p/AF1QipMBe6jiMyy7kM53pSS18iLrvLQQx9oXU_U1-ZXz,https://lh5.googleusercontent.com/p/AF1QipO57au904eJ5UsXCQ1XB_buSA-6APOlWU5qMxnZ,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP5PY1mRiNwBR0yKcoxa2RUb6iv3CxvNicAPMPW,https://lh5.googleusercontent.com/p/AF1QipPNihCD4xEH2EgD6yreiyZkuZaT56E-pT6Za3M-,https://lh5.googleusercontent.com/p/AF1QipNL83c9LOOmA_X2-GGtJ2QxBUCp79Yna3eUi790,restaurant,South Sinai,Koshari restaurant
King Chicken,"46617, قسم سانت كاترين، South Sinai Governorate 46617",010 09090628,Not available,4.2,"3,048",South Sinai,https://maps.app.goo.gl/w216bh14eW2pWSZJ7,FGV8+59 Dahab,28.492938,34.515937,https://lh5.googleusercontent.com/p/AF1QipPrBEkIYj25WKW9rMK3s3dHvpJQwDJns95elPUH,https://lh5.googleusercontent.com/p/AF1QipOh7urnZSCsKzG1qLglW_8ch7G9iZeK0PV4iBCz,https://lh5.googleusercontent.com/p/AF1QipN-x5vRaaQ83JjWtQrojRaj3RoAg0Vbs7vyT4fo,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNAjFZ2vwIhHLWqJ4s7ChML49fhj07aD0m14AgP,https://lh5.googleusercontent.com/p/AF1QipMimDCbh2unpsHKNl-pu1Xdmr1QmT_SsXmmUAst,https://lh5.googleusercontent.com/p/AF1QipM_C1Ak9qXxivAksbZ9wihlnob5xJCbDs7zrAqv,https://lh5.googleusercontent.com/p/AF1QipOVpGGdMr_pWGR55KC8B_CqSWT5uYfWROWXKJCk,restaurant,South Sinai,Chicken restaurant
