Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Pasta Code,"الملاحة الجديدة ، امام مسجد المحروسة, Suez, Suez Governorate 43511",012 26600065,leads-eg.com,4.9,24,Suez Canal,https://maps.app.goo.gl/aoiKaS5Dp9neemUn9,XG8Q+7Q Suez,29.965688,32.539437,https://lh5.googleusercontent.com/p/AF1QipMNGpE1yZ-RMPfJBildeD0CZohlJtwe8fbLkFEr,https://lh5.googleusercontent.com/p/AF1QipP7L4oBlsc10R075S3Zqh9k5sboFkN5rHiRbUfh,https://lh5.googleusercontent.com/p/AF1QipMjX3fx82e3eQzuvGcusAd9cAIF5rq-SShs3o1_,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPPDTgJpBhKvr6R8b8-UwuwxO0P_1hkIYKRDpfh,https://lh5.googleusercontent.com/p/AF1QipPlkhuQva2dLZey0jR4lpGH8yL6zANUsWYIZLt0,restaurant,Suez,Restaurant
Santorini Restaurant & Cafe,"كورنيش السويس الجديد, Suez, Suez Governorate 8140101",010 33999205,Not available,4.3,56,Suez Canal,https://maps.app.goo.gl/go89E6JD9VNPUsto9,XG4V+69 Suez,29.955562,32.543437,https://lh5.googleusercontent.com/p/AF1QipPwUeVd0RyWNVNVw2QV_QdXEjZ4kLVxtf1vLXmc,https://lh5.googleusercontent.com/p/AF1QipOwktyTFkAneRp1xdC-uUCY6B16kSZBG_s_L8IV,https://lh5.googleusercontent.com/p/AF1QipOgDHyGT9Rxg31JM_FBA3gIJjogalafT2Q2e6DP,https://lh5.googleusercontent.com/p/AF1QipMjtzfNtD6CF1JEW-XJ9yJsv1x2TiAsHh6_l-Zr,https://lh5.googleusercontent.com/p/AF1QipPsN7IFOVlasfBtE2sOUAeYoFLwv1Cej5E-qEQJ,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO0DATG6p0D7Anlgv54_52ZHZgXkXmZBlzMBzg,https://lh5.googleusercontent.com/p/AF1QipP0eIk80l4m5dox7Pbdmgls-VD9-_OXwwN1fJKQ,https://lh5.googleusercontent.com/p/AF1QipN8nqQq23gnQ5rJQCMpcFhtxH5zii6u9osy98O0,restaurant,Suez,Izakaya restaurant
أبو شهد للأسماك البحرية,"أبراج السحاب - برج أصول مصر, ميدان الملك فيصل, أمام رئاسة حي فيصل, Suez Governorate",010 02316918,Not available,5.0,12,Suez Canal,https://maps.app.goo.gl/4wsPjuGQyqoXtzSr9,XGJ8+XV Faisal,24.982438,67.517187,https://lh5.googleusercontent.com/p/AF1QipOz9AmuKKqJ4FLy7iBqRZJYoVcHNqag6J_fXlw7,https://lh5.googleusercontent.com/p/AF1QipMOmvq8EoiR86AFRQlT87zLmrwzoCIF_GlNTAci,,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOh-QsgFzw31ff6ShO7Bztt2F-hF9BVyQVVdaGC,https://lh5.googleusercontent.com/p/AF1QipMxiIGTIGnA30otpkWS9gzMv5Sq2v4K0xPWtzvg,https://lh5.googleusercontent.com/p/AF1QipNuSdT3UoRVXUPxA10srWwXueX07MqUUbVuaEod,restaurant,Suez,Seafood restaurant
كافيه ومطعم كنكة Kanaka cafe and restaurant,"st Behind green house hotel, Portsaid, Suez Governorate",012 22601111,https://www.facebook.com/kanaka.suez/?ti=as,4.3,101,Suez Canal,https://maps.app.goo.gl/fymPWakmLv5Rtvwi7,XH66+F9 Suez,29.961188,32.560938,https://lh5.googleusercontent.com/p/AF1QipNeVaKKL52HndtD7m4dwxunDfNWYQiC9Bnv1Rfj,https://lh5.googleusercontent.com/p/AF1QipNVzWSxyIOfzyh1dPNqEnkOzu90sWVpBITVJHo5,https://lh5.googleusercontent.com/p/AF1QipN5irnaO6YaErepYuV8npij36ZxANTGRULSrshE,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOvVw036uJLj-AjIXPsipz8JA5hi8NXNop-_d0e,https://lh5.googleusercontent.com/p/AF1QipMAsp4i2p89AeKHDx8Rz89y30IqZ9ssePBeX9Zm,https://lh5.googleusercontent.com/p/AF1QipMaAjzILxnUsHORBAVkrPO_AQ3xlxrvBe8EgAml,restaurant,Suez,Izakaya restaurant
Fares Seafood and Grill,"XG6V+6PJ, Suez - Ain El Sokhna Rd, Suez, Suez Governorate 8141045",011 24413030,https://www.facebook.com/Fares.Seafood.and.Grill/,4.3,"1,799",Suez Canal,https://maps.app.goo.gl/BPkwpdqwBsXoJvRT8,not available,29.960563,32.544313,https://lh5.googleusercontent.com/p/AF1QipNG-8jWgjhJ8nPQ6y-e6y5nBS-YG8c-wpPkm2Zw,https://lh5.googleusercontent.com/p/AF1QipMgHAWNVZqGdl-9Y2hiDNoCr4Y8uJky-ciFjgzQ,https://lh5.googleusercontent.com/p/AF1QipPxGfL1uFH92ogcT877fgsP4v2Gn7EXbkvQyHFa,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOdr4amp6NjHfir903dV8BFh9nGQvkeYyajikbI,https://lh5.googleusercontent.com/p/AF1QipN5mnsg8hqNNDNtGfJ-vB7MEPt6n_sNPJngLOM0,https://lh5.googleusercontent.com/p/AF1QipOE-l1IM1tJwc6uBs_3qqucRcfsSND4r13tfUwZ,restaurant,Suez,Seafood restaurant
Food court restaurant,"السلام ٢ مول اليوساب بجوار كافيه station و مونجيني, Suez Governorate 43527",010 69440454,Not available,4.0,3,Suez Canal,https://maps.app.goo.gl/pq5VjjSSnicc8FdY7,"XFRV+MW Al Semad, Attaka",29.991687,32.494813,https://lh5.googleusercontent.com/p/AF1QipPx3FPDlGLfpBygMtQx4dx71GJGNLjLYIeCmqFp,https://lh5.googleusercontent.com/p/AF1QipMRmdcsNHizN-BjJOpcmgaKlOvJ6tVbHjjD7Toj,https://lh5.googleusercontent.com/p/AF1QipPflqfeyE9wLYo9LwY4sNFNkbGOakfr2eNyi_-Y,https://lh5.googleusercontent.com/p/AF1QipM7uFFUQlr3kz3Wk5kG_elmuZVYM87AWoAHK0Dl,,,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO6gHEjrxlmww0dCNYWbk5SisgS6J4_8gH3ugQf,https://lh5.googleusercontent.com/p/AF1QipNxb-QgmArRYujyF-4FjHH6AR3NwLTOHarjBa3Q,restaurant,Suez,Fast food restaurant
El Haty Restaurant,"33 Suez Rd, Attaka, محافظة القاهرة‬ 8137651",not available,Not available,3.0,2,Suez Canal,https://maps.app.goo.gl/xu6mMApbbzZZ9PNL6,"2F2P+G5 Al Semad, Attaka",30.001312,32.485438,,,,,,,,,,,,,,,,,,,,,restaurant,Suez,Restaurant
zadelbahr - زاد البحر,"suez new cornish, Suez, Suez Governorate 43511",012 23098333,Not available,4.3,40,Suez Canal,https://maps.app.goo.gl/q5Sd74XP7Bzjyzmn8,XG4V+2F Suez,29.955062,32.543688,https://lh5.googleusercontent.com/p/AF1QipMEvF9wVdEfAZFogf0KNd3b6SJd9QjQVzbRWskY,https://lh5.googleusercontent.com/p/AF1QipObhhAZKsArMsqzo0QkWKOnoTbktHtDyFUjoVsi,https://lh5.googleusercontent.com/p/AF1QipOAdvIqUgqqVm6PoeJljOkEQ0iD5ugwT4Tshmzj,https://lh5.googleusercontent.com/p/AF1QipMuCG4d_CrHH7ayWg-ndbvaAFgdoiHJ_p3Ye9RT,,,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMXDLZNQLJC77pGu5Ur4hi0kSSeOryU1n9mNTu9,https://lh5.googleusercontent.com/p/AF1QipM-GzwKHsK-JpHeW8yz0JLfDaDZWsz3FI_hDh9_,https://lh5.googleusercontent.com/p/AF1QipMo39FK3XOt_p2OjJBWyT5EtUVe0NF9t5VJtgzV,https://lh5.googleusercontent.com/p/AF1QipPeRliZ6pH5V7L11Ix0f5szn49KNEV7lF1e8Aor,restaurant,Suez,Seafood restaurant
Taco & Burger - تاكو اند برجر,"XH95+FRF Water Way, Suez, Suez Governorate 43511",not available,Not available,3.7,3,Suez Canal,https://maps.app.goo.gl/tLihbYRKJUm21Yma6,not available,29.968688,32.559562,https://lh5.googleusercontent.com/p/AF1QipOrFKKrYntQNtqMXZ_ziVqVO_Sb8LymfM5NYPvi=w408-h838-k-no,,,,,,,,,,,,,,,,,,,,restaurant,Suez,Fast food restaurant
La Marina restaurant and coffee,"XG8X+QX6 La Marina, Suez, Suez Governorate 8141223",not available,Not available,,,Suez Canal,https://maps.app.goo.gl/ZNnzv49e6vwXdDny8,not available,29.966938,32.549937,,,,,,,,,,,,,,,,,,,,,restaurant,Suez,Restaurant
