Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
طاسه اند Grill,"١٢٤ El-Abaseya, El-Abaseya El-Bahareya, El Weili, Cairo Governorate 4390342",not available,Not available,3.0,2,Cairo,https://maps.app.goo.gl/kMxCERqcmnbbfKN79,37CM+R8 El Weili,30.072063,31.283313,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Waili,Restaurant
مطعم بيبيتو,"Abasseya Bus Station, As Sarayat, El Weili, Cairo Governorate 4391076",011 24128177,Not available,3.9,22,Cairo,https://maps.app.goo.gl/Up4avRVQ238veTor5,37FM+3X El Weili,30.072688,31.284937,//lh6.googleusercontent.com/kHaQ3UZ3hyxo6ad3Fj5fuKl6oEUyXeBXEQEL25BfT-LnukmqeDUmf6uD7RTrr2Q=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPI1CP4KD6Sd20DjUlcncWbljCesmSWzgQd6yy0=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNteAtEM3-5bE-K8V_bce07WXV4qcf2KU7Z9Ghz=w222-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPDt5AaSfax4q3wFq-l4C1Y2jDLDWKq9WLX3V1m=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOUOOdkycHVQ6LUaNTaxUIZB1YZ9P3KtX-NnKme=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNpwyb6IJUSHOdVWHwzb7T4yNNvdpbRaqZb8kSi=w203-h359-k-no,//lh6.googleusercontent.com/psoxwQBgjqhkSwS4wjp6m896apZNdUjK5SHjRUTE9MxcUAAx-AGSf9HynvJ9Dzc-OQ=w203-h152-k-no,//:0,//lh3.googleusercontent.com/9DIBAR2eBv1Q6aTk-kP58xv-5yVxkRuQCOswYaT1ZpIKYnwHOUbu6BwRCHQRWjXH=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMoCK3yewcJm8y-goSzfvjTPkzIjV_qwVshvBTN=w203-h417-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPhpvIFpoG4WcGG4CpwsLG691rcsv5i5diiGXxT=w203-h417-k-no,https://lh5.googleusercontent.com/p/AF1QipOSFZh_BVqK3nyblnNZEsO9fWbi2CbyhvgE3hLS=w203-h417-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNr8L0-8eLzp2g6Cso3Rfn5if_R81CAaIIhQKck=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM6eQ2d-COYxfTzAfyq3mFVXpUfOJsaipqYAmpj=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNzy7BQCSlHdh3Mkap6GKhV47amjhmD5w0i0VIe=w203-h152-k-no,//lh3.googleusercontent.com/I_g2O2Tpzc68alv9fcQV64PrQAfM2SIrqU5eNruuilLOJB01FZly6D6Tlb5eZnCL=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOH162ZqeRFpjRWtRo-RSQtfx0iEEOod4bIxLvc=w203-h370-k-no,restaurant,Al-Waili,Meat dish restaurant
Le-bistro,"ميدان العباسية قسم الوايلى بجوار برج مصر للسياحة, El Weili, Cairo Governorate",010 64877776,https://www.facebook.com/Le-Bistro-552606261761146/,4.3,129,Cairo,https://maps.app.goo.gl/xMhW1gGLnPELbWQi9,37FM+3X El Weili,30.072688,31.284937,//lh4.googleusercontent.com/FasPr3SichI0i1uiVyJdcmI05rRrA_IJTltA3npMt7nSNyZ54D99cZNZjr3FWFx9=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOxnXseW-yJDHj0adgHQYhkp7O-99RR0Fm4I_9g=w203-h199-k-no,https://lh5.googleusercontent.com/p/AF1QipPEk6Dr0lHGNDIWYvnATbvSM6Cu_40_ghXLc_uD=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNIpM3D8WWSxyq3k0IDRiO5vEEIMY83ul2V3YlW=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMJmLatCcegdAjwQscpXvVFAj5l7QS6p6LFKhsM=w203-h152-k-no,//lh3.googleusercontent.com/fN6AUQz6wZOXPWGlaA7zMjRPnYOIFw2ncMSBqRGyN6ylq7SwukdDqtJrMMlCC7Zwtw=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOHxMgZdJLz_4hxSMO-GvvwppOl3p3J_1E-nesW=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMSyywqL29DJAXt3Tu8f7HtDDFBpmSHl7y9nC0Y=w203-h160-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNAauBOmXzsFAuy1k9k6BZpfH0bu0a4AcSfxGIo=w203-h175-k-no,https://lh5.googleusercontent.com/p/AF1QipOEISAhAyASVOif73OW3eJFmab-TMdLHyAeyPhY=w203-h365-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPyL9VNU5XCQVUgirSU2Q57jta_hzco5vvmOu8R=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMIEpFlq2BLkfwyJ4DmWecyGfIKe7FNFndu6hNZ=w203-h258-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPJDmrUKyqZf6FWY6DSwiQfBv-yzDavkK6ukf3f=w203-h152-k-no,//lh6.googleusercontent.com/lFtEK6NZ_f_toRrVCNvRzMkYQ1oqqo3hDgjz146lZ7xwmOE6i-IoddBAsRYawRuK=w203-h172-k-no,https://lh5.googleusercontent.com/p/AF1QipP7QB-2wQR-MoTEdZEPxAfTWylCMdZF0-kszvvW=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipMjC9heQ6jQzGl9Dd34enX3ai0TOljqu4Tgs0Ip=w203-h270-k-no,restaurant,Al-Waili,Dessert restaurant
مطعم الوادي,"37FM+CX5, El-Abaseya, الزيتون البحرية، El Weili, Cairo Governorate 4391090",not available,Not available,,,Cairo,https://maps.app.goo.gl/P9dYZfQJ64SDHXq47,not available,30.066250,31.271250,,,,,,,,,,,,,,,,,,,,,restaurant,Al-Waili,Restaurant
بيتزا أبو صلاح,"4 Al Qaaed, El-Qobba Bridge, El Weili, Cairo Governorate 4392003",010 63322193,Not available,4.1,12,Cairo,https://maps.app.goo.gl/EV6UYcHsaRERRrqp9,37HP+M4 El Weili,30.079187,31.285312,https://lh5.googleusercontent.com/p/AF1QipNroLAOjNcdzlLNoz0tWJ7YL6YWWWvOXohy2MYS=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMyvAzd8sC1NPfsDcI67izoOm3eGpeN8ENIa39O=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPbMDINnEwBxCst40THLvtf6BW6VLE6GZBAg6Gm=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOhrYVgN54GvnxTFltzMcNll-bt2Sq4VbfaU6D2=w203-h440-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPV4KYm194YyyHGF_-dSG1RP2xsoWHN3fzbnqEE=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOWz_DoWLp6sFW9cPKm_488krcVPluzqWefSWco=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMzPmaJLP_mqrh--GSmlL67jhgMMjvMPTAa5Kcc=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPZkdffJYPMwwYS49OxeSkSD1i5wodboNI_tEuz=w216-h100-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOgs7Ia8rff-EAqTCht9i9TnDma_Bwfre9rAGRQ=w203-h440-k-no,https://lh5.googleusercontent.com/p/AF1QipPU5ChtlfdkwEEidSSMwIcLE3qgai-I2RkkYjKo=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipNSnwfUfnR1okaOzJgd3ObDHfERb83h7nSxNfdY=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMN08bdWRXZdX6RRnVFDpzndi7-kVF4RRHTEeti=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM0u6Ojk5eLC1aj5FhNJNSIOF-bFSPV3B40Bu8G=w203-h152-k-no,,,,,,restaurant,Al-Waili,Italian restaurant
Food Corner,"74 Al Atari, Bein Al Ganayen, El Weili, Cairo Governorate 4390203",011 25473552,elmenus.com,4.5,393,Cairo,https://maps.app.goo.gl/qT6v4fvRbskvCVyp8,378G+57 El Weili,30.065438,31.275688,https://lh5.googleusercontent.com/p/AF1QipOyCnxt39PWl2l_pZw0nY6t4HFH4vRCbsnkymqC=w203-h116-k-no,https://lh5.googleusercontent.com/p/AF1QipPQpCw4C3g1XKQQTJuFEVRY61tdY7yx2E7WOF66=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPdNUTpwsYpN0VWx895hSlyUnkuzfRH-J2nfqpI=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMKpxDK2WeDKNZatkQydmeiXyyUU1-po98Xg2Kd=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPvlSuz2h3TXIBA38TsQVyK3GyaCicW6hMUOziY=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMB7ZqqkbUiSFn1Qhx0LlRZm1RsHh8Mvci50f9C=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNGUWuCl5TniYbFQPyiuns2NpANbU1tosM2CZFw=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMAnYpxVkOPTqPF3W38CCBzaapyc7DViPKUdovz=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMocf3jwqufq-wzDYyJZe_EK1r8t4VdPuiHFwNo=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPDmiK4zrpMbOyIgO3wZbGFrdYwl-B2meJM3ZcP=w203-h113-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN9jC4PubWWh9ByQBbJ_qc41W4ZIKCD76gHKofN=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPCkskbIkIzB5ZXSyGktXt1Xi6QrHPn7tcGGAqn=w203-h401-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMEvIK18dT6JKpDQ8NJqu0NuQ3Y_EttVmZNK295=w203-h451-k-no,https://lh5.googleusercontent.com/p/AF1QipNITOQ9L5OtZcUlSQN-JRqi0ty_S6th6wqr-XL3=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipN4B9KFA1MlVBwGAqoUvW1UpsyStnFDyuP8NZ7B=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMhL77CG74FaRLGwV6_D35tXc1WgIhZemU2K8wZ=w203-h114-k-no,restaurant,Al-Waili,Creperie
عز المنوفي,"37CG+HPX, Ramses, Ganayen Al Waileyah, El Weili, Cairo Governorate 4390158",not available,Not available,3.9,370,Cairo,https://maps.app.goo.gl/7VQDvz5CuYugwVQ78,not available,30.071438,31.276812,https://lh5.googleusercontent.com/p/AF1QipMjd9qnZhrmzAWB4hhZa_z4iQE218KsFGehVUAR=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO3ccdwf9oYBQ38Y2xHxsvM-wzM-y4zAqNwkT1w=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNyaHyNZufuxPknI7qrrb7dqifCZpWLriAWJutK=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipP-Psomq65JfbYnGL9kB7T2acUUsOPbkg003-pF=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNY-hXrP9euWH5BkLYhQBjso7PrXBVq-7ztD4ps=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNLy2RGeD3O5LOerU44G1zoW13VtnFPioGEKAKb=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMD_fSaaBy6HwMDQlSjBlp47L6W90lfQd6x7J9c=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPoioM9zl4mIBu4GtlBrHs7b8M7HsV1l4Xe8vIK=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNGpDQf5snUyqPuj1n0BoYMY3Vae1-x30XZ5pnd=w203-h270-k-no,,,,,,,,,,restaurant,Al-Waili,Fast food restaurant
HEART ATTACK Abassya,"379J+G4Q, El-Abaseya, As Sarayat, El Weili, Cairo Governorate 4391043",011 04574051,https://m.facebook.com/HeartAttackEg/,3.7,559,Cairo,https://maps.app.goo.gl/wMPrPuQUwqHeMhme9,not available,30.068750,31.278750,https://lh5.googleusercontent.com/p/AF1QipMUCppXkDKAE3PbADvw3Q7V7b6CB0rVC-mGJUAO=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN5c6FuYqgNllHfGgQ3ETzRazHHGagyCCYyATvx=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOV010na5DZref-m3z5gATTC5Ae9xzSuB4CoCT7=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNUB8IZaZjh2mEKb_KXCA1iTCJKiG2je8xpHtBf=w203-h184-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipO_ejAJxfvPzerMfXmRNdaVLQ-U2OLV1Qo4DV4O=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMPvox4gqkuqEwJZ-BLdxEmveHyo7RdA0oyTmNM=w203-h136-k-no,https://lh5.googleusercontent.com/p/AF1QipM_ukdTlpIfuLOOFjG31V5_Kg9bdwTpTz31-IQF=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipO0yh62N2v0-jCwuijuevTRas260sR4GlF6seIS=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN3L8NaU9tT_Ytw5l4CZLMbRwKVB__85YEPfZ9t=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP2CHTplJ84oHWbt4vTWpyaXB-fazJ0cM1sAMi6=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPjughrOmVtb_wonPgQmVXUfY4RZLGQF81GUc5x=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMsq79W_ky_ZVmI-ZBZlP0jb9pVj2tXJtCWeAM1=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNEVtMxmwvaHsjfrQnkwTxRStCtQuelIiN39vCn=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMECIeoqgfH9nls76q1B18M_SQe7qyrWFkCyp18=w203-h343-k-no,https://lh5.googleusercontent.com/p/AF1QipNcLd5R5H3rmbn67K-Nwff5kd5aErdrfvvv4qcW=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMRr1ZCe2V2aJtCY2ksNkQV99K5jrtpDCRe-rKG=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMAamwkXw9napMMsEsyG_lVFACzeGyPHW9QgDNl=w203-h114-k-no,restaurant,Al-Waili,Fast food restaurant
Nostalgia cafe & restaurant,"العباسية _ ميدان العباسية _ امام نقابة التطبيقيين, El-Abaseya, Cairo Governorate 11517",015 50672095,Not available,4.1,18,Cairo,https://maps.app.goo.gl/cmH6BPkwi87aqU69A,37CM+RP El Weili,30.072063,31.284312,https://lh5.googleusercontent.com/p/AF1QipMMU2IPVcNFeYolW8oXJxIYaiUn8zeqQHg8iIjg=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOSxDvxfPQPQFaITwRnfFDYG6_fdS8TD1-jjDjE=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOXOHFoZz1TecAbNrnA2Gh0r5SvkhpICSYfmHc3=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPyAxhtRyn2VDeyBQuxEw1VMPQYyb1PKc74HZ6D=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPFNn_MoSFAqaKxRy0sXOomdkwCW3ALYAkKIxLm=w203-h135-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipP9Z-dm6UIjzaExjpSkuf91QV1owtqG_OkISRCh=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOkeFrQWQuJm822oEsoVXaokIqehfPLDny-zkcP=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMEqc0U3y2m94-6MKRVErCQ9DQDww69JO2nvO0_=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPbFXjlfO05tViUohuiYXA_J0iYeIyAhxB10Gcu=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipMkCbV-Gy72cqlO3VPLeA500E2wEl0yXYMdqK6z=w203-h304-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNC1KqRpKSXl1uVxqvkLnNRWRIt-ZFFylt2PrUJ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPw6zz7--Fec2hf5BGwpE66BXvbDKjcjQykoeeR=w203-h304-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOZicIUsc4NNbCvuqRW7hzZy8SGLuaLxLOKmtuu=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPL_cAeW3BI7HlxHL7nUIFzAuTl6aT1uFII0xnt=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM1vLU-uJ_Ef3fTcLZSSWarrw_I_G1UOHIJwpZy=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNPeBb1m_e08mEXs_w0Gc897c5vLl_iEJtn05Rt=w203-h270-k-no,restaurant,Al-Waili,Fast food restaurant
Pizza Hut,"16 El Sergany, El-Abaseya, St, El Weili, Cairo Governorate",2425110111,egypt.pizzahut.me,4.0,421,Cairo,https://maps.app.goo.gl/7fTwE2UgzTdGuuNMA,377F+8P El Weili,30.063313,31.274313,https://lh5.googleusercontent.com/p/AF1QipPXra_gBwdL9oJp3kShHrvQ9Hjof0mRXok3LTcA=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOXdfSh-v32Dh0FJ_3kzDBigUXJNJrPmA2dlHgS=w203-h146-k-no,https://lh5.googleusercontent.com/p/AF1QipObJbyNckSRI4aXF9k59VimA8TnL_Sdqc3tokkq=w203-h360-k-no,//:0,//lh6.googleusercontent.com/1bI8355elzlwL4kKLYaR6mGiDHIaXrGuNMuJB96vnXIn-dqv0maHAYm_iHXvx7b3=w203-h114-k-no,//lh4.googleusercontent.com/AIWWng89O5V3KriOojwYoY2b_aQ0umjlqfduuhpNU58E-9eXoMy6VTnW4dhVUzw3eg=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipO5GVpO3HBSHREWwQMP8Mza0IBxDYnx4RZkmTUg=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNbMZ7n0iVVLIcwF3_IIp6gAGXY8EtEPd_RNEUz=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPgXovjk3Acj4ZXMomcUkQxXjg_YX7-Z8MRdn-J=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPttUUJJQuqZb8X6jmmqMg1sE3Vj0q50xhgijv4=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOk3rKGhBw5Vjq1E0SUS6ZnpK4jzHiMKNNyy60u=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOWsNQqPsUagtoOgpK5l7G9wF5_N1v9goaBlrEr=w203-h271-k-no,https://lh5.googleusercontent.com/p/AF1QipOWkVdZ38FyuuYOsY1t4t3qp02hOBpDJnxhKaPQ=w203-h417-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNz-iHeOV00C0KzsLjgZ135B6Im-TVaYypNyCX1=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNENU4KfOOtMSM95GqUC_NtZzhFpU2to54GrMfV=w203-h351-k-no,https://lh5.googleusercontent.com/p/AF1QipO5iZCvF4oC7o2l6DJ-s4oiK3-brXV-EMop_rQX=w203-h360-k-no,restaurant,Al-Waili,Pizza restaurant
