Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Cook House,"٨٨ وادى النيل، الزيتون القبلية،, Zeitoun, Cairo Governorate",011 12586168,Not available,4.1,8,Cairo,https://maps.app.goo.gl/DB22FGNEnL8s4hi2A,37XW+RX Zeitoun,30.099562,31.297438,https://lh5.googleusercontent.com/p/AF1QipN3e01xEdgiOfWNhnW2gJoGkT-ynotzDfciJoeb=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipN-QD4Rx_aD66pjeoOvDPqGRXc4sz6h2xfqJG0=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipN0uoVnOKYj60jmqT-sCBqcYPVFragCWIxLhPs=w203-h358-k-no,https://lh5.googleusercontent.com/p/AF1QipO7TWpeEwJZVXGCPVDHbZoowk_3NCAZhFHXpTM=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipN_Bm-6ZjQVnB4ciuX4SX0TGTkMrsyvt27m7sVc=w203-h206-k-no,https://lh5.googleusercontent.com/p/AF1QipN51odMPJJC0EATfUeYcz9HAyL9gpFYLuMP_C9k=w203-h124-k-no,,,,,,,,,,,,,,,restaurant,Al-Zaitoun,Restaurant
El Mohandes,"38R2+5C3, AZ Zaytoun Ash Sharqeyah, AZ Zaytoun, Cairo Governorate 4520141",not available,Not available,4.0,10,Cairo,https://maps.app.goo.gl/LbYkG9mAeazievgE7,not available,30.090438,31.301063,//lh4.googleusercontent.com/fbLX3GQTr81zeGnqESby6b7KQV0hYkA9GH3SvGQrf_6YvZ5GkOS0yP2rYfiwGcSL=w203-h152-k-no,//lh5.googleusercontent.com/wEGZt6kVE115U2JuIoM37D-N15q0sRGt4K0jd04T1vG4wD5d3C5iHyH2Plp91dCx=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOrQ5qNgktp0hbzEble2xwAWQWuEH-nMo8180fV=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipM0z74anCDiw_oSzvSegHBKmGGznU-_hFxbOfLG=w203-h361-k-no,,,,,,,,,,,,,,,,,restaurant,Al-Zaitoun,Restaurant
The Back Yard,"472X+P5W, البنك الاهلي، الزيتون القبلية، الزيتون، محافظة القاهرة‬،،, AZ Zaytoun Al Qebleyah, Amreya, Cairo Governorate",not available,Not available,4.5,14,Cairo,https://maps.app.goo.gl/jkWsA7xmRBCSbt397,not available,30.101687,31.299312,https://lh5.googleusercontent.com/p/AF1QipOSx9QOkSOE8FQvyFkeNcoTxquW2dliMoAg5H1H=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPOz-_keaDUvlbrb19BFsTVd_jNesM8iQf5lsYe=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN5t7VYLQfQu3pKrQXcgLBxqM7N_q0RheFxKnRn=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipP-OygrrGGAgVGsd9ylpglPmrKQyIkvddK1Bxgn=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOm-TnsF68k6oFow3kcA_wabggETd22atsr9poJ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOEmgU8Rm3K2kIlrskhkygEA1g3jR3zyeVhx82u=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO3IY7UfVuWC72zh7VXbPUF4Us-dnLAX4oZ33JS=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO4Qjtmj7MZNvtpE8lNBDlFAkpTje3AfLoumNNJ=w203-h270-k-no,,,,,,,,,,,,restaurant,Al-Zaitoun,Restaurant
Pizza,"41مساكن السعودية /قسم، الأميرية, Cairo Governorate",010 28789848,Not available,4.2,36,Cairo,https://maps.app.goo.gl/UY75VbS1GoF1KgYx6,4822+62 Zeitoun,30.100563,31.300063,https://lh5.googleusercontent.com/p/AF1QipOFKMN9oxkHByl18o-MxXZAPEW5t3jIXOMa1V6y=w203-h152-k-no,//lh3.googleusercontent.com/H_cCCdNGep8l_UkOJBDMp4j5IbEuC5FmVxLStpE14N36DbS1KBYOe2sJZrkANZya=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPvt6V8IRaN4ZD1joh54Yexvgv_B6QLsucyCi__=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPno_Gumz5Cu_tSbMPNxnt-hfjGGQBwcGbMbBuS=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPk-v2Vh6wNanwadEwy4R4mOKWHyVNGY-BvMI9h=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNP9iUjCcuQGimaOORChTD1lZKbpZPsvMVD1oqx=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN8qzMq0n8BHIxkLQiJOB1t12JqkvLh0ErVsuxn=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO93CiYPLnBZyJGpEXHcl4HYHxosCJYNa4g2RLk=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPl25tTGz6nK3FlGfzqrguHOLZZh2KIeUMSLXM7=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipP-ID4YT9v7jd3PeLcz4EwREq4xuTlUnSBE15Ye=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMXR1eYU9E2Y7u9hO0fqVi-OCk36tttdv-HL8f9=w203-h152-k-no,,,,,,,,restaurant,Al-Zaitoun,Pizza restaurant
Gawharet El Zaitoon,"شارع Sabry Abd El-Galeel, قسم الزيتون، AZ Zaytoun، Cairo Governorate 4513240",111124131,Not available,3.7,12,Cairo,https://maps.app.goo.gl/zBxT4hBwMfafj2fN8,4853+VF Zeitoun,30.109687,31.303688,https://lh5.googleusercontent.com/p/AF1QipPtPoupfnZI7tlRZY7iRqo87hvf-BTDjnHgO70_=w203-h270-k-no,//lh3.googleusercontent.com/5fYHZMM1DydMzspYFSbXhjbkGS91eDOT3avRpIEFapQZs8sUuK-03A_CjBZPy1cw=w203-h203-k-no,//lh4.googleusercontent.com/Pg_YYWVzrCm3Yd1gpTwZ7Xj-x8mJTXyAf4vIcgn0E_yM__2O2tSirWfpfjawyiwMvg=w203-h203-k-no,//:0,//lh4.googleusercontent.com/Lfzpw20vN0vvQDiiUA9D2SjFjHL2-cEmwwkMGamUOODfFd8_qN6ojGq2LQmQNyE=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipPzFzeAcY-f_n83T6OBXOTRofu3VLiU-Sbbg-E8=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM36DwPEc1rrSfwCxXz0dEZU1b2YmSHK5PkzG3L=w203-h152-k-no,//lh6.googleusercontent.com/1aoMz5vQAhhmZ4SUt6VLKF_6Bcpmq7819jgv_A3OuC5jt0cZOQCwAsduC-3A4PI=w203-h203-k-no,,,,,,,,,,,,,restaurant,Al-Zaitoun,Falafel restaurant
Alf Lila,"473X+4Q4, AZ Zaytoun Al Qebleyah, AZ Zaytoun, Cairo Governorate 4511027",02 24551731,Not available,3.3,43,Cairo,https://maps.app.goo.gl/MREctAYQ3XYTwxmt9,not available,30.102812,31.299437,https://lh5.googleusercontent.com/p/AF1QipOfWs6VWIsJkBPY4FrZkA4F66nqFsaHEvxApqGP=w426-h240-k-no,,,,,,,,,,,,,,,,,,,,restaurant,Al-Zaitoun,Restaurant
The Gang Burger,"عمارات السعودية شارع البنك الاهلي بجوار كشك السوهاجي, AZ Zaytoun Al Qebleyah, Amreya, Cairo Governorate 4511027",015 59400949,Not available,3.0,1,Cairo,https://maps.app.goo.gl/LWHEr27heUfyHE8r8,473X+5V Amreya,30.102938,31.299687,https://lh5.googleusercontent.com/p/AF1QipNmE35NLq-Kkhw40dhnOkcctGE68wR_qG_irZ97=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPFFeqwSbgEReN8ZtU-oL7xZc8Pkm6PyyPohZo-=w203-h420-k-no,https://lh5.googleusercontent.com/p/AF1QipPd6fIkbCZhtkXzgJ39l6_nE8SxDCOthsB67T4g=w203-h423-k-no,,,,,,,,,,,,,,,,,,restaurant,Al-Zaitoun,Hamburger restaurant
Touch Food,"38Q2+33F, El-Zaytoun Sharkeya, Zeitoun, Cairo Governorate 4520132",02 22579140,yellowpages.com.eg,3.9,237,Cairo,https://maps.app.goo.gl/WagcUky1vSaxXaJ38,not available,30.087688,31.300187,https://lh5.googleusercontent.com/p/AF1QipNf6SSEg4GZiOpYsUot3ip1ZcVxjT_CUfV75cW1=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNiZ3HrFjiNZUbACxc-KcxvGzpUOMzGuogfdDzb=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPUA8MumWKANqf85rpzJfuiRvc8EXjvjUe7YjNV=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipO_UFhn0p7OEou21_S4qoVmVhn88XGiga_UDJCL=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPOKnzLKwpynK_O7TIJZFoxyM4lfvZs1cRg87dP=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM4B-P82rjVit-62mwyUh7aPwwTjwzxLu0bVYJY=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP1ID8HAsu_hkQo2gl8xvhg3gvvElfT0_Aoy4g7=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipO3914h7s2Mc5h4a5XAum9zpSbWEfod_X-emBOJ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN63b94xYU7MPVdM_kAS69nA-LABE_GYpTCh3TV=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOG9J949YAhsC5i86vrTifBWV_Fe5aOWor2CD25=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNOY-9xrnUcNkpSxs_KwghEqzj77SQg3L4_wfPf=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMGMWx5qjKGNgkrbbOLVzwyaKawYqzX0qK_xN_M=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPSMhq8uEKAmh37QT7YsZfu_zf0WlK2iFqDqG0H=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP8Iea5OJSEwPgsZB-0qa8Vw0aQqYzG1ypK1LRx=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPLqX3kbT4lDQa6bphrM4dlgUq9mauMYCW0cvnG=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNcxVibtfRYrrvVKtew594w2Ly5x2mGuu0ErTKG=w203-h152-k-no,restaurant,Al-Zaitoun,Restaurant
Roasta Cafe & Restaurant,"شارع محطة القبة, El-Zaytoun Sharkeya, Zeitoun, Cairo Governorate 4520120",not available,business.site,4.1,118,Cairo,https://maps.app.goo.gl/UAsvn79oEroFbGN6A,"37QW+MW El-Zaytoun Sharkeya, Zeitoun",30.089188,31.297312,https://lh5.googleusercontent.com/p/AF1QipN8s5KA6wGpurUzto_0-2-QSZtpLjActWR1ibHg=w203-h125-k-no,https://lh5.googleusercontent.com/p/AF1QipP4fN5cJz0Jv7TqvJWQKQ9rPV8rvT_GtRF7c2de=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNqC6W9jNcZtx6FBUpxed73hC9vPHEn_msDI1J1=w203-h126-k-no,https://lh5.googleusercontent.com/p/AF1QipNisUVCX8sYfCAf6uke8s3shq4Q78zgLWyS2b8J=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN1bzIY0jcDoKr6vkgi3407UFfdR1uaM1YOEFSD=w203-h126-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipO26omms9rA5ox_j1V_UmHAZIqNDjvXdFYv93ZF=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOjiNntv4FSm0RMHTx7xxyANa2TmqQXyKVWgozA=w203-h304-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMelQ7ZqQpeqQXtXFNwcYzNa2XTul3Uyf6s9aEg=w203-h241-k-no,https://lh5.googleusercontent.com/p/AF1QipOBtG91T2X3N5H3F7mtKB_UJc7Xu7zzJ-cBFTRr=w203-h152-k-no,//lh4.googleusercontent.com/gHLeDImOMSm27gI7xb_M-wZlgUCEY4IffASjVpjnJ1I9wp3etnaFSf9iCK0Bo6uK=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN275AIMbFC60ifkPBqwtq8jbLj_m3FLSpJ2eAT=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipO4aJG2OGGLhPybt33BmSixZJOymU40RzUvvsIg=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOgQbhvKXe9-rj-iwlDiVbsoo0yDWf10CJPQ60S=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMZVHTyEJ9jAknvYFh-uS5bNp3HPRRSr45-gDrC=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOsZLVS9ID4fZzk9CRdcOwfud7fYm3uTcJzUh4j=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipOcXq5Bl8fLBHNukn7aVS3USdoN3hkktTwakfMr=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNJ8Hh3VrX5Uma_OrNJ7CZaolnioeq0EiKdi5X2=w203-h152-k-no,restaurant,Al-Zaitoun,Cafe
تاتش فوود,٦٠ ابن سندر، شارع علان، حمامات القبة,010 10875825,elmenus.com,3.8,26,Cairo,https://maps.app.goo.gl/gXfrDofDfFX86S6AA,38Q2+43 Heliopolis,30.087812,31.300187,//lh3.googleusercontent.com/8z9V3QkmE31H3lWVlEPcEIQ0DKZxllgC_WRNs4JQU9DS0gtS63CsmsuYCFGDTtV_uw=w205-h100-k-no,//lh6.googleusercontent.com/O5yFNWGdV2T8mZmrRC1sCmiw7a7el65_Q-ummommLJs3Ahq7l5FiFWiIaSLoTz8=w203-h152-k-no,//lh5.googleusercontent.com/3SIKEiskgfmHT3Tn_VEvdZN0qKJS9aRvJWC3xANA_AEdkRTs-zfOtRud1DBOMzo_=w205-h100-k-no,,,,,,,,,,,,,,,,,,restaurant,Al-Zaitoun,Barbecue restaurant
