Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Koryeo Restaurant,"Farid Someka, Al Matar, El Nozha, Cairo Governorate 4470721, Cairo Governorate 11771",010 03319114,koryeorestaurant.com,4.7,3,Cairo,https://maps.app.goo.gl/mjgQT3Uc7n8AKPnZ6,485X+F8 El Nozha,30.108688,31.348312,https://lh5.googleusercontent.com/p/AF1QipMFbRDVsxlJfGLVPM7F5vAjwuj6ID2wGgsQFoP5=w203-h428-k-no,https://lh5.googleusercontent.com/p/AF1QipO-A5v_-FIKYtujG3N_R_VPzSKJiJBYGt_Qv89V=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPkIyMjiM2TVjhgkDEvzIMonQCUGW4gyjUJV6MY=w222-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipNACfg67IFLE_xMdi6SwRhZPF6kX8w6l7MUvOiM=w203-h135-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNeUahD9Ur1vj9dUONt0Mls21P7JmQzs-mGlbRx=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPKn5WNTgSs6Hv4DuY4Z6eXZvaaSHtVCy2ulTKB=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPUyuNmaovDrMIjRr-CNqfrGZg5R7LttQR3X7t6=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipN0cRZP-kDkMWnK7yBcrIh39CTjKCBgNsJsU9qC=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNezwC9VA9zKtsk133L7VD1G3I_4bB5K4h-InCS=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipNYoOjT5nzi54qBUQ4bNDyJwNwV3qijHeMSDu3b=w203-h135-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNdQCEKCc1SXvnrcnZU9on-jKrbiFH0zQI6RFcC=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipM0Tz4GyPVutbvKW-ssFGnJI8Z9MjcWlD8m2ZXW=w203-h135-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipO_WOyGPzMnPHCjUQQXtgIkz9CaiyRvuToOQP91=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipP7Mq914BSavh3sUPBV2BaMYe32Hwx2IRGrseuM=w203-h287-k-no,https://lh5.googleusercontent.com/p/AF1QipMcCWo8MFI09BUhhTnctHJbkT3ZNicAcqIh6ws_=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNi7W7dz5AWzb35qad7upxcAVnBx6nyoprfrY4v=w203-h135-k-no,restaurant,El Nozha,Asian fusion restaurant
Halaqet El Samak,"134 El Nozha St, El-Nozha, Heliopolis, Cairo Governorate",010 09001112,Not available,3.6,25,Cairo,https://maps.app.goo.gl/C1mNggPhSLYwNCjj8,482V+V4 Heliopolis,30.102187,31.342813,//lh3.googleusercontent.com/TrUtOS1kSapaoeEN-pli0FseiGrr0OSZs8HtBVshbN-PUBvqunp-xYAdK_qK7uhm=w203-h152-k-no,//lh3.googleusercontent.com/hv-vivUNMknyfELKpFYU0bXBfq76fEFMiIeoVAplvSJEmE0Kk6a79-brHtVdPymt=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN__vPN3wZuvqzmV5Q6f3aebNIzmZ_kxNabzjsh=w203-h270-k-no,,,,,,,,,,,,,,,,,,restaurant,El Nozha,Seafood restaurant
كشري ابو عمر,"48CW+55M, Al Matar, El Nozha, Cairo Governorate 4470511",010 91279132,https://www.facebook.com/%D9%83%D8%B4%D8%B1%D9%8A-%D8%A7%D8%A8%D9%88-%D8%B9%D9%85%D8%B1-105004198339901/,5.0,4,Cairo,https://maps.app.goo.gl/BCuWUEh9AaLXuP1F6,not available,30.120438,31.345438,https://lh5.googleusercontent.com/p/AF1QipPEwDV_tlJ8uDRrBdYsCs2mFPlHmYSadFQTrt2H=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMh55HdGdwh3Mka6jisSmoB_O-0vatHuM647A3U=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNoxP_IBcqS2yW5VztHA4QtdKNUVdFKUZZoUEFr=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMnOsoGMKlUVVq9QYSQnWeWwda3RkbqBW9SDukm=w203-h360-k-no,,,,,,,,,,,,,,,,,restaurant,El Nozha,Family restaurant
عيش وملح,"49C8+GR6, Huckstep, El Nozha, Cairo Governorate 4473122",010 69729736,Not available,5.0,5,Cairo,https://maps.app.goo.gl/rLAv2Xqv7woSk7PT8,not available,30.121313,31.367063,https://lh5.googleusercontent.com/p/AF1QipOAFTb0_PljUBCmh3losEHjjKMBtmQ8h8tpf8N1=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPlx-JEfCeRlF6XoNbwRdQubvAh8chtCHtLMvrl=w203-h361-k-no,https://lh5.googleusercontent.com/p/AF1QipOy_BFXsbvLlNlt8uwPLiB5YK3rA5Kn3qdGII27=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOw8Wchte-QcAiajk7XN6qIYkx0lkkcxFBHaaJ0=w203-h124-k-no,https://lh5.googleusercontent.com/p/AF1QipN8KSLQpNpehFnJSo6qoyGHQ7NigZrwrs4mXuM3=w203-h361-k-no,https://lh5.googleusercontent.com/p/AF1QipOyku5-e4lxdEMWPvvkYiaS_Kpmg3qvScwU6daE=w203-h361-k-no,,//:0,https://lh5.googleusercontent.com/p/AF1QipO8UKkeLpClm2r64tqwOdwPO-K9GM0Kz-dz5N8a=w203-h309-k-no,https://lh5.googleusercontent.com/p/AF1QipMOv9hHJjVBleGog7BuK38CeJPM17QdeXb7ZwyT=w203-h360-k-no,,//:0,https://lh5.googleusercontent.com/p/AF1QipOrghKnoBvDaKct-dHWMO-CNGV9sYucr39-hjSD=w203-h361-k-no,https://lh5.googleusercontent.com/p/AF1QipNjvIK6olUOkuOZIPqeUnwXCUl_2dRLD9RlmQF9=w203-h361-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNovxMXlq_Sa8U-a_UNsRLZZepXoaX8SZMBZ_1h=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOv-btB017KTk3iaN3uRj1R3WGXjuSQbOVeCUEo=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipP-3CJ37fkFVXsMeZ3JkuVrkBJAjYGvqmI9dA_T=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO4aWcUb47Do0YIP7DoQvmLAgcKPDmLWOr4wA6M=w203-h270-k-no,restaurant,El Nozha,Restaurant
Maison Thomas - Heliopolis,"2 Al Sheikh Hassouna Al Nawawi, El-Nozha, El Nozha, Cairo Governorate 4470131",012 22962236,maisonthomas.net,4.2,391,Cairo,https://maps.app.goo.gl/YXwNhrDFXu6tTXZt5,38XQ+2W El Nozha,30.097563,31.339813,https://lh5.googleusercontent.com/p/AF1QipOsXFZUyky5LpdEjEJ5gN0ysN5TZ4sRG3PQ-Sqt=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipNGEH-jM7_3hc6EkobpKjK8pctUrU9SuPnAs1p_=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPj3JZhuP-htJYfhogHoYJET4Y_64bO9PmVuhsR=w203-h269-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOh51ehNISOlZ-NXLWg2kd_hRvezeFW-1NpcnDn=w203-h269-k-no,https://lh5.googleusercontent.com/p/AF1QipNWmxRgXdctysVfFuEyQEwuKrB-OVpKgqka3vQp=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOOeakQwAlwBaPKJeXU3aH22tuCrfaX5w3vyIbT=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOGrfolgEwdpP_avIZgg5tMOBRMCKFKmYWdzGMb=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMxSE9x1jmcJRFohk7_O3XEBtLDzh4PeOts6Q4L=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNnsGpSwGP_uwu6VO1VmVQGkMFPnuIF9omkfgfc=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMb0xj-uSXEAvsNJ9UG6fiIYmgDtZ-BaBmVy2Z-=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM5Q_vIgPOMQqy2bU-YeLGyHkGmbRBAeAEPQhZs=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPXfHmT8eZSDlz9h3AR7QGz4o0RNNcY2Ej0R0eR=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOaJKDyOedBkNhMlXCJi2qVdfHrHHe2J6vO3mxS=w203-h135-k-no,//lh5.googleusercontent.com/32MyaLM8ptGY_VKxYWCx5oV9gHCftX8T67eF4w1U2KwKNWLHgEkGr-1foYmyTepB=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPd8rCcOL1AO0S0yu7O_lIVzYU79t9SJUrRRfC3=w203-h360-k-no,restaurant,El Nozha,Pizza restaurant
El Rokn El Shamy,"145 el nozha st, Al Matar, Heliopolis, Cairo Governorate",02 26343339,Not available,3.3,3,Cairo,https://maps.app.goo.gl/MfCoshumyZpKmKE79,484V+JR Heliopolis,30.106563,31.344563,https://lh5.googleusercontent.com/p/AF1QipPB-IrN-WdP60G7oYqt8YPGQ5tMwYEO9AVVdy0b=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNRtRSteFyfzVXgl1eZQKM8n1isD6dQYoaeP_A1=w203-h270-k-no,,,,,,,,,,,,,,,,,,,restaurant,El Nozha,Restaurant
"Ta7t elkobry تحت الكوبري restaurant &cafe @ heliopolise, ميدان الحجاز","74 Fareed Semeika, Al Matar, El Nozha, Cairo Governorate 4470703",012 79900754,Not available,4.4,118,Cairo,https://maps.app.goo.gl/rpoEw3jsaK3ecwmG7,486W+5M El Nozha,30.110437,31.346688,https://lh5.googleusercontent.com/p/AF1QipOhvZz5ohwWn_UTcVtaWH6YnbQxoCmfTkespNXS=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPU6a5X68rQZ2qQRMe76iu8825HovY0iwq5hxSz=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOv_vDUPGmkD30M6rqI5HE83LsDKX0VgyPbMfkm=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPpNvzTo37xYY4VTAcV5UrJ9PGwLhtyABA5WLBq=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMUYP2BRFrq7u_qFcckMeo8vVYzaGQv1S872uKZ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNOIXbOIo6cdK3JC7fULjE0ztKaj24nDiX1LNIO=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOy2nQt__o2rnGgvltOA0tcTKPEZ-O7EP2MFQxU=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNDzpfhaAd5FFAt7Zcjm-g_Hi8fH517HOaWU-T7=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN3wpnZqLgFQt-ySryMOXoKIVIHigI4EniRu1lZ=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPjAHWNKdIaGZnfkCQB1x4ZRCB803PPYs1NpovC=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPRqSO9f9a9MDlFvWNMi_n1O8bxwcVX-2H_ViIS=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPBlYM9WnBApQDUwP4DzFzzP1tIrn2CFkXmetAE=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNGJKksp816INrbsm0EleSCDlkfYvUMWCKKUViB=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPkzuasOwH5ww8u-Qf3vs1US57KoYS3Gz-m7be7=w203-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOWvnmGzQqmnFO30qq-_P06y8pUbCRcZkI7isjf=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOLq6TR0GdqK4PUZSqDQ72OXocaGsxPaUlin2r4=w203-h360-k-no,restaurant,El Nozha,Family restaurant
Raafat Restaurant,"56 Nakhla Al Motieai, El-Nozha, El Nozha, Cairo Governorate 4470161",011 14300068,menuegypt.com,4.3,"3,834",Cairo,https://maps.app.goo.gl/YrY22vV7PwTgyjat7,482V+C5 El Nozha,30.101062,31.342937,https://lh5.googleusercontent.com/p/AF1QipPYlBooMOx9pAfTwrsnkMKmJGIxvdv2tn9sHc-j=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNESZIpa_Gw_dm-PAJDFJpa1iF3S00fjzS0skL5=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOgd4kFIt2Ul9fjLioMm1FVCoih9OZfGdCmaoRK=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPisScQyULMnmUBtpKAOa9oXqmj90cH8tpdw4ds=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOixQYM7s7hHrR8PCGHuPZfrG1iImw_AQLdY3TR=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMbtybRB31G0tAuVsA2lDthtaQiNPKMhQbE7wv8=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMkSFU9_UcjemwHuZtgQZru_us0Rx0_sLknzf7N=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMld_hV2rm0FvasT3nrDzf-_9Eh3B0KpMee_AcM=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOB-pjqi_7mblEIKsLOGYLGNbo9J-mbReuMPOIh=w203-h253-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNs1NEPjxXWI6OdvgEPOemCbi7seaZXk4ekolzw=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN-Vig9aeIWfGr8ApDAIn-gdwYJgZS-n3GJx7me=w203-h454-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOWowdt6GaojayWSuClJpQcFkWbToLM6v3sE3pa=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPuqkyBVt1VfQT1rqOMF0uLo8l9r_j6fCJ4SHwb=w224-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipNAVwz4ie_dYgQXo_KvpRF23w6mjRXOJH84ZRGp=w203-h406-k-no,https://lh5.googleusercontent.com/p/AF1QipMPTcoYUJU-DrBqxmct-g2sng7qtGCxmxJtqBXZ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNhQJApEzJ8yp9yGsEFFRRxxizHtH2mUkAJEl9s=w203-h114-k-no,restaurant,El Nozha,Takeout restaurant
Buffalo Burger - Al Nozha,"105 Al Nozha Street Triumph sq, El-Nozha, El Nozha, Cairo Governorate 11757",0219914,thebuffaloburger.com,4.2,"3,031",Cairo,https://maps.app.goo.gl/TWjq37BhWahrV6yU9,38XV+P9 El Nozha,30.099312,31.343438,https://lh5.googleusercontent.com/p/AF1QipPbEOhU7UXYhux1qrfZdtSmUil4XJqkll1fNnI=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipOC31A7Z4gtu3SSucNakom2nGp0lvuOwt1yY5M=w203-h243-k-no,https://lh5.googleusercontent.com/p/AF1QipOXc6dRYTTjCCJetwQUaU-hN0K-54FCthOJTY_l=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPj1eYiOjc_LSkSHLoZrgmlX5WEG_7m1p1KIFDZ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOvw72AIAyyskmpim8AopgyB1mMXOBze8qDizVH=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPbEpv1WxhNzBi6XeNPqpk3AULweyUOvRqPk2Iu=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPyJIGBfeD0YAlqiMZBhlLDO5aZbUo__9MHHpB2=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOxKGzJ6xBm1WOx9BI0D1Oa6Uqomc0OAZANaUvK=w203-h193-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPodgP1xqRoxqF7fsZlajF-U-7QjBXx36jzgPed=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOExc0CKx0aWSrIxwe4hmn9_Fgk0rWNbcBkpP3F=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNIkfcGXDRRScmcN1rpwAhy9RymK3uM2fBYMzM6=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNUyaLucgyQqmCXlagq7m_mci7drikHsAIGtYlF=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOY8bPhT2z9_U4EqS9vyCbCvrX2VF33kMCHVsy0=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOIhjf7HjGMR6z7WUnOuuKEfGLUyixaPXq0WCqA=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM-oxaA9ECgF1bmO4V6A5yB1lONym0k3khzzyq-=w203-h114-k-no,restaurant,El Nozha,Fast food restaurant
Al Dabke,"136 El-Orouba, El-Nozha, El Nozha, Cairo Governorate 4471101",not available,Not available,4.3,59,Cairo,https://maps.app.goo.gl/vGNyebkPaE26e5wU9,4948+J2 El Nozha,30.106563,31.365063,https://lh5.googleusercontent.com/p/AF1QipMbwbBAYfe5HgKWT0KX6Q8HSJJEK4xbiGRKYWlZ=w203-h133-k-no,https://lh5.googleusercontent.com/p/AF1QipP1f5iGCQ4Quf7ptTI9q1Rc2z0ahT9sWkgRTWAi=w203-h148-k-no,https://lh5.googleusercontent.com/p/AF1QipNHYFjmzbxmCplGp-kKFp4Zh_4yLy1YYbSeHYu7=w203-h149-k-no,https://lh5.googleusercontent.com/p/AF1QipMLkag-oyoYKUB_Qk7AOP7n-V_h36Qr4noRucqM=w203-h150-k-no,https://lh5.googleusercontent.com/p/AF1QipMBP0NuBRTivxYgEGohVT2uFhzbHylXcdv6dgdF=w203-h144-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPRPlOuRwLIDlGTdvkF9sgOAWlmh4vB-Ul0JqFs=w203-h201-k-no,https://lh5.googleusercontent.com/p/AF1QipM8ONxTBWpsf_AQsWog502zUDEmuo-RHKTfe0bp=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNW_WkreumDPZ_t_WKgRQVeXTuLRo2hrL5hJkRs=w203-h261-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPA6AbGcSBhwR2SsLlyFKLojsLfyzQ7A2de16LW=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipO1hVVhyd2tRZMTe5cCGT3FY8PZKyUOVFiyMCJ2=w203-h151-k-no,https://lh5.googleusercontent.com/p/AF1QipPMoLJuer9qEBzZHPVuPYI7WQiu5v_9qclfCqEg=w203-h163-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMe9nsJo-VsZMdHymjH4ZN17MHuf7fcwv_Z4hb2=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNNh-4CojM_8QxJM9r5xGMx0dVL2B4A6Krn1s3F=w203-h143-k-no,https://lh5.googleusercontent.com/p/AF1QipOZfDHep4-J48x1pDuGRsIMjGa9fQTqOjOL3B--=w203-h151-k-no,https://lh5.googleusercontent.com/p/AF1QipOF83hF9cVDgNFeeYoKyGMX6kMG67lUdwMIJ7zL=w203-h263-k-no,https://lh5.googleusercontent.com/p/AF1QipMFiF1Ef3WWGA94Em1Tnt3-ZIaAxHfvGm_L0D_m=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM383IkYPBY51xw1CEJSoFJyv6ya7VyLFmFT0wm=w203-h152-k-no,restaurant,El Nozha,Lebanese restaurant
