Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Darwish Kabab,"Masr Eskanderiya, Shubra Al Kheimah, Shubra El Kheima 1, Al-Qalyubia Governorate 6210011",464W+Q7 Shubra El Kheima 1,Not available,4.4,"2,002",Cairo,https://maps.app.goo.gl/2ZjmjFyZfet3eSwi8,464W+Q7 Shubra El Kheima 1,30.106938,31.245688,https://lh5.googleusercontent.com/p/AF1QipNM5o_Vme02RC0_PP8uEn5WCxf5MR3UjzIbdY4b=w216-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMwviaQqo1RBuS-XPknXhEZBd7VmK9JKPCStXX-=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP_TUqQMeldNwDQH-7_crGR6-YsTs1ZWZmWENi-=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO1cZUMuCaaA8biNXbSAsopFFvZHvVNJShZv5zD=w217-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMdLRs6b0pzjjPzvFTflyiSBv3om4dut67rb5Jc=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMLs8NRUwq6DwkUm-tCGnQHQk6nqgiyE7inqIPp=w203-h158-k-no,https://lh5.googleusercontent.com/p/AF1QipNpWuYyPVT2lm3z-2X2I0s-SPTkPHCQ-0xCpHoI=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMXqQ3Jw36DxEQoG2UT8FhvwHVOWpzoDrKfckLY=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNHH9d68g1vOKNXyXhRiXfjF-zTx6WuPTNYb0zE=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNgEqWDaZxNn0K536PqrR5lJugk5ifQmYLQ4YJX=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOfSkzC9HbIjm_UL7fftngQkGw9xgfNtF8fY-HM=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMDLpLD7wMe7HocjaPaWke-AF38D8_59jOD4b1H=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMfB74_9n1j5aGCejquxQD5O9H3uw9d9PKNy7m6=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNb_B71tAxBXwIfz1lqWuyp7vRAWuLg2YB8wj97=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM07QQ00h2d2l8CBHe5ndrcdh5TlnrLGahnHK5W=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMa78uLKEIF4IKd9WUlsz9boXdvPllAEQ3zOqTu=w203-h360-k-no,restaurant,Shubra Al-Kheimah,Barbecue restaurant
El shabrawy,"464W+W85، شارع مصر اسكندريه قسم اول شبرا الخيمه قليوبيه, Shubra El Kheima 1, Cairo Governorate",012 01591183,Not available,4.4,12,Cairo,https://maps.app.goo.gl/B3R6nAQCKkc6RdzK9,not available,30.106687,31.245312,//lh3.googleusercontent.com/MICvDDy58LUoI3l10E450Tr_noL4yXvlzUAtJnc5e_TKSkeDVkJnimBNNht2jUQ=w203-h203-k-no,//lh6.googleusercontent.com/VbK09YXrNei7A08j8SEykRHPMdU0hBkTd4wjzPjKkv3PgL3PtnX-7qD8cIPe1boS=w203-h203-k-no,//lh3.googleusercontent.com/aBJIlfT0Ec8PltA-ttS4V00MlJba9u_Ue4-XX_pu6vB7aOia6djQbvbPBYQSEYWPoQ=w203-h203-k-no,//lh6.googleusercontent.com/I_mV83tI7XsBra6XCdJewHPYRNsIHqvMN0OZ-5Syo2-Wp7lwxJcre2mWj3rYjZS8=w203-h203-k-no,,,,,,,,,,,,,,,,,restaurant,Shubra Al-Kheimah,Egyptian restaurant
مطعم أبو الهنا,"Damanhour Shobra, Shubra El Kheima 1, Al-Qalyubia Governorate 6210315",46CV+67 Shubra El Kheima 1,https://www.facebook.com/aboelhana.restaurant/?hc_location=ufi,3.9,"2,059",Cairo,https://maps.app.goo.gl/LDFeuuCmGjiE4tXG9,46CV+67 Shubra El Kheima 1,30.120562,31.243187,https://lh5.googleusercontent.com/p/AF1QipMdUttjxHi8QTuNghvPiQu4Dh3QgtIlSdOVbF-v=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipN3zwA4HOFEfE6M0sKtvS3bL9VS4Wq6qd4zS9V6=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPizCSg_j3fCKVNl_26OYW6yqbLrokP0pErGV_s=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOq-rjJDL4aoj0bRpWRopu_eNUyeDujzt9yLR0p=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP_ub7eHmiL7kMFaqxruFbzpjFz3jlZIzsyyQeW=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOog1SuygGiYV86nHUHhIujWwC9SaLN50Ihw5WH=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipOu8Nxzwa42lVX_XmghQXZoWjHInWzbLE3-2Wom=w203-h240-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN0rQNatni3GmAI5d0-hUSfycvLOYxi5f46Ik3U=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOKh3TpKtJ3enR98OFNXWVDcvI_vyYxLngcZ69Y=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMGgN1oRd169PZMf3861OphxdBRs-csG4ar8rDe=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipODUVAeqief4v7LtCc3vEnxYDtWy5tYUcPjuRIW=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNmC-X2EnMuTqpChNQcdt0QsabWfUgSy3ymt2R5=w203-h434-k-no,https://lh5.googleusercontent.com/p/AF1QipP87E_ksBE4EYYSgeCKadligno3qPUkxBNkFA6U=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNz09dWXcdgwyJV-QMXAlfJBH0vyhe3Ok2OrASc=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPz4_XXCabVjya55XU09bsdsuyJOYU7VxDjVzQA=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM-usdYbfCOrSo2tQG92JShr8wZ7Qn6UrgLi48H=w203-h270-k-no,restaurant,Shubra Al-Kheimah,Meat dish restaurant
ليفرفول,"46CQ+CXV, ur Shobra, Shubra El Kheima 1, Al-Qalyubia Governorate 6210314",not available,Not available,1.0,1,Cairo,https://maps.app.goo.gl/t7M72eWnkCac49go9,not available,30.121313,31.241312,,,,,,,,,,,,,,,,,,,,,restaurant,Shubra Al-Kheimah,Restaurant
ابن حلال,"18 Ibn Al Rashid, Shubra Al Kheimah, Shubra El Kheima 1, Cairo Governorate 6210244",not available,Not available,4.1,133,Cairo,https://maps.app.goo.gl/F3CaBXtVJ4jTYw8g6,"469W+3X Shubra Al Kheimah, Shubra El Kheima 1",30.117688,31.247438,https://lh5.googleusercontent.com/p/AF1QipPRZr7x_zMrEqAKA1st0Y5ImIAUizOJmoFtDTzo=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOBy2Y9GTSM1OfnZZp77lO85InyBx3h4bye5LUV=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMWCzd2Ze-lGD-WxDdPOE9oNG2WqtaO1k-hvMJt=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMzmiznoBmy3aycFVhYH-kyVXRBPQDl7bgUz39N=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOz0BzRdpLPC2FzPbYfxQcxyhmnUrBBFtB6ZMPi=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMgMk2xzc-OclHgYrXOkI1ueh9hDwZGWenPH-3V=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN_bMUeF2zmie1Sn4efPDwkCyzhKOrqEq-XsW1R=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNKtmbt8dBMPts3so3fXI1Kw-uGMOAhBkdWx6xJ=w203-h152-k-no,//lh5.googleusercontent.com/ssk2PQZ9AumFOBlBriOa0UouSPOpaQSYYfQ9QHsSQAy9pQeni70sVFxIZDiXaCpXbw=w205-h100-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipM7ZF817_NF9oLLp7kXWTMNfTNU_4Dt3cJD03cQ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPoyPdXct0f6s7p5hX-MJoP7oxqN1IfUx8wkYid=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipONcoOGscbGlvtQkKbBhPykoXafDq7z1ZmszwhX=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPUNOuXE2Z2rWSik-EzfNRWr69uDO3DTeufoImG=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMIxneIcGgFVhzYkYeLXaOMH3HGOdQBc_1AlRm1=w203-h270-k-no,//lh6.googleusercontent.com/Ptx3cWRrnoVoq0K668fT3zJo4GfiPUh27gvCQW4coz-gGbbtapDTrdYd5LrcpXIN=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOZ-70fNSlPfyje-UYrcUJOrhJDdEBhNrqC-6Gi=w203-h270-k-no,restaurant,Shubra Al-Kheimah,Restaurant
El Garwani,"5 El-Thawra, Shubra Al Kheimah, Shubra El Kheima 1, Al-Qalyubia Governorate 6210131",not available,Not available,3.9,27,Cairo,https://maps.app.goo.gl/x4KNaTWGd9KyBjn16,467X+5Q Shubra El Kheima 1,30.112938,31.249437,//lh4.googleusercontent.com/9zn74_IOGvhUjm0Gkb1pDHWYj3--1dNi2vks5LpGXu6GxJD6jWHqvOmHkxE0R0I=w203-h186-k-no,//lh3.googleusercontent.com/W7yo5agMlHfWWuzxaVVDnX-YGoqpodreaHURLMBA0Mgw3zuRoCVvupLyGtuGyvlPCA=w203-h114-k-no,,,,,,,,,,,,,,,,,,,restaurant,Shubra Al-Kheimah,Restaurant
مطعم التوحيد,"بجوار محل الملكه ومكتبه مها مجلس المدينه, Shubra Al Kheimah",not available,Not available,3.1,13,Cairo,https://maps.app.goo.gl/jc4w8MWRyPJYEtba8,"469V+C5 Shubra Al Kheimah, Shubra El Kheima 1",30.118563,31.242938,https://lh5.googleusercontent.com/p/AF1QipPwEmKr8j6UvNKmxRL7Xl43QHtaMfh5udskqmCb=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipN3_akfOolRrUVLwoVv2alp1cTgJHnY1rXcsAUC=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMaA_TF1RH1GnJx5XOzcZ0neC7dFNvTcXdvVTts=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipPVVbhw5nklIZ1R9HVDu0X9xySPOqQpPKI-BnPA=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN_vKZoQMAEM_eXIEePlWmOuIFFKuAVLePVw51E=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN_E0aYPjLiqchAsHIbaDha-aVuhoFXPAG5Fu-Z=w203-h152-k-no,,,,,,,,,,,,,,,restaurant,Shubra Al-Kheimah,Restaurant
Juicy Bites Restaurant,"بجوار بيسترو، امام, Koleyet Al Zeraa, Cairo Governorate",466W+GV Shubra El Kheima 1,Not available,3.0,1,Cairo,https://maps.app.goo.gl/1hy6hE2n3VxxYiRm9,466W+GV Shubra El Kheima 1,30.111312,31.247188,https://lh5.googleusercontent.com/p/AF1QipNlSi1-ykTZ1ONcT3RT2daig0PJQN0W4MHD0VUJ=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPuqbdFGTurgKioRRePctBwpaRrGYIo7d1n6to9=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMAIHNauKyEghIaIsyNmoXugjfQ6rWlhigBb4CW=w203-h210-k-no,https://lh5.googleusercontent.com/p/AF1QipMPLOKYSzQEMpgIQDeb0xQaONScuk2ACJmTbqDL=w203-h256-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPytwPy5Jqiy68u-dI27K8MpiW5zP4BaWXev9Zn=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipNQdfrgKVmEAnzcgdrsV2JXqm8sA_CiJq54AMlU=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPuaRwFjOQ3h3Wuz_giUWjiiz8aw-XV2Fdn4t8u=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMqesTzsFcNZXI5blb7GC2FdjOOp5P81jAMIEwD=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPusiTUTgVtxkiOTFGM5bbLgMw716AjMci8WluW=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipMD314WPI_ciEUhUmkBkq9BXJlbHS4JhNUkqk8h=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMRDy6fELpJM9lYPwljgtMw1OVPVbsVGKFGnmwx=w203-h114-k-no,,,,,,,restaurant,Shubra Al-Kheimah,Takeout restaurant
El nagah Restaurant,"465W+4FR, Masr Eskanderiya, Shubra Al Kheimah, Shubra El Kheima 2, Al-Qalyubia Governorate 6210017",012 21435607,Not available,4.4,393,Cairo,https://maps.app.goo.gl/sDTDtb5VVFTtxbr66,not available,30.106687,31.245312,//lh6.googleusercontent.com/Z-4IHBqgoB6cCanQ1s5mQYs9wT0J0BgbLxvtJhJ6WAdecBr64-1Gur4hL_YxLWOs=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipPMd_j4Gu1DbYCHbKA-H9K8knapa8Ia263eLvBJ=w203-h152-k-no,//lh4.googleusercontent.com/wktX1slWdHPVVjR_B33RNIRWtdCZtgXasYfvcMwLqFcAxXVav_o3PC79wVOpXQ24=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipOPf1GNhn_5P8vltOhBhsqPb-Xt61hbjDmjP5Yt=w203-h270-k-no,,//:0,//lh3.googleusercontent.com/FG_zdPRNrmKQ5-a4_NcFj4aEJRJ6CiYZpMpPggLuvEI_ssJ4QAaeEkcCUzAxIwNsPw=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipOrksFlKZJHZenxjtrkj82Ce4TgOqQD1gdXdyHj=w217-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPtAWvlwVaSU32yUbLjPHAHEQiFmHqLItbaU392=w203-h150-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOZ1uCVyL7nbAwj2YBADf1YsJAVHg0vLQziKTFC=w203-h360-k-no,//lh4.googleusercontent.com/s-8VkDNJKo3veC2URKqcHzriDT8PmQzPe_d0Q3aoYCGnI4aUiw9P9EXNJfLVJVoLOw=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMgAPtjLl1G84V1swsCJ7X3eYNi06ApZs40BoqS=w203-h440-k-no,https://lh5.googleusercontent.com/p/AF1QipMDH0M0O7ovVBZARbx9zTIPG5lQkOe13xA_EvF-=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPPTebMhzZzLqxA7VkkUxRtY_feRZY7mgogplcw=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOcQPx-2T7DeHxGp_kP2n_OvwUfAQqktopm56jj=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNrnV4kUC5ATOwp3wHXhg8aXhgV8rC9fH0naKbI=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMqyrhnm8JVirW7d4-WOag2eFyqSwtnBuY1RfKs=w203-h360-k-no,restaurant,Shubra Al-Kheimah,Barbecue restaurant
مطعم محمود المليجى,"المتفرع من، ١٠ شارع الامام على, Masr_al Eskanderiya Agricultural Rd, Al-Qalyubia Governorate",not available,Not available,,,Cairo,https://maps.app.goo.gl/LGAS5rnJKmtuyaX9A,465W+CC Shubra El Kheima 1,30.108562,31.246063,https://lh5.googleusercontent.com/p/AF1QipMBYVzNkLEGiBDdaqvhiIH1UXpqc4QWtAubwgqa=w203-h106-k-no,https://lh5.googleusercontent.com/p/AF1QipPscqhdvQpnXirlzk_T0Xnsi7ux1rTJ4oeJ2IG_=w203-h153-k-no,,,,,,,,,,,,,,,,,,,restaurant,Shubra Al-Kheimah,Falafel restaurant
