Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
iL Valentino Di Shubra,"ممر و مستشفى الراعى الصالح, From shubra Street, 13 Ali Ibn Abi Talib School, Shubra, Cairo Governorate 11672",not available,https://www.facebook.com/valentinodishubra/,4.8,272,Cairo,https://maps.app.goo.gl/Hyh69fNtEcmGx1X47,36GW+GV Shubra,30.076313,31.247188,https://lh5.googleusercontent.com/p/AF1QipMdqCbXXhCexpJvc8vyxRyd0wEi2ejhs8TJ21Q0=w222-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipO0IUcs3_YL-iB8x9AJxFSQZMhPXDYRsSGl9cOD=w203-h336-k-no,https://lh5.googleusercontent.com/p/AF1QipPDlUTfYF8TZv3wKoBQSAQ8uacKoWJpLHSJzeeL=w203-h120-k-no,https://lh5.googleusercontent.com/p/AF1QipMEtugpD_Gxg2fS9VUhlLqshIFlpEuF4Fm9hppA=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPKBIk5YDPKdb0fkWurlgITPObeW75L5V49Q7uA=w203-h220-k-no,https://lh5.googleusercontent.com/p/AF1QipP3UX81FL2TTk4UBbhhSmMS93MtMsmqmWxi5WDW=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipM9i9Kd2wQu2xQh4_6OjEZckRy5ZPUqL9xuu62F=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNE1us11NnHlFW2IPdrCa259gBBsUTeWHoEDjxj=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipP0h7rSS9KM0bHC88V8BQmC-SIsof-hjTgXKIA3=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMpxsNduCAqYzfUWl5nLcmfcfOu-nbTXj9hEhlt=w203-h451-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMt9tmvTF3_M3PeCizjRLIg1kYW0zwfCWS2trzm=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipP4_t3Vc5VD5L4Q6XzFxRCXS54tQbZ2yyfwyURe=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOyfgNbG5H33_j526lhZcdvpWDVJVVqUKZAY59R=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNXoOlM4XSmk4nE2AUljyecuf5Yy8BprKwi_ApR=w203-h451-k-no,https://lh5.googleusercontent.com/p/AF1QipNq_aa_HfychCBioMDZLejeMHfwltRPOZQyTMdA=w203-h344-k-no,https://lh5.googleusercontent.com/p/AF1QipP4vvo23-sU-MfxJX-najAlLjegB-HhDbBBHjrR=w203-h135-k-no,restaurant,Shubra,Pizza restaurant
Fresco fried chicken,"٩ ش شيكولانى, Gesr Shubra, Shubra, Cairo Governorate 4342120",02 22032316,fresco.take.app,4.1,215,Cairo,https://maps.app.goo.gl/7ykYWjnTSKqyWV3q6,36FW+R8 Shubra,30.074562,31.245812,https://lh5.googleusercontent.com/p/AF1QipPuP-MS3hToHJJaj8kMjaXUMLK-DXWIW3nXx0vW=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNLb6AMe0DopReyDjNrqEgixe9_x8m9x1u5SqOE=w203-h141-k-no,https://lh5.googleusercontent.com/p/AF1QipN1sy4jr5_3pFpJo98g5x2QcSAVmpWYxaaIh8Ht=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipO7TxzU31pg22_xFhM7w3OYcd15jb3vY-2l0azY=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMeErNJNJ6vzhNY34GYnZmlZAjWOFJY61dgQgum=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipONjxUQoSP4XjsVd7NlDn4y_znQxQiyAKyAXObH=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPLLPqFIezZhl5GikUo9dTHSyD-TmHO-EYNK871=w203-h135-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOaJQom6GiFd4i4iqSllVA51nfzcsKUMKRFz1oi=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipM6PXeKg1Wun0gZCYbw9FPEcTo6EVH8DdOOghkR=w203-h200-k-no,https://lh5.googleusercontent.com/p/AF1QipM3T5s5j5688K0O8WzyWyETAnnOLOb_Y2yEYL9k=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPp1ysuI_DsAdtSPQX-Z8iN5qO8HshXKo1_mZAz=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOJWXxf7T7lYHgKzN2_qNTnuRha1CiMp83qavug=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOjT198ALlr2shtI_1qaCSQKPHEquMWm5R19UEV=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipPYCqQCjIUzDDzVpGe_DyeqHuZS_BjzlIJpMGpT=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOfOJLcRk_0JcvB7T-CCSZZZ6oo2lKzUkjuc_KU=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMbQYMFCCknmaS6MwMhArfpPL9iUr0LUDwooxfW=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPm3elGDQKtyseh0HbGoYDXPv0m-ORxrgOC-l5v=w203-h114-k-no,restaurant,Shubra,Chicken restaurant
بيتزا فكتورى,"22 El-Mohamady, At Teraa Al Boulaqeyah, Shubra, Cairo Governorate 4343302",02 22322543,Not available,4.3,41,Cairo,https://maps.app.goo.gl/oinwbGDE86CHzyan6,37G2+86 Shubra,30.075812,31.250563,//lh6.googleusercontent.com/AkgklYBK_2lJp_jz4LqlF5YPkCjv6auBaQmktxORxgngLl0RH_RdXTgfvwXOV5CR=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipP5sUVlUHo8BKOjyqVML5d-tNUFBDhRR1pBGZ84=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOdCVXke_9bxioQipFD5EifgG9tAp4yid-f-whq=w203-h211-k-no,https://lh5.googleusercontent.com/p/AF1QipOsNltTmMKjxkNOzgu59hsaQf9SUaaSIO-eISkd=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPYY_dNoZNd-uBi1CbqZ90WltjLfMEM4O64LSLw=w203-h185-k-no,https://lh5.googleusercontent.com/p/AF1QipMExTJC-fUc6N5vTrM-JC7hA7suFtxJaoGZz5Wr=w203-h158-k-no,https://lh5.googleusercontent.com/p/AF1QipNGqo0IHEx7Y34psi52EpIOWEtzlxHKAgHNa8Nu=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMPvxF1hAueqJLOsdJJAJkQHCTzjzdIU30f9yX3=w203-h151-k-no,//:0,//lh5.googleusercontent.com/jWRtUpc5K7ZUsdwWtlg_cZOo4VPf9IZ1nM-vBj4FtxblbeL8H_62zFZe0ibzz_fr=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOftuik8R677ZI4NphgrXKNXl_7DF8wv83EX3J0=w203-h144-k-no,https://lh5.googleusercontent.com/p/AF1QipM4wz8L9cZKD1EPI6CjqfysgpMlbqZTrkcklbwJ=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOwsMAwQSeaR0tWaekOttYxejxySUktJvIGefEY=w203-h151-k-no,https://lh5.googleusercontent.com/p/AF1QipO5DH6JS89HH6OvF8deGp2Z7V3TtlKaYMD96Sm_=w203-h113-k-no,https://lh5.googleusercontent.com/p/AF1QipPf5agIo_HBczugxCIipjYH9fLv61skR-zJcHkk=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOXbYt3eDgqxHN2MH_XIeyo4H3G8KTKKjd5ahVu=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOwC0dF5widL1RecfVZQ4-dJryUo9Kc_iVb73m9=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMIoWIhP9y9_U8a1s75-hA6FYSA3imkvRD2VSNd=w203-h152-k-no,restaurant,Shubra,Pizza restaurant
Saraya ElSham,"36FW+V47، شارع شكولانى، شبرا مصر, El Sahel, Cairo Governorate",010 94666662,https://www.facebook.com/Saraya-ElSham-113774363878172/,4.1,185,Cairo,https://maps.app.goo.gl/88swoxLXe7WkbPvE7,not available,30.074688,31.245063,//lh6.googleusercontent.com/eva3pX6CkN14-Mo0epeuzOLBO4mbskkSkK0YbI3MSNfbO0swJ48ZgeX1HurAxH_r9A=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipM7ameON1YeuZO4kzfq9ZoZybaVsMn0pwLSqU6D=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipN2GjfEVuY4nc5mo-tFySKkLB25MGqEaZESEHTY=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPzY0fq6SrFqknX5P5_EtS6qRC9PKxM-Z7Ynf3o=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMsxITVSB_dJffKM8I4_rrXHS9-_8Ck2xhs9MiP=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNN01xbJ2PakSARIa_VpNpyvZHOhuL0KISZ-U-P=w203-h360-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMCkMOSPF073htqQxoeQjmBngieQfCDWa5PKgV-=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO3F07vHIM8iIfj5Esa1ye76OJi6lWBFHKskVeh=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipP_kPyRxL6OifuwPBDAJjuNpZkPFB4olRQxRqNv=w203-h137-k-no,https://lh5.googleusercontent.com/p/AF1QipOptiwwXPEMFtoJ8StyeUD77VK_23LYfACOJ30A=w203-h135-k-no,//lh6.googleusercontent.com/9gxOj-S_X10lQH3EeDaSslTGFq5WrC94-LMAkOtWv9wALbk2rtp3MZu2IQ-4jqA9Mg=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNTDhVB5wgMVxOw4qce1ESTH9j1QDskcpTAhfDz=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipPwAdZe8yvNoSczKuGcBJQPV4q_FUWsuYJIy4tv=w203-h121-k-no,//lh3.googleusercontent.com/PxOJdxnosgdND0Bp2tZOUK1_DHnmt6Vb0X-F2UR_HL3szLB0bldGz3GVsgvKiwwv=w203-h114-k-no,//lh3.googleusercontent.com/o4dHLhLS8XmdyzazS8Onj0dVI8Xtx6l3hpLL6hHWVSsTW354keu9K8eieBHSvDn6GQ=w203-h114-k-no,//lh3.googleusercontent.com/p7CKLe_21ybgIACj7InhI7qxqABVBLoE2R2L8RX-gTCJ-kA2riNDm4P0Pf9RraFK=w203-h114-k-no,restaurant,Shubra,Syrian restaurant
Gusto shubra جوستو شبرا,"10 Samaan Nabeel, El Barad, El Sahel, Cairo Governorate 4352021",012 27565250,https://www.facebook.com/GOSTOChef,4.4,10,Cairo,https://maps.app.goo.gl/SsBNVMQwg2SGUTa68,36JW+JJ El Sahel,30.081562,31.246563,https://lh5.googleusercontent.com/p/AF1QipMh6R0lvRbBHJq8SHdpjCZJ_apP0cf4CfVyoU_l=w203-h121-k-no,https://lh5.googleusercontent.com/p/AF1QipNd6u2hqeDz3dKsKk2gGXOYa6MbJJ7maClMq8hM=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPlQaq_OjPErMUbdcY70OjL-7SyVaO4vvejOljk=w203-h136-k-no,https://lh5.googleusercontent.com/p/AF1QipM7B2iL3nbADCF3cpWLtmyfO8KSto7JrycjRGyn=w203-h136-k-no,,,,,,,,,,,,,,,,,restaurant,Shubra,Pizza restaurant
لذيذ,"شارع الترعة البولاقية, Shobra, El-Attar, Shubra",011 12785800,business.site,3.5,40,Cairo,https://maps.app.goo.gl/xCD3Rqw9WAo9P9Ky6,36CW+22 Shubra,30.070062,31.245063,https://lh5.googleusercontent.com/p/AF1QipOCmMLv0-wcc4X2yhudYBT_RVuhb3hRzHEAFJu9=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNmhUxDP1NymF1bjiLqvxZgGvEW1-iR1cLPqMxo=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipM7DKcjUy-bLIvuUd1M7BNZ66Mglbwd3Eat_Pyc=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMXPBGsW4q-f2q4dr-yTRieHumkhWeTD3KRxCdW=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOXSTJ5GxgE3jpnz5TfsLQ2VPmwBOWyV20EqWl8=w203-h114-k-no,//:0,//lh3.googleusercontent.com/FpwzUVZAeKAGASVimyUYc4oDdmoZ-Vd5YeN6QWvl55oR-mi5iqzqbKD7g_GXB2g=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipORButFDKyu3DSTPk-lmkC4AswK9fnCtfxRlzdO=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipONlVuTo7CyuZyYkqfeAyoWK7pi2mYbuMmb9xqS=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOKO3c_jIW6vkz4JEUFZWaq8ZUqfG5QO6Ug_gLk=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipPoUqpmCEMVixx6cHRgW4xVDZLV22ggU8H1vs2k=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN8ZNZABvDOmGwoTjKUXph0lL03mWDQOq9JZRYJ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOqectfADkeew9DXGY6DOFLzurzF2ru7PzK9LsK=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPbOPw46yUDUXQYamj8q6Rffy9Utjkoj6tw_1jR=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMsvK1SqIV40VPtat8TC3pyyKHs7GkrVHBMi64P=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipPTlSbdn5EheSCbZ2sPEZY2ceXux4KfTujAeqL8=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNoVsZ3j1fn8-hgeaikiR0JCtj8AghU_vwAB1rC=w203-h270-k-no,restaurant,Shubra,Fast food restaurant
Lahalipo Restaurant,"47 Ahmed Badawi, Ash Shamashargi, Shubra, Cairo Governorate 4342044",010 61984038,restaurant-59417.business.site,3.8,173,Cairo,https://maps.app.goo.gl/RySmC2kFY3BXEoFj7,368X+XW Shubra,30.067437,31.249812,https://lh5.googleusercontent.com/p/AF1QipPAr-IVV-WxsLmgrB3tpIEHxxZ2W53EXMSt2Ty8=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPshWmRC4Oqr9_dvheJq0LwN00Dwc4YVzM8pCJx=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipNhPy-iMc5vCQoraZ4aLvjeRoVbhtmyeWquDby8=w203-h451-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipM4tBzpRWiJBtfBKCvbd4uU_8z7rJF7J4lzO9or=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN3apguhqPpy6FUaUhBw2gfiyG6x1S0B7iGxcmI=w203-h451-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPpdUyQGMicminKbQeXmXmIbbeo_5veD6tRJ05B=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipP82H9FUfOQsa1j5-yQak_pNQl3P5syBAm0CI95=w203-h270-k-no,//:0,//lh4.googleusercontent.com/GmIFn8YGkl3BmnKRZySBUtV8r54Z9BwZCie38clovMp7abq8592xPxt0cJwam4k=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPjU6dATUBcCPmovf-2GZHndV9WVQiFaNR_2rcu=w203-h450-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPdcPMVUYjra4rNpYwc_S3CHG3PiBGDPTVJ-b-k=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipPbvm22rGqDglOYaTPQvU2Vgar30UeaBOXm69d0=w203-h450-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNek4K1HcVnrtwvlz2JmQ2TEpvVwViCh0Wp9Dm4=w203-h451-k-no,https://lh5.googleusercontent.com/p/AF1QipNwIGsLIZj3e8C9_VLu2gUyJRjMiTa7n5XY2pxP=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNJRzjdLsiN_d0JT9yRpteLN1eHSvOabNivxp4Z=w203-h451-k-no,https://lh5.googleusercontent.com/p/AF1QipPs3p0y4XWYrovCIY32ug-XQc6rl1DD5kayls-q=w203-h237-k-no,restaurant,Shubra,Pizza restaurant
Canary,"شبرا، Shubra, Cairo Governorate 4341251",02 25758575,Not available,3.7,471,Cairo,https://maps.app.goo.gl/Sh2XmdMqP7KeKgWH9,368V+CX Shubra,30.066063,31.244937,https://lh5.googleusercontent.com/p/AF1QipNonSKHcP7pbEc6jiVFbnH5vWLCLYj-952y6JHn=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNN86tayl1AjVWdyzFdQ4cQNQgd0dss7JRpBOHn=w203-h270-k-no,//lh4.googleusercontent.com/7IlUPYQ1j2ZhV6jdbYtJnpvqdGywvSdsviJGLFmN75eJ78hwiWZUDylDL_i29d13Lw=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPPxUZV_NBidiNaLWzDRo-w9MVJIODZiBuV2DDd=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPVl3eB6gZW1IXdGSiV00rqDWC8MUYzIdzddyos=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOd5BU_A8ROYxueic4v51c2_dhVfMklTC5OGObW=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOuJ6RkJol1OO5bdv92vs5kuAT_1uXbRYu_7u20=w203-h306-k-no,//lh4.googleusercontent.com/hlvgb9PC-pcU3x5Xs6Xr0cW1PpG3r9BExqZYvpH_UxhSUxBpPKQJ8imQBnItbKsW=w205-h100-k-no,//:0,//lh3.googleusercontent.com/LgDQIzlqc-A66RlvRkp_FXnFxUH4YLLtENR3r7rOJMautai4hw-DOqFOn5T2G0e2=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPAz2qSB3K7g8k1OdFOUur713Gpikr_FxGxVFip=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN8PEwKQdNcFPJyFvzjr3K-UosRNGCb_wH0QIIC=w203-h276-k-no,https://lh5.googleusercontent.com/p/AF1QipNU_q04axS1qS5n2klcsjUudXlNOoPLn_guJSrD=w203-h148-k-no,https://lh5.googleusercontent.com/p/AF1QipOPnOroN4X1Ln8xMhQxLGQYwn4YKDjDSUlSO7tj=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipPCIG-EfaDdZB09_WeWTkvHVi50UgE65A-IwyNW=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNLzQCil1ECMIig_9ShwNxN4LDEnPV9wIcP8XfU=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOVIl3Ye7or9EVbZf3iiRGFc5lesTkjTHrOVvT5=w203-h128-k-no,restaurant,Shubra,Falafel restaurant
El Prince B.B.Q,"12 شارع قبة الهواء، من شيكولانى،, Shubra",012 26084788,Not available,3.8,85,Cairo,https://maps.app.goo.gl/ptL1yLCKmxavNY338,36FX+MF Shubra,30.074188,31.248688,//lh4.googleusercontent.com/YUNaRgqNqw7dyEXzBLYnND5Cb_AnDZ0EHzcCFVZIUjl3hNAVcmGvk1btmu4X1IL2=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMzTWPSUldt82GKHR-ZG7oxnq6Nj_EblBgcj2rp=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMcwxJWjkhnmEq8aJJ-MdsMhxdnS0aaJhjAAFDy=w203-h152-k-no,//lh4.googleusercontent.com/vZ7T81DFfGbYGoyg7gPH8LvhUfPKNwSwBxYV32udd4In2k_rV8gqEUq5jwOWJxAF=w205-h100-k-no,//lh5.googleusercontent.com/O1Pd0MK1G4lnk3sjPo528W1D5IOJLi0r0wL2JnjlZtwdk0ZpMz8Fh0nFzmgcwe7yow=w205-h100-k-no,//:0,//lh3.googleusercontent.com/M3CjgBIpyfe2_1sCquRxJQiwRro-IcR2kLTmTspc5hRX_r2Z_xnMmHufelDAXB50=w205-h100-k-no,//lh4.googleusercontent.com/xenL0qNwEizGetOhbQNPWeBRnXiOM-bWUnP7W9q3A1DHfNf3rgCDqdSkNigbj6nW=w205-h100-k-no,//lh6.googleusercontent.com/5eTsznfVlDvmHr63CJZO1_XAdx-Ede6Vgs3syTx6uoSEtnIjvZppv61AwUCe3ohjmQ=w205-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOus5vM5F2k7gQMl8RRB_ky7_atdQCa_sDmTD4J=w203-h270-k-no,//lh5.googleusercontent.com/7Hau9dWMqkkePKLpi2Z_gqwSiMiB-A9x4aOkWsXg1HID47zSsPUxpEMZX0wPr2tt=w205-h100-k-no,//lh3.googleusercontent.com/n2btCNv-cYZQ6ujXuAIwi8kr4QcmgCT4HkIahlXH9GewWuiRrlSbam4BR3N1UVYk-A=w205-h100-k-no,//lh5.googleusercontent.com/peL8rtNaUjPTs0MAs2Kxjk2idaH3lO5A-T_-4wlcWlMbpK6778wbEFJy2MIC1t8=w205-h100-k-no,,,,,,,,restaurant,Shubra,Barbecue restaurant
كريسبيانو - Crispiano,"3 Zakareya El-Hariry, Gesr Shubra, Shubra, Cairo Governorate 11672",015 55450402,Not available,,,Cairo,https://maps.app.goo.gl/jQzubpzd2woKqo4W8,36HW+JF Shubra,30.079062,31.246187,,,,,,,,,,,,,,,,,,,,,restaurant,Shubra,Fast food restaurant
