Name,Address,Phone number,Website,Rating,Number of ratings,Governorate,location Link,Plus code,Latitude,Longitude,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Photo 11,Photo 12,Photo 13,Photo 14,Photo 15,Photo 16,Photo 17,Photo 18,Photo 19,Photo 20,Category,Region,Place description
Loris,"Galleria40, 26th of July Corridor, Sheikh Zayed City, Giza Governorate",010 50540541,Not available,4.5,264,Cairo,https://maps.app.goo.gl/QvDBLqp5wuuzWeno9,2282+R9 Sheikh Zayed City,30.017063,31.000937,https://lh5.googleusercontent.com/p/AF1QipOJbgZ1klEBoRplRo1v4vBgGDqIxA6sNt3pJBGV=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipNBrwcOeKAeC1fNL3tP1nyO96qwRvsFFWUe8hVK=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipOkwiRrTcwh_xDDGO3rLKJQRm0ljsK2yzOvgsHu=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMnWWyt62GZiXmkC2AkUVk7ntScwd_ZSp1bcoAU=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNKY85tfd3-yaUP-ySHKZa3SVguGqlqYj4FJx8V=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOlYkdbftNfx1zcUnorBD0Zgqub-4UtgKP1MbFz=w203-h252-k-no,,//:0,https://lh5.googleusercontent.com/p/AF1QipPL8Jm7w4pMcNi7ZHRQ9j4sMTdFTWgfAKzSdhZ_=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipMXk1QGNURn6O3PJGDwfcmWw24-KfFkDwJLYkjk=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipM4K0qOT1g0sZr3v-TWt1_SLq2s4LnS-KAU_yMV=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipN7VI8volJvd-VogsxQ4M4g027Y300CJIYHAbog=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipM7ZoGVz3ONFfc58PaGEIVsLV-vapuo3Gb-JU2-=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMDGt3BuAFr3EONUdw5_yS7F6asdSDd_WAh9Oqf=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP3BuQQY5c5Oo2XT1c-wo3fY7r1PsGj5SzZ9bSo=w203-h253-k-no,https://lh5.googleusercontent.com/p/AF1QipPQ8hTGBL1euHqdPfFizerbysOBrOaiaUvd2ogd=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNTG3CseG08r8NxndEy_fNdMFYGda--QHoDOnhB=w203-h203-k-no,restaurant,Zayed city,Lebanese restaurant
Spectra Restaurant & Cafe,El Sheikh Zayed City، Giza Governorate 3247201,010 66602606,spectrarestaurant.com,4.0,"1,111",Cairo,https://maps.app.goo.gl/r1rKiAQd1qDW6fdw6,22H2+56 Sheikh Zayed City,30.027938,31.000563,https://lh5.googleusercontent.com/p/AF1QipNW8XTqSo7lEE1oytBTJCxWzJcIyzTmUTNQypAo=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPdYHRde5oV12EyUoCxuMt94BTfQ7UMAxLUV3Mz=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPsMnfE_ZK4ShuNrc47maEoFyfq0DejC9wh4KbR=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM0kdAPdT5dtr5IcoSgd2a5MSSSOwkJYpPrdqrj=w203-h451-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNCWQwWCKL5fmf-hJ6U5exzbMi_rE0vPMXv9FIQ=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPB5HL5zCBuz1e-wuxRb21Yyix9Jxw_bsZHnISJ=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPxiE7UUNzgcLYmAGQOq0G9F-L8384jpSv6YqgJ=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipO9bbspfMohR0KeS6TGjc2TAel9Qr3AiKraJ2Wl=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPxj0N8cyH-OM7RsD_u7PKQQtxI4sKt6bJ1_erH=w203-h152-k-no,//:0,//:0,https://lh5.googleusercontent.com/p/AF1QipMiUgZqHdMLHwRxQAn9_MLD2p55nP0CGRez5lok=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO5Ep6QxWewu5OcXvvCIlGtokan2w0NFzyFVDM_=w203-h145-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPVoURIz7KoogvAInBaBXudWuyUsI9-8tuFomhu=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOupR5xQe58n1pAQhnQJE8vKoOy7R6FVX3FRn9C=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipONHexfjpqf-1kTJ176AWGWAtlLs9Vj6IaxLtS5=w222-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipPEghIlemUnzeXV13QjpxQGwiNtqe6rbYAvzu8N=w203-h270-k-no,restaurant,Zayed city,Western restaurant
Chick'in,مول المعز Zayed city، الشيخ زايد، 12588,010 92717472,https://www.facebook.com/ChickInFriedChicken,4.4,90,Cairo,https://maps.app.goo.gl/kZnajWqMh6EdgiaP9,2XVQ+R9 Sheikh Zayed City,30.044562,30.988437,https://lh5.googleusercontent.com/p/AF1QipMd1Ero9PSvxHFp140LW2F_Fl6eKmHdWbCUWskm=w203-h131-k-no,https://lh5.googleusercontent.com/p/AF1QipOoBuIKVIQCGECCHmI7N8DKHqh7xFPBiMXC0Dnj=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipPdvOdnQ7smbbH_El7LCrYesF8qJimnlAMq2Nj5=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMzixLENChU7MbGpOvlhB2aTKUbAnU6unkV3qtQ=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPRgr8MAcV-h-b9WMPeuEIRVDPLVoS4Q76drhqR=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOsMJ2z6PzA-fNMvZj6J0bVTYdFpOgXL8V5Xhzd=w203-h418-k-no,https://lh5.googleusercontent.com/p/AF1QipNdGC8buJSARp4uxNdLJjPe4ZXYtro-upmMtJ6e=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN8Z-CEnaFyw8XsEfCUGV-NycXLHf4FnRS3FCdn=w203-h134-k-no,//:0,//:0,https://lh5.googleusercontent.com/p/AF1QipNHT_JCKfcabDoC0E4Jn063KLCrWMD2s-1xeQ3D=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNYiADfF5r7HxvcQkgA98u9dtCVfJ-1O9u_IhUC=w203-h396-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNJ7AElrtFllCJS_aGxUghY4flnyqFzlrPT_jPW=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipPx2jnYlzSPZzc5YBYUUXik7Oi60-KXLoHePCZ6=w203-h164-k-no,https://lh5.googleusercontent.com/p/AF1QipM-uz-tUP0iRgcraGR6nsYDNXoZyKV_JDtQ7u6R=w203-h164-k-no,https://lh5.googleusercontent.com/p/AF1QipNjGgTVIYXk8jLdLrzK81Di3h47bmXLfMjd3KTJ=w203-h164-k-no,https://lh5.googleusercontent.com/p/AF1QipNicz5tD36Evm02K8G_nY2IuVl-f0WQb3kLxzFR=w203-h164-k-no,https://lh5.googleusercontent.com/p/AF1QipPoz-h8kyss-e7RFB_HXIPthwbkW27TEQsWab0T=w203-h164-k-no,restaurant,Zayed city,Chicken restaurant
Casa De Farida,"AL Guezira Plaza، Alshekh Zayed City, 6th of October, Administrative Building ,Ground Level، Unit No. G103, El-Bostan, Sheikh Zayed City, Giza Governorate",012 72225899,Not available,4.7,3,Cairo,https://maps.app.goo.gl/jjZfKgBa5xAkRwaD6,2293+V3 Sheikh Zayed City,30.019687,31.002688,https://lh5.googleusercontent.com/p/AF1QipPEhbrUDxsHQYO2M3p3CVxUib5Y5Rxy0wofKeBr=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMk7z-6KvVSobWIyJCe9KWVgYrTzeIDwvIjHmaT=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNBPbZ3lsJ37ijixjP2a3qWmB_Z5HC3l7NL4pQH=w222-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOHCUX6dcRAQtusYTP2jfCyqS2IllVuJfX64mgM=w222-h100-k-no,,,,,,,,,,,,,,,,,restaurant,Zayed city,Restaurant
Gigi,"أركان بلازا مول،شارع البستان،مدينة الشيخ زايد،قسم, Sheikh Zayed City",02 37966344,https://www.facebook.com/gigiburgerbar.arkan/,4.2,"1,271",Cairo,https://maps.app.goo.gl/RM9zunEfouc9WNr39,2293+WM Sheikh Zayed City,30.019813,31.004188,https://lh5.googleusercontent.com/p/AF1QipMGrhL6eTF1jUEHiM8qTd-uabbVYJTdS_IAeQ-Q=w203-h119-k-no,https://lh5.googleusercontent.com/p/AF1QipMp9T1nZ4XFs9dFocPbLr11AjewV29kzmu_q2PP=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNxQiSVRyf_akrAnpASkW8yuQUlf1hiMQYCfz8V=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPyxI0D8coEGUyDyjeT2E_Zqj55e8C7pHz8kymv=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOpLzi-JkMdGhh9aul_FBvXh9KFoLhJG8DlmaPk=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOgojmWyOUwCJnIpGt5SkxdnSjpwIvHPVytagWE=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipP9lFUD9cn2ihO8e1DSqBssiS9KFUpsFvQnfCWK=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPZkZsD2Ih4sFZmXKCRML2ly2MVoKEv81JB40uQ=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOhuWsdYJdODnZ1HvwqHXqSX2VAKrAHicQ7Lx6g=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMQL4QVC_0I4BLYmiFSyU0ntnmarS4MopvQBSvO=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPJCYsNaGEGm-4q4SDSUcx6Rui2WxtMZ15hPSoe=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOlwKuqennp3qPKMn1_yv5Sp2MX5FPJTPDT2uHi=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOux76r4le9VYcBnlw61TndFeuR5hm8AB8mp0Jj=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMVQA3WhFgILsMlRUYdYblsV2TR8FqNMvqn5v6D=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipP_rTmJPyLv7h9hSe2CHJMCnFCi8dHMhs8QeS9v=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOK4CifUHp0nfGqKTtx_wFAKwqX5hs9l6ViMB7l=w203-h360-k-no,restaurant,Zayed city,Restaurant
Charwood's,"2293+XF8، أركان بلازا مول،مدينة الشيخ زايد،شارع البستان،قسم, Sheikh Zayed City, Giza Governorate",119203120,Not available,3.9,92,Cairo,https://maps.app.goo.gl/sqZzXepAaLxu9scK7,not available,30.020938,31.003312,https://lh5.googleusercontent.com/p/AF1QipNvLQD5FV6OdGh3USAvNLiArz56iTbFcKvEh66w=w211-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipOa2ifOxA6s_4cV44RGCpBtaYGahYpflImOM5bd=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMJeGNjLBgNboya4el4KUCZ8eoFTztoQv_4Y07g=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM3LY05a-RvSrLa4nLZZS8iiJLQanUZLwmXUauu=w203-h269-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOcqklfRh5S2UTfwlU_DEMbtkzex1aWi3A3fiWK=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMSeIDwYdzgU9ebWGhNkSpuPE4YA8bQUxXKBks=w203-h338-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPakJywJTkuq0K8iVPfgxvMJF83OVaB7H_OzTI=w203-h338-k-no,https://lh5.googleusercontent.com/p/AF1QipMZ4CotiTpVmDMsJo1nStKMBfAQ0KUovza3NIk=w203-h121-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN6pdKCBT5ZG2iwK8IwvWAoGbb3dx1mjv1HEGdv=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNduOi07D_ckhF6AsXS_sYDfxcd_Hb1IBXVSa-r=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOdzdG_tSwtK-0ldk1udxU6wXGn89Wrux5Wg30=w203-h338-k-no,https://lh5.googleusercontent.com/p/AF1QipN49RKQYmfbB4ClALeaAehOpPNGB8CEVCogoeC2=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNq2lG3A7b3PVx_y1533wx7cdDr1RH4OkqmwUaO=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM6QeUI19IUM3h6ypfG9Ur2nB2VP96s-tovxYsu=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMWzTPBQugqUmchgU5hkZmFHtoZzSMSPS_OBwy4=w203-h417-k-no,restaurant,Zayed city,Steak house
Fuego - Grill and Sushi Bar (Sheikh Zayed),"Al Guezira Plaza - Tower 1, Sheikh Zayed City, Giza Governorate 12588",010 11009078,Not available,4.4,604,Cairo,https://maps.app.goo.gl/h3Z4AtUN5NL4iL8P7,22C2+4X Sheikh Zayed City,30.020313,31.002437,https://lh5.googleusercontent.com/p/AF1QipPx2_V7Yf9YGvTwMgLLnynrT1jKOL99HudoAE0=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNjYHLxxz28XHJePbKKPYNrLRHi7AmxaJ6XUygW=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOap9BSDJDNqND4ZKXBW7vRj1cU4ikBC8MuyJHV=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPr4R_aVFWHmPzGetGtI4j2get-yDGI9YwKIoK5=w203-h152-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOtETwmrehhkaS_acvbAAGl-UGpJ_pgux8n88ns=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMCm4oNNmMwCBTFC6aW9IiUM022kZM4FJZGD1Ey=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPNmK6_HdpZsVFf8echyuZJlZL5PrrYeyZ0SPyd=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipMDbk_0FtIF5q_LLgDSdofExC3hoPnYU1y6q4Z3=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMPXoMiw5-wAIAZvFPv1wWbn8cpb0HVCQ24emBJ=w211-h100-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNgZQhPfJPzWbUlkrv8VFP_cT9BtxHvy3-0zUJv=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPfUoEL0_0srS3pK11vsejt_e_criNmfvm5pJyp=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNNEbNQG_HeV__lN5vetyrpAQFcq3vTunhFi5Vl=w203-h152-k-no,,//:0,https://lh5.googleusercontent.com/p/AF1QipP0JNTVDTNTi1dporg4h8qsmEFvmPoLTPXd1mWe=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNXsK1USOLNm95y7ZU9A7EIl0P6gmHK58XhXr9r=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNc61uiSry-q7EhjNox_xBQ29R_U4PZjnQv_WED=w203-h360-k-no,restaurant,Zayed city,Sushi restaurant
Meaet,"مدينة الشيخ زايد، الشيخ، زايد،, Giza Governorate",010 90202065,Not available,4.8,28,Cairo,https://maps.app.goo.gl/bZnpUdU2oqQDAvZ3A,22G6+8Q Sheikh Zayed City,30.025813,31.011938,https://lh5.googleusercontent.com/p/AF1QipPJYtO45z4eA9B1XJ2Lc3NEdSphqTF4wppynPaf=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNciy5i2uzz6BaFM3sIyR7TkkSgYsxN_XLtsh4s=w203-h220-k-no,https://lh5.googleusercontent.com/p/AF1QipPAt8eMn9ExubBHNZhUTmvDHHpg3K8l4W78hBIo=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN47MdEi-2pZrebKsAJcbJy6-SgjJkDvQCVkEPL=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPFpxvdjZH4RCbSXAKcgrMtOwtyCR9IMKJpOY1p=w203-h265-k-no,https://lh5.googleusercontent.com/p/AF1QipOz90MWtAGTWdg-5kjoLb-HwzDaG_ywSo0iPgUx=w203-h304-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPL9_6_TYhJXxuWI7OzM2GqEVWKpaTQDkvtLkA3=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipP9eAV-aghaz3VQBhq8a54qn0cg571adZuFJe-J=w203-h256-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNH9Q2bHXuP2X05XSH_5-bcSw76gPd5f6NnC9s=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNxh5Mb26inXj9CYWO4wqcJm4xxT4MCQVHJVS7d=w203-h217-k-no,https://lh5.googleusercontent.com/p/AF1QipP4GeOYLvekgL9EhSqFi1dfvOcCiZ7G9x5yMNEA=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPiWOO5G89ETCjGhmMYlNUmqTmQcdAXshygOipB=w203-h417-k-no,https://lh5.googleusercontent.com/p/AF1QipMOW8rh3zN16p005wwjiDgmv--bWvg4qDo1Rk7i=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOiR-UHWsJN-LUzwL083OtEQyt3MwQYHX61vRbH=w203-h360-k-no,,,,restaurant,Zayed city,Western restaurant
TEMPO RESTAURANT,"3X97+HJC, Cairo - Alexandria Desert Rd, Sheikh Zayed City, Giza Governorate 3241020",012 23779788,Not available,4.3,587,Cairo,https://maps.app.goo.gl/Mr8cWNgcih7hS8qu7,not available,30.078750,30.951250,https://lh5.googleusercontent.com/p/AF1QipO_WNinPuJT5EIzyn_XNXUFMwGEr9GiTZ3tJwI=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPtj-x6G3Rlel7rpPIUSD1NYDeRvlMODMUSKbF7=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOGabMPOMUZk7WgVLbxaXxTyTzJTNp9c1jYWq8i=w203-h121-k-no,https://lh5.googleusercontent.com/p/AF1QipNgVYt-n6oRz0B-Q-PgYJXpHSQR7cJXjfUyxXds=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNrMz7Yqk1a58l-sO7xEw3t0qDLlmKDLDQ4z6rv=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipN0ih6FW3BUR1p5IFjrjSdFPp0tyV0j1HYRoaQl=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM5jWOlLhFoBrqMmuxvnHAPmAyyTlOBDs6q_fQH=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPUUSjgyNiVxW787kV8wAkEy3oXRJytDv18Mt7P=w203-h114-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPn-NQ4xHSKPGjj-kBxlc89m_IbFlmn3QYIWCqi=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipP2ePIEKQtBms5UJvXA54j2ZPzVbOxVjaAtN3bH=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOr-IvIsH-c5LOVrF2G2HpFk-xG5H5NgjQuDZmd=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipPZaWF6eUCu8VRLDoXSsRi1O4RHR_Ubw_qqY403=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPC4hQr8WY_l7e2P-SkyeeW_e8zrlwj2Xv4CzEH=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMDVdSQ7w1et1V3wEodWogbHgi_Ywjin8tBy0Ar=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNjeAs_zZaUhLw1-TAgS5dxnIEvYpk6hVBXOb1G=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPB4YNrVNjr1UcI1IXgzgejM7pGCeOjQf3lMtBp=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMpH35ijiNQoaCPyIEIp0EzybG9GNS2JWfdPixg=w203-h152-k-no,restaurant,Zayed city,Restaurant
Izakaya,"Palm Central, Palm Hills, Sheikh Zayed, Giza Governorate",012 71116223,izakayacairo.com,4.4,665,Cairo,https://maps.app.goo.gl/ZrGSXVsbaLYCkND38,226H+JJ First 6th of October,30.011563,31.029063,https://lh5.googleusercontent.com/p/AF1QipPyZMYpGPXm0gYa-ai_9P5aDSX0gNDzvNQ0MyUj=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMwF_JCX689E6sw5SfSRXzi9AjtfqFBkD5yG2lD=w203-h196-k-no,https://lh5.googleusercontent.com/p/AF1QipPEtQsGcC6QaQSxZW0YQ8AnPuv1gzbMZD8HhO0r=w203-h137-k-no,https://lh5.googleusercontent.com/p/AF1QipO4GapFlJhfC0kUCt8fT0AKXeDwW1N1WUAjvTek=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNaHikZxVNWpQrLnl7bwN6TFJefBzwqONKIHmOS=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipO6XXTaxbjaSm5asMjbEQyxN-4_tB2uURP7kZ9d=w203-h160-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNfmEvjB2LmCxM2m-o7b7blrR5csqfdwDtCjZ00=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipM8NIoIRLz213r58999nBqCEARIxSSFrWGWvZvn=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipONvDfySUTJgpcX7TMuDabUhFxuH0sjj4o6U-Cw=w203-h221-k-no,https://lh5.googleusercontent.com/p/AF1QipPbL-3y5byU1fDHLIFZCNasBqKX7rnyDYtN_XGb=w203-h203-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipNXK6rCbQ6U-e0up2VPSgbQBVqFX_DUrE0R7kpX=w203-h143-k-no,https://lh5.googleusercontent.com/p/AF1QipNb9o-fp93sOr0LmlUr5V5uXHn-hnC8Ie4r4iwq=w203-h270-k-no,//:0,https://lh5.googleusercontent.com/p/AF1QipOy17WLD0S7C_eg-0ZfTjeTKE_9SUmwhh3Mzey_=w203-h375-k-no,https://lh5.googleusercontent.com/p/AF1QipMyhPmVTFaYg41KTJoMaDhe4gDudta7_8dUeqc0=w203-h165-k-no,https://lh5.googleusercontent.com/p/AF1QipM0wTVsDQ__Y8PZOVG_AihPKlQK3FwwUedhMl2b=w203-h360-k-no,restaurant,Zayed city,Japanese restaurant
